Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2022-01-01,01,4517,-9,3373,5512,13393,72042,633,49940,64820,187436
2022-02-01,01,4380,-7,2870,4301,11544,76422,626,52811,69121,198980
2022-03-01,01,1666,2,3400,7306,12374,78088,628,56211,76428,211355
2022-04-01,01,3129,-21,2007,5147,10262,81217,607,58214,81587,221625
2022-05-01,01,4482,-7,587,2593,7655,85699,600,58801,84180,229280
2022-06-01,01,3464,-10,224,6637,10315,89163,590,59024,90817,239595
2022-07-01,01,4646,-72,1075,7653,13302,93809,518,60099,98470,252898
2022-08-01,01,3268,-16,-1292,4204,6164,97077,502,58807,102676,259062
2022-09-01,01,3676,-9,4249,3692,11608,100753,493,63056,106366,270668
2022-10-01,01,2142,2,4880,4728,11752,102895,495,67936,111094,282420
2022-11-01,01,767,2,1899,5130,7798,103662,497,69835,116224,290219
2022-12-01,01,779,-17,1464,9455,11681,104441,480,71298,125679,301899
2023-01-01,01,-1702,-17,3474,7554,9309,102739,463,74772,133231,311206
2023-02-01,01,3817,-12,999,6347,11151,106556,451,75772,139581,322361
2023-03-01,01,3558,-14,-2183,8650,10011,110114,437,73589,148231,332372
2023-04-01,01,3007,-7,-2328,8831,9503,113121,430,71261,157063,341875
2023-05-01,01,3672,-14,-1378,7574,9854,116793,416,69883,164637,351728
2023-06-01,01,4036,-8,-302,7540,11266,120832,408,69593,172220,363052
2023-07-01,01,2709,-13,-633,7024,9087,123539,395,68949,179197,372079
2023-08-01,01,3367,-5,-123,8506,11745,126906,390,68825,187703,383823
2023-09-23,01,3282,-4,-3021,-876,-619,130188,386,65804,186827,383204
2023-10-01,01,1268,-26,-2050,8912,8104,131458,360,63766,195797,391380
2023-11-01,01,523,-17,-4132,11018,7392,131980,343,59623,206759,398705
2023-12-01,01,-359,-7,-4789,13512,8357,131621,336,54834,220273,407062
2022-01-01,02,6,-1,82,152,239,15,38,2869,4040,6962
2022-02-01,02,0,-1,100,137,236,15,37,2969,4177,7198
2022-03-01,02,2,-1,187,422,610,17,36,3156,4599,7808
2022-04-01,02,-1,0,140,341,480,16,36,3296,4940,8288
2022-05-01,02,0,0,160,358,518,16,36,3456,5298,8806
2022-06-01,02,1,-1,214,391,605,17,35,3670,5689,9411
2022-07-01,02,-1,-15,200,406,590,16,20,3869,6095,10000
2022-08-01,02,-5,0,272,663,930,11,20,4141,6758,10930
2022-09-01,02,0,-1,218,424,641,11,19,4359,7179,11568
2022-10-01,02,1,0,-11,134,124,12,19,4346,7311,11688
2022-11-01,02,2,-1,230,467,698,14,18,4576,7778,12386
2022-12-01,02,4,0,72,343,419,18,18,4648,8120,12804
2023-01-01,02,2,0,99,609,710,20,18,4746,8723,13507
2023-02-01,02,0,-2,160,473,631,19,16,4906,9200,14141
2023-03-01,02,-10,0,289,576,855,9,16,5194,9774,14993
2023-04-01,02,0,0,229,596,825,9,16,5423,10370,15818
2023-05-01,02,2,0,206,772,980,11,16,5626,11141,16794
2023-06-01,02,1,-2,225,1239,1463,14,16,5990,12852,18872
2023-07-01,02,-1,-1,62,1084,1144,11,13,5898,13446,19368
2023-08-01,02,-5,0,103,1007,1105,6,13,6001,14453,20473
2023-09-23,02,1,-3,24,595,617,7,10,6025,15048,21090
2023-10-01,02,-1,-4,-41,-234,-280,8,8,6139,15367,21522
