cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
0200,0,0,0,0,0,0,0,0,0,0,256,256,256,0,256,0,-2814,16
0200,0,0,0,0,0,0,0,0,0,0,1681,0,1681,1681,0,0,0,41
0200,0,0,0,0,0,0,0,0,0,0,1849,0,0,1849,0,1849,0,43
0200,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0,46
0200,0,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,-1876,76
0200,0,0,0,0,0,0,0,0,0,0,20449,0,0,20449,0,0,0,143
0200,0,0,0,0,0,0,0,0,0,0,48400,0,0,48400,0,0,0,220
0200,0,0,0,0,0,676,0,0,0,0,676,0,0,676,676,0,-2189,26
0200,0,0,0,0,0,1369,0,0,0,0,0,0,0,1369,1369,0,0,37
0200,0,0,0,0,0,6084,0,0,0,0,6084,0,0,0,0,0,0,78
0200,0,0,0,0,1,441,0,0,0,0,0,0,0,441,441,0,0,21
0200,0,0,0,1,0,0,0,0,0,0,4761,0,0,4761,0,0,0,69
0200,0,0,0,1,0,0,0,0,0,0,5625,0,0,5625,0,0,-2814,75
0200,0,0,0,1,0,0,0,0,0,0,7056,0,0,0,0,0,0,84
0200,0,0,0,1,0,0,0,0,0,0,19321,0,0,0,0,0,0,139
0200,0,0,0,1,0,22201,0,0,0,0,0,0,0,0,0,0,85782,149
0200,0,0,0,1,1,0,0,0,0,0,15129,0,0,0,15129,0,0,123
0200,0,0,0,1,1,361,0,0,0,361,361,0,0,361,0,0,0,19
0200,0,0,0,1,1,2116,0,0,0,0,0,0,0,0,0,0,28559,46
0200,1,0,0,1,1,0,0,225625,0,0,0,225625,0,0,225625,0,542,475
0200,2,0,0,0,0,0,0,0,0,0,6889,0,0,0,6889,0,573,83
0200,2,0,0,0,0,0,0,0,0,0,13689,0,0,13689,13689,0,375,117
0200,2,1,0,1,1,1936,0,0,0,0,0,0,0,0,1936,0,36637,44
0200,2,1,0,1,1,147456,0,0,0,0,0,0,0,0,147456,0,334,384
0200,3,0,0,0,0,0,0,0,0,0,32400,0,0,0,0,0,625,180
0200,3,0,0,1,0,0,0,0,0,0,12544,0,0,0,12544,0,855,112
0200,3,0,0,1,0,60516,0,0,0,0,0,0,0,0,0,0,29529,246
0200,4,0,0,0,0,0,0,0,0,0,35721,0,35721,35721,0,0,1042,189
0200,5,0,0,0,1,6400,0,0,0,0,0,0,0,0,0,0,1668,80
0200,5,0,0,1,0,0,0,0,0,0,14884,0,0,0,14884,0,1459,122
0200,5,0,0,1,1,484,0,0,0,0,0,0,0,0,484,0,2126,22
0200,6,0,0,0,0,6561,0,0,0,0,0,0,0,6561,6561,0,1042,81
0200,6,0,0,1,1,0,0,0,0,0,28900,0,0,0,0,0,2293,170
0200,6,1,0,0,0,4761,0,0,0,0,0,0,0,0,4761,0,1042,69
0200,7,0,0,0,0,0,0,21025,0,0,21025,0,0,0,0,0,41797,145
0200,7,0,0,0,1,0,0,32761,0,0,32761,0,32761,0,0,0,107462,181
0200,7,0,0,1,0,20164,0,0,0,0,20164,0,20164,20164,0,0,1251,142
0200,7,0,0,1,1,324,0,0,0,0,0,0,0,0,324,0,1147,18
0200,7,0,1,1,0,4900,0,0,0,0,4900,0,0,4900,4900,0,1355,70
0200,8,0,0,1,0,0,0,0,0,0,2304,0,0,0,2304,0,1355,48
0200,9,0,0,1,1,676,0,0,0,0,0,0,0,0,0,0,1459,26
0200,9,0,0,1,1,961,0,0,0,0,0,0,961,0,0,0,1459,31
0200,10,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,1668,58
0200,10,0,0,1,0,0,0,0,0,0,1936,0,0,0,0,0,2085,44
0200,10,0,0,1,0,144,0,0,0,0,144,0,0,0,144,0,37732,12
0200,10,0,0,1,1,784,0,0,0,0,0,0,0,784,0,0,1511,28
0200,10,1,0,1,1,0,0,0,0,0,82369,0,0,0,0,0,2606,287
0200,11,0,0,0,0,0,0,0,0,0,1024,0,0,1024,0,0,2606,32
0200,11,0,0,0,0,784,0,0,0,0,0,0,0,784,0,0,2710,28
0200,11,0,0,1,1,0,0,0,0,0,55225,0,0,0,0,0,45820,235
0200,11,0,0,1,1,676,0,0,0,0,0,0,0,0,0,0,2272,26
0200,12,0,0,0,0,676,0,0,0,0,0,0,676,676,676,0,1876,26
0200,12,0,0,1,0,20164,0,0,0,0,0,0,0,0,0,0,5733,142
0200,13,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,39608,12
0200,14,0,0,1,1,2601,0,0,0,0,0,0,0,0,2601,0,4169,51
0200,15,0,0,1,1,961,0,0,0,0,0,0,0,0,961,0,6160,31
0200,18,0,0,0,0,0,0,0,0,0,1225,0,0,1225,0,0,2606,35
0200,18,0,0,0,0,0,0,0,0,0,3600,0,3600,3600,3600,0,3440,60
0200,18,0,0,1,1,0,7225,0,0,0,0,0,0,0,7225,0,75255,85
0200,19,0,0,0,0,0,0,0,0,0,5329,0,0,5329,5329,0,2814,73
0200,19,0,0,1,1,144,0,0,0,0,0,0,0,0,0,0,3857,12
0200,20,0,0,0,0,0,0,0,0,0,5776,0,0,0,0,0,5733,76
0200,20,0,0,1,0,0,0,0,0,0,961,0,961,961,0,0,3648,31
0200,20,0,0,1,0,1024,0,0,0,0,0,0,0,0,0,0,3127,32
0200,20,0,0,1,1,529,0,0,0,0,0,0,0,0,0,0,7922,23
0200,20,0,1,1,1,0,0,0,173889,0,0,173889,0,173889,173889,0,44819,417
0200,20,1,0,1,0,0,0,0,0,0,1521,0,0,0,0,0,7119,39
0200,20,1,0,1,1,0,0,0,0,0,3025,0,0,0,0,0,4169,55
0200,21,0,0,1,1,0,0,0,0,0,5329,0,0,5329,5329,0,3231,73
0200,21,0,0,1,1,1521,0,0,0,0,0,0,0,0,0,0,3231,39
0200,21,0,0,1,1,3844,0,0,0,0,0,0,0,0,0,0,3335,62
0200,22,0,0,0,1,361,0,0,0,0,0,0,0,0,0,0,3440,19
0200,22,0,0,1,0,529,0,529,0,0,0,0,0,0,529,0,3440,23
0200,22,0,0,1,1,576,0,0,0,0,0,0,0,0,0,0,6671,24
0200,22,0,0,1,1,676,0,0,0,0,0,0,0,0,676,0,3440,26
0200,23,0,0,0,0,361,0,0,0,0,0,0,0,361,361,0,3127,19
0200,23,0,0,0,0,104976,0,0,0,0,0,0,0,0,0,0,3440,324
0200,24,0,0,0,0,0,0,0,0,0,68644,0,0,68644,68644,0,3335,262
0200,24,0,0,0,1,0,63001,0,0,0,63001,0,0,0,0,0,3544,251
0200,24,0,0,1,0,289,0,0,0,0,0,0,0,289,0,0,3544,17
0200,24,0,0,1,1,256,0,0,0,0,0,0,0,0,256,0,4649,16
0200,24,0,0,1,1,576,0,0,0,0,0,0,0,0,576,576,9172,24
0200,25,0,0,1,1,324,0,0,0,0,324,0,0,0,324,0,88596,18
0200,25,0,0,1,1,576,0,0,0,0,0,0,0,0,0,0,7505,24
0200,25,0,0,1,1,729,0,0,0,0,0,0,0,0,0,0,3857,27
0200,25,0,0,1,1,729,0,0,0,0,0,0,0,729,0,0,3961,27
