puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
0200200,97,223,0,0,0,0,0,0,0,0,0,9409,0,0,0,0,0,34396
0200400,21,501,0,0,0,0,0,0,0,0,0,441,0,441,441,0,0,83489
0200400,21,109,1,0,1,0,441,0,0,0,0,441,0,0,0,441,0,16156
0200400,20,277,0,0,1,0,400,0,0,0,0,400,0,0,0,0,0,83281
0200300,261,332,0,0,0,0,0,68121,0,0,0,0,0,68121,68121,68121,0,58161
0200200,168,230,0,0,0,0,0,0,0,0,0,28224,0,28224,28224,0,0,39816
0200101,165,220,0,0,0,0,0,27225,0,0,0,0,0,0,0,0,0,34396
0200102,129,73,0,0,1,1,16641,0,0,0,0,16641,0,16641,0,0,0,31582
0200300,20,501,0,0,0,0,0,0,0,0,0,400,0,0,400,0,0,314882
0200102,243,501,0,0,0,0,0,0,0,0,0,59049,0,0,0,0,0,595160
0200400,30,36,0,0,0,1,900,0,0,0,0,0,0,0,0,0,0,5316
0200400,17,428,0,0,0,0,289,0,0,0,0,289,0,289,289,289,0,73066
0200200,28,202,1,0,1,1,0,0,0,0,0,784,0,0,0,0,0,75880
0200300,222,501,0,0,0,0,0,0,0,0,0,49284,0,49284,0,49284,0,203355
0200400,188,42,0,0,1,0,35344,0,0,0,0,0,0,0,0,35344,0,13863
0200400,28,421,0,1,1,0,784,0,0,0,0,0,0,0,784,0,0,95684
0200200,103,495,0,0,0,0,10609,0,0,0,0,10609,0,0,0,0,0,78225
0200400,237,244,0,0,0,1,56169,0,0,0,0,0,0,0,0,0,56169,46122
0200101,51,501,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,208462
0200400,28,10,0,0,1,1,784,0,0,0,0,0,0,0,784,0,0,1511
0200400,18,25,0,0,1,1,324,0,0,0,0,324,0,0,0,324,0,88596
0200300,101,486,0,0,0,0,10201,0,0,0,0,10201,0,0,10201,0,0,112361
0200200,47,501,1,1,1,0,0,0,0,0,0,2209,0,0,2209,2209,0,108609
0200200,43,173,0,0,0,0,0,0,0,0,0,1849,0,0,0,1849,0,41692
0200200,79,501,0,0,0,0,0,0,0,0,0,6241,0,0,6241,0,0,114133
0200400,21,110,0,0,1,0,441,0,0,0,0,0,0,0,441,0,0,15510
0200102,159,501,0,0,0,0,0,25281,25281,0,0,25281,0,0,0,0,0,289950
0200200,83,401,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,140712
0200400,139,0,0,0,1,0,0,0,0,0,0,19321,0,0,0,0,0,0
0200200,194,433,0,0,0,0,37636,0,0,0,0,37636,0,0,0,0,0,128204
0200400,39,501,0,0,0,0,1521,0,0,0,0,1521,0,0,1521,0,0,157389
0200200,73,493,0,0,1,0,0,0,0,0,0,5329,0,0,0,0,0,93203
0200200,50,501,0,0,0,0,0,0,0,0,0,2500,0,0,2500,0,0,106316
0200200,67,501,0,0,0,0,0,0,0,0,0,4489,0,4489,4489,0,0,83385
0200102,228,501,0,0,0,0,0,0,0,0,0,51984,0,0,51984,51984,0,262037
0200300,118,501,0,0,0,0,0,0,0,0,0,13924,0,0,13924,13924,0,120387
0200200,127,127,0,1,1,1,0,0,0,0,0,16129,0,0,16129,16129,0,24077
0200200,79,501,0,0,0,0,0,0,0,0,0,6241,0,6241,0,6241,0,325305
0200102,437,36,0,0,1,0,0,190969,0,0,0,0,0,0,0,0,190969,13133
0200400,65,409,0,0,0,0,0,4225,0,0,0,0,0,0,0,0,4225,122159
0200200,328,91,0,0,0,0,0,0,0,0,0,107584,0,0,107584,0,0,12508
0200400,23,356,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,139878
0200200,63,501,0,0,0,0,0,0,0,0,0,3969,0,0,0,0,0,159891
0200200,131,283,0,0,0,0,17161,0,0,0,0,17161,0,0,0,0,0,113195
0200101,196,501,0,0,1,0,38416,0,0,0,0,38416,0,0,0,0,0,490928
0200400,141,501,0,0,1,0,19881,0,0,0,0,19881,0,0,0,0,0,309149
0200200,167,356,0,0,1,0,0,0,0,0,0,27889,0,0,27889,0,0,64311
0200200,220,165,0,0,1,0,0,0,0,0,0,48400,48400,0,0,0,0,32729
0200400,75,164,0,0,1,0,5625,0,0,0,0,5625,0,5625,0,5625,0,47008
0200400,23,501,0,0,0,0,529,0,0,0,0,529,529,0,529,0,0,201989
0200200,77,124,1,0,0,0,0,0,0,0,0,5929,0,0,5929,0,0,18136
0200102,295,501,0,0,0,0,0,0,0,0,0,87025,0,0,87025,0,0,102563
0200101,162,267,0,0,0,0,0,0,0,0,0,26244,0,0,0,0,0,62539
0200400,26,12,0,0,0,0,676,0,0,0,0,0,0,676,676,676,0,1876
0200400,16,0,0,0,0,0,0,0,0,0,0,256,256,256,0,256,0,-2814
0200400,26,127,0,0,1,1,676,0,0,0,0,0,0,676,676,676,676,85063
0200102,107,501,0,0,0,0,0,0,0,0,0,11449,0,11449,11449,11449,0,161767
0200400,25,501,1,0,0,0,625,0,0,0,0,0,0,0,0,625,0,172190
0200200,164,501,0,0,0,0,26896,0,0,0,0,26896,0,26896,26896,26896,0,116322
0200300,104,392,0,0,0,0,0,0,0,0,0,10816,0,10816,10816,0,0,67750
0200200,35,241,0,0,0,0,1225,0,0,0,0,0,0,0,1225,1225,0,34709
