SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000105,223,0,0,0,0,0200200,97,0,0,0,0,0,97,0,0,0,0,0,34396
2022HU0001361,501,0,0,0,0,0200400,21,0,0,0,0,0,21,0,21,21,0,0,83489
2022HU0001478,109,1,0,1,0,0200400,21,21,0,0,0,0,21,0,0,0,21,0,16156
2022HU0001609,277,0,0,1,0,0200400,20,20,0,0,0,0,20,0,0,0,0,0,83281
2022HU0001636,332,0,0,0,0,0200300,261,0,261,0,0,0,0,0,261,261,261,0,58161
2022HU0003159,230,0,0,0,0,0200200,168,0,0,0,0,0,168,0,168,168,0,0,39816
2022HU0003544,220,0,0,0,0,0200101,165,0,165,0,0,0,0,0,0,0,0,0,34396
2022HU0004315,73,0,0,1,1,0200102,129,129,0,0,0,0,129,0,129,0,0,0,31582
2022HU0004702,501,0,0,0,0,0200300,20,0,0,0,0,0,20,0,0,20,0,0,314882
2022HU0006463,501,0,0,0,0,0200102,243,0,0,0,0,0,243,0,0,0,0,0,595160
2022HU0007589,36,0,0,0,1,0200400,30,30,0,0,0,0,0,0,0,0,0,0,5316
2022HU0008450,428,0,0,0,0,0200400,17,17,0,0,0,0,17,0,17,17,17,0,73066
2022HU0011630,202,1,0,1,1,0200200,28,0,0,0,0,0,28,0,0,0,0,0,75880
2022HU0011734,501,0,0,0,0,0200300,222,0,0,0,0,0,222,0,222,0,222,0,203355
2022HU0011936,42,0,0,1,0,0200400,188,188,0,0,0,0,0,0,0,0,188,0,13863
2022HU0012792,421,0,1,1,0,0200400,28,28,0,0,0,0,0,0,0,28,0,0,95684
2022HU0012928,495,0,0,0,0,0200200,103,103,0,0,0,0,103,0,0,0,0,0,78225
2022HU0013442,244,0,0,0,1,0200400,237,237,0,0,0,0,0,0,0,0,0,237,46122
2022HU0014322,501,0,0,0,0,0200101,51,0,0,0,0,0,51,0,0,0,0,0,208462
2022HU0014735,10,0,0,1,1,0200400,28,28,0,0,0,0,0,0,0,28,0,0,1511
2022HU0014741,25,0,0,1,1,0200400,18,18,0,0,0,0,18,0,0,0,18,0,88596
2022HU0015437,486,0,0,0,0,0200300,101,101,0,0,0,0,101,0,0,101,0,0,112361
2022HU0017025,501,1,1,1,0,0200200,47,0,0,0,0,0,47,0,0,47,47,0,108609
2022HU0017712,173,0,0,0,0,0200200,43,0,0,0,0,0,43,0,0,0,43,0,41692
2022HU0017894,501,0,0,0,0,0200200,79,0,0,0,0,0,79,0,0,79,0,0,114133
2022HU0017920,110,0,0,1,0,0200400,21,21,0,0,0,0,0,0,0,21,0,0,15510
2022HU0020028,501,0,0,0,0,0200102,159,0,159,159,0,0,159,0,0,0,0,0,289950
2022HU0020904,401,0,0,0,0,0200200,83,0,0,0,0,0,83,0,0,0,0,0,140712
2022HU0021287,0,0,0,1,0,0200400,139,0,0,0,0,0,139,0,0,0,0,0,0
2022HU0021461,433,0,0,0,0,0200200,194,194,0,0,0,0,194,0,0,0,0,0,128204
2022HU0022272,501,0,0,0,0,0200400,39,39,0,0,0,0,39,0,0,39,0,0,157389
2022HU0023207,493,0,0,1,0,0200200,73,0,0,0,0,0,73,0,0,0,0,0,93203
2022HU0023815,501,0,0,0,0,0200200,50,0,0,0,0,0,50,0,0,50,0,0,106316
2022HU0025338,501,0,0,0,0,0200200,67,0,0,0,0,0,67,0,67,67,0,0,83385
2022HU0026606,501,0,0,0,0,0200102,228,0,0,0,0,0,228,0,0,228,228,0,262037
2022HU0028041,501,0,0,0,0,0200300,118,0,0,0,0,0,118,0,0,118,118,0,120387
2022HU0028571,127,0,1,1,1,0200200,127,0,0,0,0,0,127,0,0,127,127,0,24077
2022HU0029067,501,0,0,0,0,0200200,79,0,0,0,0,0,79,0,79,0,79,0,325305
2022HU0030793,36,0,0,1,0,0200102,437,0,437,0,0,0,0,0,0,0,0,437,13133
2022HU0030835,409,0,0,0,0,0200400,65,0,65,0,0,0,0,0,0,0,0,65,122159
2022HU0030942,91,0,0,0,0,0200200,328,0,0,0,0,0,328,0,0,328,0,0,12508
2022HU0031392,356,0,0,0,0,0200400,23,23,0,0,0,0,0,0,0,0,0,0,139878
2022HU0031609,501,0,0,0,0,0200200,63,0,0,0,0,0,63,0,0,0,0,0,159891
2022HU0031625,283,0,0,0,0,0200200,131,131,0,0,0,0,131,0,0,0,0,0,113195
2022HU0031693,501,0,0,1,0,0200101,196,196,0,0,0,0,196,0,0,0,0,0,490928
2022HU0031954,501,0,0,1,0,0200400,141,141,0,0,0,0,141,0,0,0,0,0,309149
2022HU0032002,356,0,0,1,0,0200200,167,0,0,0,0,0,167,0,0,167,0,0,64311
2022HU0032130,165,0,0,1,0,0200200,220,0,0,0,0,0,220,220,0,0,0,0,32729
2022HU0032270,164,0,0,1,0,0200400,75,75,0,0,0,0,75,0,75,0,75,0,47008
2022HU0032785,501,0,0,0,0,0200400,23,23,0,0,0,0,23,23,0,23,0,0,201989
2022HU0033896,124,1,0,0,0,0200200,77,0,0,0,0,0,77,0,0,77,0,0,18136
2022HU0035265,501,0,0,0,0,0200102,295,0,0,0,0,0,295,0,0,295,0,0,102563
2022HU0035694,267,0,0,0,0,0200101,162,0,0,0,0,0,162,0,0,0,0,0,62539
2022HU0036081,12,0,0,0,0,0200400,26,26,0,0,0,0,0,0,26,26,26,0,1876
2022HU0036249,0,0,0,0,0,0200400,16,0,0,0,0,0,16,16,16,0,16,0,-2814
2022HU0036883,127,0,0,1,1,0200400,26,26,0,0,0,0,0,0,26,26,26,26,85063
2022HU0037048,501,0,0,0,0,0200102,107,0,0,0,0,0,107,0,107,107,107,0,161767
2022HU0037287,501,1,0,0,0,0200400,25,25,0,0,0,0,0,0,0,0,25,0,172190
2022HU0037467,501,0,0,0,0,0200200,164,164,0,0,0,0,164,0,164,164,164,0,116322
2022HU0038429,392,0,0,0,0,0200300,104,0,0,0,0,0,104,0,104,104,0,0,67750
2022HU0038494,241,0,0,0,0,0200200,35,35,0,0,0,0,0,0,0,35,35,0,34709
2022HU0038498,414,0,0,1,1,0200200,111,111,0,111,0,0,111,0,0,0,0,0,161662
2022HU0039191,501,0,0,0,0,0200300,21,21,0,0,0,0,21,0,0,0,0,0,213361
2022HU0039445,501,0,0,1,0,0200200,88,0,0,0,0,0,88,0,0,0,0,0,126224
2022HU0040299,501,0,0,0,0,0200300,115,0,0,0,0,0,115,0,0,115,0,0,107087
2022HU0041146,71,0,0,1,1,0200400,22,22,0,0,0,0,0,0,0,22,0,0,37690
2022HU0043119,501,0,0,0,0,0200200,184,0,184,0,0,0,184,0,0,184,0,184,227745
2022HU0043650,410,0,0,0,0,0200300,60,60,0,0,60,0,60,0,0,0,0,0,189701
2022HU0043920,140,0,0,1,1,0200300,10,0,0,0,0,0,10,0,0,0,0,0,47217
2022HU0043971,198,0,0,1,0,0200200,182,0,0,0,0,0,182,0,0,0,0,0,58682
2022HU0044175,254,0,0,0,0,0200400,27,27,0,0,0,0,0,0,0,27,27,0,56181
