puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
0102101,461,501,0,0,0,0,0,0,0,0,0,212521,0,0,0,0,0,125077
0101000,88,96,0,1,1,0,0,0,0,0,0,7744,0,0,0,7744,0,15301
0102802,105,352,0,0,0,0,0,0,0,0,0,11025,0,0,0,0,0,68793
0100100,65,237,0,0,0,0,0,0,0,0,0,4225,0,4225,4225,0,0,41797
0101100,76,83,0,0,1,0,0,0,5776,0,0,0,0,0,5776,5776,0,12091
0101401,14,278,0,0,0,0,0,0,0,0,0,196,0,196,196,196,0,40442
0102101,231,501,0,1,1,0,53361,0,0,0,0,53361,0,0,53361,53361,0,223471
0101403,54,127,0,0,0,0,0,0,2916,0,0,0,0,2916,2916,0,0,18866
0101502,513,216,0,0,0,0,0,0,0,0,0,263169,0,0,263169,263169,0,41692
0102801,75,180,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,52532
0102500,12,170,0,0,0,0,0,0,0,0,0,144,0,0,144,0,0,23973
0100403,65,463,0,0,0,0,0,0,0,0,0,4225,0,0,4225,4225,0,84427
0101000,322,270,0,0,0,0,0,0,0,0,0,103684,0,0,103684,103684,0,55034
0100402,75,201,0,0,0,0,0,0,0,0,0,5625,0,0,0,5625,0,60454
0102000,156,351,0,1,1,0,0,0,24336,0,0,0,0,0,24336,24336,24336,61079
0101202,161,408,0,0,1,0,0,0,0,0,0,25921,25921,0,25921,25921,0,77131
0100600,17,186,0,0,0,0,0,0,0,0,0,289,0,0,289,289,0,25849
0102400,93,501,0,0,0,0,0,0,0,0,0,8649,0,0,0,0,0,195954
0100900,67,208,0,1,1,0,0,0,0,0,0,4489,0,4489,4489,4489,0,148217
0101401,35,9,0,0,0,1,0,0,1225,0,0,0,0,1225,0,0,0,2293
0102101,56,312,0,0,0,0,0,0,0,0,0,3136,0,3136,3136,3136,0,58995
0100100,197,443,0,0,0,0,0,0,0,0,0,38809,0,0,0,0,0,67750
0101402,98,501,0,0,0,0,0,0,0,0,0,9604,0,0,0,0,0,198039
0100900,104,50,0,0,0,0,0,0,0,0,0,10816,0,10816,10816,10816,0,6983
0102000,189,296,0,0,0,0,0,0,0,0,0,35721,0,0,0,0,0,84844
0100300,248,216,0,0,0,0,0,0,0,0,0,61504,0,0,0,0,0,64623
0101401,66,85,0,0,0,0,0,0,0,0,0,4356,0,0,4356,4356,0,11882
0102702,148,357,0,0,0,0,0,0,0,0,0,21904,0,21904,21904,0,0,65270
0100700,90,423,0,0,0,0,8100,0,0,0,0,8100,0,0,0,0,0,126328
0101700,91,157,0,0,0,0,0,0,0,0,0,8281,0,0,8281,8281,0,22931
0101501,117,501,0,0,0,0,0,0,0,0,0,13689,0,0,0,0,0,111110
0100402,64,101,0,0,0,0,0,0,0,0,0,4096,0,0,0,4096,0,15635
0102400,11,383,0,0,0,0,0,0,0,0,0,121,0,0,121,0,0,69522
0101401,138,501,0,0,0,0,0,0,19044,0,0,0,0,0,0,0,0,156347
0102000,156,102,0,0,1,0,0,0,24336,0,0,0,0,0,24336,24336,0,18762
0100900,28,421,0,0,0,0,0,0,0,0,0,784,0,784,784,784,0,79591
0100200,74,501,0,0,1,0,0,0,0,0,0,5476,0,5476,5476,0,0,140712
0102600,107,501,0,0,0,0,0,0,0,0,0,11449,0,0,11449,0,0,208462
