puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
0500500,296,126,0,0,1,1,0,0,0,0,0,87616,0,0,0,0,0,26058
0501700,73,445,0,0,1,0,0,0,0,0,5329,5329,0,0,0,0,0,102355
0501100,75,392,0,0,0,0,0,0,0,0,0,5625,0,0,5625,5625,0,67333
0501000,54,144,0,0,1,0,0,0,0,0,0,2916,0,2916,2916,2916,0,22722
0500900,105,501,0,0,0,0,0,0,0,0,0,11025,0,0,11025,0,0,296954
0500201,358,501,0,0,0,0,0,0,0,0,0,128164,128164,0,0,0,128164,156347
0500800,88,156,0,0,0,0,0,0,7744,0,0,0,0,0,0,0,0,37523
0501200,70,501,0,0,0,0,0,4900,4900,0,0,4900,0,0,0,0,0,102146
0501700,29,92,0,0,0,0,0,0,0,0,0,841,0,841,841,841,0,12508
0501502,232,501,0,0,1,0,0,0,53824,0,0,0,0,0,0,0,0,180320
0501400,108,3,0,0,1,1,0,0,0,0,0,11664,0,0,0,11664,0,771
0500600,24,501,0,0,0,0,0,0,0,0,0,576,0,576,0,0,0,188658
0501000,82,501,0,0,0,0,0,0,0,0,0,6724,0,6724,6724,6724,0,118302
0500201,266,132,0,0,1,0,0,0,70756,0,0,70756,0,0,70756,0,0,61496
0500900,139,163,0,0,0,0,0,0,0,0,0,19321,0,0,19321,0,0,23452
0500400,55,70,0,0,1,1,3025,0,0,0,0,3025,0,0,0,3025,0,21159
0500700,115,171,1,0,1,0,0,0,0,0,0,13225,0,0,0,13225,0,69835
0500800,52,0,0,0,1,1,0,0,0,0,0,2704,0,0,0,2704,0,0
0501100,55,174,0,0,0,0,0,0,0,0,0,3025,0,0,3025,3025,0,26475
0501600,43,350,0,0,1,0,0,0,1849,0,0,0,0,0,1849,1849,0,102563
0500900,103,478,0,0,0,0,0,0,0,0,0,10609,0,0,0,0,0,109443
0501100,247,0,0,0,1,0,0,0,0,0,0,0,61009,0,0,61009,0,0
0501400,173,230,0,0,0,0,0,0,0,0,0,29929,0,0,29929,0,0,34917
0501501,79,191,0,0,1,0,0,0,0,0,0,6241,0,0,6241,0,0,27830
0500300,96,69,0,0,0,0,0,0,0,0,0,9216,0,0,0,0,0,13435
0501100,59,356,0,0,1,0,3481,0,0,0,0,3481,0,0,3481,3481,0,84010
0501600,68,308,0,0,0,0,0,0,0,0,0,4624,0,0,4624,4624,0,43777
0500400,20,370,0,0,0,0,0,0,0,0,0,400,0,400,400,0,0,73483
0501100,24,306,0,0,1,0,0,0,0,0,0,576,0,0,0,0,0,93704
0500102,114,334,0,0,0,0,0,0,0,0,0,12996,12996,0,0,0,0,66708
0500900,104,501,0,1,1,0,0,0,0,0,0,10816,0,10816,10816,10816,0,215550
0500500,51,150,0,0,1,0,0,2601,0,0,0,2601,0,0,0,2601,0,45862
0500101,40,501,0,0,0,0,0,0,0,0,0,1600,0,0,1600,0,0,442461
0500101,41,501,0,0,0,0,0,0,0,0,0,1681,1681,0,0,0,0,203251
0501502,161,145,0,0,0,0,0,0,0,0,0,25921,0,0,25921,25921,0,20846
0500400,74,107,0,0,0,0,0,0,0,0,0,5476,0,0,5476,5476,0,14592
0501000,67,118,0,0,1,0,0,0,0,0,0,4489,0,0,4489,0,0,17094
0500201,236,352,0,0,0,0,0,0,0,0,0,55696,0,0,0,0,0,83385
0500101,50,501,0,0,0,0,0,0,0,0,0,2500,0,0,0,2500,0,119866
0501300,62,36,0,0,1,0,0,0,0,0,0,3844,0,0,3844,3844,0,5212
0501600,345,133,0,0,1,0,0,0,0,0,0,119025,0,0,0,0,0,25641
0500800,8,413,0,0,1,0,0,0,0,0,0,64,0,0,0,0,0,63581
0500900,40,258,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,74004
0500900,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,0,0,0,168854
0501000,174,501,0,0,0,0,0,0,0,0,0,30276,0,0,0,0,0,134458
0500500,57,199,0,0,1,0,0,0,0,0,0,3249,0,0,0,0,0,39608
0500400,11,387,0,0,0,0,0,0,0,0,0,121,0,0,121,121,0,71086
0500102,88,243,0,0,0,0,0,0,0,0,0,7744,0,0,0,0,0,36481
0501502,236,0,0,0,0,0,0,0,0,0,0,55696,0,0,0,0,0,0
0500900,58,189,0,1,1,0,0,0,3364,0,0,0,0,0,3364,3364,0,32520
0501100,12,91,0,0,1,1,0,0,0,0,0,144,0,0,144,144,0,12404
0501700,54,470,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,143839
0501501,177,501,0,0,0,0,0,0,0,0,0,31329,0,31329,0,0,0,151135
0500102,173,501,0,0,0,0,0,0,0,0,0,29929,0,0,0,0,0,158431
0501000,119,501,0,0,0,0,0,0,0,0,0,14161,0,0,0,0,0,194183
0500900,41,243,0,0,1,0,1681,0,0,0,0,1681,0,0,0,1681,0,89639
0500500,56,304,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,46904
0501600,45,74,0,0,1,0,0,0,2025,0,0,0,0,2025,2025,2025,0,23035
0501100,37,449,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,99020
0500500,321,318,0,0,0,0,0,0,0,0,0,103041,0,103041,0,0,0,125077
0500300,115,122,0,0,1,0,0,0,0,0,0,13225,0,0,13225,0,0,17719
0501600,50,501,0,0,1,0,0,0,2500,0,0,0,0,2500,0,2500,0,165936
0501700,73,126,0,0,0,0,0,0,0,0,0,5329,0,5329,5329,5329,0,18345
0500101,45,451,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,129247
0501300,90,471,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,142901
0500500,50,207,0,0,0,0,0,0,0,0,0,2500,0,0,2500,2500,0,41067
0501502,97,230,0,0,0,0,0,0,0,0,0,9409,0,0,0,0,0,82864
0501700,34,58,0,0,1,0,0,0,1156,0,0,0,0,0,0,0,0,17719
0500102,112,501,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,0,83385
0501501,89,162,0,0,0,0,0,0,0,0,0,7921,0,0,0,7921,0,25537
0500900,54,214,0,0,1,1,0,0,2916,0,0,0,0,0,0,0,0,41692
0500600,46,169,0,0,0,0,0,0,2116,0,0,0,0,0,0,2116,0,25015
