puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
0801101,150,436,1,0,0,0,0,0,0,0,0,22500,22500,0,22500,0,0,87137
0801701,140,501,0,0,0,0,0,0,0,0,0,19600,19600,0,0,19600,0,599329
0802002,95,501,0,0,0,1,0,0,0,0,0,9025,0,0,9025,0,0,139670
0801601,44,115,0,0,1,0,0,0,0,0,0,1936,0,0,1936,0,0,35960
0801601,168,91,0,0,1,1,0,0,0,0,0,28224,28224,0,0,28224,28224,20846
0800501,35,501,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,187095
0802002,113,501,0,0,0,0,0,0,0,0,0,12769,0,0,0,0,0,119866
0802101,84,265,0,0,0,0,0,0,0,0,0,7056,0,7056,7056,0,0,35960
0801501,73,501,0,0,0,0,0,0,0,0,0,5329,0,0,0,0,0,93808
0801501,72,425,0,0,0,0,0,5184,0,0,0,5184,0,0,0,5184,0,125077
0800303,79,352,0,0,0,0,0,0,0,0,0,6241,0,0,6241,6241,0,67542
0801800,24,213,0,0,1,0,0,0,0,0,0,0,576,0,0,0,576,52116
0801705,56,501,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,269698
0800501,92,378,0,0,0,0,0,0,0,0,0,8464,0,0,8464,0,0,68063
0800200,48,497,0,0,0,0,0,0,0,0,0,2304,0,2304,2304,0,2304,89639
0800702,53,361,0,0,1,0,0,0,0,0,0,2809,0,0,2809,0,0,49197
0802004,41,198,0,0,0,0,0,0,0,0,0,1681,0,0,1681,1681,0,40233
0800901,103,125,0,0,1,0,0,0,0,0,0,10609,0,0,0,0,0,60454
0802003,48,121,0,0,1,1,0,0,0,0,0,2304,2304,0,0,0,2304,36481
0802401,35,266,0,0,1,0,0,0,0,0,0,1225,0,0,0,0,0,51282
0801202,61,383,0,0,0,0,0,0,0,0,0,3721,3721,0,3721,3721,0,69522
