cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
0901,0,0,0,0,0,0,0,0,0,0,0,0,0,15407,0,0,1772,109
0901,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,6
0901,0,0,0,0,0,0,0,0,0,0,150,0,0,150,0,0,104,8
0901,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,9
0901,0,0,0,0,0,0,0,0,0,0,545,0,0,545,0,0,0,17
0901,0,0,0,0,0,0,0,0,0,0,765,0,0,765,0,0,0,14
0901,0,0,0,0,0,0,0,0,0,0,908,0,0,908,0,0,0,18
0901,0,0,0,0,0,0,0,0,0,0,944,0,0,944,944,0,0,19
0901,0,0,0,0,0,0,0,0,0,0,988,988,988,0,988,0,10944,25
0901,0,0,0,0,0,0,0,0,0,0,1094,0,0,1094,1094,0,0,20
0901,0,0,0,0,0,0,0,0,0,0,1098,0,0,0,0,0,0,20
0901,0,0,0,0,0,0,0,0,0,0,1180,0,0,1180,0,0,0,21
0901,0,0,0,0,0,0,0,0,0,0,1251,0,0,1251,0,0,-3127,25
0901,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,-3961,23
0901,0,0,0,0,0,0,0,0,0,0,1264,0,1264,1264,0,0,0,23
0901,0,0,0,0,0,0,0,0,0,0,1742,1742,0,0,0,0,115957,30
0901,0,0,0,0,0,0,0,0,0,0,1756,0,0,1756,1756,0,0,34
0901,0,0,0,0,0,0,0,0,0,0,1760,0,0,1760,0,0,78173,37
0901,0,0,0,0,0,0,0,0,0,0,1786,0,1786,1786,0,0,0,22
0901,0,0,0,0,0,0,0,0,0,0,1830,0,0,0,0,1830,-3127,26
0901,0,0,0,0,0,0,0,0,0,0,3193,0,0,3193,3193,0,4,36
0901,0,0,0,0,0,0,0,0,0,0,4053,0,0,0,0,0,-3127,45
0901,0,0,0,0,0,0,0,0,0,0,8438,0,0,8438,0,0,0,74
0901,0,0,0,0,0,0,0,0,0,0,8852,0,0,0,0,0,42,67
0901,0,0,0,0,0,0,0,0,0,0,10240,0,0,0,0,0,0,91
0901,0,0,0,0,0,0,0,0,0,0,10617,0,0,0,10617,0,0,62
0901,0,0,0,0,0,0,0,0,0,0,16927,0,0,16927,0,0,0,118
0901,0,0,0,0,0,0,0,0,0,0,23219,0,0,0,0,23219,42,97
0901,0,0,0,0,0,0,0,0,0,0,56686,56686,0,0,0,56686,0,151
0901,0,0,0,0,0,0,0,841,0,0,0,0,0,841,0,0,0,23
0901,0,0,0,0,0,0,0,9984,0,0,0,0,0,9984,9984,0,0,81
0901,0,0,0,0,0,0,0,11107,0,0,0,0,0,0,11107,0,12195,55
0901,0,0,0,0,0,0,4413,0,0,0,0,0,0,0,0,4413,0,58
0901,0,0,0,0,0,0,8014,0,0,0,0,0,0,0,0,0,0,57
0901,0,0,0,0,0,0,17875,0,0,0,17875,0,0,0,0,0,0,95
0901,0,0,0,0,0,0,26832,0,0,0,0,0,0,0,0,26832,0,104
0901,0,0,0,0,0,0,86264,0,0,0,0,86264,0,0,0,0,0,257
0901,0,0,0,0,1,0,0,0,0,0,1105,0,1105,1105,0,0,0,24
0901,0,0,0,0,1,0,0,0,0,0,2246,0,0,0,0,0,0,34
0901,0,0,0,0,1,0,0,0,0,0,2267,0,0,0,2267,2267,0,30
0901,0,0,0,0,1,0,0,23716,0,0,23716,23716,0,23716,0,23716,0,154
0901,0,0,0,0,1,0,0,46656,0,0,46656,46656,0,0,0,46656,0,216
0901,0,0,0,0,1,0,106929,0,0,0,0,0,0,106929,0,106929,0,327
0901,0,0,0,1,0,0,0,0,0,0,480,0,0,480,0,0,0,11
0901,0,0,0,1,0,0,0,0,0,0,938,0,0,938,0,0,15635,19
0901,0,0,0,1,0,0,0,0,0,0,1046,0,0,0,0,0,0,17
0901,0,0,0,1,0,0,0,0,0,0,1403,0,0,1403,0,0,-3127,24
0901,0,0,0,1,0,0,0,0,0,0,1487,0,0,1487,0,0,63737,23
0901,0,0,0,1,0,0,0,0,0,0,1683,0,0,1683,0,0,0,29
0901,0,0,0,1,0,0,0,0,0,0,2090,0,0,2090,0,0,0,29
0901,0,0,0,1,0,0,0,0,0,0,3073,0,0,3073,0,0,0,33
0901,0,0,0,1,0,0,0,0,0,0,3961,0,0,0,3961,0,0,55
0901,0,0,0,1,0,0,0,0,0,0,8888,0,0,8888,8888,0,73691,76
0901,0,0,0,1,0,0,0,0,0,0,9621,0,0,0,0,0,0,51
0901,0,0,0,1,0,0,0,0,0,0,25545,0,0,0,0,0,47946,98
0901,0,0,0,1,0,0,0,1824,0,0,1824,1824,0,0,0,0,60454,34
0901,0,0,0,1,0,0,0,12544,0,0,0,0,0,0,0,0,0,112
0901,0,0,0,1,0,0,10376,0,0,0,0,0,0,0,0,0,26058,72
0901,0,0,0,1,1,0,0,0,0,0,0,0,5949,0,5949,0,0,46
0901,0,0,0,1,1,0,0,0,0,0,0,6084,0,0,0,0,0,78
0901,0,0,0,1,1,0,0,0,0,0,0,9948,0,0,0,0,0,71
0901,0,0,0,1,1,0,0,0,0,0,0,10816,0,10816,0,10816,0,104
0901,0,0,0,1,1,0,0,0,0,0,0,12544,0,0,0,0,0,112
0901,0,0,0,1,1,0,0,0,0,0,0,86436,0,0,86436,0,0,294
0901,0,0,0,1,1,0,0,0,0,0,0,250001,0,0,0,250001,0,437
0901,0,0,0,1,1,0,0,0,0,0,216,0,0,216,216,0,0,18
0901,0,0,0,1,1,0,0,0,0,0,296,296,0,296,0,0,52116,9
0901,0,0,0,1,1,0,0,0,0,0,1440,0,0,0,0,0,0,34
0901,0,0,0,1,1,0,0,0,0,0,1729,0,0,0,1729,0,0,25
0901,0,0,0,1,1,0,0,0,0,0,1756,1756,0,0,0,1756,0,27
0901,0,0,0,1,1,0,0,0,0,0,1919,0,0,1919,1919,0,0,28
0901,0,0,0,1,1,0,0,0,0,0,5133,0,0,0,0,0,0,44
0901,0,0,0,1,1,0,0,0,0,0,7591,0,0,0,7591,0,0,45
0901,0,0,0,1,1,0,0,0,8389,0,8389,0,0,0,0,0,20846,55
0901,0,0,0,1,1,0,0,4356,0,0,0,0,0,4356,0,0,0,66
0901,0,0,0,1,1,0,0,4636,0,0,4636,4636,0,0,0,0,5212,41
0901,0,0,0,1,1,0,7213,0,0,0,0,7213,0,0,0,0,12508,77
0901,0,0,0,1,1,0,54945,0,0,0,54945,0,0,0,54945,0,0,141
0901,0,0,0,1,1,5582,0,0,0,0,5582,0,0,5582,5582,0,13550,46
0901,1,0,0,0,0,0,0,0,0,0,2912,0,0,0,0,0,250,34
0901,1,0,0,1,1,0,0,7456,0,0,0,0,0,0,0,0,313,55
0901,2,0,0,0,0,0,0,0,0,0,5517,5517,0,0,0,0,59526,53
0901,2,0,0,0,1,0,2032,0,0,0,2032,0,0,0,0,0,521,29
0901,2,0,0,1,1,0,0,5329,0,0,0,0,0,0,0,0,563,73
0901,2,1,0,1,1,0,0,0,0,0,13456,13456,0,0,13456,0,479,116
0901,3,0,0,1,0,0,0,0,0,0,1150,0,0,1150,0,0,782,18
0901,3,0,0,1,0,0,0,1703,0,0,1703,0,0,0,1703,0,625,26
0901,3,1,0,1,1,0,0,0,0,0,4112,4112,0,0,0,0,834,41
0901,4,0,0,0,0,0,0,0,0,0,2110,0,0,0,0,0,678,37
0901,4,0,0,1,1,0,0,0,0,0,0,1919,0,0,1919,1919,84636,28
0901,5,0,0,1,0,0,0,0,0,0,2207,0,0,0,0,0,7296,30
0901,5,0,0,1,1,0,0,30564,0,0,0,0,0,0,0,0,1251,153
0901,6,0,1,1,0,0,18119,0,0,0,0,0,0,18119,18119,18119,6879,70
0901,7,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,63581,12
0901,7,0,0,1,0,0,0,0,0,0,853,0,0,853,0,0,1147,19
0901,7,0,0,1,0,0,0,0,0,0,3750,0,3750,0,3750,0,60871,49
0901,7,0,0,1,0,0,0,0,0,0,10063,10063,0,10063,0,10063,1355,64
0901,7,0,0,1,1,0,0,1919,0,0,0,0,0,0,1919,0,1042,28
0901,7,0,0,1,1,0,0,6896,0,0,0,0,0,0,0,0,1042,73
0901,7,0,0,1,1,0,0,36471,0,0,0,0,0,0,0,0,1147,154
0901,7,0,1,0,0,0,6390,0,0,0,6390,0,0,0,0,0,9381,57
0901,8,1,0,1,0,0,0,0,0,0,0,22801,0,0,0,0,1251,151
0901,9,0,0,0,0,0,0,0,0,0,1434,0,0,1434,0,0,1251,31
0901,9,0,0,1,0,0,0,0,0,0,135,0,0,0,0,0,1563,7
0901,9,0,0,1,1,0,0,0,0,0,408,0,0,408,0,0,1355,12
0901,10,0,0,0,0,0,0,0,0,0,1488,0,0,1488,0,0,1459,24
0901,10,0,0,0,0,0,0,0,0,0,1921,0,0,0,0,0,38044,23
0901,10,0,0,0,0,0,6503,0,0,0,0,0,0,0,0,0,2189,57
0901,10,0,0,1,0,0,0,0,0,0,1623,0,0,1623,0,0,1459,32
0901,10,0,0,1,1,0,0,0,0,0,6709,0,0,0,0,0,2085,43
0901,11,0,0,0,0,0,0,0,0,0,74,0,0,74,0,0,1668,5
0901,11,0,0,0,0,0,0,0,0,0,6624,0,6624,6624,6624,0,1563,66
0901,11,0,0,0,0,0,0,0,0,0,11867,0,0,0,0,0,6358,77
0901,11,0,0,0,1,0,0,0,0,0,5616,0,0,5616,0,0,1668,60
0901,11,0,0,0,1,0,0,2036,0,0,0,0,0,2036,0,0,1563,36
0901,11,0,0,1,0,0,0,26274,0,0,26274,0,0,26274,26274,0,49406,98
0901,11,0,0,1,1,0,0,0,0,0,1756,0,0,1756,1756,0,1668,27
0901,11,0,0,1,1,0,0,44944,0,0,0,0,0,44944,44944,0,1563,212
0901,11,1,0,1,1,0,0,96721,0,0,0,0,0,0,0,0,1772,311
0901,12,0,0,1,0,0,0,0,0,0,1053,0,0,1053,1053,0,1980,20
0901,12,0,0,1,0,0,0,0,0,0,3384,0,0,3384,0,0,1876,36
0901,12,0,0,1,1,0,0,0,0,0,816,0,0,816,816,0,1668,18
0901,12,0,0,1,1,0,0,0,0,0,2876,0,0,2876,2876,0,1772,32
0901,12,0,0,1,1,0,0,0,0,0,8836,0,8836,8836,8836,0,1876,94
0901,12,0,0,1,1,0,0,5264,0,0,0,0,0,0,5264,0,4482,63
0901,12,0,1,1,0,0,0,0,0,0,137367,0,0,0,137367,0,1876,324
0901,12,1,0,1,1,0,0,2401,0,0,0,0,0,0,2401,0,1907,49
0901,13,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,1876,4
0901,13,0,0,0,0,0,0,6752,0,0,0,0,0,6752,0,0,2085,72
0901,13,0,0,1,1,0,0,0,0,0,0,2441,0,0,2441,2441,11361,30
0901,13,0,0,1,1,0,0,0,0,0,1132,0,0,1132,1132,0,11153,21
0901,14,0,0,0,0,0,0,0,0,0,315,0,0,315,315,0,2085,11
0901,14,0,0,0,0,0,0,0,0,0,2577,0,0,2577,0,0,2085,41
0901,14,0,0,0,0,113,0,0,0,0,113,0,0,0,0,113,101104,8
0901,14,0,0,1,0,0,0,0,0,0,2583,0,0,2583,0,0,1980,31
0901,14,0,0,1,1,0,0,4761,0,0,0,0,0,0,4761,0,4169,69
0901,14,1,0,1,1,0,0,0,0,0,680,0,0,0,0,0,3544,14
0901,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6254,20
0901,15,0,0,1,0,0,0,15407,0,0,0,0,0,15407,15407,0,2085,109
0901,15,0,0,1,1,0,0,19321,0,0,0,19321,0,0,0,19321,3752,139
0901,15,0,0,1,1,0,40070,0,0,0,0,0,0,40070,0,0,2126,175
0901,16,0,0,1,0,0,0,0,0,0,29584,0,0,29584,29584,0,2502,172
0901,16,0,0,1,0,0,0,5984,0,0,5984,5984,0,0,0,0,13842,62
0901,16,0,0,1,1,0,0,0,0,0,5489,0,0,5489,0,0,2304,67
0901,17,0,0,0,0,0,0,0,0,0,17424,0,0,17424,0,0,2502,132
0901,17,1,0,1,1,0,0,0,0,0,0,20736,0,20736,0,0,2814,144
0901,17,1,0,1,1,0,0,0,0,0,0,49284,0,0,49284,49284,2710,222
0901,17,1,0,1,1,0,0,0,0,0,975,0,0,0,975,0,2710,19
0901,18,0,0,0,1,0,0,0,0,0,1180,0,0,0,1180,0,2814,21
0901,18,1,0,1,1,0,0,0,0,0,0,71289,0,0,71289,71289,2918,267
0901,18,1,0,1,1,0,0,0,0,0,0,198025,0,0,0,0,2918,445
0901,19,0,0,0,0,0,0,0,0,0,736,0,0,736,0,0,2814,14
0901,19,0,0,0,0,0,0,0,0,0,3294,0,0,3294,0,0,3857,30
0901,19,0,0,1,0,0,0,0,0,0,198,0,0,198,0,0,2710,7
0901,19,0,0,1,1,0,0,0,0,0,2583,0,0,0,2583,0,3127,31
0901,20,0,0,0,0,0,0,0,0,0,21056,0,0,0,0,0,3127,127
0901,20,0,0,1,0,0,0,0,0,0,2228,0,0,2228,0,0,2710,41
0901,20,0,0,1,1,0,0,0,0,0,56169,56169,0,56169,56169,56169,2918,237
0901,20,0,0,1,1,0,6240,0,0,0,6240,0,0,6240,6240,0,3231,48
0901,21,0,0,0,0,0,0,0,0,0,4769,0,0,4769,0,0,3127,60
0901,21,0,0,1,1,0,15855,0,0,0,0,0,0,0,0,15855,4899,89
