puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
1100101,94,501,0,0,0,0,0,0,0,0,0,0,8836,0,8836,0,0,183447
1100106,93,415,0,0,0,0,0,0,0,0,0,8649,8649,0,0,0,0,178235
1100101,65,501,0,0,0,0,0,0,0,0,0,4225,0,0,4225,4225,0,99020
1100101,57,501,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,521260
1100103,85,501,0,0,0,0,0,0,0,0,0,7225,0,7225,7225,0,0,1007081
1100101,53,501,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,265789
1100101,125,501,0,0,0,0,0,0,0,0,0,15625,0,0,15625,15625,15625,514693
1100101,99,501,0,0,0,0,0,0,9801,0,0,0,0,0,0,0,0,283509
1100101,100,501,0,0,0,0,0,0,0,0,0,10000,0,10000,10000,0,0,381069
1100106,252,501,0,0,0,0,0,63504,63504,0,0,0,0,0,0,0,63504,216801
1100106,118,501,0,0,0,0,0,0,0,0,0,13924,0,0,0,0,0,104231
1100104,83,11,0,0,1,0,0,0,6889,0,0,0,0,6889,6889,6889,0,2085
1100106,142,501,0,0,0,0,0,0,0,0,0,20164,0,0,0,0,0,87554
1100101,68,501,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,192828
1100106,98,501,0,0,0,0,0,0,9604,0,0,0,0,0,9604,0,0,120491
1100104,104,294,0,0,1,0,0,0,10816,0,0,0,0,0,10816,0,0,40337
1100105,70,501,0,0,0,0,0,0,0,0,0,4900,0,4900,4900,0,0,137585
1100105,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,0,0,0,78173
1100101,89,501,0,0,1,0,0,0,0,0,0,7921,7921,0,7921,7921,0,173138
1100106,68,265,0,0,1,0,0,0,0,0,0,4624,4624,0,0,0,0,41692
1100105,36,175,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,26058
1100101,59,501,0,0,0,0,0,0,0,0,0,3481,0,0,3481,0,0,180945
1100106,53,33,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,5212
1100105,71,165,0,0,1,1,0,0,5041,0,0,0,0,5041,5041,5041,0,261620
1100105,92,501,0,0,0,0,0,0,0,0,0,8464,0,0,0,0,0,152386
1100104,69,119,0,0,1,1,0,0,4761,0,0,0,0,0,4761,4761,0,20950
1100102,378,9,0,0,1,1,0,0,142884,0,0,0,0,0,142884,142884,0,1459
1100106,40,4,0,0,0,0,0,0,0,0,0,1600,0,0,0,1600,0,625
1100104,207,186,0,1,1,1,0,0,42849,0,0,0,0,0,42849,0,0,54200
1100102,81,323,0,0,1,0,0,0,6561,0,0,0,0,0,6561,6561,0,71919
1100103,43,402,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,59412
1100104,380,44,0,0,1,1,0,0,144400,0,0,0,0,0,0,144400,0,101417
1100106,68,501,0,0,0,0,0,0,0,0,0,4624,4624,0,0,0,0,301228
1100101,55,501,0,0,0,0,0,0,0,0,0,3025,3025,0,0,0,0,317905
1100106,149,501,0,0,0,0,0,0,0,0,0,22201,22201,0,22201,0,0,616006
1100104,46,501,0,0,1,0,0,0,2116,0,0,0,0,0,2116,2116,0,228266
1100103,70,117,0,0,0,0,0,4900,0,0,0,4900,0,0,0,4900,0,17719
1100106,33,501,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,93808
1100106,65,191,0,1,1,1,0,0,4225,0,0,0,0,0,4225,0,0,27100
1100102,71,501,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,744627
1100103,38,135,0,0,0,0,0,0,1444,0,0,0,0,0,1444,0,0,19074
1100104,64,501,0,0,0,0,0,0,4096,0,0,0,0,4096,0,0,0,279756
1100103,145,148,0,0,0,0,0,0,21025,0,0,0,0,0,21025,0,21025,22410
1100105,88,501,0,0,0,0,0,7744,0,0,0,7744,0,0,0,7744,0,88596
1100104,82,501,0,1,1,0,0,0,6724,0,0,0,0,0,6724,6724,0,116843
1100103,162,501,0,0,0,0,0,0,0,0,0,26244,0,0,0,0,0,202208
1100104,55,70,0,0,1,0,0,0,3025,0,0,0,0,0,3025,3025,0,9902
1100104,408,501,0,0,0,0,0,0,166464,0,0,0,166464,0,0,0,166464,104231
1100102,139,280,0,0,0,0,0,0,0,0,0,19321,0,0,0,0,0,41692
1100102,77,501,0,0,0,0,0,0,5929,0,0,0,0,5929,5929,0,0,114654
1100103,69,52,1,0,1,1,0,0,0,0,0,4761,0,0,4761,4761,0,7661
1100102,68,501,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,464662
1100106,214,354,0,0,1,0,0,0,0,0,0,45796,0,0,0,45796,0,55242
1100106,178,501,0,0,0,0,0,0,0,0,0,31684,0,0,0,0,0,114654
1100102,55,301,0,0,0,0,0,0,3025,0,0,0,0,0,0,3025,0,47540
1100104,43,252,0,0,1,1,0,0,1849,0,0,0,0,1849,1849,0,0,34605
1100101,77,17,0,0,0,0,0,0,0,0,0,5929,5929,0,0,0,0,6358
1100103,47,501,0,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,248070
1100102,58,501,0,0,0,0,0,0,3364,0,0,0,0,0,0,0,0,118823
1100101,87,501,0,0,0,0,0,0,0,0,0,7569,0,0,7569,0,0,310921
1100103,177,486,0,0,0,0,0,0,0,0,0,31329,31329,0,0,0,0,150093
1100103,51,501,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,349956
1100106,49,396,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,62539
1100101,127,493,0,0,0,0,0,0,16129,0,0,0,0,0,0,0,0,119866
1100103,40,501,0,0,0,0,0,0,0,0,0,1600,0,1600,0,0,0,208462
1100105,176,496,0,0,0,0,0,0,30976,0,0,0,0,0,0,0,0,72962
1100102,70,501,0,0,0,0,0,0,4900,0,0,4900,0,0,0,0,0,638937
1100102,72,501,0,0,0,0,0,0,0,0,0,5184,5184,0,5184,0,0,102355
1100106,128,501,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,0,88596
1100101,81,501,0,0,0,0,0,0,0,0,0,6561,0,0,6561,0,0,75046
1100103,80,501,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,180320
1100102,87,501,0,0,0,0,0,0,0,0,0,7569,7569,0,0,0,0,421094
1100106,48,501,0,0,0,0,0,2304,0,0,0,0,0,0,0,2304,0,121950
1100105,61,501,0,0,0,0,0,0,0,0,0,3721,0,3721,0,0,0,92349
1100103,540,338,0,0,0,0,0,0,291600,0,0,0,0,0,0,0,0,52116
1100105,44,196,0,0,0,0,0,0,0,0,0,1936,0,0,0,0,0,88211
1100102,172,0,0,0,0,0,0,0,0,0,0,29584,0,0,0,0,0,0
1100106,142,235,0,0,0,1,0,0,20164,0,0,0,0,0,20164,0,0,36481
1100104,282,65,0,0,0,0,0,0,79524,0,0,0,0,0,79524,79524,0,11465
1100103,74,501,0,0,0,0,0,0,0,0,0,5476,0,0,0,0,0,309045
1100103,94,501,0,0,0,0,0,0,0,0,0,8836,0,0,0,0,0,158431
1100101,51,501,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,160516
1100104,176,501,0,0,1,1,0,0,30976,0,0,0,0,0,0,0,0,184489
1100104,135,296,0,0,0,1,0,0,18225,0,0,0,0,0,18225,0,0,43777
1100103,56,501,0,0,0,0,0,0,0,0,0,3136,0,0,3136,0,0,263184
1100101,111,501,0,0,0,0,0,0,0,0,0,12321,0,0,12321,0,0,141754
1100105,122,501,0,0,0,0,0,0,0,0,0,14884,0,0,0,0,0,87554
1100101,55,501,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,928699
1100104,97,161,0,0,0,0,0,0,9409,0,0,0,0,0,9409,9409,0,23348
1100102,121,501,0,0,0,0,0,0,0,0,0,14641,0,0,0,0,0,151135
1100101,92,501,0,0,0,0,8464,0,8464,0,0,8464,0,0,8464,8464,0,357096
1100106,36,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
1100105,114,464,0,0,0,0,0,0,0,0,0,12996,0,0,0,0,0,72962
1100101,27,501,0,0,0,0,0,0,0,0,0,729,0,0,0,729,0,391909
1100104,51,501,0,0,0,1,0,0,2601,0,0,0,0,2601,2601,2601,0,221074
1100101,67,244,0,0,0,0,0,0,0,0,0,4489,0,0,0,0,0,38566
1100101,75,455,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,67750
1100106,138,59,0,0,0,0,0,0,19044,0,0,0,0,0,0,0,0,8860
1100104,55,501,0,0,0,0,0,0,3025,0,0,0,0,0,3025,0,0,213882
1100101,54,501,0,0,0,0,0,2916,0,0,0,2916,0,0,0,0,0,1012084
1100103,221,467,0,0,0,0,0,0,0,0,0,48841,0,0,0,0,0,265789
1100106,49,19,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,3127
1100101,25,501,0,0,0,0,0,0,0,0,0,625,0,0,625,0,0,605895
1100101,107,501,0,0,0,0,0,0,0,0,0,11449,0,0,0,0,0,168854
1100106,96,501,0,0,0,0,0,0,9216,0,0,9216,0,0,0,0,0,1090257
1100105,91,501,0,0,0,0,0,0,0,0,0,8281,0,0,8281,0,0,684798
1100101,101,0,0,0,0,0,0,0,0,0,0,10201,0,0,10201,0,0,0
1100102,387,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25015
1100106,77,501,0,0,1,1,0,0,5929,0,0,0,0,0,0,0,0,318061
1100102,59,0,0,0,1,0,0,0,3481,0,0,0,0,0,3481,3481,3481,0
1100101,97,501,0,0,0,0,0,0,0,0,0,9409,0,0,9409,0,0,115801
1100104,91,173,0,0,1,1,8281,0,8281,0,0,0,0,0,8281,8281,0,41901
1100102,111,242,0,0,0,0,0,0,12321,0,0,0,0,0,12321,0,0,33041
1100105,113,501,0,0,0,0,0,12769,0,0,0,12769,0,0,0,0,0,156347
1100106,78,501,0,0,0,0,0,6084,0,0,0,0,0,0,0,0,0,182404
1100106,201,183,0,0,0,0,0,0,40401,0,0,0,0,0,0,40401,0,27100
1100104,48,163,0,0,0,0,0,0,2304,0,0,0,0,0,0,0,2304,32312
1100103,532,165,0,0,1,1,0,0,283024,0,0,283024,0,283024,0,283024,0,26058
1100106,22,501,0,0,0,0,0,484,0,0,0,484,0,0,0,0,0,193036
1100104,48,204,0,0,0,0,0,0,2304,0,0,0,0,0,2304,2304,0,28768
1100102,42,501,0,0,0,0,0,1764,0,0,0,0,0,0,0,0,0,189701
1100102,41,501,0,0,0,0,0,1681,0,0,0,1681,0,0,0,0,0,367936
1100101,86,501,0,0,0,0,0,0,0,0,0,7396,0,0,7396,0,0,690739
1100105,390,501,0,0,0,0,152100,0,0,0,0,152100,152100,0,0,0,0,328328
1100102,61,501,0,0,0,0,0,0,3721,0,0,3721,0,0,0,0,0,301749
1100102,40,501,0,0,0,0,0,0,1600,0,0,0,0,1600,1600,1600,0,122993
1100102,129,440,0,0,0,0,0,0,16641,0,0,0,0,16641,16641,0,0,76089
1100103,51,407,0,0,0,1,0,0,2601,0,0,0,0,0,2601,0,0,55451
1100105,51,501,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,85678
1100103,66,501,0,0,0,0,0,0,0,0,0,4356,0,0,4356,0,0,89639
1100105,59,210,0,1,1,1,0,0,3481,0,0,0,0,0,3481,0,0,29706
1100102,142,105,0,0,1,0,0,0,20164,0,0,0,0,0,0,0,20164,37523
1100102,49,313,0,0,1,0,0,2401,0,0,0,2401,0,0,0,0,0,54086
1100104,95,68,0,1,1,0,0,0,9025,0,0,0,0,0,0,9025,0,10215
1100105,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,0,0,0,113612
1100103,52,501,0,0,0,0,0,0,0,0,0,2704,0,0,0,0,0,287678
1100102,104,0,0,0,0,0,0,0,10816,0,0,0,0,0,0,0,0,20846
1100105,94,501,0,0,0,0,0,0,0,0,0,8836,0,0,0,0,0,162601
1100101,93,501,0,1,1,0,0,0,0,0,0,8649,0,0,8649,8649,0,119762
1100101,81,501,0,0,0,0,0,0,0,0,0,6561,6561,0,0,0,0,106316
1100104,23,501,0,0,0,0,0,0,529,0,0,0,0,0,529,0,0,180945
1100103,108,497,0,0,0,0,0,0,11664,0,0,0,0,0,0,0,0,75046
1100103,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,0,0,0,311651
1100104,336,235,0,0,0,0,0,0,112896,0,0,0,0,0,0,0,0,153220
1100103,165,501,0,0,0,0,0,0,0,0,0,27225,27225,0,0,0,0,124035
1100103,83,69,0,0,0,0,0,0,0,0,0,6889,0,0,6889,0,0,62018
1100102,82,0,0,0,0,0,0,0,6724,0,0,6724,6724,0,0,6724,6724,3127
1100102,42,501,0,0,0,0,0,0,1764,0,0,0,0,0,1764,1764,0,87502
1100106,106,501,0,0,0,0,0,0,11236,0,0,0,0,0,0,11236,0,260578
1100106,103,501,0,0,0,0,0,0,10609,0,0,0,0,10609,0,0,0,88596
1100105,76,501,0,0,0,0,0,0,0,0,0,5776,0,0,0,0,0,113612
1100106,92,501,0,0,0,0,0,0,0,0,0,8464,0,0,0,0,0,190951
1100104,51,501,0,0,1,0,0,0,2601,0,0,0,0,2601,2601,2601,0,163330
