cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
1000,0,0,0,0,0,0,0,0,0,0,144,0,0,144,0,0,0,12
1000,0,0,0,0,0,0,0,0,0,0,144,0,0,144,144,0,0,12
1000,0,0,0,0,0,0,0,0,0,0,256,0,256,256,0,0,0,16
1000,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,1089,0,0,33
1000,0,0,0,0,0,0,0,0,0,0,1369,0,0,1369,0,0,0,37
1000,0,0,0,0,0,0,0,0,0,0,1444,0,0,1444,0,0,0,38
1000,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,45
1000,0,0,0,0,0,0,0,0,0,0,2116,0,0,2116,0,0,0,46
1000,0,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,19700,55
1000,0,0,0,0,0,0,0,0,0,0,3481,0,0,0,0,0,4690,59
1000,0,0,0,0,0,0,0,0,0,0,3844,0,0,3844,0,0,0,62
1000,0,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,0,72
1000,0,0,0,0,0,0,0,0,0,0,7056,0,0,7056,0,0,-2397,84
1000,0,0,0,0,0,0,0,0,0,0,8649,0,0,8649,8649,0,0,93
1000,0,0,0,0,0,0,0,0,0,0,9025,0,0,0,0,0,0,95
1000,0,0,0,0,0,0,0,0,0,0,11236,0,0,11236,0,0,0,106
1000,0,0,0,0,0,0,0,0,0,0,11449,0,0,11449,0,0,0,107
1000,0,0,0,0,0,0,0,0,0,0,12769,0,0,12769,0,0,-2397,113
1000,0,0,0,0,0,0,0,0,0,0,13689,0,13689,13689,0,0,18762,117
1000,0,0,0,0,0,0,0,0,0,0,17689,0,0,0,0,0,16677,133
1000,0,0,0,0,0,0,0,0,0,0,21609,0,0,0,21609,0,0,147
1000,0,0,0,0,0,0,0,0,0,0,21609,21609,0,0,0,21609,10423,147
1000,0,0,0,0,0,0,0,0,0,0,26896,0,0,0,0,0,-8130,164
1000,0,0,0,0,0,0,0,0,0,0,44944,0,0,0,0,0,0,212
1000,0,0,0,0,0,0,0,2916,0,0,0,0,2916,0,0,0,0,54
1000,0,0,0,0,0,0,0,3600,0,0,0,0,0,3600,0,0,0,60
1000,0,0,0,0,0,0,0,23409,0,0,0,0,0,23409,0,0,230038,153
1000,0,0,0,0,0,0,0,52441,0,0,0,0,0,0,52441,0,0,229
1000,0,0,0,0,0,0,21316,21316,0,0,21316,21316,0,0,0,0,10642,146
1000,0,0,0,0,0,0,23409,0,0,0,23409,0,0,0,0,0,0,153
1000,0,0,0,0,0,0,36100,0,0,0,0,0,0,0,0,36100,104,190
1000,0,0,0,0,0,1521,0,0,0,0,0,0,0,1521,0,0,0,39
1000,0,0,0,0,0,9216,9216,9216,9216,0,9216,9216,0,0,0,0,-2397,96
