county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
10001,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,45
10001,0,0,0,0,0,0,0,0,0,0,13689,0,13689,13689,0,0,18762,117
10001,0,0,0,1,0,0,0,0,0,0,196,0,0,0,0,0,0,14
10001,0,0,0,1,0,0,0,100,0,0,0,0,0,100,0,0,0,10
10001,0,0,0,1,1,0,0,729,0,0,0,0,0,729,729,0,0,27
10001,0,0,0,1,1,0,0,16384,0,0,0,0,0,0,16384,0,0,128
10001,0,0,1,1,0,0,0,66049,0,0,0,0,0,0,0,0,22858,257
10001,1,0,0,1,1,0,0,0,0,0,6724,0,0,0,0,0,208,82
10001,2,0,0,1,1,44521,0,44521,0,0,0,0,44521,0,0,0,521,211
10001,2,0,1,1,1,0,0,0,0,0,7056,0,0,7056,7056,0,7817,84
10001,4,1,0,1,1,0,0,7056,0,0,0,0,0,7056,0,0,688,84
10001,7,0,0,1,1,0,0,0,0,0,121,0,0,121,0,0,2293,11
10001,8,0,0,0,0,0,0,10404,0,0,0,0,0,0,0,0,1251,102
10001,8,0,0,1,1,0,0,1089,0,0,0,0,0,1089,1089,0,2293,33
10001,11,0,0,0,0,0,0,0,0,0,11664,0,0,11664,0,0,1668,108
10001,12,0,0,1,1,0,0,0,0,0,6889,0,0,6889,6889,0,1668,83
10001,14,0,0,0,0,0,0,0,0,0,81,0,0,81,0,0,2189,9
10001,15,0,0,1,0,3364,0,0,0,0,0,0,0,0,3364,0,49718,58
10001,17,0,0,0,0,0,0,0,0,0,4225,0,4225,4225,4225,0,36272,65
10001,20,0,0,1,1,0,0,0,0,0,961,0,0,0,0,0,4169,31
10001,23,0,0,0,0,0,0,0,0,0,2809,0,2809,2809,0,0,4065,53
10001,23,0,0,0,0,36,0,0,0,0,36,0,36,0,36,0,32103,6
10001,24,0,0,1,0,0,0,3481,0,0,0,0,0,3481,3481,0,6879,59
10001,26,0,1,1,1,0,0,0,0,0,4761,0,0,4761,4761,0,5420,69
10001,27,0,0,1,0,0,0,0,0,0,18496,0,0,0,0,0,6254,136
10001,28,1,0,0,1,0,64,0,0,0,0,0,0,64,64,0,4169,8
10001,30,0,0,0,0,0,0,0,0,0,8649,0,0,8649,8649,8649,5524,93
10001,30,0,0,1,0,0,0,0,0,0,225,0,0,0,225,0,7296,15
10001,31,0,0,0,0,0,0,0,0,0,5329,0,0,5329,0,0,4899,73
10001,36,0,0,0,0,0,0,0,0,0,14161,0,0,14161,0,0,5212,119
10001,38,0,0,1,0,0,0,0,0,0,121,121,0,0,0,0,49197,11
10001,38,0,0,1,0,0,0,0,0,0,6889,0,0,0,6889,0,5837,83
10001,39,1,0,1,1,0,0,11664,0,0,0,0,0,0,0,0,14488,108
10001,41,0,0,1,0,0,0,0,0,0,112225,0,112225,112225,0,0,9589,335
10001,41,0,0,1,1,0,0,20449,0,0,20449,0,0,0,20449,0,11987,143
10001,45,0,0,1,0,0,0,55696,0,0,0,0,0,0,55696,0,10632,236
10001,45,0,0,1,1,0,0,0,0,0,6561,0,0,0,0,0,83385,81
10001,47,0,0,1,1,0,0,121,0,0,121,0,0,0,121,0,120491,11
10001,51,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,8130,72
10001,51,0,0,0,0,0,0,0,0,0,46656,0,0,46656,0,0,7817,216
10001,51,0,0,0,0,0,0,90601,0,0,0,0,0,0,0,0,17719,301
10001,51,0,0,1,1,0,0,1024,0,0,1024,0,1024,1024,1024,0,13831,32
10001,51,0,1,1,0,0,0,38809,0,0,0,0,0,0,38809,0,8026,197
10001,52,0,0,0,0,88804,0,88804,0,0,0,0,0,88804,88804,0,7192,298
10001,54,0,0,0,0,0,0,0,0,0,4225,0,4225,4225,4225,0,7400,65
10001,54,0,0,0,0,0,0,0,0,0,4489,0,4489,4489,0,0,8338,67
10001,55,0,0,0,0,0,0,0,0,0,6084,0,0,6084,6084,0,9902,78
10001,56,0,0,1,0,0,0,0,0,0,4489,0,0,0,4489,0,13446,67
10001,56,0,1,1,0,0,0,0,0,0,16900,0,0,16900,16900,0,7922,130
10001,56,1,0,1,1,0,0,6561,0,0,0,0,0,0,6561,0,27934,81
10001,59,0,0,0,0,0,0,227529,0,0,0,0,227529,227529,0,0,10319,477
10001,62,0,0,1,1,0,81225,0,0,0,0,0,0,81225,0,81225,11257,285
10001,63,0,0,1,0,0,0,0,0,0,1369,0,1369,1369,1369,0,17719,37
10001,65,0,0,0,0,0,0,0,0,0,3025,0,0,3025,3025,0,9381,55
10001,66,0,0,0,1,0,0,2401,0,0,0,0,0,2401,0,0,8964,49
10001,70,0,0,1,1,0,0,7056,0,0,0,0,0,7056,0,0,10215,84
10001,70,0,1,1,1,0,0,27556,0,0,0,0,0,0,27556,0,10527,166
10001,72,0,0,0,0,0,0,0,0,0,6561,0,0,6561,6561,0,10423,81
10001,72,0,0,1,1,0,0,0,0,0,6889,0,0,0,6889,0,21993,83
10001,75,0,0,1,1,0,0,0,0,0,441,0,0,441,0,0,10840,21
10001,83,0,0,1,1,0,0,7225,0,0,0,0,0,7225,7225,0,12091,85
10001,83,0,0,1,1,0,0,42025,0,0,0,42025,0,0,0,0,24390,205
10001,85,0,0,1,1,0,0,72361,0,0,0,0,0,0,0,0,26058,269
10001,86,0,0,1,0,0,0,0,0,0,9409,0,0,9409,0,0,27100,97
10001,94,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,46696,11
10001,97,0,0,1,0,0,0,0,0,0,7396,7396,0,0,7396,0,19804,86
10001,100,0,0,0,0,0,0,6724,0,0,0,0,0,6724,0,0,13967,82
10001,101,1,1,1,1,0,0,0,0,0,4489,0,0,0,4489,0,36272,67
10001,104,0,0,1,1,0,0,0,0,0,100,0,0,0,0,0,36481,10
10001,104,0,0,1,1,0,251001,251001,0,0,251001,251001,0,0,251001,0,23869,501
10001,105,0,0,1,0,0,0,25600,0,0,0,0,0,0,0,0,46904,160
10001,106,0,1,1,1,0,0,145924,0,0,0,0,0,145924,145924,0,16469,382
10001,107,0,0,1,1,0,0,7569,0,0,0,0,0,7569,0,0,16052,87
10001,107,0,1,1,0,0,0,31329,0,0,0,0,0,31329,31329,0,18762,177
10001,109,0,0,0,0,0,0,0,0,0,27225,0,0,27225,27225,0,47529,165
10001,112,0,0,0,1,0,0,0,0,0,64516,0,0,64516,0,0,15635,254
10001,112,0,0,1,1,0,0,160000,0,0,0,0,0,0,0,0,43569,400
10001,113,0,0,0,0,0,0,0,0,0,8100,0,8100,8100,0,0,72232,90
10001,114,0,0,0,0,0,0,0,0,0,169,0,0,169,0,0,16052,13
10001,114,0,0,0,0,0,0,169,0,0,0,0,0,169,0,0,15843,13
