SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000526,36,0,0,0,0,1000200,119,0,0,0,0,0,119,0,0,119,0,0,5212
2022HU0001117,94,0,0,1,0,1000302,27,0,0,27,0,0,27,0,0,0,0,0,58891
2022HU0001643,359,0,0,0,0,1000200,18,0,0,0,0,0,18,18,0,18,0,18,72962
2022HU0002162,429,0,0,0,0,1000102,67,0,0,67,0,0,67,0,0,0,67,0,104231
2022HU0003138,501,0,0,0,0,1000105,60,0,0,0,0,0,60,0,0,0,0,0,333540
2022HU0003620,211,1,0,1,1,1000302,82,0,0,82,0,0,82,0,0,82,0,0,73587
2022HU0003794,501,0,0,0,0,1000101,246,0,0,0,0,0,246,0,0,0,0,0,355480
2022HU0003887,497,0,1,1,0,1000302,89,0,0,0,0,0,89,0,89,89,0,0,111944
2022HU0004376,396,0,0,0,0,1000301,41,0,0,0,0,0,41,0,41,41,41,0,69355
2022HU0004478,501,0,0,0,0,1000301,10,0,0,0,0,0,10,0,0,10,0,0,239732
2022HU0004704,501,0,0,0,0,1000302,69,0,0,0,0,0,69,0,0,0,0,0,145924
2022HU0005430,501,0,0,0,0,1000301,64,0,0,0,0,0,64,0,0,64,0,0,160203
2022HU0005447,262,0,0,1,0,1000104,94,0,0,0,0,0,0,94,0,0,0,94,89639
2022HU0005773,241,0,0,0,0,1000101,349,0,0,0,0,0,349,0,0,349,0,0,105795
2022HU0006664,501,0,0,0,0,1000103,161,0,161,0,0,0,0,0,0,0,161,161,175108
2022HU0006774,377,0,0,0,0,1000301,90,0,0,0,0,0,90,0,0,0,0,0,88596
2022HU0007025,14,0,1,1,1,1000302,41,0,0,0,0,0,41,0,0,0,41,0,2189
2022HU0007156,252,0,0,0,0,1000302,113,0,0,0,0,0,113,0,0,113,113,0,45445
2022HU0007611,285,0,0,0,0,1000302,88,0,0,0,0,0,88,0,0,88,0,0,51699
2022HU0008551,272,0,1,1,1,1000200,69,0,0,0,0,0,69,0,0,69,0,0,82759
2022HU0008747,155,0,0,0,0,1000302,64,0,0,0,0,0,64,0,0,64,64,0,21305
2022HU0009614,501,0,0,0,0,1000101,73,0,0,0,0,0,73,0,0,73,0,0,102980
2022HU0009761,230,0,0,0,0,1000200,36,0,0,36,0,0,0,0,0,0,0,0,82343
2022HU0010000,481,0,0,0,0,1000103,90,0,0,0,0,0,90,0,90,90,90,0,85470
2022HU0010208,501,0,0,0,0,1000200,61,0,0,0,0,0,61,0,0,61,0,0,96622
2022HU0010429,501,0,0,0,0,1000301,40,0,0,0,0,0,40,0,0,40,0,0,291430
2022HU0010571,116,0,0,0,0,1000301,10,0,0,0,0,0,10,0,0,10,0,0,20221
2022HU0010585,399,0,0,0,0,1000103,101,0,0,101,0,0,0,0,0,0,0,0,119866
2022HU0010730,501,0,0,0,0,1000101,98,0,0,0,0,0,98,0,0,0,0,0,148008
2022HU0011541,501,0,0,0,0,1000200,108,0,0,0,0,0,108,0,0,108,108,0,99499
2022HU0011808,105,0,0,0,0,1000101,74,0,0,0,0,0,74,0,0,74,0,0,14592
2022HU0011900,326,0,1,1,0,1000200,206,0,206,206,0,0,206,0,0,0,206,0,100896
2022HU0012404,274,0,0,0,0,1000301,11,0,0,11,0,0,11,0,0,0,0,0,83385
2022HU0012728,501,0,0,0,0,1000301,46,0,0,0,0,0,46,46,46,46,0,0,230559
2022HU0013063,298,0,0,0,0,1000105,60,0,0,0,0,0,0,0,0,60,0,0,51282
2022HU0014463,297,0,0,0,0,1000301,15,0,0,0,0,0,15,0,0,15,15,0,42422
2022HU0014498,180,0,0,1,1,1000102,117,0,0,117,0,0,117,0,0,0,0,0,105273
2022HU0015269,501,0,0,1,0,1000105,24,0,0,0,0,0,24,0,24,0,24,0,288543
2022HU0015498,501,0,0,0,0,1000101,88,88,0,0,0,0,88,0,0,88,88,0,250155
2022HU0016047,36,0,0,0,1,1000103,58,0,0,0,0,0,58,0,0,58,58,0,5003
2022HU0016827,158,0,0,1,0,1000103,124,0,0,124,0,0,124,124,124,124,124,0,48436
2022HU0016854,318,0,0,0,0,1000301,11,0,0,0,0,0,11,0,0,11,0,0,43673
2022HU0016981,325,0,0,0,0,1000302,106,0,0,0,0,0,106,0,106,106,106,0,56181
2022HU0017257,227,0,0,0,0,1000302,77,0,0,0,0,0,77,0,0,77,0,0,41692
2022HU0017326,487,0,0,1,1,1000200,491,0,0,491,0,0,491,0,0,491,491,0,159474
2022HU0018782,205,0,0,0,0,1000102,24,0,0,0,0,0,24,0,24,24,0,0,40650
2022HU0019030,231,0,0,1,0,1000200,25,0,0,25,0,0,0,0,0,25,25,0,42005
2022HU0019207,267,0,0,0,0,1000301,9,0,0,0,0,0,9,0,9,9,0,0,47852
2022HU0019884,501,0,0,0,0,1000102,114,0,114,0,0,0,114,0,0,114,0,0,267249
2022HU0020072,295,0,0,0,0,1000102,114,0,0,0,0,0,0,0,0,0,0,0,57327
2022HU0020501,501,0,0,0,0,1000102,61,0,0,0,0,0,61,0,61,0,0,0,223055
2022HU0020901,358,0,0,0,0,1000301,10,0,0,0,0,0,10,0,0,10,0,0,62434
2022HU0020903,306,0,1,1,0,1000105,467,0,0,467,0,0,0,0,0,0,467,0,90368
2022HU0021427,501,0,0,0,0,1000301,60,0,0,0,0,0,60,0,0,0,0,0,250155
2022HU0021730,23,0,0,0,0,1000301,43,0,0,0,0,0,43,0,0,43,0,0,3231
2022HU0022220,287,0,0,0,0,1000302,46,0,0,0,0,0,46,0,0,46,0,0,50323
2022HU0022538,242,0,0,0,0,1000302,331,0,0,331,0,0,331,331,0,331,331,0,42735
2022HU0022585,110,0,0,0,0,1000301,8,0,0,0,0,0,8,0,0,8,8,0,15739
2022HU0023340,501,0,0,0,0,1000301,60,0,0,0,0,0,60,0,60,60,60,0,197737
2022HU0023379,501,0,0,0,0,1000101,83,0,0,0,0,0,83,0,83,83,83,0,319573
2022HU0023562,478,0,0,0,0,1000105,42,0,0,0,0,0,42,0,0,42,0,0,114654
2022HU0023605,501,0,0,0,0,1000102,259,0,0,0,0,0,259,0,0,0,0,0,568685
2022HU0023717,501,0,0,0,0,1000301,78,0,0,0,0,0,78,0,0,78,78,0,212215
2022HU0023983,154,0,0,0,0,1000105,144,0,0,0,0,0,144,0,0,144,0,0,22305
2022HU0024190,501,0,0,0,0,1000102,87,0,0,0,0,0,87,0,0,0,0,0,88596
2022HU0024505,256,0,0,0,0,1000302,177,0,177,0,0,0,0,0,0,177,0,0,46174
2022HU0025043,501,0,0,0,0,1000301,9,0,0,0,0,0,9,0,0,9,0,0,97352
2022HU0025414,443,0,0,0,0,1000301,63,0,0,0,0,0,63,0,0,63,0,0,78694
2022HU0025629,171,0,0,0,0,1000301,50,0,0,0,0,0,50,0,0,50,0,0,27100
2022HU0025675,150,0,0,0,0,1000301,56,0,0,0,0,0,56,0,0,56,56,0,20325
2022HU0026795,290,0,0,0,0,1000103,92,0,0,92,0,0,0,0,0,92,0,0,41276
2022HU0027341,221,0,0,0,0,1000105,95,0,0,0,0,0,95,0,0,95,0,0,30227
2022HU0027365,501,0,0,0,0,1000301,12,0,0,0,0,0,12,12,0,12,0,0,250155
2022HU0028122,476,0,0,0,0,1000103,102,0,0,0,0,0,102,102,0,0,0,0,91723
2022HU0028535,501,0,0,0,0,1000105,145,0,0,145,0,0,0,0,0,145,0,0,97873
2022HU0028646,501,0,0,0,0,1000200,21,0,0,0,0,0,21,0,21,21,21,0,78799
2022HU0029017,501,0,0,0,0,1000101,41,0,0,0,0,0,41,0,0,41,0,0,308003
2022HU0029458,236,0,0,0,0,1000301,15,0,0,0,0,0,15,0,0,0,15,0,36898
2022HU0029568,352,0,0,0,0,1000301,11,0,0,0,0,0,11,0,11,11,0,0,62122
2022HU0029592,144,0,0,1,0,1000302,16,0,0,16,0,0,0,0,0,0,0,0,41692
2022HU0030933,501,0,0,0,0,1000200,18,18,0,0,0,0,18,0,0,0,0,0,151135
2022HU0030935,501,0,0,0,0,1000105,93,0,93,0,0,0,0,0,0,0,0,0,250155
2022HU0031195,501,0,0,0,0,1000101,89,0,0,0,0,0,89,0,0,89,0,0,97977
2022HU0031350,261,0,0,0,0,1000102,102,0,0,0,0,0,102,0,0,102,102,0,36272
2022HU0032024,501,0,0,0,0,1000104,125,0,0,0,0,0,125,0,0,125,0,0,239836
2022HU0032120,501,1,1,1,0,1000101,113,0,0,0,0,0,113,0,0,113,113,0,144569
2022HU0032128,501,0,0,0,0,1000101,80,0,80,0,0,0,0,0,0,80,0,0,276212
2022HU0032956,222,0,0,0,0,1000200,244,0,0,0,0,0,244,0,0,0,0,0,44402
2022HU0033435,501,0,0,0,0,1000105,122,0,122,0,0,0,0,0,0,122,0,0,200124
2022HU0033923,304,0,0,0,0,1000302,228,0,228,0,0,0,228,0,0,0,0,0,71398
2022HU0034123,383,0,0,0,0,1000302,92,0,0,92,0,0,0,0,0,92,0,0,56285
2022HU0034348,330,0,0,0,0,1000102,105,105,0,105,0,0,105,105,0,0,0,0,119866
2022HU0034390,501,0,0,0,0,1000200,116,0,0,0,0,0,116,0,0,0,0,0,104231
2022HU0035230,501,0,0,0,0,1000301,17,0,0,0,0,0,17,0,0,17,0,0,111527
2022HU0035427,356,0,0,1,0,1000301,83,0,0,0,0,0,83,0,0,0,0,0,174066
2022HU0035621,396,0,0,0,0,1000102,84,0,0,0,0,0,84,0,0,0,0,0,114654
2022HU0035678,460,0,0,0,0,1000302,76,0,0,0,0,0,76,0,0,76,76,0,88805
2022HU0035833,298,0,0,0,0,1000301,22,0,0,0,0,0,22,0,0,22,22,0,40650
2022HU0035847,227,0,0,0,0,1000105,121,0,0,0,0,0,121,0,0,0,121,0,80571
2022HU0036305,282,0,0,0,0,1000302,57,0,0,0,0,0,57,0,57,0,0,0,53887
2022HU0037212,286,0,0,1,0,1000200,663,0,0,0,0,0,663,0,0,0,0,0,101104
2022HU0037629,256,0,0,0,0,1000302,61,0,0,0,0,0,61,0,0,61,61,0,34688
2022HU0037744,163,0,0,1,0,1000302,61,0,0,0,0,0,61,0,0,61,61,0,30957
2022HU0037896,501,0,0,0,0,1000301,117,0,0,0,0,0,117,0,0,117,0,0,119866
2022HU0038022,501,0,0,0,0,1000102,150,0,0,0,0,0,150,0,0,0,0,0,92036
2022HU0038068,317,0,0,0,0,1000301,129,0,0,129,0,0,0,0,0,0,0,0,62539
2022HU0038641,174,0,0,0,0,1000301,118,0,0,0,0,0,118,0,0,118,0,0,25015
2022HU0038722,212,0,0,1,0,1000301,11,0,0,0,0,0,11,0,0,11,0,0,38461
2022HU0039127,99,0,0,1,1,1000302,73,0,0,73,0,0,0,0,0,0,0,0,20117
2022HU0039285,501,0,0,0,0,1000101,67,0,0,0,0,0,67,0,0,67,0,0,120908
2022HU0039584,438,0,0,1,1,1000103,114,0,0,0,0,0,114,114,0,0,0,114,102042
2022HU0039664,43,0,0,0,0,1000101,35,0,35,0,0,0,0,0,0,0,0,35,10423
2022HU0040201,501,0,0,0,0,1000301,75,0,0,0,0,0,75,0,0,0,0,0,171981
2022HU0040390,342,0,0,0,0,1000103,70,0,0,0,0,0,70,0,0,70,70,0,47634
2022HU0040529,366,0,0,0,0,1000200,92,0,0,0,0,0,92,0,0,0,0,0,84427
2022HU0040787,501,0,0,0,0,1000301,10,0,0,0,0,0,10,0,0,10,0,0,96205
2022HU0040915,501,0,0,0,0,1000101,160,0,0,0,0,0,160,0,0,0,0,0,252239
2022HU0041038,364,0,0,0,0,1000302,603,0,0,0,0,0,603,0,603,603,603,0,66499
2022HU0041397,501,0,0,0,1,1000200,117,117,0,0,0,0,117,0,0,117,117,0,120700
2022HU0041414,74,0,0,1,0,1000302,265,0,0,0,0,0,0,265,0,0,0,265,26058
