puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
1300200,390,0,0,0,1,1,0,0,0,0,0,0,152100,0,0,0,152100,52116
1303000,190,156,0,0,0,0,0,0,36100,0,0,0,0,0,0,0,0,36481
1303700,72,501,0,0,0,0,0,0,0,0,0,5184,0,0,5184,5184,0,125077
1300500,32,129,0,0,0,0,0,0,0,0,0,1024,0,0,1024,0,0,25745
1301408,58,260,0,0,0,0,0,0,3364,0,0,0,0,0,3364,0,0,37002
1300801,44,214,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,50031
1303400,67,161,0,0,0,0,0,0,0,0,0,4489,4489,0,0,0,0,25015
1303800,67,168,0,0,0,0,0,0,0,0,0,4489,0,4489,0,0,0,58995
1301700,66,501,0,0,0,0,0,0,0,0,0,4356,0,0,4356,0,0,122993
1300300,474,501,0,0,0,0,0,0,0,0,0,224676,0,0,224676,0,0,312693
1300601,63,501,0,0,0,0,0,0,0,0,0,3969,3969,0,0,0,0,177193
1300100,45,410,0,0,0,0,0,0,0,0,0,2025,0,2025,0,2025,0,78486
1301401,59,501,0,0,0,0,0,0,0,0,0,0,0,3481,0,3481,0,212631
1301100,38,76,0,0,0,0,1444,0,0,0,0,0,0,1444,0,1444,0,11465
1301302,64,321,0,0,0,0,0,4096,0,0,0,4096,0,4096,0,0,0,94433
1301304,201,501,0,0,0,0,0,0,0,0,0,40401,0,0,0,0,0,375232
1303301,51,501,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,108192
1300100,76,334,0,0,0,0,0,0,0,0,0,5776,0,0,0,0,0,61288
1301303,56,501,0,0,0,0,0,0,0,0,0,3136,0,0,3136,0,0,114654
1301900,129,364,0,0,0,0,0,0,0,0,0,16641,16641,0,16641,0,0,84948
1304500,74,144,0,0,0,0,0,0,0,0,0,5476,0,0,5476,0,0,20012
1301301,83,501,0,0,0,0,0,0,0,0,0,6889,6889,6889,0,0,0,190326
1300702,63,501,0,0,0,0,0,3969,0,0,0,0,0,0,0,0,0,166770
1304400,111,130,0,0,0,0,0,0,0,0,0,12321,0,0,12321,12321,0,30019
1302800,34,370,0,0,0,0,0,0,0,0,0,1156,0,0,1156,0,0,74838
1304200,49,236,0,0,1,0,0,0,0,0,0,2401,0,0,2401,0,0,33041
1300601,40,501,0,0,0,0,0,0,0,0,0,1600,0,0,0,1600,0,122263
1302900,323,438,0,0,0,0,0,0,0,0,0,104329,0,104329,104329,104329,0,64415
1301402,68,429,0,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,67750
1303500,66,319,0,0,1,0,0,0,4356,0,0,0,0,0,4356,0,0,45966
1300702,57,501,0,0,0,0,0,0,0,0,0,3249,0,0,3249,0,0,223367
1303302,214,116,0,0,0,0,0,0,0,0,0,0,45796,45796,45796,45796,45796,19908
1304400,4,160,0,0,0,0,0,0,16,0,0,0,0,16,16,0,0,23035
1303000,80,378,0,0,0,0,0,0,0,0,0,6400,0,0,6400,6400,0,68146
1300100,62,491,0,1,1,0,0,0,0,0,0,3844,0,0,3844,0,0,89535
1301700,389,195,0,0,0,0,0,0,151321,0,0,0,0,0,0,151321,0,30363
1300500,72,212,0,1,1,1,0,0,0,0,0,5184,0,5184,5184,5184,0,49510
1301000,19,56,1,0,1,1,0,0,0,0,0,361,0,0,361,361,0,11778
1301605,282,170,0,0,1,0,0,0,0,0,0,0,79524,0,0,0,79524,75526
1303900,24,216,0,0,1,0,0,0,576,0,0,0,0,576,576,0,0,31478
1304000,40,501,0,0,0,0,0,0,1600,0,0,0,0,1600,0,1600,0,175869
1300500,85,501,0,0,0,0,0,0,0,0,0,7225,0,0,7225,0,0,116040
1300900,18,132,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,59620
1301700,55,141,0,0,0,0,0,0,3025,0,0,0,3025,0,0,0,3025,28664
1302000,249,176,0,0,0,0,0,0,0,0,0,62001,0,62001,62001,62001,0,30540
