cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
1501,0,0,0,0,0,0,0,0,0,0,5776,0,0,0,0,0,0,76
1501,0,0,0,0,0,0,0,0,0,0,9801,0,0,9801,0,0,8,99
1501,0,0,0,0,0,0,0,0,0,0,10201,10201,0,0,0,0,0,101
1501,0,0,0,0,0,0,0,0,0,0,20164,0,0,0,20164,0,0,142
1501,0,0,0,0,0,0,0,0,0,9216,0,0,9216,9216,9216,9216,0,96
1501,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,13
1501,0,0,0,0,0,0,0,141376,0,0,141376,0,141376,0,141376,0,0,376
1501,0,0,0,0,0,0,1849,0,0,0,0,0,0,0,0,0,0,43
1501,0,0,0,0,0,0,3336,0,0,0,0,0,0,0,0,0,0,51
1501,0,0,0,0,0,0,3969,0,0,0,3969,0,3969,0,0,0,0,63
1501,0,0,0,0,0,0,4314,0,0,0,0,0,0,0,0,0,0,57
1501,0,0,0,0,0,0,6084,0,0,0,6084,0,0,0,0,0,0,78
1501,0,0,0,0,0,0,6400,0,0,0,0,0,0,6400,0,0,0,80
1501,0,0,0,0,0,0,7569,0,0,0,0,0,0,0,0,0,0,87
1501,0,0,0,0,0,0,11664,0,0,0,0,0,0,0,0,11664,0,108
1501,0,0,0,0,0,0,126736,0,126736,0,0,0,0,0,126736,0,26058,356
1501,0,0,0,0,1,0,0,0,0,0,4096,0,0,0,0,0,22618,64
1501,0,0,0,0,1,0,0,3844,0,0,0,0,0,0,0,0,0,62
1501,0,0,0,0,1,0,183184,0,0,0,183184,0,0,0,0,183184,0,428
1501,0,0,0,1,0,0,0,0,0,0,3249,0,0,0,3249,0,-2293,57
1501,0,0,0,1,0,0,0,0,0,0,58564,58564,0,0,58564,0,0,242
1501,0,0,0,1,0,0,0,0,0,7320,7320,0,0,0,0,0,93808,74
1501,0,0,0,1,0,0,0,0,0,105033,0,0,0,0,105033,105033,0,280
1501,0,0,0,1,0,0,1195,0,0,0,1195,0,0,1195,0,0,33458,30
1501,0,0,0,1,0,0,2704,0,0,0,0,0,0,2704,2704,2704,0,52
1501,0,0,0,1,0,0,2809,0,0,0,0,0,2809,2809,2809,0,0,53
1501,0,0,0,1,0,0,2916,0,2916,0,2916,2916,0,0,0,0,36481,54
1501,0,0,0,1,0,0,6185,0,0,0,0,0,0,6185,6185,6185,0,68
1501,0,0,0,1,0,0,7744,0,0,0,0,0,0,0,0,0,0,88
1501,0,0,0,1,0,0,19321,19321,0,0,0,0,0,0,0,0,53158,139
1501,0,0,0,1,0,0,19881,0,0,0,0,0,0,0,19881,0,0,141
1501,0,0,0,1,0,0,48841,0,0,0,0,0,0,48841,0,48841,0,221
1501,0,0,0,1,0,0,80656,0,0,0,0,0,0,0,80656,80656,0,284
1501,0,0,0,1,0,0,323761,0,0,0,0,0,0,323761,0,323761,0,569
1501,0,0,0,1,0,3336,0,0,0,0,3336,0,0,0,3336,0,100062,51
1501,0,0,0,1,1,0,0,0,0,25600,0,0,0,0,0,25600,0,160
1501,0,0,0,1,1,0,0,0,0,27889,0,0,0,0,0,27889,0,167
1501,0,0,0,1,1,0,2020,0,2020,0,2020,0,0,0,0,0,313,39
1501,0,0,0,1,1,0,4624,0,0,0,0,0,0,4624,0,4624,0,68
1501,0,0,0,1,1,0,6084,0,0,0,0,0,0,6084,6084,6084,0,78
1501,0,0,0,1,1,0,19600,0,0,0,0,0,0,19600,19600,0,0,140
1501,0,0,0,1,1,0,120102,0,120102,0,0,120102,0,0,120102,0,0,300
1501,0,0,0,1,1,1521,0,0,0,0,1521,1521,0,1521,1521,0,0,39
1501,1,0,0,0,0,0,155,0,0,0,0,0,0,155,155,0,407,11
