puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
1500307,87,41,0,0,0,0,0,7569,0,0,0,0,0,0,7569,7569,0,7296
1500307,72,501,0,0,0,0,0,5184,0,0,0,0,0,0,5184,5184,0,247549
1500100,141,84,1,0,1,1,0,0,0,0,0,19881,0,0,19881,0,0,11570
1500307,83,486,0,0,0,0,0,6889,0,0,0,0,0,0,6889,0,6889,208462
1500200,18,223,0,0,0,0,0,324,0,324,0,324,0,0,324,324,0,31290
1500306,74,501,0,0,0,0,0,0,0,5476,0,5476,0,5476,0,0,0,138732
1500304,168,13,0,0,1,0,0,28224,0,0,0,0,0,0,0,0,28224,43777
1500308,255,140,0,0,0,0,0,65025,0,0,0,65025,0,65025,65025,65025,0,19595
1500307,72,501,0,0,0,0,0,5184,0,0,0,0,0,0,0,0,5184,121950
1500302,297,501,0,0,0,0,0,0,0,88209,0,88209,0,0,0,0,0,212631
1500306,46,455,0,0,0,0,0,2116,0,0,0,2116,0,0,0,0,0,67750
1500302,100,291,0,0,0,0,0,0,0,10000,0,10000,10000,10000,0,0,0,104231
1500301,33,107,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,18449
1500303,56,501,0,0,0,0,0,3136,3136,0,0,3136,0,0,0,0,0,166770
1500304,137,501,0,0,0,0,0,18769,0,0,0,0,0,0,0,0,0,185531
1500307,38,96,0,1,1,1,0,1444,0,0,0,0,1444,0,1444,1444,0,22722
1500304,116,498,0,0,0,0,0,13456,0,0,0,0,0,0,13456,13456,13456,85574
1500308,77,332,0,0,0,0,0,5929,0,5929,0,0,0,0,5929,0,0,77861
1500301,92,501,0,0,0,0,0,8464,8464,0,0,0,0,8464,0,8464,0,124348
1500100,24,501,0,0,0,0,0,0,0,576,0,576,0,576,576,0,0,168333
1500302,109,243,0,0,0,0,0,11881,0,11881,0,11881,11881,11881,0,0,0,84114
1500301,15,207,0,0,0,0,0,0,0,0,0,225,0,225,225,0,0,28142
1500200,39,234,0,0,0,0,0,0,0,0,0,1521,0,0,1521,1521,0,32520
1500306,56,501,0,0,0,0,0,3136,0,3136,0,3136,0,0,0,0,0,203251
1500308,218,66,1,1,1,1,0,47524,0,0,0,0,47524,0,0,47524,0,10319
1500305,97,155,0,0,0,0,0,9409,0,0,0,0,0,0,0,0,9409,45862
1500305,79,225,0,0,1,0,0,0,0,0,6241,6241,0,0,0,6241,6241,69835
1500200,48,123,0,0,1,0,0,2304,0,2304,0,2304,0,0,0,0,0,25015
1500307,103,145,0,0,0,0,0,0,0,0,0,10609,0,0,10609,10609,0,20638
1500200,108,501,0,0,0,0,0,11664,0,11664,0,0,0,11664,11664,11664,0,93808
1500200,112,454,0,0,0,0,0,12544,0,0,12544,12544,12544,0,0,0,0,170522
1500303,65,245,0,0,1,0,0,0,0,0,0,4225,0,0,0,0,0,37523
1500307,36,501,0,0,0,0,0,1296,0,0,0,0,0,0,1296,0,0,181883
1500308,65,0,0,0,1,0,4225,0,0,0,0,4225,0,0,0,4225,0,100062
1500302,104,275,0,0,0,0,0,10816,0,10816,10816,10816,0,0,0,0,0,98290
1500307,52,97,0,0,1,0,0,2704,0,2704,0,2704,0,0,0,2704,0,18762
1500303,57,130,0,0,1,0,0,3249,0,3249,0,0,0,0,0,0,0,37523
1500200,55,156,0,0,0,0,0,3025,0,0,0,0,0,0,3025,3025,0,22097
1500304,121,501,0,0,0,0,0,0,0,0,0,14641,0,0,0,0,0,244943
1500302,41,352,0,0,0,0,0,0,0,0,0,1681,0,0,1681,0,0,52116
1500302,80,501,0,0,0,0,0,0,0,0,0,6400,0,6400,6400,0,0,106316
1500200,81,9,0,0,0,0,0,6561,0,0,0,0,0,0,6561,6561,0,1355
1500307,91,501,0,0,0,0,0,0,0,0,0,8281,0,8281,0,0,0,218260
1500100,34,411,0,0,0,0,0,1156,0,1156,0,0,0,0,1156,0,0,93183
1500100,13,501,0,0,0,0,0,0,0,0,0,169,0,0,169,0,0,95893
1500200,40,161,0,0,0,0,0,0,0,0,0,1600,0,1600,1600,1600,0,23660
