puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
1901400,116,273,0,0,1,0,0,0,0,0,0,13456,0,0,0,0,0,97143
1901800,126,413,0,0,0,0,0,0,0,0,0,15876,0,15876,15876,15876,0,91306
1901200,195,295,0,0,0,0,0,0,0,0,0,38025,0,0,0,0,0,104231
1902100,213,501,0,0,0,0,0,0,0,0,0,45369,0,0,0,0,0,203251
1901900,91,195,0,0,0,0,0,0,0,0,0,8281,0,0,8281,0,0,67750
1900301,135,501,0,0,0,0,0,0,0,0,0,18225,0,0,18225,0,0,110068
1901501,214,225,0,0,0,0,0,0,0,0,0,45796,0,0,45796,0,0,39816
1900600,93,440,0,0,0,0,0,0,0,0,0,8649,0,0,0,0,0,85470
1901800,60,412,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,62539
1901200,14,209,0,0,0,0,0,0,0,0,0,196,0,0,196,0,0,40650
1900400,71,105,0,0,0,0,5041,0,0,0,0,0,0,0,0,0,0,15947
1901300,13,501,0,0,1,0,0,0,0,0,0,169,169,0,0,0,0,126953
1902300,34,309,0,0,0,0,0,0,0,0,0,1156,0,0,0,1156,0,111527
1900100,57,175,0,0,0,0,3249,0,0,0,0,3249,0,0,0,0,0,51282
1901800,260,224,0,0,1,1,0,0,0,0,0,67600,0,0,0,67600,0,42735
1902300,393,249,0,0,1,0,154449,0,0,0,0,154449,0,0,154449,154449,0,49822
1902200,164,55,0,0,1,1,0,0,0,0,0,26896,0,0,0,0,0,16677
1902100,103,501,0,0,0,0,0,0,0,0,0,10609,0,0,10609,0,0,198873
1900500,90,501,0,0,0,0,0,0,0,0,0,8100,0,0,8100,8100,0,90056
1902100,79,398,0,0,1,0,0,0,0,0,0,6241,0,0,0,0,0,121950
1901501,70,336,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,52116
1900200,47,116,0,0,0,0,0,0,0,0,0,2209,0,0,2209,0,0,16469
1900100,104,428,0,0,0,0,0,0,0,0,0,10816,0,0,0,0,0,125077
1902200,245,130,0,0,0,1,0,0,0,0,0,60025,0,0,60025,60025,0,18449
1902100,56,263,0,0,0,0,0,0,0,0,0,3136,0,0,0,3136,0,40754
1901501,100,501,0,0,0,0,0,0,0,0,0,10000,0,0,10000,0,0,280903
1900100,24,353,0,0,0,0,0,0,0,0,0,576,0,0,576,0,0,70877
1901400,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,0,0,0,116739
1902100,8,501,0,0,0,0,0,0,0,0,0,64,0,0,64,64,0,126641
1900400,19,174,0,0,1,0,0,0,361,0,0,0,361,0,361,0,0,23973
1900900,83,379,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,109443
1901503,666,501,0,0,0,0,0,0,0,0,0,443556,0,0,0,0,0,77131
1901300,122,172,0,0,0,0,0,14884,0,0,0,0,0,0,0,0,14884,26058
1900400,16,501,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,80988
1900200,88,501,0,0,0,0,0,0,0,0,0,7744,0,0,7744,0,0,237438
1900900,262,501,0,0,0,0,0,0,0,0,0,68644,0,0,0,0,0,117781
1900302,145,501,0,0,0,0,0,0,0,0,0,21025,0,0,0,0,0,211381
1901800,37,488,0,0,0,0,0,0,0,0,0,1369,0,0,1369,0,0,89118
1900800,18,225,0,0,1,1,0,0,324,0,0,324,324,0,324,324,0,87554
1902000,18,363,0,0,0,0,0,0,0,0,0,324,0,324,324,0,0,71607
1901503,160,501,0,0,0,0,0,0,0,0,0,25600,0,0,0,25600,0,162392
1902000,34,316,0,0,0,0,0,0,0,0,0,1156,0,0,1156,0,0,53940
1901300,217,239,0,0,0,0,0,0,0,0,0,47089,0,47089,47089,0,0,53471
1900200,99,501,0,0,0,0,9801,0,0,0,0,9801,0,9801,9801,0,0,105586
1901900,25,178,0,0,0,0,0,0,625,0,0,625,0,625,625,0,0,31269
1901800,186,125,0,0,0,0,0,0,0,0,0,34596,0,0,34596,0,0,22201
1900600,40,365,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,105273
1901800,120,400,0,0,0,0,0,0,0,0,0,14400,0,14400,14400,14400,0,70669
1901100,88,340,0,0,0,0,0,0,0,0,0,7744,0,0,7744,0,0,48989
1900600,195,501,0,0,1,0,0,0,0,0,0,38025,0,0,0,0,0,101104
1901502,308,222,0,0,0,0,0,0,0,0,0,94864,0,0,94864,0,0,59933
1900301,26,349,0,0,0,0,0,0,0,0,0,676,0,0,676,0,0,210547
1902100,22,67,0,0,0,0,0,0,0,0,0,484,0,0,484,0,0,9589
1902100,21,151,0,0,1,1,0,0,0,0,0,441,0,0,0,0,0,52116
1900900,51,441,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,68793
1901501,84,501,0,0,0,0,0,0,0,0,0,7056,0,0,7056,0,0,142797
1902100,88,501,0,0,0,0,0,0,0,0,0,7744,0,0,7744,0,0,99124
1901900,65,501,0,0,1,0,0,0,0,0,0,4225,0,0,0,4225,0,188867
1900900,162,501,0,0,0,0,0,0,0,0,0,26244,0,26244,26244,0,0,185531
1901503,613,165,0,0,1,0,0,0,375769,0,0,375769,0,0,0,0,0,34500
1902100,64,99,0,0,1,1,0,0,0,0,0,4096,0,0,4096,4096,0,22097
1901900,58,501,0,0,0,0,0,0,0,0,0,3364,0,0,3364,0,0,210724
1902200,17,311,0,0,0,0,0,0,0,0,0,289,0,0,289,289,0,44194
1902200,76,190,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,26683
1900700,22,349,0,0,0,0,0,0,0,0,0,484,0,0,484,0,0,62018
1901200,27,447,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,69835
1900600,46,501,0,0,0,0,0,0,0,0,0,2116,0,0,2116,0,0,180111
1900100,10,454,0,0,1,0,0,0,0,0,0,100,0,0,100,0,0,83281
1901502,142,501,0,0,0,0,0,0,0,0,0,20164,20164,0,0,0,20164,495098
1900200,15,181,0,0,0,0,0,0,0,0,0,225,0,0,225,0,0,24703
1901501,154,313,0,0,0,0,0,0,0,0,0,23716,0,0,23716,0,0,46383
1902100,75,318,0,0,0,0,0,0,0,0,0,5625,0,5625,5625,5625,0,72753
1901900,17,501,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,505521
1901800,30,501,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,139670
1900700,17,501,0,0,0,0,0,0,0,0,0,289,0,0,289,0,0,192619
1901900,39,90,0,0,0,0,0,0,0,0,0,1521,0,0,1521,1521,0,12508
1902300,229,9,0,0,1,0,0,0,0,0,0,52441,0,0,52441,0,0,1251
1901400,33,153,0,0,1,0,0,0,1089,0,0,1089,0,0,0,0,0,53783
1901900,62,272,0,0,0,0,0,0,0,0,0,3844,0,0,3844,3844,0,52116
1902100,46,367,0,0,1,1,0,0,0,0,0,2116,0,2116,2116,2116,0,152636
1900302,119,473,0,1,1,0,0,0,14161,0,0,0,0,0,14161,0,0,81300
1902200,28,501,0,0,0,0,0,0,0,0,0,784,0,784,784,0,0,127579
