puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
1600100,133,382,0,0,1,0,0,0,0,0,0,17689,0,17689,0,0,0,84427
1600701,81,415,0,0,0,0,0,0,0,0,0,6561,6561,0,0,0,0,80779
1600100,68,284,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,38566
1600400,61,501,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,139670
1600400,58,168,0,0,1,0,3364,0,0,0,0,3364,3364,0,3364,0,0,70877
1600800,40,501,0,0,0,0,0,0,0,0,0,1600,0,1600,0,1600,0,192828
1601200,88,42,0,1,1,1,7744,0,0,0,0,7744,0,0,0,7744,0,10131
1600600,80,199,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,45236
1600400,21,373,0,0,0,0,441,0,0,0,0,441,0,0,441,0,0,71919
1601300,112,501,0,0,0,0,0,0,0,0,0,12544,0,0,12544,0,0,69314
1600500,61,247,0,0,0,0,0,0,3721,0,0,3721,0,0,3721,3721,0,50031
1600702,75,487,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,75046
1600200,134,188,0,1,1,1,0,0,0,0,0,17956,0,0,17956,17956,0,37596
1601000,80,113,0,0,1,1,6400,0,0,0,0,6400,0,0,0,0,0,38566
1601200,67,50,0,0,1,1,4489,0,0,0,0,4489,4489,0,0,0,0,11778
1600600,95,501,0,0,0,0,0,0,0,0,0,9025,0,0,0,0,0,196997
1600200,59,501,0,0,0,0,0,0,0,0,0,3481,0,3481,3481,3481,0,142588
1600800,80,3,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,1147
1601000,156,501,0,0,0,0,0,0,0,0,0,24336,0,0,0,0,0,161558
1601100,257,501,0,0,0,0,0,66049,0,0,0,66049,0,0,0,0,0,152177
1601000,123,501,0,0,0,0,0,0,0,0,0,15129,15129,0,0,0,0,156347
1601000,89,217,0,0,0,0,0,0,0,0,0,7921,0,0,0,0,0,65666
1600600,86,501,0,0,0,0,0,0,0,0,0,7396,0,7396,7396,7396,0,109443
1600701,246,51,0,0,1,1,0,0,0,0,0,60516,60516,0,0,60516,0,18449
1601300,85,296,0,0,1,1,0,0,0,0,0,7225,0,0,0,7225,0,125056
1600900,309,501,0,0,1,0,0,0,0,0,0,95481,0,0,0,0,0,196788
1600800,73,501,0,0,0,0,0,0,0,0,0,5329,0,0,5329,5329,0,103710
1600701,93,140,0,0,0,0,0,0,0,0,0,8649,0,0,0,0,0,68793
1601300,18,285,0,0,0,0,324,0,0,0,0,324,0,0,0,0,0,83385
1601100,81,173,0,0,0,0,0,0,0,0,0,6561,0,0,0,6561,0,58369
1600400,151,501,1,0,0,0,0,0,0,0,0,22801,0,0,22801,0,0,170939
1601300,62,355,0,0,0,0,0,0,0,0,0,3844,0,0,0,0,0,82343
1600100,13,398,0,0,0,0,169,0,0,0,0,169,0,0,0,0,0,91515
1600702,84,195,0,0,0,0,0,0,0,0,0,7056,0,0,7056,0,0,27100
1600701,181,257,0,0,0,0,0,0,0,0,0,32761,0,0,32761,0,0,34813
1600702,72,263,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,36377
1601000,128,501,0,0,0,0,0,0,0,0,0,16384,0,16384,16384,0,0,113925
1600702,71,336,0,0,0,0,0,0,0,0,0,5041,0,0,5041,0,0,50031
1601300,66,166,0,0,0,0,0,0,0,0,0,4356,0,0,4356,0,0,30435
1601100,60,371,0,0,1,0,0,0,0,0,0,3600,0,0,0,0,0,86512
1600400,94,501,0,0,0,0,0,0,0,0,0,8836,0,0,8836,0,0,196059
1601000,220,285,0,0,1,0,0,0,0,0,0,48400,48400,0,0,0,48400,104231
1600100,58,501,0,0,0,0,3364,0,0,0,0,3364,0,0,0,0,0,122784
1600701,91,377,0,0,0,0,0,0,0,0,0,8281,0,0,0,0,0,74942
1600100,45,343,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,52116
1600900,190,374,0,0,0,0,0,0,0,0,0,0,36100,0,0,36100,0,57327
1600300,16,162,0,0,1,0,0,0,0,0,0,256,0,0,0,256,0,25015
1600800,34,501,0,0,0,0,1156,0,0,0,0,1156,1156,1156,0,0,0,102146
1600200,229,128,1,1,1,1,0,52441,0,0,52441,52441,0,0,0,52441,0,24911
1600100,242,372,0,0,0,0,0,0,0,0,0,58564,0,0,58564,0,0,67542
1600600,81,501,0,0,0,0,0,0,0,0,0,6561,6561,0,0,0,0,180320
1600600,143,121,0,0,1,0,0,0,0,0,0,20449,20449,0,0,0,20449,43777
1601100,37,176,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,35439
1601200,27,431,0,0,0,0,0,0,0,0,0,729,0,0,729,0,0,59099
1601300,24,137,0,0,1,0,0,0,0,0,0,576,0,0,576,0,0,58474
1600800,154,161,0,0,0,0,0,0,0,0,0,23716,0,0,0,0,0,53158
1600900,66,293,0,1,1,0,0,0,0,0,0,4356,0,0,4356,0,0,50761
1600400,52,371,0,0,0,0,0,0,0,0,0,2704,0,0,2704,0,0,63373
1601300,211,45,0,0,0,0,0,0,0,0,0,44521,0,0,0,0,0,6775
1600701,77,501,0,0,0,0,0,0,0,0,0,5929,0,0,5929,0,0,106420
1600701,106,416,0,0,0,0,0,0,0,0,0,11236,0,0,0,11236,0,81300
1600400,85,287,0,0,0,0,0,0,0,0,0,7225,0,0,0,0,0,57327
1601100,199,282,0,0,0,0,0,0,0,0,0,39601,0,0,0,0,0,121429
1601000,105,443,0,0,0,0,0,0,0,0,0,0,11025,0,11025,0,11025,135500
1601100,90,210,0,0,0,0,0,0,0,0,0,8100,0,0,8100,8100,0,36585
1601100,71,54,0,0,0,0,0,0,0,0,0,5041,5041,0,5041,5041,0,7609
1600702,253,412,0,0,0,0,0,0,0,0,0,64009,0,0,0,0,0,62539
1600100,69,166,0,0,0,0,0,0,0,0,0,4761,0,0,4761,0,0,36898
1601300,75,389,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,154887
1601300,34,10,0,0,1,0,0,0,0,0,0,1156,1156,0,0,0,0,1563
1601200,133,501,0,0,0,0,0,0,0,0,0,17689,0,0,17689,17689,0,79007
1600300,10,203,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,31269
1601100,127,501,0,0,0,0,0,0,0,0,0,16129,0,0,0,0,0,117990
1600400,83,442,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,131331
1600800,67,395,0,0,0,0,4489,0,0,0,0,4489,0,0,0,0,0,92766
1601000,58,383,0,0,0,0,3364,0,0,0,0,3364,0,0,0,0,0,72962
1600702,68,501,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,92766
1600500,43,459,0,0,0,0,0,0,0,0,0,1849,0,0,1849,0,0,108400
1600500,93,139,0,0,1,0,8649,0,0,0,0,8649,8649,0,0,0,0,81196
1600100,55,501,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,127162
1600900,89,171,0,0,1,0,0,0,0,0,0,7921,0,0,0,0,0,50865
1600200,127,132,0,0,0,0,0,0,0,0,0,16129,0,0,0,0,0,64623
1600100,128,268,0,0,0,0,0,0,0,0,0,16384,0,16384,16384,0,0,45757
1600400,148,501,0,0,0,0,0,0,0,0,0,21904,0,0,21904,0,0,148008
1600701,294,172,0,0,0,0,0,0,0,0,0,86436,0,0,0,0,0,26058
1600701,81,115,0,0,1,0,0,0,0,0,0,6561,0,6561,0,6561,0,52637
1600300,50,243,0,0,0,0,0,0,0,0,0,2500,0,0,2500,2500,0,33354
1601000,24,488,0,1,1,0,0,0,0,0,0,576,0,576,576,576,0,84323
1600300,35,501,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,151135
1600600,112,192,0,0,0,0,0,0,0,0,0,0,12544,0,0,0,12544,58369
1600800,241,46,0,0,0,0,0,0,0,0,0,58081,0,0,58081,0,0,6983
1600200,141,209,0,0,1,0,0,0,0,0,0,19881,0,0,0,0,0,48989
1600900,461,445,0,0,0,0,0,0,0,0,0,212521,0,0,0,0,0,87658
1600400,104,501,0,0,0,0,0,0,0,0,0,10816,0,0,0,0,0,548256
1600500,74,216,0,0,0,0,0,0,0,0,0,5476,0,0,5476,0,0,30540
1600600,122,360,0,0,0,0,0,0,0,0,0,14884,0,0,0,0,0,86522
1600100,33,501,0,0,0,0,0,0,0,0,0,1089,0,1089,1089,1089,0,244943
1600702,90,194,0,0,0,0,0,0,0,0,0,8100,0,0,8100,0,0,28142
1601300,131,75,1,1,1,1,0,0,0,0,0,0,17161,0,17161,17161,0,11361
1600400,162,324,0,0,0,0,0,0,0,0,0,26244,0,0,0,0,0,77756
1600100,21,501,0,0,0,0,0,0,0,0,0,441,0,0,441,0,0,101104
1600200,129,276,0,0,0,0,0,0,0,0,0,16641,0,0,16641,16641,0,48780
1600900,73,195,0,0,1,0,0,0,0,0,0,5329,5329,0,5329,0,0,35439
1600900,522,354,0,0,0,0,0,0,0,0,0,0,272484,0,0,0,0,102146
1600702,232,0,0,0,0,0,0,0,0,0,0,53824,0,0,53824,0,0,0
1600800,73,477,0,0,0,0,0,5329,0,0,0,5329,0,0,0,0,0,167604
1600300,64,419,0,0,1,0,0,0,0,0,0,4096,0,0,4096,0,0,80258
1600300,134,408,0,0,0,0,0,0,0,0,0,17956,0,0,0,0,0,61496
1601000,77,300,0,0,0,0,5929,0,0,0,0,5929,0,0,0,0,0,89639
1600702,68,501,0,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,104325
1600100,111,37,1,0,0,1,0,0,0,0,0,0,12321,0,0,0,0,5837
1601300,79,501,0,0,0,0,0,0,0,0,0,6241,6241,0,0,6241,0,128204
1600900,45,501,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,189909
1600100,96,292,0,0,0,0,0,0,0,0,0,9216,0,9216,9216,9216,0,55555
1601200,155,226,0,0,1,0,0,0,0,0,0,24025,0,0,24025,0,0,45132
1600300,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,6724,0,0,102146
1600100,54,501,0,0,0,0,0,0,0,0,0,2916,0,2916,2916,0,0,156972
1601200,123,125,1,0,1,0,0,0,0,0,0,0,15129,0,0,0,0,74004
1600100,82,501,0,0,1,0,0,0,0,0,0,6724,0,0,6724,0,0,73483
1600300,49,290,0,0,0,0,0,0,0,0,0,2401,0,0,2401,0,0,51177
1600701,95,501,0,0,0,0,0,9025,0,0,0,0,0,0,0,9025,0,83385
1600702,84,449,0,0,0,0,0,0,0,0,0,7056,0,0,7056,7056,0,77131
1601300,64,484,0,0,0,0,0,0,0,0,0,4096,0,0,0,0,0,92766
1600701,73,365,0,0,0,0,0,0,0,0,0,5329,0,0,0,0,0,87763
1600300,27,69,0,1,1,1,729,0,0,0,0,0,0,0,729,729,0,9485
1600100,132,334,0,0,0,0,0,17424,0,0,17424,17424,0,0,0,0,0,104231
1600701,83,501,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,208462
1600500,139,255,0,0,1,0,0,0,0,0,0,19321,19321,0,0,0,19321,95893
1600600,101,501,0,0,0,0,0,0,0,0,0,10201,0,0,10201,10201,0,72649
1600300,42,386,0,0,0,0,0,0,0,0,0,1764,0,1764,1764,0,0,70043
1600600,44,501,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,74317
1600200,116,307,0,0,0,0,0,0,0,0,0,13456,0,0,0,0,0,94850
1600600,46,325,0,0,0,0,2116,0,0,0,0,2116,2116,0,0,0,0,61496
1600500,69,170,0,0,0,0,0,0,0,0,0,4761,0,0,0,0,0,51073
1601000,83,450,0,0,0,0,0,0,0,0,0,6889,0,0,6889,0,0,62539
1600100,17,456,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,88492
1600701,119,120,1,1,1,1,0,0,0,0,0,14161,0,0,0,14161,14161,35022
1600300,76,51,0,0,1,0,0,0,0,0,0,5776,0,0,0,0,0,17198
1600400,56,398,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,140712
1601100,135,174,0,0,0,0,0,0,0,0,0,18225,0,0,18225,18225,0,30852
1600400,92,50,0,0,0,0,0,0,0,0,0,8464,0,8464,8464,8464,0,8755
1600600,76,347,0,0,0,0,0,0,0,0,0,5776,0,5776,5776,0,0,67333
1601000,67,166,0,0,0,0,0,0,0,0,0,4489,0,0,0,0,0,26058
1600500,85,241,0,0,0,0,0,0,0,0,0,7225,0,0,0,0,0,55242
1600300,430,242,0,0,0,0,0,0,0,0,0,184900,0,0,184900,0,0,35022
1600100,14,343,0,0,0,0,196,0,0,0,0,196,0,0,0,0,0,99020
1600100,23,125,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,38357
1601100,42,276,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,82343
1601300,140,5,0,0,1,1,0,0,0,0,0,19600,0,0,0,0,0,803
1601100,143,96,0,0,1,0,0,0,0,0,0,20449,0,0,20449,20449,0,13550
1601200,134,501,0,0,0,0,0,0,0,0,0,17956,0,0,17956,0,0,106628
1601100,69,107,0,0,0,0,0,0,0,0,0,4761,0,0,4761,4761,0,18449
1600300,31,166,0,0,0,0,0,0,0,0,0,961,0,961,961,0,0,25954
1600800,138,248,0,0,0,0,0,0,0,0,0,19044,19044,0,0,0,0,75932
1600701,142,229,0,0,0,0,0,0,0,0,0,20164,0,0,20164,0,0,31478
1600600,75,46,0,0,0,0,0,5625,0,0,0,5625,5625,0,0,0,0,13863
1600702,343,134,0,0,1,0,0,0,117649,0,0,117649,0,0,0,0,0,32103
1600600,185,501,0,0,0,0,0,0,0,0,0,34225,0,0,0,0,0,125077
1600500,589,178,0,0,0,0,346921,0,0,0,0,346921,346921,0,0,0,0,53992
1600702,140,249,0,0,0,0,0,0,0,0,0,19600,0,19600,0,0,0,83906
1600800,130,155,0,0,0,0,0,0,0,0,0,16900,0,0,0,0,0,24599
1600100,178,265,0,0,0,0,0,0,0,0,0,31684,0,0,0,0,0,41692
1601300,94,126,1,1,1,0,0,0,0,0,0,8836,0,8836,8836,0,0,21889
1600900,58,501,0,0,1,0,0,0,0,0,0,3364,0,3364,3364,3364,0,95476
1600702,62,329,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,0,50031
1600702,77,263,0,0,0,0,0,0,0,0,0,5929,0,0,0,0,5929,104231
1600600,94,501,0,0,0,0,0,0,0,0,0,8836,0,0,8836,0,0,120178
1600600,60,216,0,0,1,0,0,0,0,0,0,3600,0,0,3600,3600,0,42526
1601300,9,501,0,0,0,0,0,0,0,0,0,81,0,0,81,81,0,104335
1600702,66,501,0,1,1,0,0,4356,0,0,0,4356,0,0,4356,4356,0,421094
1600100,33,501,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,327286
1600200,155,501,0,0,0,0,0,0,0,0,0,24025,0,0,0,0,0,218885
1600100,35,218,0,0,0,0,0,0,0,0,0,1225,0,1225,1225,1225,0,31790
1600100,38,393,0,0,1,1,0,0,0,0,0,1444,0,0,1444,1444,0,67229
1600400,126,440,0,0,0,0,0,0,0,0,0,15876,0,0,15876,15876,0,62539
1600100,21,501,0,0,0,0,0,0,0,0,0,441,441,0,441,0,0,151760
1600900,107,144,0,0,0,0,0,0,0,0,0,11449,11449,0,11449,0,0,25745
1600702,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,0,0,0,151135
1600400,53,95,0,0,1,0,0,0,0,0,0,2809,0,0,2809,0,0,14071
1600400,60,334,0,0,0,0,0,0,0,0,0,3600,0,0,3600,3600,0,45862
1600300,35,55,0,0,0,0,0,0,0,0,0,1225,0,1225,0,0,0,18762
1601300,60,224,0,0,0,0,0,0,0,0,0,3600,3600,0,0,0,0,80258
1601000,53,334,0,0,0,0,0,0,0,0,0,2809,0,0,2809,0,0,58578
1601100,19,492,0,0,0,0,0,0,0,0,0,361,0,0,0,361,0,118823
1601000,45,501,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,491971
1600200,60,213,0,0,1,0,0,0,0,0,0,3600,0,0,3600,3600,0,65874
1600200,72,243,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,33354
1600200,90,190,0,0,0,0,0,0,0,0,0,8100,0,0,8100,0,0,27725
1601100,73,359,0,0,0,0,0,0,0,0,0,5329,0,0,5329,0,0,68793
1600500,82,347,0,0,0,0,0,0,0,0,0,6724,0,0,6724,6724,0,59307
1600800,145,501,0,0,0,0,0,0,0,0,0,21025,0,0,21025,0,0,93808
1601100,95,126,0,0,1,0,0,0,0,0,0,9025,9025,0,0,0,0,36481
1600200,71,279,0,0,0,0,0,0,0,0,0,5041,0,5041,5041,5041,0,51157
1600701,230,433,0,0,0,0,0,52900,0,0,0,0,0,0,0,0,0,99020
1600600,85,381,0,0,0,0,0,0,0,0,0,7225,0,0,0,0,0,86720
1600500,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,6724,0,0,154054
1600100,18,271,0,0,0,0,324,0,0,0,0,324,324,0,324,0,0,46591
1600500,57,384,0,0,1,0,3249,0,0,0,0,3249,0,0,0,3249,0,140920
1600500,104,233,0,0,0,1,0,0,0,0,0,10816,0,0,0,0,0,47946
1600701,259,501,0,0,0,0,0,0,67081,0,0,67081,0,67081,0,67081,0,99020
1600800,66,245,0,0,0,0,0,0,0,0,0,4356,0,4356,4356,4356,0,42214
1600100,60,269,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,37211
1600900,695,156,0,0,1,0,0,0,0,0,0,483025,0,483025,483025,483025,0,28559
1601200,166,451,0,0,0,0,0,0,0,0,0,27556,0,0,0,0,0,133416
1601000,61,501,0,0,0,0,0,0,0,0,0,3721,0,3721,3721,0,0,92557
1601100,183,218,0,0,0,0,0,0,0,0,0,33489,0,0,0,0,0,51386
1601100,23,474,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,115175
1600500,67,365,0,0,1,0,0,0,0,0,0,4489,0,0,4489,0,0,70460
1600600,75,501,0,0,0,0,0,0,0,0,0,5625,0,5625,0,0,0,148008
1601100,126,329,0,0,1,0,0,0,0,0,0,15876,0,0,0,15876,0,65874
1600200,151,383,0,0,0,0,0,0,0,0,0,22801,0,0,0,0,0,119866
1601300,94,501,0,1,1,0,0,0,0,0,0,8836,0,0,8836,0,0,147591
1601100,83,2,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,15947
1600702,82,501,0,0,0,0,0,0,0,0,0,6724,0,6724,0,0,0,159474
1600900,24,257,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,111110
1600500,87,138,0,0,0,0,0,0,0,0,0,7569,0,0,7569,7569,0,20846
1600300,88,81,0,0,1,0,7744,0,0,0,0,7744,0,0,0,0,0,29185
1600100,113,326,0,0,0,0,0,0,0,0,0,12769,0,0,0,0,0,62539
1600100,420,102,0,0,0,0,0,0,0,0,0,176400,0,0,0,0,0,52532
1601300,192,501,0,0,0,0,0,0,0,0,0,36864,36864,0,0,0,0,168750
1600800,71,501,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,166770
1600300,8,501,0,0,0,0,0,0,0,0,0,64,0,64,64,0,0,100145
1600701,274,209,0,0,1,0,0,0,0,0,0,75076,0,0,0,0,0,63581
1601000,80,59,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,8338
1600600,200,501,0,0,1,0,0,0,0,0,0,40000,40000,40000,40000,0,0,212840
1600500,83,239,0,0,1,1,0,0,0,0,0,6889,0,6889,6889,6889,0,45862
1600600,90,262,0,0,0,0,0,0,0,0,0,8100,0,0,8100,8100,0,37002
1600500,210,451,0,0,0,0,0,0,0,0,0,44100,0,44100,0,0,0,87554
1600100,15,445,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,66708
1601300,147,340,0,0,0,0,0,0,0,0,0,21609,0,0,0,0,0,51282
1600400,80,194,0,0,0,0,0,0,0,0,0,6400,0,6400,6400,6400,6400,37940
1600702,67,455,0,0,0,0,0,0,0,0,0,4489,0,4489,0,4489,0,154262
1600100,134,95,0,0,1,1,0,0,0,0,0,17956,0,0,0,0,0,22514
1601000,275,501,0,0,0,0,0,0,0,0,0,0,75625,0,0,0,0,155304
1601300,50,0,0,0,1,1,2500,0,0,0,0,0,0,0,0,0,0,0
1600200,44,144,0,0,0,0,0,0,0,0,0,1936,0,1936,1936,0,0,25954
1601300,75,67,0,1,1,1,0,0,0,0,0,5625,0,5625,0,5625,0,32416
1601300,65,232,0,0,1,0,0,0,0,0,0,4225,0,0,0,0,0,91202
1600500,50,501,0,0,0,0,0,0,0,0,0,2500,0,0,2500,0,0,130914
1601300,48,370,0,0,0,0,0,0,0,0,0,2304,0,0,2304,2304,0,86303
1600200,124,376,0,0,0,0,0,0,0,0,0,15376,15376,0,0,0,0,113612
1600400,93,501,0,0,0,0,0,0,0,0,0,8649,0,0,8649,0,0,244005
1600200,128,144,0,0,0,0,0,0,0,0,0,16384,16384,0,0,16384,0,42839
1601300,55,501,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,195954
1600300,151,435,0,0,0,0,0,0,0,0,0,22801,0,0,22801,0,0,68793
1600300,16,100,0,0,0,0,256,0,0,0,0,256,0,0,0,0,0,15635
1600400,112,410,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,0,94538
1600300,59,346,0,0,0,0,0,0,0,0,0,3481,3481,0,3481,0,0,59412
1600100,44,136,0,0,0,0,0,0,0,0,0,1936,0,0,1936,1936,0,30227
1600800,89,271,0,0,0,0,0,0,0,0,0,7921,0,7921,0,0,0,80258
1600300,46,475,0,0,0,0,0,0,0,0,0,2116,0,0,2116,0,0,87137
1600900,69,279,0,0,0,0,0,4761,0,0,0,4761,0,4761,4761,0,0,65874
1600800,48,30,0,0,0,0,2304,0,0,0,0,2304,0,0,2304,0,0,5212
1600900,40,417,0,0,0,0,0,0,0,0,0,1600,0,0,0,1600,0,97143
1600701,157,186,0,0,0,0,0,0,0,0,0,24649,0,0,24649,0,0,26266
1600100,61,316,0,0,1,0,0,0,0,0,0,3721,0,0,0,0,0,109443
1600900,72,106,1,1,1,1,5184,0,0,0,0,5184,0,0,5184,5184,0,18657
1601300,105,501,0,0,0,0,0,0,0,0,0,11025,0,0,0,0,0,408586
1601200,60,296,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,123347
1600500,62,295,0,0,0,0,0,0,0,0,0,3844,3844,0,0,0,0,43881
1600100,56,501,0,0,0,0,3136,0,0,0,0,3136,3136,0,0,0,0,277776
1600100,44,106,0,0,0,0,0,0,0,0,0,1936,0,0,1936,1936,0,14697
1600100,144,287,0,0,0,0,0,0,0,0,0,20736,0,20736,20736,0,0,52116
1601000,19,134,0,0,0,0,0,0,0,0,0,361,0,0,361,361,0,19387
1600300,172,264,0,0,0,0,0,0,0,0,0,29584,0,0,0,0,0,64102
1601300,396,455,0,0,0,0,0,0,0,0,0,156816,0,0,0,0,0,138419
1600400,63,217,0,0,0,0,0,0,0,0,0,3969,0,0,3969,0,0,30925
1600400,67,221,0,0,0,0,4489,0,0,0,0,4489,0,0,4489,0,0,31269
1600500,185,501,0,0,0,0,0,0,0,0,0,34225,0,0,0,0,0,227536
1600200,71,501,0,0,0,0,0,0,0,0,0,5041,0,0,5041,0,0,327286
1601300,112,501,0,0,0,0,0,0,0,0,0,12544,0,0,0,12544,0,132373
1600702,90,280,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,41484
1601100,65,404,0,0,0,0,0,0,0,0,0,4225,0,0,0,0,0,77975
1601200,60,185,0,1,1,0,0,0,0,0,0,3600,0,0,3600,3600,0,37627
1600702,77,501,0,0,0,0,0,0,0,0,0,5929,0,0,5929,0,0,224097
1600300,15,251,0,0,0,0,0,0,0,0,0,225,0,0,225,0,0,45028
1600701,78,501,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,0,237647
1601000,85,178,0,0,1,0,0,0,0,0,0,7225,0,0,0,0,0,79216
1600500,228,299,0,0,0,0,0,0,0,0,0,51984,0,51984,51984,0,0,52845
1601200,115,88,0,0,1,0,0,0,0,0,0,13225,0,0,13225,13225,0,12195
1600400,72,501,0,0,0,0,0,0,0,0,0,5184,0,0,0,0,0,106316
1600701,79,299,0,0,0,0,0,0,0,0,0,6241,6241,0,0,0,0,87554
1600900,69,88,0,0,0,0,0,0,0,0,0,4761,0,0,4761,0,0,15530
1600702,151,272,0,0,1,0,0,0,0,0,0,22801,0,0,22801,22801,0,46852
1601100,9,501,0,0,0,0,0,0,0,0,0,81,0,0,81,81,0,114029
1601300,97,117,0,0,1,0,0,0,9409,0,0,9409,0,0,0,9409,0,52116
1600300,87,69,0,1,1,1,0,0,0,0,0,7569,0,0,0,7569,0,10527
1601200,51,339,0,0,0,0,0,0,0,0,0,2601,0,0,2601,2601,0,48780
1600600,57,260,0,0,1,0,0,0,0,0,0,3249,3249,0,0,0,0,39608
1600701,520,392,0,0,0,0,0,0,0,0,0,270400,0,0,0,0,0,60454
1600300,44,311,0,0,0,0,0,0,0,0,0,1936,0,0,1936,1936,0,53887
1600100,232,38,0,0,0,0,0,0,0,0,0,53824,0,0,53824,0,0,5316
1601100,187,490,0,0,0,0,34969,0,0,0,0,34969,0,0,0,34969,0,72962
1600500,98,501,0,0,0,0,0,0,0,0,0,9604,0,0,0,0,0,127162
1600701,75,501,0,0,0,0,0,0,0,0,0,5625,0,0,0,5625,0,142275
1600500,89,501,0,0,0,0,0,0,0,0,0,7921,0,0,0,0,0,196059
1600500,75,80,0,0,0,0,0,0,0,0,0,0,5625,0,5625,5625,0,11361
1600800,163,501,0,0,0,0,0,26569,0,0,0,26569,0,0,0,0,0,76089
