metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
16984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
16984,0,0,0,0,0,0,0,0,0,0,0,0,0,161604,0,0,0,402
16984,0,0,0,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,68
16984,0,0,0,0,0,0,0,0,0,0,0,7225,0,0,0,0,0,85
16984,0,0,0,0,0,0,0,0,0,0,0,10000,0,10000,0,10000,20325,100
16984,0,0,0,0,0,0,0,0,0,0,0,25281,0,0,0,0,0,159
16984,0,0,0,0,0,0,0,0,0,0,0,45369,45369,0,45369,45369,20294,213
16984,0,0,0,0,0,0,0,0,0,0,0,60516,0,60516,60516,60516,0,246
16984,0,0,0,0,0,0,0,0,0,0,0,62500,0,62500,0,62500,0,250
16984,0,0,0,0,0,0,0,0,0,0,0,93636,0,0,93636,0,0,306
16984,0,0,0,0,0,0,0,0,0,0,0,152100,0,0,0,0,0,390
16984,0,0,0,0,0,0,0,0,0,0,81,0,0,81,0,0,0,9
16984,0,0,0,0,0,0,0,0,0,0,196,196,0,0,0,196,0,14
16984,0,0,0,0,0,0,0,0,0,0,1024,0,0,1024,1024,0,0,64
16984,0,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,37
16984,0,0,0,0,0,0,0,0,0,0,1369,0,1369,0,0,0,0,37
16984,0,0,0,0,0,0,0,0,0,0,1369,1369,0,0,1369,0,5212,37
16984,0,0,0,0,0,0,0,0,0,0,1444,0,0,1444,0,0,0,38
16984,0,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,0,44
16984,0,0,0,0,0,0,0,0,0,0,2025,0,0,2025,0,0,0,45
16984,0,0,0,0,0,0,0,0,0,0,2025,2025,0,0,0,0,52116,45
16984,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,59412,46
16984,0,0,0,0,0,0,0,0,0,0,2601,2601,0,2601,0,0,0,51
16984,0,0,0,0,0,0,0,0,0,0,2704,0,0,2704,0,0,0,52
16984,0,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,10,53
16984,0,0,0,0,0,0,0,0,0,0,2809,0,0,2809,0,0,0,53
16984,0,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,0,54
16984,0,0,0,0,0,0,0,0,0,0,2916,0,0,2916,0,0,0,108
16984,0,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,0,55
16984,0,0,0,0,0,0,0,0,0,0,3249,0,0,3249,3249,0,-2293,57
16984,0,0,0,0,0,0,0,0,0,0,3364,0,0,3364,0,0,0,58
16984,0,0,0,0,0,0,0,0,0,0,3364,0,0,3364,0,3364,0,58
16984,0,0,0,0,0,0,0,0,0,0,3364,0,3364,3364,3364,0,0,58
16984,0,0,0,0,0,0,0,0,0,0,3481,0,0,3481,3481,0,0,59
16984,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,0,120
16984,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,3600,0,0,60
16984,0,0,0,0,0,0,0,0,0,0,3721,3721,0,3721,0,0,0,61
16984,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,0,0,0,62
16984,0,0,0,0,0,0,0,0,0,0,3844,0,0,3844,0,3844,0,62
16984,0,0,0,0,0,0,0,0,0,0,3969,0,0,0,0,0,0,63
16984,0,0,0,0,0,0,0,0,0,0,3969,0,0,0,3969,0,0,63
16984,0,0,0,0,0,0,0,0,0,0,3969,0,0,3969,3969,0,0,126
16984,0,0,0,0,0,0,0,0,0,0,4096,0,4096,4096,4096,0,0,64
16984,0,0,0,0,0,0,0,0,0,0,4225,0,0,4225,0,0,0,130
16984,0,0,0,0,0,0,0,0,0,0,4225,0,0,4225,4225,0,0,65
16984,0,0,0,0,0,0,0,0,0,0,4356,0,0,4356,0,0,0,66
16984,0,0,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,0,68
16984,0,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,0,68
16984,0,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,0,71
16984,0,0,0,0,0,0,0,0,0,0,5041,0,0,5041,0,0,-417,71
16984,0,0,0,0,0,0,0,0,0,0,5184,0,0,0,0,0,0,72
16984,0,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,0,72
16984,0,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,0,150
16984,0,0,0,0,0,0,0,0,0,0,5776,0,0,0,0,0,0,152
16984,0,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,0,76
16984,0,0,0,0,0,0,0,0,0,0,6241,0,0,6241,0,0,0,79
16984,0,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,80
16984,0,0,0,0,0,0,0,0,0,0,6561,0,6561,0,0,0,0,81
16984,0,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,0,83
16984,0,0,0,0,0,0,0,0,0,0,7225,0,0,7225,0,0,0,85
16984,0,0,0,0,0,0,0,0,0,0,8100,0,0,8100,8100,0,146,90
16984,0,0,0,0,0,0,0,0,0,0,8100,0,8100,8100,0,0,0,90
16984,0,0,0,0,0,0,0,0,0,0,8464,0,0,0,0,0,2085,92
16984,0,0,0,0,0,0,0,0,0,0,8649,0,0,0,0,0,0,93
16984,0,0,0,0,0,0,0,0,0,0,8836,0,0,8836,0,0,0,94
16984,0,0,0,0,0,0,0,0,0,0,8836,0,8836,0,0,0,0,94
16984,0,0,0,0,0,0,0,0,0,0,8836,8836,0,8836,0,0,0,94
16984,0,0,0,0,0,0,0,0,0,0,9216,0,0,0,0,0,-2293,96
16984,0,0,0,0,0,0,0,0,0,0,10404,0,0,10404,0,0,0,102
