SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000001,501,0,0,0,0,1703167,43,0,0,43,0,0,0,0,0,43,0,0,154262
2022HU0000071,216,0,0,0,0,1711901,24,0,0,0,0,0,24,24,0,0,0,0,84427
2022HU0000092,451,0,0,0,0,1711901,114,0,0,0,0,0,114,0,0,0,0,0,85313
2022HU0000093,61,0,0,1,1,1709100,239,0,0,239,0,0,0,0,0,0,0,0,18595
2022HU0000106,499,0,0,0,0,1703167,66,0,0,66,0,0,0,0,0,66,0,0,69835
2022HU0000108,294,0,0,1,1,1703163,139,0,0,0,0,0,0,139,0,0,139,139,58369
2022HU0000139,360,0,0,0,0,1716700,13,0,0,0,0,0,13,0,0,0,0,0,52949
2022HU0000140,420,0,0,0,0,1719900,24,0,0,0,0,0,24,0,0,24,0,0,79528
2022HU0000178,196,0,0,0,0,1709705,68,0,0,0,0,0,68,0,0,68,0,0,27121
2022HU0000260,188,0,0,1,0,1709100,22,0,0,0,0,0,22,0,0,22,22,0,43256
2022HU0000319,159,0,0,0,0,1703115,113,0,0,0,0,0,113,0,0,113,0,113,22931
2022HU0000349,246,0,0,0,0,1709702,63,0,0,0,0,0,63,63,63,0,63,0,75046
2022HU0000350,196,0,0,0,0,1703153,123,0,123,0,0,0,123,0,0,0,0,0,30227
2022HU0000360,254,0,0,0,1,1716700,77,0,0,77,0,0,0,0,0,0,0,0,38566
2022HU0000364,501,0,0,0,0,1711101,77,0,0,0,0,0,77,0,0,77,0,0,76506
2022HU0000419,191,0,0,0,0,1711300,72,0,0,72,0,0,0,0,0,0,0,0,28142
2022HU0000444,501,0,0,0,0,1719702,77,0,0,0,0,0,77,77,0,0,0,0,208462
2022HU0000449,501,0,0,0,0,1709703,264,0,0,0,0,0,264,0,0,0,0,0,264747
2022HU0000467,501,0,0,0,0,1703161,108,0,0,0,0,0,108,0,0,0,0,0,193870
2022HU0000500,501,0,0,0,0,1703164,298,0,0,0,0,298,0,298,0,0,0,0,122993
2022HU0000510,254,0,0,0,0,1716302,38,0,0,0,0,0,38,0,0,0,0,0,56285
2022HU0000521,140,0,0,1,1,1709703,201,0,0,201,0,0,0,0,0,0,0,0,94955
2022HU0000559,401,0,0,0,0,1703700,19,0,0,0,0,0,19,0,0,0,0,0,143370
2022HU0000573,501,0,0,0,0,1709704,76,0,0,0,0,0,76,0,0,0,0,0,356470
2022HU0000611,232,0,0,0,0,1709500,70,0,0,0,0,0,70,0,0,70,0,0,39712
2022HU0000646,323,0,0,0,0,1709500,8,0,0,0,0,0,8,0,0,8,0,0,56285
2022HU0000689,501,0,0,0,0,1703154,158,0,0,0,0,0,158,0,0,0,0,0,156347
2022HU0000696,501,0,0,0,0,1703152,66,0,0,0,0,0,66,0,0,66,66,0,204293
2022HU0000704,162,0,1,1,1,1711901,97,0,0,0,0,0,97,0,0,0,97,0,38566
2022HU0000728,501,0,0,0,0,1709100,36,0,0,0,0,0,36,0,0,36,0,0,93391
2022HU0000736,312,0,0,0,0,1719500,11,0,0,0,0,0,11,0,0,11,0,0,43777
2022HU0000761,128,0,0,0,0,1711500,40,0,0,0,0,0,40,0,0,40,40,0,18032
2022HU0000804,286,0,1,0,0,1703155,55,0,0,0,0,0,55,0,55,55,55,0,40025
2022HU0000828,501,0,0,0,0,1702900,29,0,0,0,0,0,29,0,0,29,0,0,122367
2022HU0000858,225,0,0,0,0,1703161,42,0,42,0,0,0,0,0,0,0,0,0,87971
2022HU0000887,501,0,0,0,0,1707300,45,0,0,0,0,0,45,0,45,45,45,0,117573
2022HU0000919,141,1,0,1,1,1703155,143,0,0,0,0,0,143,0,0,0,0,143,27934
2022HU0000933,493,0,0,0,0,1711300,61,0,0,0,0,0,61,0,0,61,0,0,84761
2022HU0000943,451,0,0,0,0,1703159,134,0,0,0,0,0,134,0,0,0,0,0,70877
2022HU0000946,192,0,0,0,0,1703163,322,0,0,0,0,0,0,322,0,322,0,322,36481
