metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
29414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
29414,0,0,0,0,0,0,0,0,0,0,2916,0,0,2916,0,0,0,54
29414,0,0,0,0,0,0,0,0,0,0,3025,0,3025,3025,0,0,31,55
29414,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,3600,0,0,60
29414,0,0,0,0,0,0,0,0,0,0,3721,0,3721,3721,3721,0,0,61
29414,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,0,0,0,62
29414,0,0,0,0,0,0,0,0,0,0,5929,0,0,5929,5929,0,0,77
29414,0,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,0,0,78
29414,0,0,0,0,0,0,0,0,0,0,6561,0,0,6561,6561,6561,0,81
29414,0,0,0,0,0,0,0,0,0,0,9025,0,0,9025,0,0,0,95
29414,0,0,0,0,0,0,0,0,0,0,9604,0,0,9604,0,0,0,98
29414,0,0,0,0,0,0,0,0,0,0,11449,0,0,0,0,0,41692,107
29414,0,0,0,0,0,0,0,0,0,0,16641,0,0,16641,0,0,0,129
29414,0,0,0,0,0,0,0,0,0,0,18225,0,0,0,0,0,0,270
29414,0,0,0,0,0,0,0,0,0,0,37636,0,0,37636,37636,0,0,194
29414,0,0,0,0,0,0,0,0,0,0,62001,0,0,62001,0,62001,57327,249
29414,0,0,0,0,0,0,0,5476,0,0,0,0,0,5476,0,0,0,74
29414,0,0,0,0,0,0,0,6084,0,0,0,0,0,6084,6084,0,0,78
29414,0,0,0,0,0,0,0,8836,0,0,0,0,0,8836,0,0,0,94
29414,0,0,0,0,0,0,0,22500,0,0,0,0,0,22500,22500,0,0,150
29414,0,0,0,0,0,0,42025,0,0,0,0,0,0,0,0,0,0,205
29414,0,0,0,0,0,0,94249,0,0,0,0,0,0,0,0,94249,0,307
29414,0,0,0,0,1,0,0,3844,0,0,0,0,0,3844,3844,0,0,62
29414,0,0,0,0,1,0,0,22201,0,0,0,0,0,0,0,0,0,149
29414,0,0,0,0,1,0,0,197136,0,0,0,0,0,0,0,0,0,444
29414,0,0,0,1,0,0,0,0,0,0,0,1521,1521,0,1521,0,0,39
29414,0,0,0,1,0,0,0,0,0,0,729,729,0,0,0,0,0,27
29414,0,0,0,1,0,0,0,0,0,0,2304,0,0,2304,0,0,0,48
29414,0,0,0,1,0,0,0,0,0,0,3025,0,0,0,3025,0,0,55
29414,0,0,0,1,0,0,0,0,0,0,3721,0,0,0,0,0,5212,61
29414,0,0,0,1,0,0,0,0,0,0,5041,0,0,5041,0,0,0,71
29414,0,0,0,1,0,0,0,0,0,0,5776,0,0,0,0,0,10006,76
29414,0,0,0,1,0,0,0,0,0,0,8649,0,0,0,0,0,7296,93
29414,0,0,0,1,0,0,0,0,0,0,15876,0,0,0,0,0,39295,126
29414,0,0,0,1,0,0,0,0,0,0,17689,17689,0,0,0,0,46904,133
29414,0,0,0,1,0,0,0,0,0,0,133956,0,0,0,0,0,62539,366
29414,0,0,0,1,0,0,0,1089,0,0,0,0,0,1089,1089,0,0,33
29414,0,0,0,1,0,0,0,13689,0,0,0,0,0,0,13689,0,0,117
29414,0,0,0,1,1,0,0,0,0,0,0,30976,0,0,0,0,0,176
29414,0,0,0,1,1,0,0,0,0,0,1024,0,0,0,1024,0,0,32
29414,0,0,0,1,1,0,0,0,0,0,2025,0,0,0,2025,0,24286,45
29414,0,0,0,1,1,0,0,0,0,0,2500,0,0,0,0,0,0,50
29414,0,0,0,1,1,0,0,0,0,0,2704,0,0,2704,0,0,0,52
29414,0,0,0,1,1,0,0,0,0,0,4624,0,0,0,4624,0,0,68
29414,0,0,0,1,1,0,0,0,0,0,6889,6889,6889,0,0,0,0,83
29414,0,0,0,1,1,0,0,0,0,0,8100,8100,0,0,8100,0,0,90
29414,0,0,0,1,1,0,0,0,0,0,8464,0,0,0,8464,0,0,92
29414,0,0,0,1,1,0,0,0,0,0,101761,0,0,0,101761,0,86512,319
29414,0,0,0,1,1,0,0,0,0,0,103684,103684,0,0,0,0,0,322
29414,0,0,0,1,1,0,0,3721,0,0,0,0,0,0,0,0,0,61
29414,0,0,0,1,1,0,0,3844,0,0,0,0,0,0,0,0,0,62
29414,0,0,0,1,1,0,0,6561,0,0,0,0,0,0,0,0,0,81
29414,0,0,0,1,1,0,0,30976,0,0,0,0,0,0,0,0,0,176
29414,0,0,0,1,1,0,0,34969,0,0,0,0,0,0,0,0,0,187
29414,0,0,0,1,1,0,0,36481,0,0,0,0,0,0,0,0,0,191
29414,0,0,0,1,1,0,0,47961,0,0,0,0,0,0,0,0,0,219
29414,0,0,0,1,1,0,0,48841,0,0,48841,0,0,48841,48841,0,0,221
29414,0,0,0,1,1,0,0,71824,0,0,0,0,0,0,0,0,0,268
29414,0,0,0,1,1,0,0,107584,0,0,0,0,0,0,0,0,0,328
29414,0,0,0,1,1,0,0,161604,0,0,0,0,0,0,161604,0,0,402
29414,0,0,1,1,1,0,0,4624,0,0,0,0,0,0,4624,0,-2502,68
29414,0,1,0,1,1,0,0,0,0,0,5329,0,0,0,5329,0,21,73
29414,1,0,0,0,0,0,0,0,0,0,6724,0,0,6724,0,0,208,82
29414,1,0,0,0,1,0,0,6724,0,0,6724,0,0,0,0,0,281,82
29414,1,0,0,0,1,0,0,8464,0,0,0,0,0,8464,0,0,156,92
29414,1,0,0,1,0,0,0,58081,0,0,0,58081,0,0,58081,0,229,241
29414,1,0,0,1,1,0,0,0,0,0,91204,91204,0,0,0,0,50344,302
29414,3,0,0,1,0,0,0,0,0,0,121,0,0,0,121,0,490,11
29414,3,0,0,1,1,0,0,1681,0,0,1681,0,0,1681,1681,0,563,41
29414,3,0,0,1,1,0,0,123201,0,0,0,123201,0,0,0,0,1042,351
29414,5,0,1,1,1,0,0,23409,0,0,0,0,0,0,0,0,1772,153
29414,6,0,0,0,0,0,0,0,0,0,11449,0,0,11449,0,0,1255,107
29414,6,0,0,0,0,0,0,32761,0,0,0,0,0,0,32761,0,1042,181
29414,6,0,0,1,0,0,0,0,0,0,15876,0,0,0,0,0,938,126
29414,6,0,0,1,1,0,0,1225,0,0,0,0,0,0,1225,0,980,35
29414,6,0,0,1,1,0,0,226576,0,0,0,0,0,0,0,0,1355,476
29414,7,0,0,0,0,0,0,13456,0,0,0,0,0,0,0,0,42735,116
29414,8,0,0,1,0,0,0,0,0,0,231361,0,231361,231361,231361,0,1251,481
29414,8,0,0,1,0,0,0,3025,0,0,0,0,0,3025,3025,0,1251,55
29414,8,0,0,1,0,0,0,10404,0,0,0,0,0,10404,10404,0,1355,102
29414,8,0,0,1,1,0,0,0,0,0,16384,0,0,0,16384,0,32916,128
29414,8,0,0,1,1,0,0,4356,0,0,0,0,0,4356,4356,0,1251,66
29414,9,0,0,0,0,0,0,2304,0,0,0,0,0,0,0,0,1355,48
29414,9,0,0,1,0,0,9801,0,0,0,0,0,0,0,9801,9801,2085,99
29414,9,1,0,1,0,7396,0,0,0,0,0,0,0,0,7396,0,1438,86
29414,10,0,0,0,0,0,0,0,0,0,9801,0,9801,9801,0,0,27131,99
29414,10,0,0,0,0,0,121,0,0,0,121,0,0,121,0,0,1563,11
