puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
1802200,76,501,0,0,0,0,0,0,0,0,0,5776,0,5776,5776,0,0,190430
1800800,83,501,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,191160
1801500,23,501,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,118823
1800300,61,92,0,0,1,1,0,0,0,0,0,3721,0,0,3721,3721,0,13446
1803400,200,383,0,0,0,0,0,0,0,0,0,40000,0,0,40000,40000,0,72441
1803600,78,501,0,0,0,0,0,0,0,0,0,6084,0,0,6084,6084,0,102042
1800501,92,0,0,0,0,0,0,0,0,0,0,8464,0,0,8464,0,0,0
1801600,28,67,0,1,1,1,0,0,0,0,0,784,0,0,0,784,0,10006
1801700,139,18,0,0,1,1,0,0,0,0,0,19321,0,0,0,19321,0,3648
1801002,123,446,0,0,0,0,0,0,0,0,0,15129,0,0,0,0,0,89639
1800401,72,56,0,0,1,0,0,0,5184,0,0,0,0,0,0,0,5184,16885
1803100,21,103,0,0,1,0,0,0,0,0,0,441,0,0,0,0,0,31269
1801001,93,501,0,0,0,0,0,0,8649,0,0,8649,0,0,0,0,0,106316
1801400,285,327,0,0,0,0,0,0,0,0,0,81225,0,0,0,0,0,48676
1803500,8,278,0,0,0,0,0,0,0,0,0,64,0,0,64,64,0,50552
1802900,18,86,0,0,0,0,0,324,0,0,0,0,0,0,0,0,324,13550
1802800,77,354,0,0,0,0,0,0,0,0,0,5929,0,0,0,0,0,67750
1802000,58,452,0,0,0,0,0,0,0,0,0,3364,0,0,3364,3364,0,79810
1802403,78,344,0,0,1,0,0,0,0,0,0,6084,0,0,0,0,6084,69835
1801902,101,501,0,0,0,0,0,0,0,0,0,10201,0,0,0,0,0,235562
1801500,37,118,0,0,0,0,0,0,0,0,0,1369,0,0,1369,0,0,17094
1800700,46,104,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,31269
1801901,128,494,0,0,0,0,0,0,0,0,0,16384,0,16384,0,0,0,95893
1801100,53,24,0,0,0,0,0,0,0,0,0,2809,0,0,2809,2809,0,3440
1803200,112,480,0,0,1,0,0,0,0,0,0,12544,0,0,0,12544,0,145924
1800900,13,437,0,0,0,0,0,0,0,0,0,169,0,0,169,0,0,80258
1800800,87,225,0,0,0,0,0,0,0,0,0,7569,0,0,7569,0,0,34917
1803600,76,501,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,93662
1800900,58,286,0,0,0,0,0,0,0,0,0,3364,0,0,3364,3364,0,39295
1802401,130,155,0,0,0,0,0,0,0,0,0,16900,0,0,0,16900,0,22931
1803500,18,180,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,53158
1800401,219,276,0,0,0,0,0,0,0,0,0,47961,0,0,0,0,0,41692
1802300,258,501,0,0,0,0,0,0,0,0,0,66564,0,66564,0,0,0,243275
1800200,287,501,0,0,0,0,0,0,0,0,0,82369,0,0,0,0,0,177193
1803300,62,58,0,0,1,0,0,0,0,0,0,3844,0,0,0,0,0,9068
