SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000006,501,0,0,0,0,1802200,76,0,0,0,0,0,76,0,76,76,0,0,190430
2022HU0000054,501,0,0,0,0,1800800,83,0,0,0,0,0,83,0,0,0,0,0,191160
2022HU0000062,501,0,0,0,0,1801500,23,0,0,0,0,0,23,0,0,0,0,0,118823
2022HU0000184,92,0,0,1,1,1800300,61,0,0,0,0,0,61,0,0,61,61,0,13446
2022HU0000261,383,0,0,0,0,1803400,200,0,0,0,0,0,200,0,0,200,200,0,72441
2022HU0000298,501,0,0,0,0,1803600,78,0,0,0,0,0,78,0,0,78,78,0,102042
2022HU0000475,0,0,0,0,0,1800501,92,0,0,0,0,0,92,0,0,92,0,0,0
2022HU0000537,67,0,1,1,1,1801600,28,0,0,0,0,0,28,0,0,0,28,0,10006
2022HU0000649,18,0,0,1,1,1801700,139,0,0,0,0,0,139,0,0,0,139,0,3648
2022HU0000764,446,0,0,0,0,1801002,123,0,0,0,0,0,123,0,0,0,0,0,89639
2022HU0000782,56,0,0,1,0,1800401,72,0,0,72,0,0,0,0,0,0,0,72,16885
2022HU0000879,103,0,0,1,0,1803100,21,0,0,0,0,0,21,0,0,0,0,0,31269
2022HU0000942,501,0,0,0,0,1801001,93,0,0,93,0,0,93,0,0,0,0,0,106316
2022HU0000956,327,0,0,0,0,1801400,285,0,0,0,0,0,285,0,0,0,0,0,48676
2022HU0001026,278,0,0,0,0,1803500,8,0,0,0,0,0,8,0,0,8,8,0,50552
2022HU0001107,86,0,0,0,0,1802900,18,0,18,0,0,0,0,0,0,0,0,18,13550
2022HU0001203,354,0,0,0,0,1802800,77,0,0,0,0,0,77,0,0,0,0,0,67750
2022HU0001220,452,0,0,0,0,1802000,58,0,0,0,0,0,58,0,0,58,58,0,79810
2022HU0001413,344,0,0,1,0,1802403,78,0,0,0,0,0,78,0,0,0,0,78,69835
2022HU0001416,501,0,0,0,0,1801902,101,0,0,0,0,0,101,0,0,0,0,0,235562
2022HU0001427,118,0,0,0,0,1801500,37,0,0,0,0,0,37,0,0,37,0,0,17094
2022HU0001479,104,0,0,0,0,1800700,46,0,0,0,0,0,46,0,0,0,0,0,31269
2022HU0001535,494,0,0,0,0,1801901,128,0,0,0,0,0,128,0,128,0,0,0,95893
2022HU0001552,24,0,0,0,0,1801100,53,0,0,0,0,0,53,0,0,53,53,0,3440
2022HU0001561,480,0,0,1,0,1803200,112,0,0,0,0,0,112,0,0,0,112,0,145924
2022HU0001599,437,0,0,0,0,1800900,13,0,0,0,0,0,13,0,0,13,0,0,80258
2022HU0001659,225,0,0,0,0,1800800,87,0,0,0,0,0,87,0,0,87,0,0,34917
2022HU0001669,501,0,0,0,0,1803600,76,0,0,0,0,0,76,0,0,76,0,0,93662
2022HU0001700,286,0,0,0,0,1800900,58,0,0,0,0,0,58,0,0,58,58,0,39295
2022HU0001784,155,0,0,0,0,1802401,130,0,0,0,0,0,130,0,0,0,130,0,22931
2022HU0001866,180,0,0,0,0,1803500,18,0,0,0,0,0,18,0,0,0,0,0,53158
2022HU0001986,276,0,0,0,0,1800401,219,0,0,0,0,0,219,0,0,0,0,0,41692
2022HU0002026,501,0,0,0,0,1802300,258,0,0,0,0,0,258,0,258,0,0,0,243275
2022HU0002037,501,0,0,0,0,1800200,287,0,0,0,0,0,287,0,0,0,0,0,177193
2022HU0002059,58,0,0,1,0,1803300,62,0,0,0,0,0,62,0,0,0,0,0,9068
2022HU0002120,501,0,0,0,0,1801200,85,0,85,0,0,0,85,0,0,0,0,0,224097
2022HU0002206,391,0,0,0,0,1801200,120,0,0,0,0,0,120,0,0,120,0,0,61496
2022HU0002283,96,0,0,1,0,1802100,83,0,0,0,0,0,83,0,0,0,83,0,14592
2022HU0002293,501,0,0,0,0,1801902,70,0,0,0,0,0,70,0,0,0,0,0,597453
2022HU0002340,294,0,0,0,0,1801300,113,0,0,0,0,0,113,0,0,0,0,0,89847
2022HU0002395,501,0,0,0,0,1800101,66,0,0,0,0,0,66,66,66,0,0,66,214716
2022HU0002435,501,0,0,0,0,1803300,83,0,0,0,0,0,83,0,0,0,0,0,132373
2022HU0002454,179,0,0,1,0,1801200,22,0,0,0,0,0,22,0,0,22,22,0,32937
2022HU0002490,302,0,0,1,0,1803400,109,0,0,0,0,0,109,0,109,0,109,0,124348
2022HU0002495,459,0,0,0,0,1803000,127,0,127,0,0,0,127,0,0,0,0,0,115697
2022HU0002515,501,0,0,0,0,1801801,130,0,0,0,0,0,130,0,0,0,0,0,179382
2022HU0002728,415,0,0,0,0,1801002,74,74,0,74,0,0,74,0,0,74,74,0,97352
2022HU0002787,188,0,0,1,0,1803500,79,0,0,0,0,0,79,0,0,0,0,0,44819
2022HU0002822,166,0,0,0,0,1801400,23,0,0,23,0,0,23,0,23,0,0,0,48051
2022HU0002883,135,0,0,0,0,1800102,205,0,0,0,0,0,205,0,205,205,0,0,18762
2022HU0002912,129,0,0,0,0,1801100,14,0,0,0,0,0,14,0,14,14,14,0,23139
2022HU0002981,414,0,0,0,0,1801600,31,0,0,0,0,0,31,0,0,0,0,0,62539
2022HU0003075,117,0,0,1,0,1801300,77,0,0,0,0,0,77,0,0,0,77,0,17407
2022HU0003088,351,0,0,0,0,1802405,112,0,0,0,0,0,112,0,0,0,0,0,121950
2022HU0003105,314,0,0,0,0,1800600,92,0,0,0,0,0,92,0,0,92,0,0,63581
2022HU0003235,134,0,0,1,1,1801500,79,0,0,0,0,0,79,0,0,0,0,0,20846
2022HU0003257,273,0,0,0,0,1802800,9,0,0,0,0,0,9,0,0,9,9,0,37502
2022HU0003338,501,0,1,0,0,1800600,70,0,0,0,0,0,70,0,0,0,0,70,498537
2022HU0003361,501,0,0,0,0,1802600,121,0,0,0,0,0,121,0,0,121,0,0,132373
2022HU0003418,501,0,0,0,0,1802407,55,0,0,0,0,0,55,0,0,55,0,0,128204
2022HU0003464,132,0,1,1,0,1802500,44,0,0,0,0,0,44,0,44,0,0,0,30852
2022HU0003480,501,0,0,0,0,1802600,409,0,0,0,0,0,409,0,0,0,0,0,180872
2022HU0003515,319,0,0,0,0,1802300,100,0,0,0,0,0,100,0,0,0,0,0,110485
2022HU0003570,501,0,0,0,0,1802300,142,0,0,0,0,0,142,0,142,0,0,0,565975
2022HU0003589,134,0,0,1,0,1802200,13,0,0,0,0,0,13,0,0,13,0,0,23139
2022HU0003623,164,0,0,0,0,1802000,188,0,0,0,0,0,188,0,188,0,0,0,31269
2022HU0003714,132,0,0,0,0,1801003,54,0,0,0,0,0,54,0,54,54,54,0,32937
2022HU0003759,283,0,0,0,0,1803700,81,0,0,0,0,0,81,81,0,0,81,0,65666
2022HU0003809,406,0,0,0,0,1801300,63,0,0,0,0,0,63,0,0,0,63,0,93808
2022HU0003843,501,0,0,0,0,1802401,77,0,0,77,0,0,0,0,0,77,77,0,71919
2022HU0003851,501,0,0,0,0,1801902,65,0,0,0,0,0,65,0,0,0,0,0,107358
2022HU0003949,501,0,0,0,0,1802402,72,0,0,0,0,0,72,0,0,72,0,0,178444
2022HU0003998,154,0,0,0,0,1800104,72,0,0,0,0,0,72,0,0,72,0,0,27830
2022HU0004006,241,0,0,0,0,1800900,19,0,0,0,0,0,19,0,19,19,19,0,33562
2022HU0004014,419,0,0,0,0,1802402,92,0,0,92,0,0,0,0,92,92,0,0,74421
2022HU0004021,501,0,0,0,0,1803300,117,0,0,0,0,0,117,0,0,117,117,0,296850
2022HU0004034,233,0,0,0,0,1801200,43,0,0,0,0,0,43,0,0,43,43,0,33771
2022HU0004059,501,0,0,0,0,1803000,62,0,0,0,0,0,62,0,62,62,62,0,193661
2022HU0004082,217,0,0,1,0,1803400,241,0,0,0,0,0,241,0,0,0,0,0,119866
2022HU0004138,116,0,0,0,0,1803500,13,0,0,0,0,0,13,13,13,0,13,13,22722
2022HU0004260,321,0,0,0,0,1802300,77,0,0,0,0,0,77,0,0,0,0,0,112570
2022HU0004335,387,0,0,0,0,1802800,19,0,0,0,0,0,19,0,0,0,0,0,120908
2022HU0004377,406,0,0,0,0,1803200,9,0,0,0,0,0,9,0,0,0,0,0,62539
2022HU0004634,235,0,0,0,0,1800800,34,0,0,0,0,0,34,0,0,34,0,0,32312
2022HU0004658,501,0,0,0,0,1800700,184,0,0,184,0,0,184,0,184,184,0,0,177193
2022HU0004659,474,0,0,0,0,1803300,73,0,0,0,0,0,73,0,0,73,0,0,67333
2022HU0004773,220,0,0,0,0,1800800,39,0,0,0,0,0,39,0,0,0,0,0,44819
2022HU0004882,274,0,0,0,0,1801200,31,0,0,0,0,0,31,0,0,0,0,0,52116
2022HU0004914,284,0,0,0,0,1800600,45,0,0,0,0,0,45,0,0,0,0,0,67854
2022HU0004928,118,0,0,1,0,1802800,69,0,0,0,0,0,69,0,0,69,0,0,16990
2022HU0004988,452,0,0,0,0,1802900,131,0,0,0,0,0,131,0,0,0,0,0,67750
2022HU0005055,501,0,0,0,0,1803000,65,0,0,0,0,0,65,0,0,65,65,0,95267
2022HU0005149,133,0,0,0,0,1801200,72,0,72,0,0,0,0,0,0,0,0,72,20012
2022HU0005199,187,0,0,0,0,1803300,17,0,0,0,0,0,17,0,0,17,0,0,25745
2022HU0005203,501,0,0,0,0,1800502,73,0,0,0,0,0,73,0,0,0,0,0,177193
2022HU0005236,429,0,0,0,0,1800402,94,0,0,0,0,0,94,0,0,0,0,0,67750
2022HU0005274,501,0,0,0,0,1802600,190,0,0,0,0,0,190,0,0,0,0,0,156347
2022HU0005343,296,0,0,0,0,1801002,280,0,0,0,0,0,280,0,0,0,0,0,58369
2022HU0005397,497,0,0,0,0,1800104,111,0,0,111,0,0,0,0,0,0,0,0,76089
2022HU0005473,403,0,0,0,0,1801801,321,0,0,0,0,0,321,0,0,0,0,0,83385
2022HU0005597,347,0,0,0,0,1803400,71,0,0,0,0,0,71,0,0,71,71,0,62956
2022HU0005611,400,0,0,0,0,1801400,228,228,0,0,0,0,228,0,0,0,228,0,62539
