puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2000601,30,305,0,0,0,0,0,0,0,0,0,900,0,900,900,0,0,55034
2001201,77,102,0,1,1,0,0,0,0,0,0,5929,0,0,5929,5929,0,15843
2000300,30,395,0,0,1,0,0,0,0,0,0,900,0,0,0,0,0,78173
2001101,77,287,1,0,1,1,0,0,0,0,0,5929,0,5929,5929,0,0,198664
2000200,136,501,0,0,0,0,0,0,0,0,0,18496,0,0,18496,0,0,104231
2000100,142,268,0,0,0,0,0,0,0,0,0,20164,0,0,20164,20164,0,48363
2000300,177,217,0,0,1,0,0,0,0,0,0,31329,0,31329,31329,0,0,38149
2001101,10,384,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,70043
2000900,94,443,0,0,1,0,0,0,0,0,0,8836,0,8836,8836,0,0,80883
2001401,168,194,0,0,0,0,0,0,0,0,0,28224,0,0,0,28224,0,44819
2000400,79,252,0,0,0,0,0,0,0,0,0,6241,0,0,0,0,0,50031
2001600,9,279,0,0,1,0,0,0,0,0,0,81,0,81,81,81,0,47946
2000501,168,278,0,0,0,0,0,0,0,0,0,28224,0,0,0,0,0,41692
2000803,108,501,0,0,0,0,0,11664,11664,0,0,0,0,0,0,0,0,582652
2000601,174,501,0,0,0,0,0,0,0,0,0,30276,0,0,30276,0,0,136230
2001201,138,66,0,1,1,1,0,0,0,0,0,19044,19044,0,19044,0,0,20085
2001701,103,434,0,0,0,0,0,0,0,0,0,10609,0,0,0,0,0,67750
2000700,39,30,0,0,0,0,0,1521,0,0,0,1521,0,1521,1521,1521,0,5212
2001501,86,88,0,0,0,1,0,0,0,0,0,7396,0,0,7396,7396,0,12195
2000100,17,81,0,0,0,0,0,0,0,0,0,289,0,0,289,289,0,12820
2000300,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,0,0,0,187824
2001000,24,154,0,1,1,1,0,0,0,0,0,576,0,576,0,576,0,22722
2001701,111,167,0,0,0,0,0,0,0,0,0,12321,0,0,12321,12321,0,37367
2001501,208,387,0,0,0,0,0,43264,0,0,0,0,0,0,0,0,43264,117781
2000200,157,501,0,0,0,0,0,0,0,0,0,24649,0,0,0,0,0,125786
2001101,17,448,0,0,0,0,0,0,0,0,0,289,0,0,289,0,0,85365
2001701,137,414,0,0,0,0,0,0,0,0,0,18769,0,18769,18769,18769,0,74213
2000803,97,465,0,0,0,0,0,0,0,0,0,9409,0,0,9409,9409,0,66083
2000801,92,501,0,0,0,0,0,0,0,0,0,8464,0,0,0,0,0,90681
2001101,35,347,0,0,0,0,1225,0,0,0,0,1225,0,0,0,1225,0,80883
2000900,72,81,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,11465
2000801,91,501,0,0,0,0,0,0,0,0,0,8281,0,0,0,0,0,255366
2000601,18,100,0,0,1,0,0,0,0,0,0,324,0,0,324,0,0,14092
2000400,93,501,0,0,0,0,0,0,0,0,0,8649,0,0,8649,0,0,96935
2000700,134,72,0,0,1,1,0,0,0,0,0,17956,0,0,0,0,0,21159
2000400,75,501,0,0,0,0,0,0,5625,0,0,0,0,5625,5625,0,0,123201
2000802,83,501,0,0,0,0,0,0,0,0,0,6889,0,0,6889,0,0,138210
2000100,48,298,0,0,0,0,0,0,0,0,0,2304,0,0,2304,2304,0,56493
2000300,18,398,0,0,0,0,0,0,0,0,0,324,0,0,324,324,0,67938
2000100,17,225,0,0,0,0,0,0,0,0,0,289,0,0,289,289,0,54513
