SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000171,501,0,0,0,0,2102600,128,0,0,0,0,0,128,0,0,128,0,0,558679
2022HU0000268,501,0,0,0,0,2102300,43,0,0,0,0,0,43,0,0,0,0,0,198039
2022HU0000277,453,0,0,0,0,2101705,65,0,0,0,0,0,65,0,0,0,0,65,86825
2022HU0000381,90,0,0,1,0,2101703,9,0,0,0,0,0,9,0,0,9,9,0,16260
2022HU0000382,386,0,0,0,0,2101800,69,0,0,0,0,0,69,0,0,0,0,0,87554
2022HU0000417,501,1,1,1,0,2101100,12,0,0,0,0,0,12,0,0,12,12,0,115697
2022HU0000442,178,0,0,0,0,2101702,61,0,0,0,0,0,61,0,0,61,61,0,25015
2022HU0000454,501,0,0,0,0,2102500,115,0,0,0,0,0,115,0,0,0,0,0,442461
2022HU0000507,357,0,0,0,0,2102200,52,0,0,0,0,0,52,0,0,0,0,0,67959
2022HU0000551,30,1,0,1,1,2100800,77,0,0,0,0,0,77,0,0,0,0,0,7421
2022HU0000558,14,0,0,0,0,2101901,403,0,0,0,0,0,403,0,0,0,0,0,2085
2022HU0000624,208,0,0,0,1,2100900,129,0,0,0,0,0,129,0,129,0,129,0,54200
2022HU0000743,284,0,0,0,0,2101400,40,0,0,0,0,0,40,0,0,40,40,0,50239
2022HU0000839,382,0,0,0,0,2101703,123,0,0,0,0,0,123,0,0,0,0,0,114654
2022HU0000991,501,0,0,0,0,2101703,19,0,0,0,0,0,19,0,19,19,19,0,472167
2022HU0001004,123,0,0,1,0,2101706,302,0,0,0,0,0,302,0,0,302,302,0,24390
2022HU0001157,144,0,0,0,0,2101400,64,0,0,0,0,0,64,0,0,64,0,0,20429
2022HU0001347,501,0,0,0,0,2101703,15,0,0,0,0,0,15,0,0,0,0,0,255366
2022HU0001370,183,0,0,0,0,2100700,63,0,0,0,0,0,63,0,0,0,0,0,42735
2022HU0001511,326,0,0,0,0,2102500,89,0,0,0,0,0,89,0,89,0,89,0,74004
2022HU0001546,426,0,0,1,0,2101706,197,0,0,197,0,0,0,0,0,197,197,0,257242
2022HU0001549,499,0,0,0,0,2102700,95,0,0,0,0,0,95,0,0,95,0,0,96935
2022HU0001565,261,0,0,0,0,2100300,9,0,0,0,0,0,9,0,0,9,0,0,46487
2022HU0001663,0,0,0,0,0,2101200,405,0,0,0,0,0,405,0,0,405,405,0,0
2022HU0001670,438,0,0,0,0,2101400,65,0,0,0,0,0,65,0,65,65,65,0,77402
2022HU0001840,191,0,0,1,0,2102700,29,0,0,0,0,0,29,0,0,0,29,0,44715
2022HU0001869,18,0,0,1,0,2100400,58,0,0,0,0,0,58,0,0,58,58,0,68376
2022HU0001888,193,0,0,1,0,2102300,146,0,0,0,0,0,146,0,0,0,0,0,58369
2022HU0001994,501,0,0,0,0,2101705,263,0,0,263,0,0,263,263,0,0,0,263,149050
2022HU0002008,501,0,0,0,0,2101100,68,0,0,0,0,0,68,0,0,68,0,0,136855
2022HU0002048,337,0,0,1,0,2101706,108,0,0,0,0,0,108,0,0,0,108,0,140712
2022HU0002086,181,0,0,0,0,2102500,108,0,0,108,0,0,108,0,0,0,108,0,48884
2022HU0002142,265,0,0,1,0,2101200,34,0,0,0,0,0,34,0,0,0,0,0,40650
2022HU0002200,117,0,0,0,0,2102400,83,0,0,0,0,0,83,0,0,83,83,0,16156
2022HU0002343,170,0,0,1,0,2100500,81,0,0,0,0,0,81,0,0,0,81,0,41692
2022HU0002361,208,0,0,0,0,2101702,101,0,0,0,0,0,101,0,0,0,0,0,31269
2022HU0002374,361,0,0,0,0,2102500,209,0,0,0,0,0,209,0,0,0,0,0,99228
2022HU0002430,318,0,0,0,0,2101705,92,0,0,0,0,0,92,0,0,0,0,0,60975
2022HU0002607,501,0,0,0,0,2101600,64,0,0,0,0,0,64,0,0,0,0,0,182926
2022HU0002740,375,0,0,0,0,2102700,120,0,0,0,0,0,120,0,0,120,0,0,53262
2022HU0002890,501,0,0,0,0,2102400,86,0,0,0,0,0,86,0,86,0,0,0,151760
2022HU0002903,0,0,0,0,0,2101902,152,0,0,152,0,0,0,0,0,152,0,0,21993
2022HU0002964,386,0,0,0,0,2102600,56,0,0,0,0,0,56,0,56,56,0,0,68063
2022HU0003019,243,0,0,0,0,2100200,45,0,0,0,0,0,45,0,0,45,0,0,46383
2022HU0003066,369,0,0,0,0,2100600,160,0,0,0,0,0,160,0,0,0,0,0,54200
2022HU0003261,501,0,0,0,0,2101702,73,0,0,0,0,0,73,0,0,73,73,0,147487
2022HU0003411,149,0,0,0,0,2102400,57,0,0,0,0,0,57,0,0,57,0,0,20638
2022HU0003462,352,0,0,0,0,2101300,91,0,0,91,0,0,0,0,0,0,0,0,52116
2022HU0003505,501,0,0,1,0,2100100,97,0,0,0,0,0,97,0,97,97,0,0,133833
2022HU0003526,309,0,0,0,0,2102500,130,0,0,0,0,0,130,0,0,0,0,0,59203
2022HU0003541,496,0,0,0,0,2101705,16,0,0,0,0,0,16,0,0,16,0,0,84782
2022HU0003598,0,0,0,1,0,2101705,219,0,0,0,0,0,219,219,0,0,0,219,0
2022HU0003627,246,0,0,1,0,2101300,293,0,0,0,0,293,293,293,293,0,293,0,84740
2022HU0003641,154,0,0,0,0,2100300,93,0,0,0,0,0,93,0,93,0,0,0,36481
2022HU0003667,380,0,0,0,0,2102700,64,0,0,0,0,0,64,0,0,0,0,0,85053
2022HU0003800,304,0,0,1,0,2101703,77,0,0,77,0,0,0,0,0,0,0,0,58995
2022HU0003826,388,0,0,0,0,2100800,84,0,0,0,0,0,84,0,0,0,0,0,112570
2022HU0003850,175,0,1,1,0,2102700,10,10,0,0,0,0,10,0,0,0,10,0,52949
2022HU0003927,69,0,1,1,1,2102600,148,0,0,0,0,0,148,0,0,0,148,0,10215
