puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2200400,207,501,0,0,0,0,0,0,42849,0,0,0,0,42849,42849,0,0,102146
2201502,266,70,0,1,1,1,0,0,70756,0,0,0,0,0,70756,70756,0,10736
2201300,78,501,0,0,0,0,0,0,0,0,0,6084,0,0,0,6084,0,114654
2201600,63,501,0,0,0,0,0,3969,0,0,0,3969,0,0,0,0,0,208462
2202401,200,501,0,0,0,0,0,0,0,0,0,40000,40000,0,0,40000,0,124035
2201504,102,353,0,0,0,0,0,0,0,0,0,10404,0,0,10404,0,0,70043
2202201,133,371,0,0,0,0,0,0,0,0,0,17689,0,0,0,0,0,78173
2200200,94,501,0,0,0,0,0,0,0,0,0,8836,0,0,8836,0,0,145079
2200700,22,501,0,0,0,0,0,0,0,0,0,484,0,484,0,484,0,116113
2200300,94,141,0,0,0,0,0,0,0,0,0,8836,0,0,0,0,0,20846
2202100,102,328,0,0,0,0,0,0,0,0,0,10404,0,0,0,0,0,97977
2200901,89,127,1,0,0,0,0,0,0,0,0,7921,0,7921,7921,0,7921,18032
2200101,90,12,1,0,1,1,0,0,8100,0,0,0,0,0,0,8100,0,3106
2201000,22,147,0,0,1,0,0,0,0,0,0,484,0,0,484,0,0,26787
2202501,153,38,0,0,0,0,0,0,0,0,0,23409,0,0,0,0,0,9381
2202303,98,360,0,0,1,0,0,0,0,0,0,9604,0,0,9604,0,0,80675
2202303,137,81,0,0,0,0,0,0,0,0,0,18769,0,0,0,18769,0,12091
2201503,75,354,0,0,0,0,0,0,0,0,0,5625,5625,0,5625,0,0,65040
2200600,47,69,0,0,0,0,0,0,0,0,0,2209,0,0,2209,0,0,9589
2202403,36,501,0,0,0,0,0,0,0,0,0,1296,0,0,1296,0,0,424221
2200300,53,15,0,0,1,1,0,0,2809,0,0,0,0,0,0,0,0,5212
2200102,327,376,0,0,0,0,0,0,0,0,0,106929,0,106929,106929,0,0,64623
2202303,37,117,0,1,1,1,0,0,1369,0,0,0,0,0,1369,1369,0,16469
2200101,178,312,0,0,1,0,0,0,31684,0,0,0,0,0,31684,31684,0,122472
2201700,54,68,0,0,1,1,0,0,0,0,0,2916,0,0,2916,0,0,9381
2200500,15,250,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,37523
2201300,224,376,0,0,0,0,0,0,0,0,0,50176,0,0,50176,0,0,68167
2201501,99,172,0,0,0,0,0,0,0,0,0,9801,0,9801,9801,0,0,30019
2200102,30,501,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,200124
2202303,174,487,0,0,0,0,0,0,0,0,0,30276,0,0,0,0,0,72962
2201400,79,501,0,0,0,0,0,0,0,0,0,6241,0,0,6241,0,0,787987
2201202,693,77,0,0,1,1,0,0,0,0,0,480249,0,0,480249,480249,0,10944
2201000,213,79,0,1,1,0,0,0,45369,0,0,0,0,0,0,0,0,216905
2200700,196,133,0,0,0,0,0,38416,0,0,0,38416,0,0,38416,0,0,18136
2200600,29,138,0,0,0,0,0,0,0,0,0,841,0,0,841,841,0,19804
2201000,33,501,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0,102146
2200101,82,175,0,1,1,0,0,0,6724,0,0,0,0,0,6724,6724,0,34813
2202000,33,236,0,0,1,0,1089,0,0,0,0,0,1089,0,1089,1089,1089,113508
2200600,205,0,0,0,1,1,0,0,42025,0,0,0,0,0,0,0,0,0
2202303,227,501,0,0,0,0,0,0,0,0,0,51529,0,51529,51529,51529,0,229308
2200600,468,56,0,0,1,1,0,0,219024,0,0,0,0,0,0,0,0,13029
2202302,86,501,0,0,0,0,0,7396,0,0,0,0,0,0,7396,0,0,310609
2201900,65,26,0,0,1,0,0,0,4225,0,0,0,0,4225,4225,0,0,3752
2202501,14,286,0,0,0,0,196,0,0,0,0,0,0,0,196,0,0,41171
2201700,199,288,0,0,0,0,0,0,0,0,0,39601,0,39601,0,0,0,87554
2201503,58,418,0,0,0,0,0,0,0,0,0,3364,0,0,3364,0,3364,75359
2202201,135,135,0,0,1,0,0,0,0,0,0,18225,0,0,0,0,0,41692
2200300,26,488,0,0,0,0,0,0,0,0,0,676,0,0,676,676,0,96018
2202201,59,501,0,0,0,0,0,0,0,0,0,3481,0,0,0,0,0,666037
2200400,105,405,1,0,1,1,0,0,11025,0,0,0,0,0,11025,11025,0,117990
2200300,30,63,0,0,1,1,0,0,900,0,0,0,0,0,900,900,0,8860
2201900,40,501,0,1,1,0,0,0,1600,0,0,0,0,0,0,1600,0,169688
2202000,40,81,0,1,1,0,0,0,1600,0,0,0,0,1600,1600,1600,0,29445
2202302,51,295,0,0,0,0,0,0,0,0,0,2601,0,0,2601,2601,0,40025
2201502,61,242,0,1,1,0,0,0,3721,0,0,0,0,3721,3721,3721,0,48259
2200400,64,43,0,1,1,1,0,0,4096,0,0,0,0,0,0,4096,0,39191
2202100,31,113,0,0,1,0,0,0,961,0,0,0,0,0,961,0,0,16156
2200901,71,259,0,0,0,0,0,0,0,0,0,5041,0,0,5041,0,0,50656
2202000,49,124,0,0,1,0,0,0,0,0,0,2401,0,0,0,0,0,18762
2200901,113,181,0,0,1,1,0,0,0,0,0,12769,0,0,0,0,0,42839
2201000,380,117,0,0,0,0,0,0,0,0,0,144400,0,0,144400,144400,0,41380
2202201,55,501,0,0,0,0,0,0,0,0,0,3025,0,3025,3025,0,0,162069
2200102,182,346,0,0,0,0,0,0,33124,0,0,0,0,33124,0,33124,0,52532
2202401,66,190,0,1,1,0,0,0,4356,0,0,0,0,0,4356,4356,0,26058
2201600,92,453,0,0,0,0,0,0,0,0,0,8464,0,0,0,8464,0,104231
2200200,10,225,1,0,1,1,0,0,0,0,0,100,0,0,0,0,0,46049
2201400,97,217,0,0,0,0,0,0,0,0,0,9409,0,0,9409,9409,0,39087
2202401,67,11,0,0,1,0,0,0,4489,0,0,0,0,0,0,4489,0,23452
2201600,26,501,0,0,0,0,676,0,0,0,0,676,0,0,0,0,0,129247
2200600,34,9,0,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,1355
2201800,38,99,0,0,0,0,0,1444,0,0,0,1444,1444,0,0,0,0,75151
2200101,65,390,0,0,0,0,0,0,0,0,0,4225,0,0,0,0,0,57327
2200200,94,470,0,0,0,0,0,0,0,0,0,8836,0,0,0,0,0,93808
2201503,236,501,0,0,0,0,0,0,0,0,0,55696,0,0,0,55696,0,168854
2202402,122,443,0,0,0,0,0,0,0,0,0,14884,0,0,14884,0,0,77652
2201700,40,61,0,0,1,0,0,0,1600,0,0,0,0,0,1600,1600,0,11257
2202402,149,114,0,0,1,0,0,0,22201,0,0,0,0,0,0,0,0,22410
2202501,93,380,0,0,1,0,0,0,0,0,0,8649,0,8649,8649,8649,0,66708
2200200,59,41,0,0,1,1,0,0,0,0,0,3481,0,0,0,3481,0,6462
2201700,174,98,0,0,1,0,0,0,0,0,0,30276,0,0,0,0,0,43881
2202302,54,143,0,0,0,0,0,0,0,0,0,2916,0,0,2916,0,0,20325
2200901,63,501,0,0,0,0,0,0,0,0,0,3969,0,3969,0,0,0,252990
2201502,235,187,0,0,0,1,0,0,55225,0,0,0,0,0,0,0,0,41692
2201000,310,73,0,1,1,0,0,0,96100,0,0,0,0,0,96100,96100,96100,17094
2202403,134,501,0,0,0,0,17956,0,17956,0,0,17956,17956,0,17956,17956,0,91306
2202201,275,501,0,0,0,0,0,0,0,0,0,75625,0,0,75625,0,0,89639
2202501,68,97,0,0,1,0,0,0,0,0,0,4624,0,0,0,0,0,36919
2201800,114,286,0,0,0,0,0,0,0,0,0,12996,0,0,0,0,0,109443
2202303,49,501,0,0,0,0,0,0,2401,0,0,0,0,0,2401,0,0,131018
2202000,47,501,0,0,0,0,0,0,0,0,0,2209,0,0,2209,0,0,208462
2201201,50,501,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,161558
2201000,36,89,0,1,1,0,0,0,1296,0,0,0,0,0,0,0,0,13759
2200101,53,501,0,0,0,0,0,0,0,0,0,2809,0,2809,2809,0,0,157389
2202000,25,183,0,0,0,0,0,0,0,0,0,625,0,0,625,0,0,25537
2202100,85,501,0,0,0,0,0,0,0,0,0,7225,0,0,7225,0,0,95893
2202401,30,501,0,0,0,0,0,0,0,0,0,900,0,0,900,0,0,500309
2201100,48,333,0,0,0,1,0,0,0,0,0,2304,0,0,0,0,0,115697
2200300,27,420,0,0,0,0,0,0,0,0,0,729,729,0,0,0,0,126120
2200901,131,235,0,0,1,0,0,0,0,0,0,17161,0,0,0,0,0,71919
2200901,74,491,0,0,0,0,0,0,0,0,0,5476,0,0,0,5476,0,74004
2201800,157,213,0,0,0,0,0,0,0,0,0,24649,0,0,24649,0,0,41692
