SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000010,501,0,0,0,0,2200400,207,0,0,207,0,0,0,0,207,207,0,0,102146
2022HU0000102,70,0,1,1,1,2201502,266,0,0,266,0,0,0,0,0,266,266,0,10736
2022HU0000147,501,0,0,0,0,2201300,78,0,0,0,0,0,78,0,0,0,78,0,114654
2022HU0000300,501,0,0,0,0,2201600,63,0,63,0,0,0,63,0,0,0,0,0,208462
2022HU0000335,501,0,0,0,0,2202401,200,0,0,0,0,0,200,200,0,0,200,0,124035
2022HU0000387,353,0,0,0,0,2201504,102,0,0,0,0,0,102,0,0,102,0,0,70043
2022HU0000757,371,0,0,0,0,2202201,133,0,0,0,0,0,133,0,0,0,0,0,78173
2022HU0000883,501,0,0,0,0,2200200,94,0,0,0,0,0,94,0,0,94,0,0,145079
2022HU0000891,501,0,0,0,0,2200700,22,0,0,0,0,0,22,0,22,0,22,0,116113
2022HU0000950,141,0,0,0,0,2200300,94,0,0,0,0,0,94,0,0,0,0,0,20846
2022HU0001027,328,0,0,0,0,2202100,102,0,0,0,0,0,102,0,0,0,0,0,97977
2022HU0001049,127,1,0,0,0,2200901,89,0,0,0,0,0,89,0,89,89,0,89,18032
2022HU0001061,12,1,0,1,1,2200101,90,0,0,90,0,0,0,0,0,0,90,0,3106
2022HU0001140,147,0,0,1,0,2201000,22,0,0,0,0,0,22,0,0,22,0,0,26787
2022HU0001150,38,0,0,0,0,2202501,153,0,0,0,0,0,153,0,0,0,0,0,9381
2022HU0001217,360,0,0,1,0,2202303,98,0,0,0,0,0,98,0,0,98,0,0,80675
2022HU0001224,81,0,0,0,0,2202303,137,0,0,0,0,0,137,0,0,0,137,0,12091
2022HU0001232,354,0,0,0,0,2201503,75,0,0,0,0,0,75,75,0,75,0,0,65040
2022HU0001249,69,0,0,0,0,2200600,47,0,0,0,0,0,47,0,0,47,0,0,9589
2022HU0001400,501,0,0,0,0,2202403,36,0,0,0,0,0,36,0,0,36,0,0,424221
2022HU0001563,15,0,0,1,1,2200300,53,0,0,53,0,0,0,0,0,0,0,0,5212
2022HU0001679,376,0,0,0,0,2200102,327,0,0,0,0,0,327,0,327,327,0,0,64623
2022HU0001683,117,0,1,1,1,2202303,37,0,0,37,0,0,0,0,0,37,37,0,16469
2022HU0001947,312,0,0,1,0,2200101,178,0,0,178,0,0,0,0,0,178,178,0,122472
2022HU0002147,68,0,0,1,1,2201700,54,0,0,0,0,0,54,0,0,54,0,0,9381
2022HU0002215,250,0,0,0,0,2200500,15,0,0,0,0,0,15,0,0,0,0,0,37523
2022HU0002236,376,0,0,0,0,2201300,224,0,0,0,0,0,224,0,0,224,0,0,68167
2022HU0002341,172,0,0,0,0,2201501,99,0,0,0,0,0,99,0,99,99,0,0,30019
