cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
2501,0,0,0,0,0,0,0,0,0,0,0,5009,0,0,0,0,52,45
2501,0,0,0,0,0,0,0,0,0,0,0,41616,0,0,0,0,0,204
2501,0,0,0,0,0,0,0,0,0,0,53,0,0,53,0,0,-104,4
2501,0,0,0,0,0,0,0,0,0,0,56,0,0,56,56,56,21,1
2501,0,0,0,0,0,0,0,0,0,0,144,144,0,144,0,0,0,12
2501,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,4,16
2501,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,19
2501,0,0,0,0,0,0,0,0,0,0,405,0,0,405,0,0,0,11
2501,0,0,0,0,0,0,0,0,0,0,1225,0,1225,1225,0,0,42,35
2501,0,0,0,0,0,0,0,0,0,0,2048,0,0,2048,0,0,0,25
2501,0,0,0,0,0,0,0,0,0,0,6889,0,0,6889,6889,0,0,83
2501,0,0,0,0,0,0,0,0,0,0,8165,0,0,8165,0,0,0,57
2501,0,0,0,0,0,0,0,0,0,0,8281,0,0,0,0,0,0,91
2501,0,0,0,0,0,0,0,0,0,0,9216,0,9216,9216,0,0,0,96
2501,0,0,0,0,0,0,0,0,0,0,11236,0,0,11236,0,0,0,106
2501,0,0,0,0,0,0,0,0,0,0,16627,0,0,0,0,0,0,90
2501,0,0,0,0,0,0,0,0,0,0,22500,0,22500,22500,0,0,0,150
2501,0,0,0,0,0,0,0,0,0,0,95091,95091,0,0,0,0,0,195
2501,0,0,0,0,0,0,2529,0,0,0,0,0,0,0,0,2529,0,28
2501,0,0,0,0,0,0,3604,0,0,0,0,0,0,0,0,3604,137377,38
2501,0,0,0,0,1,0,0,0,0,0,0,67081,0,0,0,67081,0,259
2501,0,0,0,0,1,0,0,0,0,0,2401,0,2401,2401,0,0,0,49
2501,0,0,0,0,1,0,0,0,0,0,9409,0,9409,9409,0,0,0,97
2501,0,0,0,0,1,0,0,0,0,0,12321,0,0,12321,0,0,21,111
2501,0,0,0,0,1,0,5846,0,0,0,0,0,0,5846,0,5846,0,48
2501,0,0,0,0,1,24,0,0,0,0,24,0,0,0,0,0,15635,0
2501,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0
2501,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,46904,0
2501,0,0,0,1,0,0,0,0,0,0,50,0,0,50,50,0,0,1
2501,0,0,0,1,0,0,0,0,0,0,80,0,0,80,0,0,7505,5
2501,0,0,0,1,0,0,0,0,0,0,101,0,0,101,0,0,0,6
2501,0,0,0,1,0,0,0,0,0,0,125,0,0,125,0,0,0,6
2501,0,0,0,1,0,0,0,0,0,0,151,0,0,151,0,0,0,7
2501,0,0,0,1,0,0,0,0,0,0,165,0,0,0,0,0,-3961,7
2501,0,0,0,1,0,0,0,0,0,0,729,729,0,0,0,0,0,27
2501,0,0,0,1,0,0,0,0,0,0,1124,0,0,0,0,0,31269,19
2501,0,0,0,1,0,0,0,0,0,0,1936,0,0,1936,0,0,0,44
2501,0,0,0,1,0,0,0,0,0,0,5476,0,0,0,0,0,0,74
2501,0,0,0,1,0,0,0,0,0,0,7744,0,0,0,7744,0,0,88
2501,0,0,0,1,0,0,0,0,0,0,9216,0,0,9216,9216,0,0,96
2501,0,0,0,1,0,0,0,0,0,0,19321,19321,0,19321,19321,19321,0,139
2501,0,0,0,1,0,0,0,0,0,0,19881,0,0,0,19881,0,10423,141
2501,0,0,0,1,0,0,0,0,0,0,62500,62500,0,0,0,62500,46904,250
2501,0,0,0,1,0,0,0,0,0,0,91809,0,0,0,0,0,104231,303
2501,0,0,0,1,0,0,0,1681,0,0,1681,1681,0,1681,1681,0,47946,41
2501,0,0,0,1,0,0,0,2209,0,0,0,0,2209,0,2209,0,0,47
2501,0,0,0,1,0,0,0,2601,0,0,2601,2601,2601,2601,2601,0,0,51
2501,0,0,0,1,0,0,0,5329,0,0,0,0,0,5329,0,0,0,73
2501,0,0,0,1,0,0,0,9452,0,0,0,0,0,0,0,0,0,54
2501,0,0,0,1,0,0,14884,14884,0,0,14884,14884,0,0,14884,0,121742,122
2501,0,0,0,1,1,0,0,0,0,0,0,3969,0,3969,3969,0,0,63
2501,0,0,0,1,1,0,0,0,0,0,0,10404,0,0,10404,10404,0,102
2501,0,0,0,1,1,0,0,0,0,0,0,52900,0,0,52900,0,0,230
2501,0,0,0,1,1,0,0,0,0,0,24,0,0,0,24,0,0,0
2501,0,0,0,1,1,0,0,0,0,0,31,0,0,31,0,0,5003,1
2501,0,0,0,1,1,0,0,0,0,0,37,0,0,0,0,0,0,1
2501,0,0,0,1,1,0,0,0,0,0,90,0,0,90,0,0,0,5
2501,0,0,0,1,1,0,0,0,0,0,100,0,0,100,100,0,36481,10
2501,0,0,0,1,1,0,0,0,0,0,266,0,0,0,0,0,0,1
2501,0,0,0,1,1,0,0,0,0,0,877,0,0,0,877,0,0,17
2501,0,0,0,1,1,0,0,0,0,0,1264,0,0,1264,1264,0,0,25
2501,0,0,0,1,1,0,0,0,0,0,1691,1691,0,0,1691,0,323,29
2501,0,0,0,1,1,0,0,0,0,0,1749,0,0,0,1749,0,0,29
2501,0,0,0,1,1,0,0,0,0,0,2313,0,0,2313,0,0,0,34
2501,0,0,0,1,1,0,0,0,0,0,2818,0,0,0,0,0,0,30
2501,0,0,0,1,1,0,0,0,0,0,5329,0,0,5329,5329,0,0,73
2501,0,0,0,1,1,0,0,0,0,0,5458,0,0,0,5458,5458,70877,51
2501,0,0,0,1,1,0,0,0,0,0,6241,6241,0,6241,0,0,0,79
2501,0,0,0,1,1,0,0,0,0,0,8100,0,0,0,0,0,14592,90
2501,0,0,0,1,1,0,0,0,0,0,9801,0,9801,9801,0,0,0,99
2501,0,0,0,1,1,0,0,0,0,0,11881,0,0,0,11881,0,0,109
2501,0,0,0,1,1,0,0,0,0,0,22201,0,0,0,0,0,0,149
2501,0,0,0,1,1,0,0,0,0,0,22801,0,0,0,22801,0,6254,151
2501,0,0,0,1,1,0,0,0,0,0,26569,26569,0,0,0,26569,20846,163
