metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
23224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112570,146
23224,0,0,0,0,0,0,0,0,0,0,0,126736,0,0,0,126736,0,356
23224,0,0,0,0,0,0,0,0,0,0,0,214369,0,214369,0,214369,0,463
23224,0,0,0,0,0,0,0,0,0,0,256,0,0,256,0,0,0,16
23224,0,0,0,0,0,0,0,0,0,0,1225,0,0,1225,0,0,46935,35
23224,0,0,0,0,0,0,0,0,0,0,1681,1681,0,0,0,0,0,41
23224,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,45
23224,0,0,0,0,0,0,0,0,0,0,2209,0,0,2209,0,0,0,47
23224,0,0,0,0,0,0,0,0,0,0,2401,0,0,2401,0,0,0,49
23224,0,0,0,0,0,0,0,0,0,0,2916,0,0,0,2916,0,0,54
23224,0,0,0,0,0,0,0,0,0,0,2916,0,0,2916,0,0,31,54
23224,0,0,0,0,0,0,0,0,0,0,3364,0,0,3364,0,0,0,58
23224,0,0,0,0,0,0,0,0,0,0,3969,0,0,3969,0,0,0,63
23224,0,0,0,0,0,0,0,0,0,0,4225,0,0,0,4225,0,0,65
23224,0,0,0,0,0,0,0,0,0,0,5929,0,5929,0,0,0,0,77
23224,0,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,0,80
23224,0,0,0,0,0,0,0,0,0,0,7396,0,0,7396,0,0,0,86
23224,0,0,0,0,0,0,0,0,0,0,7569,0,0,7569,7569,0,0,87
23224,0,0,0,0,0,0,0,0,0,0,8464,8464,0,0,0,0,38566,92
23224,0,0,0,0,0,0,0,0,0,0,10201,0,0,10201,10201,0,0,101
23224,0,0,0,0,0,0,0,0,0,0,12100,0,0,12100,12100,0,0,110
23224,0,0,0,0,0,0,0,0,0,0,13225,0,0,0,0,0,0,115
23224,0,0,0,0,0,0,0,0,0,0,13924,0,0,0,0,0,27100,118
23224,0,0,0,0,0,0,0,0,0,0,23409,23409,0,0,0,0,60558,153
23224,0,0,0,0,0,0,0,0,0,0,42849,0,0,42849,0,0,31269,207
23224,0,0,0,0,0,0,0,4900,0,0,0,0,0,4900,0,0,0,70
23224,0,0,0,0,0,0,11236,0,0,0,0,0,0,0,11236,11236,0,106
23224,0,0,0,0,0,0,37249,0,0,0,0,0,0,0,0,37249,0,193
23224,0,0,0,0,0,0,211600,0,0,0,0,0,0,0,0,0,0,460
23224,0,0,0,0,1,0,0,0,0,0,33489,0,0,0,0,0,0,183
23224,0,0,0,0,1,0,0,13225,0,0,13225,0,0,13225,0,0,0,115
23224,0,0,0,0,1,0,22500,0,0,0,22500,0,0,0,0,0,0,150
23224,0,0,0,1,0,0,0,0,0,0,0,1681,0,0,0,1681,0,41
23224,0,0,0,1,0,0,0,0,0,0,0,10201,0,0,0,10201,31269,101
23224,0,0,0,1,0,0,0,0,0,0,196,0,0,196,0,0,-5212,14
23224,0,0,0,1,0,0,0,0,0,0,4225,4225,0,0,0,4225,69835,65
23224,0,0,0,1,0,0,0,0,0,0,6400,0,0,0,6400,0,5316,80
23224,0,0,0,1,0,0,0,0,0,0,10816,0,0,10816,0,0,0,104
23224,0,0,0,1,0,0,0,0,0,0,10816,0,0,10816,0,10816,0,104
23224,0,0,0,1,0,0,0,0,0,0,12321,0,0,0,12321,0,0,111
23224,0,0,0,1,0,0,0,0,0,0,16384,16384,0,0,0,16384,0,128
23224,0,0,0,1,0,0,0,17161,0,0,0,17161,0,0,17161,0,0,131
23224,0,0,0,1,0,0,0,103684,0,0,0,0,0,0,0,0,0,322
23224,0,0,0,1,0,0,2704,0,0,0,0,0,0,0,0,0,0,52
23224,0,0,0,1,0,0,4489,0,0,0,0,0,0,4489,4489,0,0,67
23224,0,0,0,1,0,0,6724,0,0,0,0,0,0,0,0,0,0,82
23224,0,0,0,1,0,0,12544,0,0,0,12544,0,0,0,0,0,52116,112
23224,0,0,0,1,0,0,20736,0,0,0,0,0,0,0,0,20736,0,144
23224,0,0,0,1,0,0,42025,0,0,0,0,0,0,0,0,0,0,205
23224,0,0,0,1,0,0,51984,51984,0,0,51984,51984,0,0,0,0,0,228
23224,0,0,0,1,0,0,64516,0,0,0,0,0,0,0,0,64516,104231,254
23224,0,0,0,1,1,0,0,14161,0,0,0,0,0,0,0,0,0,119
23224,0,0,0,1,1,3025,0,3025,0,0,3025,0,0,0,0,0,0,55
23224,0,0,1,1,0,4761,0,0,0,0,0,4761,0,0,0,4761,97248,69
23224,0,0,1,1,1,0,0,3136,0,0,3136,3136,0,0,3136,0,20627,56
23224,1,0,0,1,0,0,0,0,0,0,18225,0,0,0,0,0,615,135
23224,2,0,0,0,0,0,0,0,0,0,11025,0,0,11025,11025,0,521,105
23224,2,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,0,396,90
23224,3,1,0,1,1,15876,0,0,0,0,0,0,0,0,0,0,521,126
23224,5,0,0,0,0,0,0,0,0,0,0,0,0,2916,0,0,834,54
23224,5,0,0,1,0,0,0,0,0,0,2025,0,0,0,0,0,1042,45
23224,5,0,0,1,0,0,0,114244,0,0,0,0,0,0,114244,0,876,338
23224,6,0,0,0,0,0,2025,0,0,0,2025,2025,0,0,0,0,89618,45
23224,7,0,0,0,1,0,0,0,0,0,3025,0,3025,3025,0,0,1042,55
23224,7,0,0,1,0,0,0,0,0,0,8281,8281,0,0,0,8281,68271,91
23224,8,0,0,0,0,0,0,0,0,0,0,21609,0,0,0,0,3127,147
23224,8,0,0,0,0,0,0,0,0,0,729,0,729,729,0,0,1563,27
23224,8,0,0,1,0,0,9025,0,0,0,9025,0,0,0,0,0,1251,95
23224,8,0,0,1,1,1521,0,1521,0,0,0,1521,0,0,1521,1521,1563,39
23224,9,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,1936,1251,44
23224,9,0,0,1,1,27556,0,27556,0,0,0,0,0,0,27556,0,1355,166
23224,10,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,1459,51
23224,10,0,0,0,0,0,0,0,0,0,6241,0,0,0,0,0,2085,79
23224,10,0,0,0,0,0,0,0,0,0,14884,0,0,0,0,0,2085,122
23224,11,0,0,1,0,0,0,0,0,0,900,0,0,900,0,0,1668,30
23224,11,0,0,1,0,0,0,0,0,0,1225,0,0,1225,1225,0,11465,35
23224,11,0,0,1,0,0,29241,0,0,0,29241,29241,0,29241,29241,0,1668,171
23224,11,0,0,1,1,0,0,0,0,0,60516,60516,0,60516,60516,0,2710,246
23224,11,0,1,1,0,0,2304,0,0,0,0,0,0,2304,2304,2304,1563,48
23224,12,0,0,0,0,0,0,0,0,0,12544,12544,0,12544,0,0,1668,112
23224,12,0,0,1,0,0,0,0,0,0,196,0,0,196,0,0,2543,14
23224,13,0,0,0,0,0,0,0,0,0,1936,0,0,1936,1936,0,1980,44
23224,13,0,0,0,0,0,0,0,0,0,2500,0,0,2500,0,0,1876,50
23224,13,0,0,0,0,0,5776,0,0,0,5776,0,0,0,0,0,2085,76
23224,13,0,0,1,1,0,5041,0,0,0,0,0,0,5041,5041,5041,2658,71
23224,14,0,0,1,0,0,0,0,0,0,3364,0,0,3364,0,0,11465,58
23224,14,0,0,1,0,0,0,13924,0,0,0,0,0,0,13924,13924,4586,118
23224,14,0,0,1,0,0,0,294849,0,0,0,0,0,0,0,294849,4169,543
23224,15,0,0,0,0,0,0,1296,0,0,0,0,0,1296,0,0,2085,36
23224,15,1,0,0,0,0,0,0,0,0,7569,7569,0,7569,0,0,2189,87
23224,15,1,0,1,0,0,0,0,0,0,11025,0,0,0,11025,0,3127,105
23224,15,1,0,1,1,0,0,8649,0,0,0,0,0,0,8649,0,2324,93
23224,16,0,0,0,0,0,0,0,0,0,16129,0,0,0,0,0,2606,127
23224,16,0,0,1,1,0,0,4356,0,0,0,0,0,4356,4356,0,2606,66
23224,17,0,0,0,0,0,0,0,0,0,23409,0,0,23409,23409,0,2397,153
23224,17,0,0,0,0,0,0,0,0,0,59536,59536,0,0,0,59536,9902,244
23224,17,0,0,0,0,0,0,0,0,0,131769,0,0,131769,131769,0,2397,363
23224,18,0,0,1,1,0,0,0,0,0,122500,0,0,122500,122500,0,2710,350
23224,18,0,0,1,1,0,0,5329,0,0,0,0,0,5329,0,5329,5941,73
23224,20,0,0,1,0,0,0,0,0,0,0,900,0,0,0,900,3127,30
23224,20,0,0,1,0,0,0,82369,0,0,0,0,0,82369,0,0,3648,287
23224,21,1,0,1,1,0,10404,0,0,0,0,0,0,10404,0,0,4795,102
23224,23,0,0,1,0,0,0,0,0,0,2500,2500,0,0,0,0,15635,50
23224,23,0,0,1,0,0,0,0,0,0,6400,0,6400,6400,0,0,4690,80
23224,24,0,0,0,0,0,0,13456,0,0,13456,0,0,0,0,0,5837,116
23224,24,0,0,0,0,0,0,53824,0,0,0,0,0,0,0,0,45549,232
23224,26,0,0,0,0,0,0,0,0,0,12769,0,0,12769,12769,0,3752,113
23224,27,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,4169,36
23224,27,0,0,0,0,0,0,0,0,0,1764,0,1764,1764,1764,0,5212,42
23224,27,0,0,1,0,2704,0,0,0,0,0,2704,0,0,2704,2704,8026,52
23224,28,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,4273,44
23224,28,0,0,0,0,0,0,0,0,0,6084,6084,0,0,0,0,4378,78
23224,28,0,0,1,1,0,0,0,0,0,0,1764,0,0,0,1764,33354,42
23224,29,0,0,1,0,0,0,0,0,0,0,12100,12100,0,12100,0,4378,110
23224,29,0,0,1,0,0,0,0,0,0,1764,0,0,0,1764,0,8964,42
23224,30,0,0,0,0,0,0,0,0,0,3364,0,3364,3364,3364,0,5420,58
23224,30,0,0,0,0,0,0,0,0,2304,2304,2304,0,0,0,0,7296,48
23224,30,0,0,1,1,0,0,3969,0,0,0,0,0,3969,3969,0,6045,63
23224,31,0,0,1,1,0,0,234256,0,0,0,0,0,0,234256,0,6254,484
23224,31,1,0,1,1,2601,0,0,0,0,0,2601,0,0,0,0,9381,51
23224,32,0,0,0,0,0,0,0,0,0,1024,0,0,1024,0,0,6254,32
23224,32,0,0,0,0,0,0,0,0,0,3249,0,0,3249,0,0,4795,57
23224,32,0,1,1,1,0,0,0,0,0,3249,0,0,3249,3249,0,4378,57
23224,32,1,0,0,1,0,0,0,0,0,2025,0,2025,2025,0,0,5003,45
23224,33,0,0,0,0,0,0,0,0,0,2601,0,2601,2601,0,0,4586,51
23224,33,0,0,0,0,0,0,58081,0,0,0,0,0,0,0,58081,10006,241
23224,33,0,0,1,0,0,48841,48841,0,0,0,0,0,0,0,48841,10319,221
23224,33,0,0,1,1,0,0,125316,0,0,0,0,0,125316,125316,0,5212,354
23224,35,0,0,0,0,0,0,5184,0,0,5184,0,0,0,0,0,5212,72
23224,36,0,0,0,0,0,0,0,0,0,17689,0,0,17689,0,0,5316,133
23224,36,0,0,1,0,0,0,75076,0,0,0,0,0,0,0,75076,12508,274
23224,37,0,0,0,0,0,0,0,0,0,8100,0,0,8100,0,0,5212,90
23224,37,0,0,0,0,0,65025,0,65025,0,65025,0,0,0,0,0,5524,255
23224,38,0,0,0,0,0,3600,0,0,0,0,3600,0,0,0,0,5733,60
23224,39,0,0,0,0,0,0,0,0,0,9025,0,0,9025,9025,0,5420,95
23224,39,1,0,1,0,0,3025,3025,0,0,3025,3025,3025,3025,0,3025,35282,55
