SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000003,501,0,0,0,0,2401202,101,0,0,0,0,0,101,0,0,101,101,0,131331
2022HU0000036,384,0,0,1,0,2400504,54,0,0,0,0,0,54,0,0,54,54,0,139982
2022HU0000055,315,0,0,1,0,2401101,113,0,0,113,0,0,0,0,0,0,0,0,83385
2022HU0000118,501,0,0,0,0,2400700,296,0,0,0,0,0,296,0,0,296,296,0,70356
2022HU0000130,274,0,0,0,0,2400201,54,0,0,0,0,0,54,0,0,54,0,0,43777
2022HU0000334,501,0,0,0,0,2401007,230,0,0,0,0,230,0,0,0,0,0,0,135500
2022HU0000370,274,0,0,1,0,2400504,175,0,0,175,0,0,0,0,0,0,0,0,41692
2022HU0000383,189,0,0,1,1,2401103,135,0,135,0,0,0,0,0,0,0,0,135,75151
2022HU0000550,501,0,0,0,0,2401205,71,0,0,0,0,0,71,0,71,71,0,0,219719
2022HU0000631,501,0,0,0,0,2400902,101,0,0,0,0,0,101,0,0,0,0,0,109338
2022HU0000640,501,0,0,0,0,2400802,149,0,0,0,0,0,149,0,0,149,0,0,88596
2022HU0000747,149,0,0,0,0,2400804,28,0,0,0,0,0,28,0,0,0,0,0,23348
2022HU0000937,501,0,0,0,0,2401103,46,0,0,0,0,0,46,0,0,46,0,0,104440
2022HU0000962,390,0,0,0,0,2400805,64,0,0,0,0,0,64,0,0,0,64,0,58891
2022HU0001064,501,0,0,0,0,2400502,117,0,0,0,0,0,117,0,0,0,0,117,123514
2022HU0001076,501,0,0,0,0,2400302,55,0,0,0,0,0,55,0,0,55,55,0,102563
2022HU0001089,447,0,0,0,0,2401300,39,0,0,0,0,0,39,0,0,39,0,0,88596
2022HU0001246,10,0,0,1,1,2400700,52,0,0,0,0,0,0,52,0,0,0,0,1563
2022HU0001381,65,0,0,0,0,2400901,82,0,0,82,0,0,0,0,0,0,0,0,10006
2022HU0001514,501,0,0,0,0,2400302,28,0,0,0,0,0,28,0,0,0,0,0,200124
2022HU0001613,240,0,0,1,0,2401007,191,0,0,0,0,0,0,191,0,191,0,191,109234
2022HU0001692,72,0,0,1,1,2400101,157,0,0,0,0,0,157,0,157,157,157,0,9902
2022HU0001730,501,0,0,0,0,2401003,60,0,60,0,0,0,0,0,0,0,0,0,117468
2022HU0001772,99,0,0,0,0,2400805,81,0,0,0,0,0,81,0,0,81,0,0,20846
2022HU0001777,137,0,0,0,0,2400503,56,56,0,0,0,0,0,0,0,0,0,0,20846
2022HU0001786,0,0,0,0,0,2400101,75,0,0,0,0,0,75,0,0,75,75,0,0
2022HU0001842,218,0,0,1,0,2400804,39,0,0,39,0,0,0,0,0,39,0,0,31478
2022HU0002130,501,0,0,0,0,2400805,57,0,0,0,0,0,57,57,0,0,0,0,104231
2022HU0002296,276,0,0,0,0,2400602,70,0,0,0,0,0,70,0,0,0,0,0,41692
2022HU0002355,501,0,0,0,0,2401105,91,0,0,0,0,0,91,0,0,91,0,0,332497
