metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,256,0,0,256,0,0,0,16
99999,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,10,20
99999,0,0,0,0,0,0,0,0,0,0,400,0,0,400,0,0,0,20
99999,0,0,0,0,0,0,0,0,0,0,484,0,0,484,484,0,0,22
99999,0,0,0,0,0,0,0,0,0,0,625,0,0,625,0,0,0,25
99999,0,0,0,0,0,0,0,0,0,0,625,0,0,625,625,0,0,25
99999,0,0,0,0,0,0,0,0,0,0,784,0,0,784,0,0,0,28
99999,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,29
99999,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,30
99999,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,0,33
99999,0,0,0,0,0,0,0,0,0,0,1225,0,0,1225,0,0,0,35
99999,0,0,0,0,0,0,0,0,0,0,1225,0,0,1225,1225,0,0,35
99999,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,22097,36
99999,0,0,0,0,0,0,0,0,0,0,1444,0,1444,1444,0,0,0,38
99999,0,0,0,0,0,0,0,0,0,0,1521,0,0,1521,1521,0,-1772,39
99999,0,0,0,0,0,0,0,0,0,0,1764,0,0,1764,0,0,0,42
99999,0,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,0,44
99999,0,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,0,51
99999,0,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,0,54
99999,0,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,0,61
99999,0,0,0,0,0,0,0,0,0,0,6724,0,0,6724,0,0,0,82
99999,0,0,0,0,0,0,0,0,0,0,7744,0,0,7744,0,0,0,88
99999,0,0,0,0,0,0,0,0,0,0,8281,0,8281,0,8281,0,0,91
99999,0,0,0,0,0,0,0,0,0,0,8464,0,8464,8464,8464,0,0,92
99999,0,0,0,0,0,0,0,0,0,0,9801,0,0,0,0,0,-938,99
99999,0,0,0,0,0,0,0,0,0,0,10000,0,0,10000,10000,0,0,100
99999,0,0,0,0,0,0,0,0,0,0,10816,0,0,10816,10816,0,-1772,104
99999,0,0,0,0,0,0,0,0,0,0,11236,0,0,0,0,0,0,106
99999,0,0,0,0,0,0,0,0,0,0,15376,0,0,0,0,0,0,124
99999,0,0,0,0,0,0,0,0,0,0,15376,0,0,15376,0,0,0,124
99999,0,0,0,0,0,0,0,0,0,0,33124,0,0,0,0,0,0,182
99999,0,0,0,0,0,0,0,0,0,0,61009,0,0,0,0,0,0,247
99999,0,0,0,0,0,0,0,0,0,0,71289,0,0,0,0,0,0,267
99999,0,0,0,0,0,0,0,0,0,0,82369,0,0,0,0,0,122190,287
99999,0,0,0,0,0,0,0,0,0,0,168100,0,168100,0,168100,0,-2085,410
99999,0,0,0,0,0,0,0,2809,0,0,2809,0,0,0,0,0,0,53
99999,0,0,0,0,0,0,0,54756,0,0,54756,0,0,0,0,0,0,234
99999,0,0,0,0,0,0,11664,0,0,0,0,0,0,11664,0,0,0,108
99999,0,0,0,0,0,0,89401,0,0,0,89401,0,0,0,0,0,20846,299
