SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000024,0,0,0,0,0,2603006,77,0,0,0,0,0,77,0,0,77,0,0,0
2022HU0000152,116,0,0,1,0,2603204,45,0,0,0,0,0,45,0,0,0,45,0,22097
2022HU0000169,380,0,0,0,0,2601400,29,0,29,0,0,0,29,0,0,0,0,0,86512
2022HU0000199,401,0,0,0,0,2603203,99,0,0,0,0,0,99,0,0,0,0,0,60444
2022HU0000206,501,0,0,0,0,2600300,63,0,0,0,0,0,63,0,0,0,0,0,128725
2022HU0000209,496,0,0,0,0,2601900,23,0,0,0,0,0,23,0,0,0,0,0,189701
2022HU0000281,218,0,0,0,0,2602600,75,0,0,0,0,0,75,0,0,75,75,0,29914
2022HU0000288,207,0,0,0,0,2602906,245,0,0,0,0,0,245,0,0,245,0,0,29185
2022HU0000318,325,0,0,0,1,2603207,201,0,0,0,0,0,201,0,0,0,0,0,65666
2022HU0000328,501,0,0,0,0,2603002,91,0,91,0,0,0,0,0,0,91,0,0,197205
2022HU0000395,295,0,0,0,0,2603203,110,0,0,0,0,0,110,0,0,0,0,0,116739
2022HU0000481,406,0,0,0,0,2602000,45,0,0,0,0,0,45,0,0,45,45,0,70669
2022HU0000496,337,0,0,1,0,2600200,23,0,0,0,0,0,0,0,0,23,0,0,67750
2022HU0000570,423,0,0,0,0,2602600,96,0,0,0,0,0,96,0,0,0,0,0,62539
2022HU0000585,248,0,0,1,0,2600600,28,0,0,0,0,0,28,0,0,0,28,0,46904
2022HU0000693,245,0,0,0,0,2601100,20,20,0,0,0,0,20,0,20,0,0,0,67750
2022HU0000711,447,0,0,0,0,2600200,112,112,0,0,0,0,0,0,0,112,0,0,62539
2022HU0000798,501,0,0,0,0,2602908,82,0,0,0,0,0,82,0,0,0,0,0,273919
2022HU0000819,142,0,0,0,0,2600500,17,0,0,17,0,0,0,0,0,0,0,17,43777
2022HU0000905,501,0,0,0,0,2600300,84,0,0,0,0,0,84,0,0,84,84,0,95267
2022HU0000921,256,0,0,0,0,2601600,31,0,0,0,0,0,31,0,0,31,31,0,60037
2022HU0000951,49,1,0,1,1,2601300,33,0,0,0,0,0,33,0,0,33,33,0,9589
2022HU0001006,496,0,0,0,0,2602901,142,0,0,0,0,0,142,0,0,0,0,0,147383
2022HU0001072,501,0,0,0,0,2600700,144,0,0,0,0,0,144,0,0,0,0,0,141754
2022HU0001138,501,0,0,0,0,2601100,30,0,0,0,0,0,30,0,30,30,30,0,94225
2022HU0001177,243,0,0,0,0,2601002,195,0,0,0,0,0,195,0,0,0,0,0,50552
2022HU0001317,135,0,0,0,0,2603202,513,0,0,0,0,0,513,0,0,0,513,0,20846
2022HU0001327,501,0,0,0,0,2601704,107,0,0,0,0,0,107,0,0,0,0,0,238064
2022HU0001334,169,0,1,1,1,2602500,20,0,0,0,0,0,20,0,0,20,0,0,29497
2022HU0001423,501,0,0,0,0,2603004,58,0,0,0,0,0,58,0,0,58,58,0,212736
2022HU0001436,32,0,0,0,0,2603205,88,0,0,0,0,0,88,0,0,88,0,0,4482
2022HU0001457,494,0,0,1,0,2601704,105,0,0,0,0,0,105,0,0,105,105,0,87763
2022HU0001463,329,0,0,0,0,2602907,159,0,0,159,0,0,0,0,159,159,0,0,118719
2022HU0001490,501,0,0,0,0,2602905,188,0,188,0,0,0,0,0,0,0,0,0,186053
2022HU0001530,119,0,0,0,0,2602200,26,0,0,0,0,0,26,0,0,26,0,0,16364
2022HU0001575,133,0,0,0,0,2600700,84,0,0,0,0,0,84,0,0,84,0,0,18240
2022HU0001585,289,0,0,0,0,2600300,18,0,0,0,0,0,18,0,0,18,0,0,68584
2022HU0001610,162,0,0,1,0,2602200,49,0,0,0,0,0,49,0,0,0,0,0,62539
2022HU0001614,202,0,0,1,1,2602101,83,0,0,0,0,0,83,0,0,83,0,0,41797
2022HU0001635,54,0,0,1,0,2600900,84,0,0,0,0,0,84,0,0,0,0,0,10423
2022HU0001685,33,0,0,0,0,2600200,20,0,0,0,0,0,20,0,0,20,0,0,4690
2022HU0001734,17,0,0,0,0,2600600,72,0,0,0,0,0,72,0,0,72,0,0,3544
2022HU0001808,501,0,0,0,0,2602904,73,0,0,0,0,0,73,0,0,0,0,0,131957
2022HU0001819,109,0,0,1,1,2601703,425,0,0,0,0,0,425,0,0,425,425,0,15635
2022HU0001833,390,0,0,0,0,2602901,259,0,0,0,0,0,259,0,0,0,259,0,114654
2022HU0001846,184,0,0,1,0,2600700,235,0,0,0,0,0,235,0,0,0,0,0,66916
2022HU0001890,340,0,0,1,0,2600400,23,0,0,0,0,0,23,0,0,0,0,0,100062
2022HU0001932,420,0,0,0,0,2600600,24,0,0,0,0,0,24,0,24,24,0,0,62539
2022HU0001937,240,0,0,0,0,2603004,68,68,0,0,0,0,68,0,0,0,68,68,37732
2022HU0001940,364,0,0,0,0,2603205,165,0,0,0,0,0,165,0,0,165,165,0,111110
2022HU0001957,501,0,0,0,0,2603202,271,0,0,0,0,0,271,0,0,271,0,0,157389
2022HU0001964,397,0,0,0,0,2601100,40,0,0,0,0,0,40,0,40,0,0,0,78173
2022HU0001998,501,0,0,0,0,2602903,46,0,0,0,0,0,46,0,0,0,46,0,1373766
2022HU0002083,383,0,0,0,0,2602300,139,0,0,0,0,0,139,0,0,139,0,0,73379
2022HU0002155,0,0,0,0,0,2603204,104,0,0,0,0,0,104,0,104,104,0,0,0
2022HU0002161,501,0,0,0,0,2600500,22,0,0,0,0,0,22,0,0,22,0,0,118136
2022HU0002237,490,0,0,0,0,2602703,94,0,0,0,0,0,94,0,0,94,0,0,72962
2022HU0002244,201,0,0,0,0,2602101,96,0,0,0,0,0,96,0,0,96,96,0,30227
2022HU0002266,501,0,0,0,0,2603003,175,0,175,0,0,0,0,0,0,0,0,0,78173
2022HU0002287,341,0,0,0,0,2600700,61,0,0,0,0,0,61,0,0,0,0,0,78486
2022HU0002346,501,0,0,0,0,2601500,72,0,0,0,0,0,72,0,0,0,0,0,79528
2022HU0002397,371,0,0,0,0,2601600,17,0,0,0,0,0,17,0,17,17,17,0,65509
2022HU0002408,106,0,1,1,1,2602102,80,0,0,80,0,0,0,0,0,0,80,0,15947
2022HU0002440,110,0,0,0,0,2601300,26,0,0,0,0,0,26,0,0,26,26,0,16990
2022HU0002527,178,0,0,0,0,2602905,120,0,120,0,0,0,0,0,0,0,0,120,52116
2022HU0002564,501,0,0,0,0,2601100,16,0,0,0,0,0,16,0,0,16,16,0,110277
2022HU0002568,501,0,0,0,0,2603001,84,0,0,0,0,0,84,0,0,0,0,0,204293
2022HU0002592,165,0,0,0,0,2600500,35,0,0,0,0,0,35,0,0,0,0,0,26058
2022HU0002609,443,0,0,0,0,2600900,60,0,0,0,0,0,60,0,0,0,0,60,165727
2022HU0002630,182,0,0,1,0,2601900,119,0,0,0,0,0,119,0,0,119,0,0,28142
