SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000313,61,0,0,0,0,2702500,36,0,0,0,0,0,36,0,0,0,0,0,9381
2022HU0000379,501,0,0,0,0,2701607,119,0,119,0,0,0,119,0,0,0,0,0,202313
2022HU0000386,501,0,0,0,0,2701601,53,0,0,0,0,0,53,0,0,0,0,0,235562
2022HU0000461,446,0,0,0,0,2701800,176,0,0,0,0,0,176,0,0,176,176,0,98498
2022HU0000490,501,0,0,0,0,2701607,579,0,0,0,0,0,579,0,0,0,0,0,312693
2022HU0000552,0,0,0,1,0,2700101,35,35,0,0,0,0,0,0,0,35,0,0,0
2022HU0000608,401,0,0,0,0,2701303,202,0,0,0,0,0,202,0,0,202,202,0,60454
2022HU0000663,501,0,0,1,0,2702300,48,0,0,0,0,0,48,0,0,0,0,0,153220
2022HU0000695,501,0,0,1,0,2702100,27,0,0,0,0,0,27,0,0,27,0,0,119866
2022HU0000701,339,0,0,0,0,2700600,20,0,0,0,0,0,20,0,0,0,0,0,122993
2022HU0000766,501,0,1,0,0,2700101,10,10,0,0,0,0,10,0,10,0,10,0,262975
2022HU0000842,341,0,0,0,0,2700201,34,0,0,0,0,0,34,0,34,34,34,0,62299
2022HU0000867,57,0,0,1,1,2701703,209,0,0,0,0,0,209,0,0,0,209,209,19595
2022HU0000994,501,0,0,0,0,2702100,13,0,0,0,0,0,13,0,0,0,0,0,415986
2022HU0001034,264,0,0,0,0,2701702,150,0,0,0,0,0,150,0,150,150,0,0,38253
2022HU0001073,501,0,0,0,0,2702200,34,0,0,0,0,0,34,0,0,34,0,0,106524
2022HU0001174,501,0,0,0,0,2702300,23,0,0,0,0,0,23,0,0,23,0,0,132373
2022HU0001239,63,0,0,0,0,2701800,45,0,0,0,0,0,45,0,0,45,0,0,11465
2022HU0001339,485,0,0,0,0,2701609,84,0,0,0,0,0,84,0,0,0,0,0,139774
2022HU0001482,316,0,0,0,0,2702100,28,0,0,0,0,0,28,0,0,28,0,0,113299
2022HU0001540,65,0,0,1,1,2702600,213,0,0,0,0,0,213,0,0,0,0,0,34396
2022HU0001594,438,0,0,0,0,2701702,90,0,0,0,0,0,90,0,0,90,0,0,75776
2022HU0001798,121,0,0,0,0,2700101,35,0,0,0,0,0,35,0,0,35,0,0,16885
2022HU0001843,449,0,0,0,0,2700700,14,0,0,0,0,0,14,0,14,14,0,0,80362
2022HU0001859,103,0,0,0,0,2700201,22,0,0,0,0,0,22,0,0,0,0,0,20846
2022HU0001895,244,0,0,1,0,2700700,20,0,0,0,0,0,20,0,0,0,0,0,77131
2022HU0002015,101,0,0,0,1,2701604,67,67,0,0,0,0,0,0,0,0,0,0,45862
2022HU0002020,283,0,0,0,0,2702700,276,0,0,0,0,0,276,0,0,0,0,0,78173
2022HU0002065,501,0,0,0,0,2702001,44,0,0,0,0,0,44,0,0,44,0,0,244943
2022HU0002267,296,0,1,0,0,2700501,15,0,0,0,0,0,15,0,0,15,15,0,50969
2022HU0002271,383,0,0,0,0,2701505,106,0,0,0,0,0,106,0,0,106,0,0,67125
2022HU0002412,295,0,0,0,0,2702500,12,0,0,0,0,0,12,0,0,0,12,0,69835
2022HU0002463,501,0,0,0,0,2701607,128,0,0,0,0,0,128,0,0,0,0,0,173024
2022HU0002579,501,0,0,0,0,2700800,38,0,0,0,0,0,38,0,0,0,0,0,418227
2022HU0002655,83,0,0,0,0,2700501,17,0,0,0,0,0,17,0,0,17,0,0,14384
2022HU0002674,207,0,0,0,0,2702200,20,0,0,0,0,0,20,0,0,20,0,0,31269
2022HU0002733,501,0,0,0,0,2700700,155,0,0,0,0,0,155,0,155,0,155,0,137585
