SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000019,301,0,0,0,0,2902001,86,0,0,86,0,0,0,0,0,86,0,0,94433
2022HU0000057,501,0,0,0,0,2902102,83,0,0,0,0,0,83,0,0,0,0,0,145924
2022HU0000101,501,0,0,0,0,2902600,34,0,0,0,0,0,34,0,34,34,0,0,126120
2022HU0000103,128,0,1,1,0,2901902,147,0,0,0,0,0,147,0,0,147,147,0,53679
2022HU0000156,67,0,1,1,1,2901500,36,36,0,0,0,0,36,0,0,0,36,0,13759
2022HU0000200,126,0,0,0,0,2901803,120,0,0,0,0,0,120,0,120,120,0,0,18762
2022HU0000202,132,0,0,0,0,2902001,34,0,0,0,0,0,34,0,0,34,0,0,18762
2022HU0000280,444,0,0,0,0,2900501,124,0,0,0,0,0,124,0,124,124,0,0,79007
2022HU0000359,493,0,1,1,0,2900400,11,0,0,0,0,0,11,0,0,11,11,0,67646
2022HU0000402,269,0,0,0,0,2901907,74,0,0,0,0,0,74,0,0,74,0,0,48259
2022HU0000403,0,0,0,1,1,2901200,28,0,0,0,0,0,28,0,0,0,0,0,31269
2022HU0000468,278,0,0,0,0,2902703,131,0,0,0,0,0,131,0,0,0,0,0,42214
2022HU0000513,428,0,0,0,0,2901103,64,0,0,0,0,0,64,0,0,64,64,0,77652
2022HU0000632,120,0,0,0,0,2900700,24,0,0,0,0,0,24,0,0,24,24,0,16698
2022HU0000643,489,0,0,0,0,2901907,134,0,0,0,0,0,134,0,0,0,0,0,118823
2022HU0000661,328,0,0,0,0,2901904,46,0,0,0,0,0,46,0,46,46,46,0,60246
2022HU0000758,445,0,0,0,0,2901907,86,0,0,0,0,0,0,0,0,0,0,0,135500
2022HU0000820,335,0,0,0,0,2901200,52,0,0,0,0,0,52,0,0,52,52,0,60037
2022HU0000825,50,0,0,1,0,2901700,109,0,0,0,0,0,109,0,0,0,109,0,7400
2022HU0000829,251,0,0,0,0,2901801,85,0,0,0,0,0,85,0,0,85,0,0,34500
2022HU0000831,0,0,0,1,0,2902200,70,0,0,0,0,0,70,0,0,0,0,0,0
2022HU0000852,105,0,0,1,1,2902001,131,0,0,131,0,0,0,0,0,0,0,0,35647
2022HU0000998,183,0,0,0,0,2901600,105,0,105,0,0,0,0,105,105,0,105,0,28247
2022HU0001024,0,0,0,1,0,2902702,79,0,0,0,0,0,79,0,0,0,0,0,-8547
