county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
28001,0,0,0,0,0,0,0,0,0,0,435,0,0,435,435,0,0,9
28001,0,0,0,0,0,0,0,0,0,0,2223,0,0,0,0,0,0,20
28001,0,0,0,0,0,0,0,0,0,0,41631,0,0,41631,0,0,0,85
28001,0,0,0,0,0,0,0,853,0,0,0,0,0,853,0,0,0,12
28001,0,0,0,0,0,0,0,1638,0,0,0,0,0,1638,0,0,0,17
28001,0,0,0,0,0,0,0,2677,0,0,0,0,0,0,0,0,0,22
28001,0,0,0,0,0,0,0,9371,0,0,0,0,0,0,0,0,0,40
28001,0,0,0,0,1,0,0,178,0,0,0,0,0,178,0,0,0,6
28001,0,0,0,0,1,0,0,1741,0,0,0,0,0,0,0,0,0,17
28001,0,0,0,0,1,0,0,1919,0,0,0,0,0,1919,1919,0,0,18
28001,0,0,0,0,1,0,0,3316,0,0,0,0,0,3316,0,0,0,24
28001,0,0,0,0,1,0,0,4626,0,0,0,0,0,0,4626,0,0,28
28001,0,0,0,1,0,0,0,0,0,0,63,0,0,63,0,0,0,3
28001,0,0,0,1,0,0,0,669,0,0,0,0,0,0,669,0,0,11
28001,0,0,0,1,1,0,0,0,0,0,3762,0,0,0,0,0,0,26
28001,0,0,0,1,1,0,0,0,0,0,7825,0,0,0,0,0,0,37
28001,0,0,0,1,1,0,0,9,0,0,0,0,0,9,0,0,0,1
28001,0,0,0,1,1,0,0,29,0,0,0,0,0,29,0,0,0,2
28001,0,0,0,1,1,0,0,146,0,0,0,0,0,0,146,0,0,5
28001,0,0,1,1,1,0,0,3126,0,0,0,0,0,3126,3126,0,7922,23
28001,1,0,0,0,0,0,0,12319,0,0,0,0,0,0,0,0,208,46
28001,2,0,0,1,1,0,0,4797,0,0,0,0,0,0,4797,0,375,29
28001,3,0,0,1,0,0,0,1474,0,0,0,0,0,0,0,0,761,16
28001,3,0,0,1,1,0,0,2720,0,0,0,0,0,0,0,0,730,22
28001,6,0,0,1,0,0,0,0,0,0,1811,0,0,1811,1811,0,1459,18
28001,8,0,0,0,0,0,0,0,0,0,453,0,0,453,453,0,1147,9
28001,10,0,0,0,0,0,0,0,0,0,669,0,0,669,669,0,1563,11
28001,10,0,0,0,0,0,0,226,0,0,0,0,0,226,226,0,1459,6
28001,11,0,0,0,0,0,0,0,0,0,34,0,0,34,34,0,2189,2
28001,11,0,0,1,0,0,0,7751,0,0,0,0,0,0,0,0,2293,37
28001,11,1,0,1,1,0,0,0,0,0,29,0,0,0,29,0,3335,2
28001,12,0,0,0,1,0,0,56,0,0,0,0,0,56,0,0,1876,3
28001,12,0,0,1,0,0,0,0,0,0,829,0,0,829,829,0,1876,12
28001,12,1,0,1,1,0,0,3268,0,0,0,0,0,0,0,0,2449,24
28001,13,0,0,0,0,0,0,1006,0,0,0,0,0,1006,1006,0,1876,13
28001,15,0,0,0,0,0,0,33096,0,0,0,0,0,0,0,0,2502,76
28001,16,1,0,1,0,0,0,2507,0,0,0,0,0,2507,0,0,3857,21
