puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
3000100,120,47,0,0,0,0,0,0,0,0,0,14400,0,0,0,0,0,10777
3000300,54,501,0,0,0,0,0,0,0,0,0,2916,0,0,2916,0,0,148946
3000200,176,112,0,0,1,0,0,0,0,0,0,30976,0,0,0,0,0,22931
3000500,182,251,0,0,0,0,0,0,0,0,0,33124,0,33124,33124,33124,0,43152
3000600,12,304,0,0,1,0,0,0,0,0,0,144,0,0,144,0,0,43777
3000400,27,415,0,0,0,0,0,0,0,0,0,729,0,729,729,0,0,94850
3000200,105,501,0,0,0,0,0,0,0,0,0,11025,0,0,0,0,0,83385
3000600,199,380,0,0,0,0,0,0,0,0,0,39601,0,0,39601,0,0,53262
3000200,446,501,0,0,0,0,0,0,0,0,0,198916,0,0,198916,0,0,401290
3000800,101,501,0,0,0,0,0,0,0,0,0,10201,0,0,0,0,0,83385
3000700,21,2,0,0,1,1,441,0,0,0,0,0,0,0,0,441,0,1042
3000200,57,220,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,117781
3000500,223,303,0,0,1,0,0,0,0,0,0,49729,0,0,0,0,0,89639
3000400,178,54,0,0,0,0,0,0,0,0,0,31684,0,0,31684,0,0,8130
3000700,31,91,0,0,1,0,0,0,0,0,0,961,0,0,0,961,0,13550
3000600,67,198,0,0,0,0,0,0,0,0,0,4489,0,0,0,0,0,31374
3000100,33,203,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,35439
3000300,56,240,0,0,0,0,0,0,0,0,0,3136,0,3136,3136,0,0,63164
3000200,111,501,0,0,0,0,0,0,0,0,0,12321,0,12321,0,0,0,233061
3000500,228,181,0,0,1,0,51984,0,0,0,0,51984,0,0,0,0,0,72128
3000200,183,410,0,0,0,0,33489,0,0,0,0,33489,0,33489,33489,33489,0,56285
3000700,19,334,0,0,0,0,0,0,0,0,0,361,0,0,361,0,0,45549
3000600,64,501,0,0,0,0,0,0,0,0,0,4096,0,4096,4096,4096,0,203876
3000500,162,501,0,0,0,0,0,0,0,0,0,26244,0,26244,26244,0,0,90577
3000600,57,501,0,0,0,0,0,0,0,0,0,3249,0,0,3249,0,0,202729
3000600,25,322,0,0,0,0,625,0,0,0,0,625,0,0,625,0,0,55347
3000100,337,289,0,0,0,0,0,0,0,0,0,113569,0,0,0,0,0,64206
3000700,200,290,0,0,0,0,0,0,0,0,0,40000,0,0,40000,0,0,52324
3000300,42,181,0,0,0,0,0,0,0,0,0,1764,0,1764,1764,1764,0,31269
3000400,181,262,0,0,0,0,0,0,0,0,0,32761,0,0,32761,0,0,46904
3000700,120,501,0,1,1,0,0,0,0,0,0,14400,0,0,14400,14400,0,117052
3000300,51,277,0,0,1,0,0,0,0,0,0,2601,0,0,0,0,0,84427
3000700,52,195,0,0,1,0,0,0,0,0,0,2704,0,0,2704,2704,0,43152
3000400,169,291,0,0,0,0,0,0,0,0,0,28561,0,28561,0,0,0,87241
3000600,21,474,0,0,0,0,0,0,0,0,0,441,0,0,441,0,0,95267
3000800,153,501,0,0,0,0,0,0,0,0,0,23409,0,0,0,0,0,470082
3000200,21,234,0,0,0,0,0,0,0,0,0,441,0,0,441,0,0,42839
3000700,91,222,0,0,0,0,0,0,0,0,0,8281,0,8281,8281,8281,0,30852
3000200,45,251,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,58369
3000500,134,384,0,0,0,0,0,0,0,0,0,17956,0,0,0,0,0,88596
3000300,101,299,0,0,0,0,0,0,0,0,0,10201,0,0,0,10201,0,60454
3000600,27,501,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,253282
3000700,36,0,0,0,0,0,1296,0,0,0,0,0,0,0,1296,1296,0,0
3000200,44,206,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,31269
3000100,125,160,1,0,0,0,0,0,0,0,0,15625,0,0,15625,0,0,21993
3000400,94,270,0,0,0,0,0,0,0,0,0,8836,0,0,0,0,0,91723
3000600,27,446,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,68793
3000700,34,501,0,0,0,0,1156,0,0,0,0,1156,0,1156,0,0,0,248591
3000600,16,411,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,125077
3000600,202,501,0,0,0,0,0,0,0,0,0,40804,0,0,40804,0,0,286010
3000700,109,73,0,1,1,1,0,0,0,0,0,11881,0,0,11881,11881,0,10006
3000600,8,299,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0,40744
3000200,104,253,0,0,0,0,0,0,0,0,0,10816,0,0,0,0,0,37523
3000600,22,204,0,0,0,0,484,0,0,0,0,484,0,0,0,0,0,141754
3000600,124,452,0,0,0,0,0,0,0,0,0,15376,0,0,15376,15376,0,79841
3000600,10,204,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,30279
