cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
3701,0,0,0,0,0,0,0,0,0,0,0,5329,0,0,0,5329,0,73
3701,0,0,0,0,0,0,0,0,0,0,0,17956,0,0,0,17956,26058,134
3701,0,0,0,0,0,0,0,0,0,0,84,0,84,84,84,0,-1980,5
3701,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,10
3701,0,0,0,0,0,0,0,0,0,0,261,0,0,261,0,0,0,9
3701,0,0,0,0,0,0,0,0,0,0,815,0,815,815,815,0,33354,15
3701,0,0,0,0,0,0,0,0,0,0,943,0,0,943,0,0,0,25
3701,0,0,0,0,0,0,0,0,0,0,1103,0,0,1103,1103,0,41171,28
3701,0,0,0,0,0,0,0,0,0,0,1158,0,0,1158,1158,0,0,28
3701,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,33
3701,0,0,0,0,0,0,0,0,0,0,1422,1422,0,0,0,0,25015,20
3701,0,0,0,0,0,0,0,0,0,0,1458,0,0,1458,0,0,0,32
3701,0,0,0,0,0,0,0,0,0,0,1600,0,1600,0,0,0,83,38
3701,0,0,0,0,0,0,0,0,0,0,2161,0,0,2161,2161,0,0,39
3701,0,0,0,0,0,0,0,0,0,0,2209,0,0,2209,0,0,0,47
3701,0,0,0,0,0,0,0,0,0,0,3093,0,0,0,0,0,83,46
3701,0,0,0,0,0,0,0,0,0,0,5854,0,0,5854,0,0,0,41
3701,0,0,0,0,0,0,0,0,0,0,5960,0,0,0,0,0,0,64
3701,0,0,0,0,0,0,0,0,0,0,6867,0,0,0,0,0,0,79
3701,0,0,0,0,0,0,0,0,0,0,8361,0,8361,8361,0,0,63,87
3701,0,0,0,0,0,0,0,0,0,0,65025,0,0,0,0,0,0,255
3701,0,0,0,0,0,0,0,0,0,0,80563,0,0,0,0,0,74004,270
3701,0,0,0,0,0,0,0,0,0,0,110498,0,0,0,0,0,1772,317
3701,0,0,0,0,0,0,0,49,0,0,0,0,0,49,49,0,0,7
3701,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,14
3701,0,0,0,0,0,0,0,537,0,0,0,0,537,537,537,0,115,12
3701,0,0,0,0,0,0,0,578,0,0,0,0,0,578,0,0,0,19
3701,0,0,0,0,0,0,0,625,0,0,0,0,0,625,0,0,0,25
3701,0,0,0,0,0,0,0,977,0,0,0,0,0,977,0,0,0,17
3701,0,0,0,0,0,0,0,1369,0,0,0,0,0,1369,1369,0,0,37
3701,0,0,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,32
3701,0,0,0,0,0,0,0,5929,0,0,0,0,0,0,0,0,0,77
3701,0,0,0,0,0,0,0,18989,0,0,0,0,0,0,18989,0,0,114
3701,0,0,0,0,0,0,0,62500,0,0,0,0,0,0,62500,0,0,250
3701,0,0,0,0,0,0,0,75955,0,0,0,75955,0,0,0,0,0,229
3701,0,0,0,0,0,0,0,93025,0,0,0,0,0,0,0,0,0,305
3701,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,10
3701,0,0,0,0,1,0,0,0,0,0,0,841,841,841,841,0,574418,29
3701,0,0,0,0,1,0,0,0,0,0,488,0,0,488,488,0,0,12
3701,0,0,0,0,1,0,0,365,0,0,0,0,0,365,365,0,0,16
3701,0,0,0,0,1,0,0,484,0,0,0,0,0,484,484,0,0,22
3701,0,0,0,0,1,0,0,1103,0,0,0,0,0,0,1103,0,0,28
3701,0,0,0,0,1,0,0,3052,0,0,0,0,0,3052,0,0,0,53
3701,0,0,0,0,1,0,0,7713,0,0,0,0,0,7713,7713,0,0,47
3701,0,0,0,0,1,199,0,0,0,0,199,0,0,0,199,0,0,12
3701,0,0,0,1,0,0,0,0,0,0,0,39033,0,0,0,39033,0,164
3701,0,0,0,1,0,0,0,0,0,0,464,0,0,464,0,0,0,12
3701,0,0,0,1,0,0,0,0,0,0,484,0,484,0,484,0,42,22
3701,0,0,0,1,0,0,0,0,0,0,841,0,0,841,841,0,18345,29
3701,0,0,0,1,0,0,0,0,0,0,5776,0,0,0,0,0,130289,76
3701,0,0,0,1,0,0,0,977,0,0,0,0,0,0,977,0,0,17
3701,0,0,0,1,0,0,0,11881,0,0,0,0,0,11881,0,0,0,109
3701,0,0,0,1,0,0,0,22935,0,0,0,0,0,0,0,0,0,144
3701,0,0,0,1,0,0,0,35721,0,0,0,0,0,0,35721,0,0,189
3701,0,0,0,1,0,0,0,82944,0,0,0,0,0,82944,82944,0,0,288
3701,0,0,0,1,0,73171,0,0,0,0,0,73171,0,0,0,73171,52116,258
3701,0,0,0,1,1,0,0,0,0,0,0,10257,0,0,0,10257,22410,84
3701,0,0,0,1,1,0,0,0,0,0,441,0,441,0,0,0,0,21
3701,0,0,0,1,1,0,0,0,0,0,784,0,0,0,784,0,0,28
3701,0,0,0,1,1,0,0,0,0,0,3186,0,0,0,3186,0,104,47
3701,0,0,0,1,1,0,0,0,0,0,6100,6100,0,6100,6100,0,0,74
3701,0,0,0,1,1,0,0,29,0,0,0,0,29,0,0,0,0,3
3701,0,0,0,1,1,0,0,488,0,0,0,0,0,488,0,0,0,12
3701,0,0,0,1,1,0,0,1849,0,0,0,0,0,0,1849,0,0,43
3701,0,0,0,1,1,0,0,2318,0,0,0,0,0,0,0,0,0,40
3701,0,0,0,1,1,0,0,2564,0,0,0,0,0,2564,0,0,0,42
3701,0,0,0,1,1,0,0,3052,0,0,0,0,0,0,0,0,0,53
3701,0,0,0,1,1,0,0,3249,0,0,0,0,0,0,0,0,0,57
3701,0,0,0,1,1,0,0,5625,0,0,0,0,0,0,0,0,0,75
3701,0,0,0,1,1,0,0,8281,0,0,0,0,0,0,8281,0,1042,91
3701,0,0,0,1,1,0,0,9433,0,0,0,0,0,0,9433,0,0,81
3701,0,0,0,1,1,0,0,10370,0,0,0,0,0,0,0,0,0,55
3701,0,0,0,1,1,0,0,11025,0,0,0,0,0,0,11025,0,0,105
3701,0,0,0,1,1,0,0,11025,0,0,0,0,0,11025,11025,0,0,105
3701,0,0,0,1,1,0,0,13924,0,0,0,0,13924,13924,13924,0,0,118
3701,0,0,0,1,1,0,0,15712,0,0,0,0,0,0,0,0,0,104
3701,0,0,0,1,1,0,0,25911,0,0,0,0,0,0,25911,0,0,153
3701,0,0,0,1,1,0,0,41935,0,0,0,0,0,0,0,0,0,195
3701,0,0,0,1,1,441,0,0,0,0,0,0,0,0,0,0,0,21
3701,0,0,0,1,1,2704,0,2704,0,0,0,0,0,0,0,0,0,52
3701,0,0,1,1,0,7339,0,0,0,0,7339,0,0,0,7339,0,13137,46
3701,1,0,0,0,0,0,0,0,0,0,42,0,0,42,0,0,188,3
3701,1,0,0,0,0,0,0,16770,0,0,0,0,0,0,0,0,229,107
3701,1,0,0,0,0,0,0,93025,0,0,0,0,0,0,0,0,188,305
3701,1,0,0,0,1,0,0,29929,0,0,0,0,0,0,0,0,323,173
3701,1,0,0,1,0,0,0,576,0,0,0,0,0,0,0,0,261,24
3701,1,0,0,1,0,0,0,37017,0,0,0,0,37017,37017,37017,0,208,183
3701,2,0,0,0,0,0,0,0,0,0,2645,0,0,0,0,0,13133,49
3701,2,0,0,0,0,0,0,0,0,0,8187,0,0,0,0,0,1355,86
3701,2,0,0,0,0,0,0,13456,0,0,0,0,0,0,13456,0,313,116
3701,2,0,0,1,1,0,0,0,0,0,49,0,0,0,0,0,532,4
3701,3,0,0,0,0,0,0,0,0,0,6867,0,0,0,0,0,771,79
3701,3,0,0,1,1,0,0,0,0,0,3600,0,0,3600,3600,0,1147,60
3701,3,0,0,1,1,0,0,57611,0,0,0,0,0,0,57611,0,1042,229
3701,4,0,0,1,0,0,0,28397,0,0,28397,0,0,0,28397,0,1147,140
3701,5,0,0,0,0,0,0,36,0,0,0,0,0,36,36,0,698,6
