metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,26244,26244,0,0,162
99999,0,0,0,0,0,0,0,0,0,0,0,5329,0,0,0,5329,0,73
99999,0,0,0,0,0,0,0,0,0,0,0,6561,0,0,0,0,0,81
99999,0,0,0,0,0,0,0,0,0,0,0,8100,0,0,0,8100,0,90
99999,0,0,0,0,0,0,0,0,0,0,0,8100,0,0,0,8100,63,90
99999,0,0,0,0,0,0,0,0,0,0,0,9025,0,0,0,9025,0,95
99999,0,0,0,0,0,0,0,0,0,0,0,12544,12544,0,12544,0,0,112
99999,0,0,0,0,0,0,0,0,0,0,0,14161,0,0,0,14161,21055,119
99999,0,0,0,0,0,0,0,0,0,0,0,17956,0,0,0,17956,26058,134
99999,0,0,0,0,0,0,0,0,0,0,0,23104,0,0,0,0,0,152
99999,0,0,0,0,0,0,0,0,0,0,0,23104,0,0,0,23104,0,152
99999,0,0,0,0,0,0,0,0,0,0,0,27889,27889,0,0,27889,137794,167
99999,0,0,0,0,0,0,0,0,0,0,0,588289,0,0,0,588289,0,767
99999,0,0,0,0,0,0,0,0,0,0,36,0,36,36,0,0,0,6
99999,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,10
99999,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,11
99999,0,0,0,0,0,0,0,0,0,0,196,0,0,196,0,0,0,14
99999,0,0,0,0,0,0,0,0,0,0,196,0,196,196,196,0,21576,14
99999,0,0,0,0,0,0,0,0,0,0,289,0,289,289,289,0,-1980,17
99999,0,0,0,0,0,0,0,0,0,0,484,0,484,484,0,0,0,22
99999,0,0,0,0,0,0,0,0,0,0,529,0,529,529,0,0,0,23
99999,0,0,0,0,0,0,0,0,0,0,576,576,0,576,576,0,93808,24
99999,0,0,0,0,0,0,0,0,0,0,676,0,0,676,0,0,0,26
