SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000143,396,0,0,0,0,3800500,95,0,0,0,0,0,95,0,0,0,0,0,121950
2022HU0001930,311,0,0,0,0,3800200,301,0,0,0,0,0,301,0,0,0,0,0,46904
2022HU0002288,501,0,0,0,0,3800400,22,0,0,0,0,0,22,0,0,22,0,0,112570
2022HU0002872,501,0,0,0,0,3800600,16,0,0,0,0,0,16,0,0,16,0,0,119866
2022HU0003445,345,0,0,0,0,3800600,101,0,0,0,0,0,101,0,0,0,0,0,54200
2022HU0003477,385,0,0,0,0,3800400,76,0,0,0,0,0,76,0,0,0,0,0,156347
2022HU0003521,501,0,0,0,0,3800100,113,0,0,0,0,0,113,0,113,113,0,0,519071
2022HU0004039,281,0,0,0,0,3800400,108,108,0,0,0,0,0,0,0,108,108,0,80675
2022HU0004467,107,0,0,1,1,3800500,12,0,0,0,0,0,12,0,0,12,0,12,19179
2022HU0005503,32,0,0,0,0,3800200,120,0,0,0,0,120,120,0,0,0,120,0,4795
2022HU0006104,501,0,0,0,0,3800200,21,0,0,0,0,0,21,0,21,0,0,0,210651
2022HU0006528,124,0,0,0,0,3800400,79,0,0,0,0,0,79,0,0,79,79,0,23973
2022HU0007467,501,0,0,0,0,3800500,122,0,0,0,0,0,122,122,0,122,0,0,85365
2022HU0007735,13,0,0,1,0,3800400,19,0,0,0,0,0,19,0,0,0,0,0,3231
2022HU0008146,501,1,0,1,0,3800400,28,0,0,0,0,0,28,0,0,28,28,0,141025
2022HU0008417,501,0,0,0,0,3800100,71,0,0,0,0,0,71,0,0,0,0,0,104231
2022HU0008533,475,0,0,0,0,3800600,97,0,0,0,0,0,97,0,0,97,97,0,94142
2022HU0009050,501,0,0,0,0,3800400,25,0,0,0,0,0,25,0,0,25,0,0,114237
2022HU0009062,501,0,0,0,0,3800400,10,0,0,0,0,0,10,0,0,0,0,0,94850
2022HU0009080,288,0,0,0,0,3800500,237,0,0,237,0,0,0,0,0,0,0,237,67750
2022HU0009892,248,0,0,0,0,3800500,32,0,0,0,0,0,32,0,32,32,0,0,35772
2022HU0009988,264,0,1,1,1,3800100,26,26,0,0,0,0,0,0,0,26,26,0,106628
2022HU0010106,330,0,0,1,0,3800500,24,0,0,0,0,0,24,0,0,0,24,0,102146
2022HU0011783,431,0,0,0,0,3800500,12,0,0,0,0,0,12,0,0,12,0,0,77131
2022HU0011930,232,0,0,0,0,3800200,77,0,0,0,0,0,77,0,0,77,0,0,39608
2022HU0012551,501,0,0,0,0,3800400,65,0,0,0,0,0,65,0,0,65,0,0,83385
2022HU0012946,243,0,0,0,0,3800600,105,0,0,0,0,0,105,0,0,105,0,0,36481
2022HU0014526,392,0,0,0,0,3800400,22,0,0,0,0,0,22,0,0,22,22,0,67438
2022HU0015068,436,0,0,0,0,3800600,140,0,0,0,0,0,140,0,0,140,0,0,77444
2022HU0015228,501,0,0,0,0,3800500,39,0,0,0,0,0,39,0,0,39,0,0,136543
2022HU0015296,327,0,0,0,0,3800600,136,0,0,0,0,0,136,0,0,0,0,0,78173
2022HU0015690,447,0,0,0,0,3800300,92,0,0,0,0,0,92,0,92,92,0,0,78298
2022HU0016096,501,0,0,0,0,3800600,130,0,0,0,0,0,130,0,0,130,130,0,127099
2022HU0016133,501,0,0,0,0,3800300,12,0,0,0,0,0,12,0,0,0,0,0,166822
2022HU0016171,175,0,0,0,0,3800500,39,0,0,39,0,0,39,0,39,0,0,0,42735
2022HU0017340,22,0,0,1,1,3800400,55,55,0,0,0,0,55,0,0,0,55,0,67750
2022HU0018115,501,0,0,0,0,3800400,90,0,0,0,0,0,90,0,0,90,0,0,206586
2022HU0018493,9,0,0,0,0,3800400,236,0,0,236,0,0,236,0,0,236,236,0,1876
2022HU0019015,501,0,0,0,0,3800400,64,0,64,0,0,0,64,0,64,64,0,0,169480
2022HU0019569,221,0,0,0,1,3800500,23,0,0,0,0,0,23,0,0,0,23,0,33354
2022HU0019830,501,0,0,0,0,3800600,179,0,0,0,0,0,179,0,0,0,0,0,244943
2022HU0019859,501,0,0,1,0,3800200,541,0,0,0,0,0,541,0,0,0,0,0,580046
2022HU0020646,501,0,0,0,0,3800600,13,0,0,0,0,0,13,0,0,13,0,0,79216
2022HU0020790,225,0,0,0,0,3800600,260,0,0,0,0,0,260,0,0,0,260,0,211381
2022HU0021654,431,0,0,0,0,3800300,89,0,0,0,0,0,89,0,0,0,0,0,98603
2022HU0022005,291,0,0,0,0,3800400,16,0,0,0,0,0,16,0,0,0,0,0,44309
2022HU0022154,335,0,0,0,0,3800500,71,0,0,0,0,0,71,0,0,71,0,0,48155
2022HU0022582,149,0,0,0,0,3800300,129,0,0,0,0,0,129,0,0,129,129,0,20471
2022HU0022842,261,0,0,0,0,3800300,31,0,0,0,0,0,0,31,0,0,0,0,52116
2022HU0023004,163,0,0,1,0,3800600,165,0,0,0,0,0,165,0,0,165,165,0,23139
2022HU0025279,501,0,0,0,0,3800200,109,0,0,0,0,0,109,0,0,0,0,0,201166
2022HU0025396,501,0,0,0,0,3800500,85,0,0,0,0,0,85,0,0,0,0,0,178235
2022HU0025763,370,0,0,0,0,3800200,49,0,0,0,0,0,49,0,0,49,0,0,70877
2022HU0025929,501,0,0,0,0,3800300,24,0,0,0,0,0,24,0,0,24,0,0,99645
2022HU0026030,260,0,0,0,0,3800400,140,0,0,0,0,0,140,0,0,0,0,0,86929
2022HU0026587,266,0,0,0,0,3800200,31,0,0,0,0,0,31,0,31,31,31,0,36481
2022HU0026791,501,0,0,0,0,3800300,215,0,0,0,0,0,215,0,0,0,0,0,99020
2022HU0026806,501,0,0,0,0,3800600,39,0,0,0,0,0,39,0,0,0,0,0,193349
2022HU0026942,164,0,0,0,0,3800200,15,0,0,0,0,0,15,0,0,15,0,0,25015
2022HU0026945,501,0,0,0,0,3800100,28,0,0,0,0,0,28,0,28,28,0,0,94433
2022HU0027593,501,0,0,0,0,3800600,103,0,0,0,0,0,103,0,0,103,0,0,76923
2022HU0027831,159,0,0,0,0,3800600,17,0,0,0,0,0,17,0,0,17,17,0,22097
2022HU0027969,156,0,0,0,0,3800600,106,0,0,0,0,0,106,0,106,0,0,0,75046
2022HU0028353,501,0,0,0,0,3800400,63,0,0,0,0,0,63,0,0,63,0,0,139461
2022HU0030235,501,0,0,0,0,3800500,20,0,0,0,0,0,20,0,0,0,0,0,107150
2022HU0030880,111,0,0,0,0,3800200,47,47,0,0,0,0,47,0,0,47,47,0,17302
2022HU0031676,501,0,0,0,0,3800300,145,145,0,0,0,0,145,0,0,145,0,0,135500
2022HU0031701,501,0,0,1,0,3800400,18,0,0,0,0,0,18,0,0,18,0,0,126328
2022HU0031810,501,0,0,0,0,3800600,16,0,0,0,0,0,16,0,0,0,0,0,151135
2022HU0032234,366,0,0,0,0,3800400,49,0,0,0,0,0,49,0,0,49,0,0,52741
2022HU0032259,375,0,0,0,0,3800100,71,0,0,0,0,0,71,0,0,0,0,0,112570
2022HU0032837,464,0,0,0,0,3800200,218,0,0,0,0,0,218,0,218,0,0,0,135500
