cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
3301,0,0,0,0,0,0,0,0,0,0,162,0,0,162,0,0,0,12
3301,0,0,0,0,0,0,0,0,0,0,704,0,0,704,0,0,-1970,24
3301,0,0,0,0,0,0,0,0,0,0,2601,0,0,2601,2601,0,0,51
3301,0,0,0,0,0,0,0,0,0,0,2809,0,0,2809,0,0,0,53
3301,0,0,0,0,0,0,0,0,0,0,3442,0,3442,3442,3442,0,82343,52
3301,0,0,0,0,0,0,0,0,0,0,5281,0,0,5281,0,0,0,66
3301,0,0,0,0,0,0,0,0,0,0,5767,0,0,5767,0,0,0,69
3301,0,0,0,0,0,0,0,0,0,0,7993,0,7993,0,0,0,21367,88
3301,0,0,0,0,0,0,0,0,0,0,15081,0,0,15081,15081,0,0,121
3301,0,0,0,0,0,0,0,0,0,0,18649,0,0,18649,0,0,0,134
3301,0,0,0,0,0,0,13291,0,0,0,0,0,0,13291,0,13291,0,105
3301,0,0,0,1,0,0,0,0,0,0,3647,0,0,0,0,0,0,55
3301,0,0,0,1,0,0,0,0,0,0,3953,0,0,3953,0,0,0,62
3301,0,0,0,1,0,0,0,0,0,0,8169,0,0,0,0,0,62539,89
3301,0,0,0,1,0,0,0,0,0,0,10502,0,0,0,0,0,0,94
3301,0,0,0,1,0,0,0,0,0,0,14400,0,0,14400,14400,0,0,120
3301,0,0,0,1,0,0,0,0,0,0,33208,0,0,0,0,0,3544,162
3301,0,0,0,1,1,0,0,0,0,0,369,0,369,0,369,0,156,18
3301,0,0,0,1,1,0,0,0,0,0,3647,0,0,3647,3647,0,0,55
3301,0,0,0,1,1,0,0,0,0,0,7396,0,0,0,7396,0,0,86
3301,0,0,0,1,1,0,0,0,0,0,7744,0,7744,7744,0,0,10632,88
3301,0,0,0,1,1,0,0,0,0,0,9082,0,0,0,0,0,0,94
3301,0,0,0,1,1,0,0,0,0,0,118518,0,0,0,0,0,0,313
3301,0,0,0,1,1,0,0,3871,0,0,3871,0,0,0,0,0,120908,57
3301,0,1,0,0,1,0,0,0,0,0,13081,0,0,13081,13081,0,25641,105
3301,2,0,0,0,0,0,0,0,0,0,141,0,0,141,0,0,594,11
3301,2,0,0,0,0,0,0,0,0,0,9447,0,0,9447,9447,0,313,88
3301,3,0,0,1,0,0,0,0,0,0,6102,0,0,6102,6102,0,625,71
3301,7,0,0,1,1,0,0,0,0,0,3986,0,0,3986,3986,0,1147,58
3301,8,0,0,1,0,0,0,0,0,0,4461,0,0,0,0,0,23035,61
3301,8,0,0,1,0,0,0,0,0,0,4900,0,0,4900,4900,0,3054,70
3301,8,0,0,1,0,0,0,0,0,0,5358,5358,0,0,0,0,56702,67
3301,8,0,0,1,0,0,0,0,0,0,8464,0,0,8464,0,0,1355,92
3301,8,0,0,1,1,0,0,0,0,0,6241,0,0,0,6241,0,1251,79
3301,8,0,0,1,1,0,0,0,0,0,11295,0,0,0,0,0,1251,97
3301,10,0,0,0,0,0,0,0,0,0,267,0,0,267,0,0,1563,15
3301,10,0,0,1,1,0,0,0,0,0,4489,0,0,4489,4489,0,1459,67
3301,10,1,0,1,1,0,0,0,0,0,3014,0,0,0,0,0,2085,50
3301,11,0,0,1,0,0,0,0,1049,0,1049,0,1049,1049,1049,0,1668,16
3301,11,1,0,0,1,0,0,0,0,0,57908,0,0,57908,57908,0,2168,220
3301,13,0,0,0,0,0,0,0,0,0,9624,0,0,9624,0,0,1876,89
3301,13,0,0,0,0,0,0,0,0,0,14400,0,0,14400,0,0,1876,120
3301,13,0,0,1,0,0,0,0,0,0,18017,18017,0,0,0,0,97560,119
3301,13,0,0,1,1,0,0,0,0,0,7447,0,0,0,7447,0,3127,78
3301,14,0,0,0,0,0,0,0,0,0,29590,0,29590,29590,29590,0,1980,157
3301,14,0,0,1,0,0,0,0,0,0,922,0,0,922,922,0,1897,15
3301,14,0,0,1,0,0,0,0,0,0,160671,0,0,0,160671,0,2189,394
3301,14,0,0,1,1,0,0,0,0,0,3986,0,0,0,3986,0,2293,58
3301,14,0,0,1,1,0,0,0,0,0,167934,167934,0,0,167934,0,4482,364
3301,15,0,0,0,0,0,0,0,0,0,7902,0,0,7902,0,0,3127,79
3301,16,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,2606,25
3301,16,0,0,0,0,0,0,0,0,0,57506,0,0,57506,0,0,3127,218
3301,18,0,0,0,0,0,0,0,0,0,94054,0,0,94054,94054,0,2647,273
3301,18,0,0,1,0,0,0,0,0,0,16614,0,0,16614,16614,0,2502,115
3301,18,0,1,0,0,0,0,0,0,0,1849,0,0,1849,1849,0,3544,39
3301,20,0,0,0,0,0,0,0,0,0,6490,0,0,6490,6490,0,33041,79
3301,21,0,0,1,1,0,0,0,0,0,111556,111556,0,0,0,0,47946,334
3301,22,0,0,0,0,0,0,0,0,0,4277,0,0,4277,0,0,3127,59
3301,23,0,0,0,0,0,0,0,0,0,9912,0,0,9912,0,0,3335,89
3301,23,0,0,1,0,0,0,0,0,0,2146,0,0,2146,0,0,8860,42
