metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
40484,0,0,0,0,0,0,0,0,0,0,196,0,0,196,0,0,0,14
40484,0,0,0,0,0,0,0,0,0,0,4356,0,4356,4356,4356,0,82343,66
40484,0,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,0,80
40484,0,0,0,0,0,0,0,0,0,0,8281,0,8281,0,0,0,21367,91
40484,0,0,0,0,0,0,0,0,0,0,15625,0,0,15625,15625,0,0,125
40484,0,0,0,0,0,0,0,0,0,0,19321,0,0,19321,0,0,0,139
40484,0,0,0,1,0,0,0,0,0,0,4096,0,0,4096,0,0,0,64
40484,0,0,0,1,0,0,0,0,0,0,8464,0,0,0,0,0,62539,92
40484,0,0,0,1,0,0,0,0,0,0,42025,0,0,0,0,0,3544,205
40484,0,0,0,1,1,0,0,0,0,0,9409,0,0,0,0,0,0,97
40484,0,0,0,1,1,0,0,0,0,0,143641,0,0,0,0,0,0,379
40484,2,0,0,0,0,0,0,0,0,0,11449,0,0,11449,11449,0,313,107
40484,3,0,0,1,0,0,0,0,0,0,7396,0,0,7396,7396,0,625,86
40484,8,0,0,1,1,0,0,0,0,0,13689,0,0,0,0,0,1251,117
40484,10,0,0,0,0,0,0,0,0,0,324,0,0,324,0,0,1563,18
40484,13,0,0,0,0,0,0,0,0,0,11664,0,0,11664,0,0,1876,108
40484,13,0,0,1,0,0,0,0,0,0,22801,22801,0,0,0,0,97560,151
40484,13,0,0,1,1,0,0,0,0,0,9025,0,0,0,9025,0,3127,95
40484,14,0,0,1,0,0,0,0,0,0,166464,0,0,0,166464,0,2189,408
40484,14,0,0,1,1,0,0,0,0,0,212521,212521,0,0,212521,0,4482,461
40484,15,0,0,0,0,0,0,0,0,0,10000,0,0,10000,0,0,3127,100
40484,16,0,0,0,0,0,0,0,0,0,69696,0,0,69696,0,0,3127,264
40484,18,0,0,0,0,0,0,0,0,0,119025,0,0,119025,119025,0,2647,345
40484,18,0,0,1,0,0,0,0,0,0,21025,0,0,21025,21025,0,2502,145
40484,20,0,0,0,0,0,0,0,0,0,6724,0,0,6724,6724,0,33041,82
40484,22,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,3127,72
40484,23,0,0,0,0,0,0,0,0,0,12544,0,0,12544,0,0,3335,112
40484,23,0,0,1,0,0,0,0,0,0,2601,0,0,2601,0,0,8860,51
40484,24,0,0,1,0,0,0,0,0,0,5329,0,5329,5329,0,0,3544,73
40484,27,0,0,1,1,0,0,0,0,0,1600,0,0,1600,1600,0,4065,40
40484,28,0,0,1,0,0,0,0,0,0,172225,0,0,0,0,0,70043,415
40484,33,0,0,0,0,0,0,0,0,0,76729,0,0,76729,76729,0,4690,277
40484,33,0,0,0,1,2209,0,0,0,0,2209,0,0,0,2209,0,10423,47
40484,33,0,0,1,0,0,0,0,0,0,324,0,324,324,0,0,4899,18
40484,34,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,6254,60
40484,34,0,0,0,0,0,0,0,0,0,150544,0,0,0,0,0,27100,388
40484,36,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,7505,70
40484,36,0,0,1,0,0,0,0,0,0,5041,0,0,5041,0,0,7296,71
40484,36,0,0,1,0,0,0,0,0,0,10000,0,0,10000,0,0,5003,100
40484,40,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,19804,42
40484,40,0,0,1,1,0,0,0,0,0,1849,0,0,0,0,0,8026,43
40484,43,0,0,0,0,0,0,0,0,0,4900,0,0,4900,4900,0,6254,70
40484,45,0,0,1,0,0,0,0,0,0,16900,0,0,16900,16900,0,10527,130
40484,45,0,0,1,1,0,0,0,0,0,84100,0,0,0,0,0,41692,290
40484,46,0,0,0,0,0,0,0,0,0,2916,0,0,2916,0,0,6462,54
40484,46,1,1,1,1,0,0,0,0,0,11664,0,0,0,11664,0,9652,108
40484,47,0,0,0,0,0,0,0,0,0,15625,0,0,0,0,0,7557,125
40484,48,0,0,0,0,0,0,0,0,0,16900,0,0,0,0,0,7296,130
