metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
15804,0,0,0,0,0,0,0,0,0,0,0,0,961,961,0,0,502394,31
15804,0,0,0,0,0,0,0,0,0,0,900,0,0,0,900,0,5212,30
15804,0,0,0,0,0,0,0,0,0,0,900,0,0,900,0,0,0,30
15804,0,0,0,0,0,0,0,0,0,0,1369,0,0,1369,0,0,0,37
15804,0,0,0,0,0,0,0,0,0,0,2304,0,0,2304,0,0,0,48
15804,0,0,0,0,0,0,0,0,0,0,2704,0,0,0,0,0,0,52
15804,0,0,0,0,0,0,0,0,0,0,2704,0,0,2704,2704,0,0,52
15804,0,0,0,0,0,0,0,0,0,0,3025,0,0,3025,3025,0,0,55
15804,0,0,0,0,0,0,0,0,0,0,3481,0,0,3481,0,0,0,59
15804,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,-2393,60
15804,0,0,0,0,0,0,0,0,0,0,8836,0,0,8836,0,0,0,94
15804,0,0,0,0,0,0,0,0,0,0,9604,0,0,9604,0,0,-313,98
15804,0,0,0,0,0,0,0,0,0,0,13225,0,0,0,0,0,0,115
15804,0,0,0,0,0,0,0,0,0,0,14641,0,0,0,0,0,0,121
15804,0,0,0,0,0,0,0,0,0,0,14641,0,0,14641,14641,0,0,121
15804,0,0,0,0,0,0,0,0,0,0,77284,0,77284,77284,77284,0,0,278
15804,0,0,0,0,0,0,0,0,0,0,96100,0,96100,0,96100,0,55451,310
15804,0,0,0,0,0,0,0,3136,0,0,0,0,0,0,3136,0,0,56
15804,0,0,0,0,0,0,0,7056,0,0,0,0,7056,7056,7056,0,0,84
15804,0,0,0,0,0,0,0,10404,0,0,0,0,0,10404,0,0,0,102
15804,0,0,0,0,0,0,0,11236,0,0,0,0,0,11236,0,0,194495,106
15804,0,0,0,0,0,0,0,16900,0,0,0,0,0,16900,0,0,0,130
15804,0,0,0,0,0,0,0,25281,0,0,0,0,0,0,0,0,0,159
15804,0,0,0,0,0,0,0,69696,0,0,0,0,0,0,69696,0,0,264
15804,0,0,0,1,0,0,0,0,0,0,625,0,0,0,0,0,0,25
15804,0,0,0,1,0,0,0,0,0,0,784,0,0,0,784,0,0,28
15804,0,0,0,1,0,0,0,0,0,0,1024,0,0,0,0,0,88596,32
15804,0,0,0,1,0,0,0,0,0,0,1521,0,0,0,0,0,81300,39
15804,0,0,0,1,0,0,0,0,0,0,6724,0,0,6724,6724,0,0,82
15804,0,0,0,1,0,0,0,0,0,0,8281,0,0,0,8281,0,0,91
15804,0,0,0,1,0,0,0,0,0,0,9409,9409,0,0,0,0,0,97
15804,0,0,0,1,0,0,0,0,0,0,17161,0,0,0,0,0,27100,131
15804,0,0,0,1,0,0,0,3721,0,0,0,0,0,3721,0,0,36481,61
15804,0,0,0,1,0,0,0,7396,0,0,0,0,0,0,0,0,0,86
15804,0,0,0,1,0,0,0,11025,0,0,0,0,0,0,0,0,0,105
15804,0,0,0,1,0,0,0,11025,0,0,0,11025,0,0,0,0,0,105
15804,0,0,0,1,0,0,0,13689,0,0,0,0,0,0,0,0,0,117
15804,0,0,0,1,0,0,0,19600,0,0,0,0,0,19600,0,0,0,140
15804,0,0,0,1,0,0,0,32041,0,0,0,0,0,32041,0,0,0,179
15804,0,0,0,1,0,0,0,39601,0,0,39601,39601,0,0,0,0,10423,199
15804,0,0,0,1,0,0,841,0,0,0,841,0,0,0,0,0,0,29
15804,0,0,0,1,1,0,0,0,0,0,0,3844,0,3844,3844,3844,0,62
15804,0,0,0,1,1,0,0,0,0,0,5184,0,0,5184,5184,0,-2397,72
15804,0,0,0,1,1,0,0,0,0,0,6241,0,0,6241,6241,0,0,79
15804,0,0,0,1,1,0,0,0,0,0,26896,0,0,0,26896,0,0,164
15804,0,0,0,1,1,0,0,1296,0,0,1296,0,0,0,1296,0,0,36
15804,0,0,0,1,1,0,0,3025,0,0,3025,3025,0,0,0,0,0,55
15804,0,0,0,1,1,0,0,6724,0,0,0,0,0,6724,0,0,0,82
15804,0,0,0,1,1,0,0,21609,0,0,0,0,0,0,0,0,0,147
15804,0,0,0,1,1,0,0,43264,0,0,0,0,0,0,43264,0,36481,208
15804,0,0,0,1,1,0,11881,0,0,0,0,0,0,11881,11881,11881,135500,109
15804,0,0,0,1,1,6084,0,6084,0,0,0,0,0,6084,0,0,0,78
15804,0,0,1,1,0,0,0,0,0,0,4356,0,0,0,4356,0,16781,66
15804,1,0,0,1,0,0,0,0,0,0,289,0,0,0,0,0,104648,17
15804,1,0,0,1,1,0,0,0,0,0,0,25600,0,0,0,0,521,160
15804,2,0,0,1,1,0,0,0,0,0,0,12321,0,0,12321,0,625,111
15804,3,0,0,0,0,0,0,1600,0,0,0,0,0,1600,0,0,521,40
15804,3,0,0,0,1,0,0,0,0,0,20164,20164,0,20164,0,0,573,142
15804,3,0,0,1,1,0,0,3600,0,0,0,3600,0,3600,0,0,625,60
15804,3,0,0,1,1,0,0,11664,0,0,0,0,11664,0,11664,0,1251,108
