puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
3402003,99,501,0,0,0,0,0,0,9801,0,0,0,0,9801,9801,0,0,80258
3401902,103,88,0,0,0,0,0,0,0,0,0,10609,0,0,10609,0,0,16990
3400101,78,91,0,0,1,1,0,0,0,0,0,0,6084,0,0,6084,6084,41692
3402002,51,501,0,0,0,0,0,0,0,0,0,2601,0,0,2601,2601,0,156347
3401502,53,501,0,0,0,0,0,0,0,0,0,2809,0,0,2809,0,0,212631
3402401,84,501,0,1,1,0,0,0,0,0,0,7056,0,0,0,0,0,298205
3401101,53,501,0,0,0,0,0,0,0,0,0,2809,0,0,2809,0,0,244839
3401002,187,501,0,0,0,0,0,34969,0,0,0,0,0,0,0,0,0,131331
3400303,98,295,0,0,0,0,0,0,0,0,0,9604,0,0,9604,0,0,52116
3401204,119,501,0,0,0,0,0,0,0,0,0,14161,0,0,0,0,0,102146
3400901,60,337,0,0,1,0,0,0,0,0,0,3600,0,0,3600,3600,0,60350
3401203,80,226,0,0,0,0,0,0,0,0,0,6400,0,0,6400,6400,0,40233
3400604,86,313,0,0,0,0,0,0,0,0,0,7396,0,0,0,7396,0,46904
3401003,32,501,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,159474
3402401,10,231,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,41901
3400907,51,220,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,30998
3402202,72,0,0,0,1,1,0,0,0,0,0,5184,0,0,5184,5184,0,-2397
3400601,80,501,0,0,0,0,0,0,0,0,0,6400,6400,0,0,6400,6400,360640
3400501,157,491,0,0,0,0,0,0,0,0,0,24649,0,0,24649,0,0,70252
3401201,94,357,0,0,0,0,0,0,0,0,0,8836,0,8836,8836,0,0,63477
3400102,83,501,0,0,0,0,0,0,6889,0,0,0,0,0,0,0,0,183447
3401201,62,321,0,0,1,0,0,0,0,0,0,3844,0,0,3844,3844,0,116739
3402401,121,224,0,0,0,0,0,0,0,0,0,14641,0,0,14641,14641,0,44215
3401504,67,501,0,0,0,0,0,0,0,0,0,4489,0,0,0,0,0,420051
3402401,7,501,0,0,0,0,0,0,0,0,0,49,0,49,49,49,0,97977
3401404,59,501,0,0,0,0,0,0,0,0,0,3481,0,0,3481,0,0,398163
3401102,83,501,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,102876
3400101,89,501,0,0,0,0,0,0,0,0,0,7921,0,0,7921,7921,0,77131
3401403,52,501,0,0,0,0,0,0,0,0,0,2704,0,0,2704,0,0,135500
3400605,212,501,0,0,0,0,0,0,0,0,0,44944,0,44944,0,0,0,124035
3402501,51,12,0,0,0,1,2601,0,2601,0,0,0,0,0,2601,2601,0,1772
3402103,184,501,0,0,0,0,0,0,0,0,0,33856,0,0,0,0,0,220970
3400301,73,501,0,0,0,0,0,0,0,0,0,5329,0,0,0,0,0,385655
3402103,89,385,0,0,0,0,0,0,0,0,0,7921,0,0,0,0,0,104231
3402301,126,103,0,0,1,1,0,0,0,0,0,15876,15876,0,0,0,0,20846
3401905,261,287,0,0,0,0,0,0,0,0,0,68121,0,0,0,68121,68121,56493
3400302,91,343,0,0,0,0,0,0,0,0,0,8281,0,0,0,0,0,65666
3402501,83,463,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,168437
3400603,52,501,0,0,0,0,0,0,0,0,0,2704,2704,0,0,0,0,453926
3401401,51,160,0,0,0,1,0,0,2601,0,0,0,0,0,2601,2601,0,22410
3402401,165,367,1,0,1,1,0,0,0,0,0,27225,0,0,27225,27225,0,69418
3401404,90,501,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,739207
3401103,98,501,0,0,0,0,0,0,0,0,0,9604,0,0,9604,0,0,420051
3400504,119,501,0,0,0,0,0,0,0,0,0,14161,0,0,0,0,0,156347
3401001,74,501,0,0,0,0,0,0,0,0,0,5476,5476,0,0,0,0,422136
3401502,89,233,0,1,0,0,0,0,0,0,0,7921,0,0,0,0,0,56285
3401403,57,501,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,279339
3400902,32,501,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,198039
3402103,54,179,1,0,0,1,0,0,0,0,0,2916,0,0,2916,0,0,25224
3401905,284,501,0,0,0,0,0,0,0,0,0,80656,80656,0,0,0,0,175108
3401700,86,169,0,0,1,0,0,0,0,0,0,7396,0,7396,7396,0,0,51073
3400601,159,501,0,0,0,0,0,0,0,0,0,25281,25281,0,0,0,0,239732
3402103,88,367,0,0,0,0,0,0,7744,0,0,0,0,0,7744,0,0,67333
3402202,298,501,0,0,0,0,0,0,0,0,0,88804,0,0,0,88804,0,151135
3401002,194,501,0,0,0,0,0,0,37636,0,0,0,0,0,0,0,0,283509
3401700,41,208,0,0,0,0,0,0,0,0,0,1681,0,0,1681,0,0,37940
3401905,204,91,0,0,0,0,0,0,0,0,0,41616,41616,0,0,0,41616,20846
3400304,36,501,0,0,0,0,0,0,0,0,0,1296,0,0,1296,1296,0,173753
3401204,101,501,0,0,1,0,0,0,0,0,0,10201,0,10201,10201,10201,0,157702
3401904,132,205,0,0,0,0,0,0,0,0,0,17424,0,0,17424,0,0,29497
3400504,49,135,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,41692
3402002,160,278,0,1,1,0,0,0,25600,0,0,0,0,0,25600,25600,0,38982
3400301,52,451,0,0,0,0,0,0,0,0,0,2704,0,2704,2704,0,0,63581
3400604,107,91,0,0,0,0,0,0,0,0,0,11449,0,0,0,0,0,13550
3401503,121,383,0,0,0,0,0,0,0,0,0,14641,0,0,14641,0,0,53283
3402102,27,325,0,0,0,0,0,0,729,0,0,0,0,0,729,0,0,76297
3400904,40,447,0,0,0,0,0,0,0,0,0,1600,0,0,1600,0,0,88596
3401502,73,501,0,0,0,0,0,5329,0,0,0,0,0,0,0,0,5329,1552001
3401204,106,501,0,0,0,0,0,0,0,0,0,11236,0,0,11236,11236,0,171981
3401001,101,501,0,0,0,0,0,0,0,0,0,10201,0,0,0,0,0,166770
3400901,199,497,0,0,0,0,0,0,0,0,0,39601,0,0,0,0,0,74004
3402102,42,261,0,0,0,0,0,0,1764,0,0,1764,0,0,1764,1764,0,49697
3401406,249,67,0,0,1,0,0,0,0,0,0,0,62001,0,0,0,62001,19804
3402601,65,501,0,1,1,0,0,0,0,0,0,4225,0,0,4225,0,0,89118
3401405,233,59,0,1,1,1,0,0,54289,0,0,0,0,0,54289,0,0,8443
3401404,96,501,0,0,0,0,0,9216,0,0,0,9216,0,0,0,0,0,125077
3400504,127,501,0,0,0,0,0,0,0,0,0,16129,0,0,16129,16129,0,456532
3400905,36,207,0,0,1,0,0,0,0,0,0,1296,0,0,0,0,1296,63581
3400304,96,501,0,0,0,0,0,0,0,0,0,9216,0,0,9216,0,0,90994
3401402,99,113,1,0,0,1,0,0,0,0,0,9801,0,0,9801,0,9801,15947
3400502,59,251,0,0,0,0,0,0,0,0,0,3481,0,0,3481,3481,0,45653
3400605,73,77,0,1,1,1,0,0,0,0,0,5329,0,0,5329,0,0,10632
3400904,139,478,0,0,0,0,0,0,0,0,0,0,19321,0,0,0,19321,138732
3400904,73,501,0,0,0,0,0,5329,0,0,0,0,0,0,0,0,0,230851
3402401,45,501,0,0,0,0,0,0,0,0,0,2025,0,0,2025,0,0,144881
3400302,154,297,0,0,1,0,0,0,0,0,0,23716,0,0,0,0,0,91515
3401700,24,501,0,0,0,0,0,0,0,0,0,576,0,0,576,0,0,145611
3400308,60,501,0,0,0,0,0,0,0,0,0,3600,0,0,3600,3600,0,309358
3402201,50,389,0,0,0,0,0,0,0,0,0,2500,0,0,2500,0,0,70043
3400101,43,107,0,0,0,0,0,0,0,0,0,1849,0,0,1849,0,0,14801
3401502,126,485,0,0,0,0,15876,0,0,0,0,15876,15876,0,0,0,0,166770
3402003,13,92,0,1,1,0,0,169,0,0,0,0,169,0,169,0,169,33458
3400905,75,429,0,0,0,1,0,0,0,0,0,5625,5625,0,0,0,0,104231
3400604,98,501,0,0,0,0,0,9604,0,0,0,9604,0,0,0,0,9604,125077
3402202,116,501,0,0,0,0,0,0,0,0,0,13456,0,0,0,0,0,189179
3401904,98,501,0,0,1,0,0,0,9604,0,0,0,0,0,9604,0,9604,287678
3402303,67,310,0,0,0,0,0,0,0,0,0,4489,0,4489,0,4489,0,71919
3401203,267,232,0,0,0,1,0,0,0,0,0,71289,0,0,0,0,0,87554
3402303,103,501,0,0,0,0,0,10609,0,0,0,0,0,0,10609,0,10609,130706
3400604,247,501,0,0,0,0,61009,0,0,0,0,0,61009,0,0,61009,61009,179277
3402303,211,501,0,0,0,0,0,0,44521,0,0,0,0,0,0,0,0,123410
3401905,171,304,0,0,0,1,0,0,29241,0,0,0,0,0,29241,29241,29241,130497
3400305,25,5,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,1042
3402601,17,395,0,0,0,0,0,0,0,0,0,289,0,0,289,0,0,80258
3401203,110,501,0,0,0,0,0,0,0,0,0,12100,0,0,0,0,0,265789
3400907,83,206,0,0,1,1,0,0,0,0,0,6889,6889,0,0,0,0,88596
3401502,71,501,0,0,0,0,0,0,0,0,0,5041,0,0,5041,0,0,113925
3401106,59,501,0,0,0,0,0,0,0,0,0,3481,0,0,0,0,0,267874
3400901,56,501,0,0,1,0,0,3136,0,0,0,3136,3136,0,3136,0,0,129663
3400800,53,501,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,125077
3401403,94,107,0,0,0,0,0,0,0,0,0,8836,0,0,8836,0,8836,19283
3402301,254,501,0,0,1,0,0,0,0,0,0,0,64516,0,0,0,64516,130289
3402003,42,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104231
3401402,42,501,0,0,0,0,0,0,0,0,0,1764,1764,0,0,0,0,479463
3402002,55,501,0,0,1,0,0,0,0,0,0,3025,0,0,3025,0,0,340731
3402003,21,72,0,0,1,1,0,0,0,0,0,441,0,0,441,441,0,9902
3402102,40,338,0,0,0,0,0,0,1600,0,0,0,0,0,1600,0,0,46070
3402601,99,501,0,0,0,0,0,0,0,0,0,9801,0,0,9801,0,0,134458
3402601,79,138,0,0,0,0,0,0,0,0,0,6241,0,0,6241,6241,0,18762
3402104,46,501,0,0,0,0,0,0,0,0,0,2116,2116,0,2116,0,0,157389
3402301,519,212,0,0,0,1,0,0,0,0,0,0,269361,0,0,269361,269361,73379
3402101,439,284,1,0,1,0,0,0,0,0,0,0,192721,0,0,0,192721,109234
3401504,77,501,0,0,0,0,0,0,0,0,0,5929,5929,0,0,0,0,192828
3400502,63,81,0,0,1,1,0,0,0,0,0,3969,3969,0,0,3969,3969,24182
3401106,82,501,0,0,0,0,0,0,0,0,0,6724,0,0,6724,0,0,151031
3400503,432,232,0,0,0,0,0,0,0,0,0,186624,186624,0,0,0,186624,57848
3400902,54,211,0,0,1,0,0,2916,0,0,0,0,0,0,2916,2916,2916,78173
3401203,252,118,0,0,1,0,0,0,0,0,0,63504,0,0,63504,0,0,55399
3401003,57,501,0,0,0,0,0,0,0,0,0,3249,0,0,0,0,0,102876
3401405,121,72,0,0,1,1,0,0,0,0,0,14641,14641,0,14641,0,14641,10006
3400502,106,324,0,0,0,0,0,0,0,0,0,11236,0,0,11236,0,0,56076
3401905,150,246,0,0,0,0,0,0,0,0,0,22500,22500,0,0,0,22500,58369
3402002,89,155,0,0,0,0,0,0,0,0,0,7921,0,0,7921,0,0,21159
3400102,135,501,0,0,0,0,0,0,0,0,0,18225,18225,0,0,0,0,162601
3400603,150,347,0,0,0,0,0,0,0,0,0,0,22500,0,22500,0,22500,69835
3401901,107,501,0,0,0,0,0,0,0,0,0,11449,0,0,11449,0,0,222742
3402002,108,501,0,0,0,0,0,0,0,0,0,11664,0,0,11664,11664,0,151135
