puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
3501001,72,501,0,0,0,0,0,0,0,0,0,5184,0,5184,5184,0,0,137794
3500300,11,501,0,0,0,0,121,0,0,0,0,121,121,0,0,0,0,209713
3500400,21,66,0,0,0,0,0,0,0,0,0,441,0,441,441,441,0,9485
3501100,98,393,0,0,1,1,0,0,9604,0,0,9604,0,9604,0,9604,0,151760
3500706,63,501,0,0,0,0,0,0,0,0,0,3969,3969,3969,3969,0,0,131706
3500100,31,501,0,0,0,0,0,0,0,0,0,961,961,0,961,961,0,74004
3500200,151,287,0,0,0,0,0,0,0,0,0,22801,0,0,0,0,0,127162
3500705,165,501,0,0,0,0,0,0,0,0,0,27225,27225,0,0,0,0,723364
3500400,44,110,0,1,1,1,0,0,0,0,0,1936,0,0,1936,0,0,15739
3500900,72,501,0,0,0,0,0,0,0,0,0,5184,5184,0,0,0,0,104231
3500701,75,133,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,99020
3500705,148,102,0,0,1,1,0,0,0,0,0,21904,0,21904,0,0,0,20846
3500900,77,260,0,0,0,0,0,0,0,0,0,5929,5929,0,5929,5929,0,45862
3500706,182,425,0,0,0,0,0,0,33124,0,0,0,33124,33124,0,0,33124,135500
3500300,38,501,0,0,1,0,0,0,0,0,0,1444,0,0,0,1444,0,101104
3500900,44,501,0,0,0,0,0,0,0,0,0,0,1936,0,1936,0,0,119762
3500300,508,501,0,0,0,0,0,0,0,0,0,258064,258064,0,258064,0,0,180216
3500500,60,342,0,0,0,0,0,3600,0,0,0,0,0,0,3600,0,0,47634
3500100,19,292,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,102668
3500500,55,129,0,0,1,0,0,0,0,0,0,3025,3025,3025,3025,3025,0,29810
3500300,31,501,0,0,0,0,0,0,0,0,0,0,961,961,961,0,0,135500
3500705,163,25,0,0,0,0,0,0,0,0,0,26569,0,0,26569,0,0,3440
3500900,77,63,0,1,1,1,0,0,0,0,0,5929,5929,0,0,5929,0,12508
3500703,69,0,0,0,0,0,0,0,0,0,0,4761,4761,4761,4761,4761,0,0
3500400,53,109,0,0,0,1,0,0,0,0,0,2809,0,0,2809,2809,0,15009
3500400,53,66,1,0,1,1,0,0,0,0,0,2809,2809,0,2809,2809,0,20117
3500702,129,161,0,1,1,0,0,0,0,0,0,16641,16641,0,0,16641,0,30748
3501002,43,501,0,0,0,0,0,0,0,0,0,1849,0,0,1849,0,0,194912
3500600,122,0,0,0,1,1,0,0,0,0,0,0,14884,0,0,14884,14884,0
3500900,80,67,0,1,1,1,0,0,0,0,0,6400,0,0,6400,6400,0,9381
3500500,82,467,0,0,0,0,6724,0,0,0,0,6724,6724,0,0,0,0,104231
3500704,74,29,0,0,1,1,0,0,0,0,0,5476,0,0,5476,5476,0,5212
3500500,91,129,0,0,1,1,0,0,0,0,0,0,8281,0,0,0,0,37523
3501001,56,245,0,0,0,0,0,0,0,0,0,3136,0,0,3136,0,0,35126
3500500,55,501,0,0,0,0,0,0,0,0,0,3025,3025,0,0,0,0,196997
3501100,184,501,0,0,0,0,0,0,0,0,0,33856,33856,0,0,0,0,125077
3501002,248,33,0,0,0,0,61504,0,61504,0,0,61504,61504,0,0,0,0,33354
3500703,49,501,0,0,0,0,0,2401,0,0,0,0,0,0,2401,0,0,122159
3500900,46,32,0,1,1,1,0,0,0,0,0,2116,2116,0,0,2116,0,7505
3500100,13,192,0,1,1,1,169,0,0,0,0,0,0,0,169,169,169,45445
3500701,94,416,0,0,0,0,0,0,0,0,0,8836,8836,0,8836,8836,0,121950
3501002,678,211,0,0,1,0,0,0,0,0,0,459684,459684,0,0,0,0,32520
3500100,39,156,0,0,0,0,1521,0,0,0,0,0,0,0,1521,1521,0,21889
3501001,136,279,0,0,0,0,0,0,0,0,0,18496,18496,0,0,0,0,43360
3500100,23,136,0,0,0,0,529,0,0,0,0,0,0,0,529,529,529,19283
3500300,24,174,0,0,1,0,0,0,0,0,0,576,576,0,576,0,0,24807
3500704,50,319,0,0,0,0,2500,0,2500,0,0,2500,2500,0,2500,0,0,71503
3501002,314,69,0,0,1,0,0,0,0,0,0,98596,98596,0,0,0,0,10423
3500200,128,74,0,0,0,0,0,0,0,0,0,16384,0,0,16384,16384,0,10798
3500703,45,199,0,0,0,0,0,0,0,0,0,2025,0,0,2025,0,0,38982
3500300,165,153,0,0,0,0,27225,0,0,0,0,0,27225,0,27225,27225,0,47946
3500500,77,501,0,0,0,0,0,0,0,0,0,5929,0,0,0,0,0,83385
3500100,266,293,0,1,1,0,70756,70756,0,0,70756,70756,0,0,70756,70756,0,50135
3500400,245,501,0,0,0,0,0,0,0,0,0,60025,0,60025,0,0,0,289762
3500701,101,454,0,0,0,0,0,0,0,0,0,10201,10201,0,0,0,0,66708
3500400,55,362,0,0,1,1,0,0,0,0,0,3025,3025,3025,0,3025,0,81926
3500701,56,501,0,0,0,0,0,0,0,0,0,3136,0,3136,3136,3136,0,115801
3500704,84,278,0,0,1,0,0,0,0,0,0,7056,7056,0,0,7056,0,90681
3500200,55,501,0,0,0,0,0,0,0,0,0,3025,0,3025,3025,3025,0,88492
3501001,54,501,0,0,0,0,0,0,0,0,0,2916,0,0,2916,0,0,85782
3500600,40,116,0,1,1,1,1600,0,0,0,0,0,0,0,1600,1600,0,68970
3500100,18,269,0,0,0,0,324,0,0,0,0,0,0,324,324,324,0,46800
3500500,54,288,0,0,0,0,0,0,0,0,0,2916,2916,0,2916,0,0,41692
