county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
32001,0,0,0,0,0,0,0,0,0,0,0,480,0,0,480,480,0,8
32001,0,0,0,0,0,0,0,0,0,0,97,0,0,97,97,0,0,4
32001,0,0,0,0,0,0,0,0,0,0,235,0,0,235,0,0,0,6
32001,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,8
32001,0,0,0,0,0,0,0,0,0,0,512,0,0,512,0,0,-2085,8
32001,0,0,0,0,0,0,0,0,0,0,563,0,0,563,0,0,0,9
32001,0,0,0,0,0,0,0,0,0,0,852,0,0,0,0,0,0,11
32001,0,0,0,0,0,0,0,0,0,0,1127,0,1127,1127,0,0,0,12
32001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1
32001,0,0,0,0,1,0,0,0,0,0,1359,0,0,0,1359,0,0,13
32001,0,0,0,1,0,0,2182,0,0,0,2182,0,2182,2182,2182,0,156,17
32001,0,0,0,1,1,0,0,0,0,0,918,0,0,0,918,0,0,11
32001,0,0,0,1,1,0,0,0,0,0,8126,0,0,0,0,0,22931,33
32001,0,0,0,1,1,874,0,0,0,0,874,0,0,0,874,0,0,11
32001,2,0,0,1,1,0,0,0,0,0,1032,0,0,0,1032,0,417,12
32001,7,0,0,1,0,154,0,0,0,0,0,0,0,154,154,0,1668,5
32001,9,0,0,0,0,1359,0,0,0,0,0,0,1359,1359,0,0,1355,13
32001,9,1,0,1,1,2148,0,2148,0,0,2148,2148,0,0,2148,0,33562,17
32001,10,0,0,0,0,0,0,0,0,0,173,0,0,173,0,0,1459,5
32001,10,0,0,0,0,0,0,0,0,0,512,0,0,512,0,0,1563,8
32001,10,0,0,0,0,2428,0,0,0,0,2428,0,0,2428,0,0,1459,18
32001,11,0,0,0,1,19,0,0,0,0,0,0,0,19,0,0,1668,2
32001,11,0,0,1,1,0,0,0,0,0,192,0,0,192,192,0,2293,5
32001,12,0,0,0,0,0,0,0,0,0,224,224,0,224,0,0,1772,5
32001,12,0,0,1,0,0,0,0,0,0,2839,0,0,0,0,0,4169,19
32001,12,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,92245,1
32001,13,0,0,0,1,0,0,0,0,0,282,0,0,282,282,0,1876,6
32001,15,0,0,0,0,0,0,0,0,0,448,0,0,448,0,0,2189,8
32001,16,0,0,0,0,0,1886,0,0,0,0,0,0,1886,0,0,2397,16
32001,16,0,0,0,0,307,0,0,0,0,307,0,0,0,307,0,13029,6
32001,16,0,0,1,0,0,0,0,0,0,7865,0,0,7865,0,0,2293,32
32001,20,0,0,1,1,0,0,0,0,0,4126,0,0,0,4126,0,3127,23
32001,20,0,0,1,1,0,0,3849,0,0,0,0,0,0,0,0,3127,23
32001,22,1,0,1,1,0,0,1441,0,0,0,0,0,0,0,0,3627,14
32001,25,0,0,0,0,0,0,0,0,0,2839,0,0,2839,0,0,3648,19
32001,26,0,0,0,0,0,0,0,0,0,1950,0,1950,1950,0,0,3752,16
32001,26,0,1,1,1,9,0,0,0,0,0,0,0,9,9,0,8067,1
32001,30,0,0,0,0,0,0,0,0,0,985,0,0,985,0,0,4378,11
32001,30,0,0,1,0,0,0,0,0,0,333,0,0,0,333,0,6254,7
32001,33,0,0,0,1,48,0,0,0,0,0,0,0,48,0,0,5212,3
32001,34,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,6806,1
32001,35,0,0,1,1,224,0,0,0,224,0,0,0,0,0,0,10423,5
32001,36,0,1,1,0,0,0,0,0,0,282,0,0,0,0,0,7296,6
32001,36,1,0,1,1,26,0,0,0,0,0,0,0,26,26,0,22931,2
32001,39,0,0,1,1,0,0,0,0,0,710,0,0,710,0,0,7505,10
32001,39,0,1,1,0,0,0,0,0,0,896,0,896,896,896,0,7088,11
32001,41,0,0,0,0,0,0,0,0,0,529,0,0,529,0,0,5837,8
32001,43,0,1,1,1,23,0,0,0,0,0,0,0,23,23,0,15843,2
32001,51,1,0,1,1,0,0,0,0,0,4809,0,0,0,0,0,8026,25
32001,52,0,0,0,0,0,0,0,0,0,4316,0,0,4316,4316,0,7296,24
32001,52,1,0,1,1,11,0,0,0,0,0,0,0,0,0,0,7922,1
32001,54,0,0,1,0,433,0,0,0,0,433,0,0,0,0,0,22097,8
32001,54,0,0,1,1,0,0,0,0,0,104,104,0,0,0,104,43777,4
32001,55,0,0,1,1,64,0,0,0,0,0,0,0,64,0,0,8547,3
32001,58,0,0,1,1,13,0,0,0,0,13,0,0,13,13,0,59412,1
32001,63,0,0,1,1,0,0,0,0,0,320,320,0,0,0,320,22931,7
32001,64,0,0,0,0,0,0,0,0,0,154,0,0,154,0,0,9172,5
32001,65,0,0,1,1,0,0,0,0,0,496,496,0,496,496,0,20054,8
32001,66,1,0,1,1,0,0,0,0,0,0,17071,0,0,0,0,19804,48
32001,67,0,0,0,0,0,0,0,0,0,120,0,120,120,0,0,9172,4
32001,69,0,0,0,0,0,691,0,0,0,691,691,0,691,0,0,21159,10
32001,69,0,0,0,0,13,0,0,0,0,0,0,0,13,13,0,10006,1
32001,69,0,0,1,1,104,0,0,0,0,0,0,0,0,0,0,10423,4
32001,69,0,1,1,1,0,0,0,0,0,1641,0,0,0,0,0,10423,15
32001,71,0,0,0,0,0,0,0,0,0,810,0,810,810,810,0,16677,10
32001,71,0,0,1,1,0,0,0,0,0,173,173,0,0,0,173,25328,5
32001,73,0,0,0,0,0,0,0,0,0,104,0,0,104,0,0,10684,4
32001,73,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,22722,1
32001,75,0,0,0,0,30,0,0,0,0,0,0,0,30,30,0,10736,2
32001,77,0,0,0,0,0,0,0,0,0,480,0,0,480,0,0,14071,8
32001,78,0,0,0,0,0,0,0,0,0,403,0,403,403,0,0,10736,7
32001,79,0,0,0,0,0,0,0,0,0,448,0,0,448,0,0,11257,8
32001,79,0,0,1,0,0,5013,0,0,0,5013,0,0,0,5013,0,15635,26
32001,80,0,1,1,1,0,0,0,0,0,270,0,0,270,270,0,24599,6
32001,81,0,0,0,0,0,0,0,0,0,360,0,0,360,0,0,11257,7
32001,81,0,0,0,0,0,0,0,0,0,10972,10972,0,0,0,0,25015,38
32001,81,0,0,0,0,19,0,0,0,0,0,0,19,19,19,0,11257,2
32001,81,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,12508,2
32001,81,0,0,1,0,0,0,1079,0,0,0,0,1079,1079,0,0,14905,12
32001,82,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,12508,13
32001,83,0,0,1,0,19,0,0,0,0,0,0,0,19,19,0,16677,2
32001,83,0,1,1,1,0,0,0,0,0,6565,0,0,6565,6565,0,15947,30
32001,84,0,0,0,0,0,0,0,0,0,5987,0,0,0,0,0,12612,28
32001,84,0,0,1,0,0,0,0,0,0,0,433,0,433,0,433,12716,8
32001,86,0,0,0,0,16,0,16,0,0,0,0,0,16,16,0,11778,1
32001,86,0,0,1,0,19,0,0,0,0,0,0,0,19,0,0,12195,2
32001,86,0,1,1,0,3,0,0,0,0,0,0,3,3,3,0,11674,1
32001,86,0,1,1,1,0,1279,0,0,0,1279,0,0,0,1279,0,21680,13
32001,87,0,1,1,1,0,0,0,0,0,1413,1413,0,1413,1413,0,12091,14
32001,88,0,0,0,0,213,0,0,0,0,0,0,0,213,213,0,12508,5
32001,90,0,0,0,0,0,0,0,0,0,1228,0,0,1228,0,0,12716,13
32001,90,0,0,0,0,0,0,0,0,0,1792,0,0,1792,0,0,12602,15
32001,91,0,0,0,0,0,0,0,0,0,120,0,0,120,0,0,12925,4
32001,91,0,0,0,0,7,0,0,0,0,0,0,7,7,0,0,12508,1
32001,93,0,0,1,1,0,0,0,0,0,294,0,0,294,294,0,14592,6
32001,94,0,0,0,0,653,0,0,0,0,0,0,653,653,0,0,13759,9
32001,94,0,0,1,0,0,0,0,0,0,3583,0,0,0,0,0,36481,22
32001,94,0,0,1,0,97,0,0,0,0,97,97,0,0,0,0,41692,4
32001,94,1,1,1,1,0,0,0,0,0,810,0,0,810,810,0,13029,10
32001,95,0,0,1,0,0,0,0,0,0,2148,0,0,0,0,0,19804,17
32001,98,0,0,1,0,0,0,0,0,0,97,0,0,0,0,0,34396,4
32001,102,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,15009,3
32001,102,0,0,1,0,0,0,0,0,0,1305,0,0,0,0,0,15635,13
32001,102,0,0,1,0,0,333,0,0,0,333,0,0,333,0,0,20064,7
32001,102,0,0,1,1,0,0,0,0,0,0,1008,0,0,0,1008,88596,12
32001,102,1,1,1,0,0,0,0,0,0,464,464,464,464,464,0,42318,8
32001,103,0,0,1,1,5381,0,0,0,0,5381,5381,0,0,5381,0,37732,27
32001,104,0,0,1,0,0,0,0,0,0,2115,0,2115,2115,0,0,17824,17
32001,104,0,0,1,1,0,0,0,0,0,9354,0,0,0,9354,0,25015,35
32001,105,0,0,0,0,0,0,0,0,0,97,0,0,97,97,0,14592,4
32001,105,0,0,0,1,0,0,0,0,0,8594,0,0,8594,8594,0,14384,34
32001,106,0,0,0,0,0,0,0,0,0,464,0,0,464,0,0,19387,8
32001,106,0,0,0,1,0,0,0,0,0,749,0,0,749,749,0,14592,10
32001,106,0,0,1,0,0,0,0,0,0,634,0,0,634,634,0,15322,9
32001,106,0,0,1,1,0,0,0,0,0,15217,0,0,0,0,0,36481,45
32001,106,0,1,1,1,0,0,0,0,0,749,0,0,0,749,0,20221,10
32001,107,0,0,1,1,0,0,0,0,0,7995,0,0,7995,7995,0,15218,33
32001,107,0,1,1,0,0,0,0,0,0,22610,0,0,22610,22610,0,14592,55
32001,108,0,0,0,0,163,0,0,0,0,163,0,0,0,163,0,58369,5
32001,108,0,0,1,0,70,0,0,0,0,0,0,0,70,0,0,15009,3
32001,110,0,0,1,1,120,0,0,0,0,0,120,0,0,0,0,39399,4
32001,112,0,0,0,0,0,0,0,0,0,962,0,0,0,0,0,52532,11
32001,113,0,0,1,0,0,0,0,0,0,182,0,0,182,182,0,17198,5
32001,114,0,0,0,0,0,0,0,0,0,258,258,0,0,0,0,63581,6
32001,114,0,0,0,0,0,0,0,0,0,2724,0,0,2724,2724,0,16469,19
32001,114,0,0,0,0,0,0,0,0,0,3804,0,0,3804,3804,0,15635,23
32001,114,0,0,0,0,182,0,0,0,0,0,0,0,182,182,0,15635,5
32001,114,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,17188,3
32001,114,0,0,1,1,0,0,0,0,0,1332,0,1332,1332,1332,0,25849,13
32001,115,0,0,0,0,26,0,0,0,0,26,26,0,26,26,26,20117,2
32001,117,0,0,0,0,0,0,0,0,0,7736,0,0,7736,0,0,16885,32
32001,119,0,0,0,0,0,0,0,0,0,154,0,0,154,0,0,35439,5
32001,119,0,0,1,1,0,0,0,0,0,182,0,0,182,0,0,24182,5
32001,120,0,0,0,0,0,0,0,0,0,2148,0,0,2148,0,0,21367,17
32001,121,0,0,0,0,0,0,0,0,0,90,90,0,90,0,0,18762,3
32001,123,1,0,1,1,0,0,0,0,0,1055,0,0,1055,0,0,21159,12
32001,124,0,0,0,0,0,0,0,0,0,790,0,0,790,0,0,17719,10
32001,124,0,0,0,0,0,0,0,0,0,810,0,810,810,0,0,21805,10
32001,124,0,0,0,0,0,0,0,0,0,3804,0,0,3804,0,0,17511,23
32001,124,0,0,1,1,83,0,0,0,0,0,0,0,83,83,0,29185,3
32001,126,0,0,1,1,16,0,0,0,0,0,0,0,16,16,0,63894,1
32001,126,1,0,0,1,0,0,0,0,0,374,0,0,374,374,0,17896,7
32001,127,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,26058,3
32001,128,0,0,0,0,0,0,0,0,0,0,90,90,0,0,90,29185,3
32001,128,0,0,0,0,0,0,0,0,0,270,0,0,270,0,0,17615,6
32001,128,0,0,0,0,1253,0,0,0,0,1253,1253,1253,1253,1253,0,162601,13
32001,128,0,0,1,1,0,0,0,0,0,1359,0,0,1359,0,0,46487,13
32001,129,0,0,1,0,0,0,0,0,0,418,0,0,0,418,0,39608,7
32001,130,0,0,0,0,0,0,0,0,0,294,0,0,294,294,0,23244,6
32001,131,0,0,0,0,0,0,0,0,0,320,0,0,320,0,0,18449,7
32001,131,0,1,1,1,0,0,0,0,0,128,0,0,128,128,0,30852,4
32001,132,0,0,0,0,7,0,0,0,0,0,0,7,7,7,0,25015,1
32001,132,0,0,1,0,0,0,0,0,0,6743,0,0,0,6743,0,63581,30
32001,133,1,1,1,1,0,0,0,0,0,448,0,448,448,448,0,39816,8
32001,134,0,0,0,0,0,0,0,0,0,671,0,0,671,671,0,18657,9
32001,135,0,0,0,0,0,0,0,0,0,83,0,0,83,0,0,19283,3
32001,135,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,20012,14
32001,135,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,31269,1
32001,135,0,0,1,0,0,0,0,0,0,1032,0,1032,1032,1032,0,23765,12
32001,136,0,0,0,0,0,3453,0,0,0,0,0,0,3453,0,0,18762,21
32001,138,0,1,1,0,48,0,0,0,0,0,0,0,48,48,0,25015,3
32001,139,0,0,0,0,0,0,0,0,0,962,0,0,962,962,0,24182,11
32001,139,0,0,1,0,0,0,0,0,0,1762,0,0,1762,0,0,43777,15
32001,140,0,0,0,0,0,0,0,0,0,1497,0,0,1497,1497,0,19450,14
32001,140,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,70043,1
32001,141,0,0,0,0,0,0,0,0,0,1279,0,0,1279,1279,0,19908,13
32001,141,0,0,0,1,128,0,0,0,0,128,0,0,0,0,0,34084,4
32001,142,0,0,1,1,0,0,1641,0,0,1641,0,1641,0,0,0,86825,15
32001,142,1,0,1,1,0,0,0,0,0,136,0,0,136,136,0,45872,4
32001,144,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,52116,8
32001,144,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,20846,1
32001,144,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0,20846,2
32001,144,0,0,1,1,0,0,0,0,0,940,940,0,0,0,0,116739,11
32001,146,0,0,0,0,0,0,0,0,0,985,0,0,985,0,0,20846,11
32001,147,0,0,1,0,97,0,0,0,0,0,97,0,0,0,0,43777,4
32001,147,0,0,1,1,128,0,0,0,0,0,0,0,128,0,0,68793,4
32001,148,0,0,0,0,0,0,0,0,0,235,235,0,235,235,0,22931,6
32001,149,0,0,0,0,0,0,0,0,0,464,0,0,464,464,0,21263,8
32001,149,0,0,0,0,0,0,0,0,0,14418,14418,0,14418,0,0,45549,44
32001,149,0,0,1,0,0,0,0,0,0,4758,0,0,4758,4758,0,29185,25
32001,150,0,0,0,0,0,0,0,0,0,1202,0,1202,1202,1202,0,27350,13
32001,150,0,0,0,0,480,0,0,0,0,480,0,0,480,0,0,26370,8
32001,151,0,0,0,0,0,0,0,0,0,128,0,0,128,0,0,20742,4
32001,152,0,0,1,1,0,0,0,0,0,1413,0,1413,0,1413,0,67646,14
32001,155,0,0,0,0,4173,0,0,0,0,4173,0,0,0,0,0,142797,24
32001,155,0,0,1,1,0,0,0,0,0,529,0,0,0,529,0,48989,8
32001,156,0,0,0,0,0,0,0,0,0,1177,0,0,1177,1177,0,30644,13
32001,156,0,0,0,0,0,0,0,0,0,3037,0,0,0,0,0,31269,20
32001,157,0,0,0,0,0,0,0,0,0,3715,0,0,0,3715,0,23348,22
32001,157,0,0,0,0,0,831,0,0,0,0,0,0,831,0,831,22514,11
32001,158,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,23660,1
