SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000074,219,0,0,0,0,3200403,41,0,0,0,0,0,41,0,0,0,0,0,34396
2022HU0000138,415,0,0,0,0,3200414,58,0,0,0,0,0,58,0,0,58,0,0,83385
2022HU0000252,501,0,0,0,0,3200406,76,0,0,0,0,0,76,76,0,76,0,0,516986
2022HU0000283,205,0,0,0,0,3200102,81,0,0,0,0,0,0,81,0,81,0,0,80258
2022HU0000322,252,0,0,0,0,3200407,60,0,0,0,0,0,60,60,0,0,0,0,38357
2022HU0000471,501,0,0,0,0,3200402,51,0,0,0,0,0,51,0,0,0,0,0,182404
2022HU0000484,234,0,0,0,1,3200403,183,0,0,0,0,0,183,183,0,0,0,183,93600
2022HU0000835,501,0,0,0,0,3200410,33,0,0,0,0,0,33,0,0,0,0,0,156347
2022HU0001003,127,0,0,1,0,3200412,83,0,0,0,0,0,83,0,0,0,0,0,19491
2022HU0001263,396,0,0,0,0,3200102,92,0,0,0,0,0,0,92,0,0,0,92,143839
2022HU0001305,23,0,0,1,0,3200415,78,0,0,0,0,0,78,0,0,78,0,0,3127
2022HU0001387,501,0,0,0,0,3200102,248,0,0,0,0,0,248,248,0,0,0,0,125077
2022HU0001811,237,0,0,0,0,3200413,94,0,0,0,0,0,94,0,0,94,0,0,34605
2022HU0002227,428,0,0,0,1,3200401,127,0,127,0,0,0,0,0,0,0,0,0,132895
2022HU0002431,82,0,0,0,0,3200409,35,0,0,0,0,0,35,0,0,35,0,0,11882
2022HU0002488,364,0,0,1,0,3200101,52,0,0,0,0,0,52,0,0,0,0,0,132373
2022HU0002562,304,0,0,0,0,3200413,57,0,0,0,0,0,57,0,0,0,0,0,46904
2022HU0002626,222,0,0,0,0,3200401,69,0,0,0,0,0,69,0,0,0,0,0,66395
2022HU0003020,501,0,0,0,0,3200405,47,0,0,0,0,0,47,0,0,47,0,0,125077
