state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
36,0,0,0,0,0,0,0,0,0,0,0,0,0,3249,0,0,0,57
36,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,3844,0,83,62
36,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,4,17
36,0,0,0,0,0,0,0,0,0,0,0,0,4096,4096,0,0,0,64
36,0,0,0,0,0,0,0,0,0,0,0,4356,0,0,4356,4356,552,66
36,0,0,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,0,78
36,0,0,0,0,0,0,0,0,0,0,0,8281,0,8281,0,8281,0,91
36,0,0,0,0,0,0,0,0,0,0,0,8649,0,8649,0,8649,0,93
36,0,0,0,0,0,0,0,0,0,0,0,9216,0,0,0,0,0,96
36,0,0,0,0,0,0,0,0,0,0,0,9216,0,9216,0,9216,0,96
36,0,0,0,0,0,0,0,0,0,0,0,9801,0,0,0,9801,0,99
36,0,0,0,0,0,0,0,0,0,0,0,14400,0,0,14400,14400,0,120
36,0,0,0,0,0,0,0,0,0,0,0,16641,0,0,0,16641,0,129
36,0,0,0,0,0,0,0,0,0,0,0,19600,0,0,0,19600,41692,140
36,0,0,0,0,0,0,0,0,0,0,0,26244,0,0,0,26244,28142,162
36,0,0,0,0,0,0,0,0,0,0,0,52900,0,0,0,0,0,230
36,0,0,0,0,0,0,0,0,0,0,0,53824,0,53824,53824,0,0,232
36,0,0,0,0,0,0,0,0,0,0,0,54756,0,0,0,0,0,234
36,0,0,0,0,0,0,0,0,0,0,0,81796,0,81796,81796,81796,0,286
36,0,0,0,0,0,0,0,0,0,0,0,88209,0,0,0,88209,0,297
36,0,0,0,0,0,0,0,0,0,0,0,367236,0,0,0,0,0,606
36,0,0,0,0,0,0,0,0,0,0,49,0,0,49,0,0,0,7
36,0,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0,0,8
36,0,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0,11048,8
36,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,9
36,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,10
36,0,0,0,0,0,0,0,0,0,0,121,0,0,121,0,0,0,11
36,0,0,0,0,0,0,0,0,0,0,121,0,0,121,121,0,0,11
36,0,0,0,0,0,0,0,0,0,0,169,0,169,169,0,0,0,13
