metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95481,0,0,309
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,-4169,10
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,51
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,11025,0,0,0,105
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,11881,11881,0,0,109
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,16641,0,0,-2085,129
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,94249,94249,0,0,307
99999,0,0,0,0,0,0,0,0,0,0,0,0,32400,32400,32400,0,0,180
99999,0,0,0,0,0,0,0,0,0,0,0,3721,0,3721,0,3721,0,61
99999,0,0,0,0,0,0,0,0,0,0,0,13456,0,0,13456,13456,0,116
99999,0,0,0,0,0,0,0,0,0,0,0,16384,0,0,0,16384,12508,128
99999,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,-2085,10
99999,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,11
99999,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,93808,12
99999,0,0,0,0,0,0,0,0,0,0,144,0,0,144,0,0,0,12
99999,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,13
99999,0,0,0,0,0,0,0,0,0,0,169,0,0,0,169,0,0,13
99999,0,0,0,0,0,0,0,0,0,0,196,0,0,196,0,0,0,14
99999,0,0,0,0,0,0,0,0,0,0,225,0,225,225,0,0,0,15
99999,0,0,0,0,0,0,0,0,0,0,256,0,0,256,0,0,0,16
99999,0,0,0,0,0,0,0,0,0,0,256,0,0,256,256,0,0,16
99999,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,17
99999,0,0,0,0,0,0,0,0,0,0,289,0,0,289,0,0,0,17
99999,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,10,18
99999,0,0,0,0,0,0,0,0,0,0,324,0,0,0,324,0,7817,18
99999,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,21
99999,0,0,0,0,0,0,0,0,0,0,441,0,0,0,441,0,0,21
99999,0,0,0,0,0,0,0,0,0,0,441,0,441,441,0,0,4273,21
99999,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,63,22
99999,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,46967,23
99999,0,0,0,0,0,0,0,0,0,0,529,0,0,529,0,0,0,46
99999,0,0,0,0,0,0,0,0,0,0,576,0,0,576,0,0,0,24
99999,0,0,0,0,0,0,0,0,0,0,576,0,0,576,576,0,0,24
99999,0,0,0,0,0,0,0,0,0,0,576,0,576,576,0,0,0,24
99999,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,93808,27
99999,0,0,0,0,0,0,0,0,0,0,841,0,0,841,0,0,0,58
99999,0,0,0,0,0,0,0,0,0,0,841,0,0,841,841,0,0,29
99999,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,30
99999,0,0,0,0,0,0,0,0,0,0,961,0,0,961,961,0,0,31
99999,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,0,0,0,33
99999,0,0,0,0,0,0,0,0,0,0,1156,0,0,0,0,0,0,34
99999,0,0,0,0,0,0,0,0,0,0,1156,0,0,1156,1156,0,0,34
99999,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,0,35
99999,0,0,0,0,0,0,0,0,0,0,1225,0,0,1225,0,0,0,35
99999,0,0,0,0,0,0,0,0,0,0,1225,0,0,1225,1225,0,0,35
99999,0,0,0,0,0,0,0,0,0,0,1296,0,0,1296,0,0,-2085,36
99999,0,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0,38
99999,0,0,0,0,0,0,0,0,0,0,1444,0,0,1444,1444,0,0,38
99999,0,0,0,0,0,0,0,0,0,0,1681,0,0,1681,0,0,0,41
99999,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,0,84
99999,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0,86
99999,0,0,0,0,0,0,0,0,0,0,1849,0,0,1849,0,0,0,43
99999,0,0,0,0,0,0,0,0,0,0,1849,0,0,1849,1849,0,0,43
99999,0,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,0,0,44
99999,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,2025,0,0,45
99999,0,0,0,0,0,0,0,0,0,0,2025,0,0,2025,0,0,0,90
99999,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0,46
99999,0,0,0,0,0,0,0,0,0,0,2116,0,0,2116,2116,0,0,46
99999,0,0,0,0,0,0,0,0,0,0,2116,2116,0,2116,0,2116,0,46
99999,0,0,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,59412,47
99999,0,0,0,0,0,0,0,0,0,0,2209,0,0,2209,0,0,21,47
99999,0,0,0,0,0,0,0,0,0,0,2304,0,0,2304,0,0,0,48
99999,0,0,0,0,0,0,0,0,0,0,2304,0,0,2304,2304,0,0,48
99999,0,0,0,0,0,0,0,0,0,0,2304,0,0,2304,2304,0,31,48
99999,0,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,-12299,49
99999,0,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,0,49
99999,0,0,0,0,0,0,0,0,0,0,2401,0,0,0,2401,0,0,49
99999,0,0,0,0,0,0,0,0,0,0,2401,0,0,2401,0,0,0,49
99999,0,0,0,0,0,0,0,0,0,0,2500,0,0,2500,0,0,0,100
99999,0,0,0,0,0,0,0,0,0,0,2500,0,0,2500,2500,0,0,50
99999,0,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,0,51
99999,0,0,0,0,0,0,0,0,0,0,2601,0,0,2601,2601,0,0,102
99999,0,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0,106
99999,0,0,0,0,0,0,0,0,0,0,2809,0,0,2809,0,0,0,53
99999,0,0,0,0,0,0,0,0,0,0,2809,0,0,2809,2809,0,0,53
