SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000034,351,0,0,0,0,4021800,37,0,0,0,0,0,37,0,0,0,0,0,81509
2022HU0000170,96,0,0,1,1,4021800,20,0,0,0,0,0,20,0,0,20,20,0,15009
2022HU0000181,84,0,0,0,0,4020500,25,0,0,25,0,0,25,0,0,0,25,0,12508
2022HU0000314,160,0,0,0,0,4021800,16,16,0,0,0,0,16,0,0,16,0,0,22931
2022HU0000605,167,0,0,1,0,4020200,19,19,0,0,0,0,0,0,19,19,0,0,22931
2022HU0000760,501,0,0,0,0,4021900,39,0,0,0,0,0,39,0,0,0,39,0,141546
2022HU0000817,208,0,0,0,0,4020900,82,0,0,0,0,0,82,0,0,82,0,0,29393
2022HU0000830,331,0,0,0,0,4022000,113,113,0,0,0,0,113,0,0,113,0,0,50031
2022HU0000875,285,0,0,0,0,4021200,182,0,0,0,0,0,182,0,0,0,0,0,44298
2022HU0000945,194,0,0,1,1,4020200,93,0,0,93,0,0,93,0,0,0,93,0,56285
2022HU0001100,346,0,1,0,0,4021900,252,252,0,0,0,0,252,0,0,252,252,0,70460
2022HU0001164,146,0,0,0,0,4021405,168,0,0,0,0,0,168,168,0,168,0,168,28142
2022HU0001256,244,0,0,1,0,4021500,15,15,0,0,0,0,0,0,0,15,15,0,100687
2022HU0001259,0,0,0,0,0,4020900,102,0,0,0,0,0,102,0,0,102,0,0,0
2022HU0001262,157,0,0,0,0,4021100,39,0,0,0,0,0,39,0,0,39,0,0,22243
2022HU0001406,352,0,0,0,0,4021000,51,0,0,0,0,0,51,0,51,51,51,0,61392
2022HU0001553,501,0,0,0,0,4021402,88,0,0,0,0,0,88,0,0,88,0,0,110693
2022HU0001579,136,0,0,0,0,4022000,89,0,0,0,0,0,89,89,0,0,0,89,39608
2022HU0001862,501,0,0,0,0,4020400,208,0,0,0,0,0,208,0,0,208,0,0,89639
2022HU0001948,212,0,0,0,0,4020400,97,0,0,0,0,0,97,97,0,0,97,0,81300
