puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
4203413,158,359,0,0,0,0,0,0,0,0,0,24964,0,0,24964,24964,0,62539
4202402,49,219,0,1,1,1,0,0,0,0,0,2401,0,0,2401,2401,0,50031
4203413,162,501,0,0,0,0,0,0,0,0,0,26244,0,0,0,0,0,246194
4201100,17,316,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,96935
4203013,50,501,0,0,0,0,0,0,0,0,0,2500,0,2500,2500,0,0,390450
4201807,80,501,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,616892
4201200,74,34,0,0,0,0,0,0,0,0,0,5476,5476,0,0,0,0,26058
4203231,122,501,0,0,0,0,0,0,0,0,0,14884,0,0,14884,0,0,79216
4203412,85,501,0,0,0,0,0,0,0,0,0,7225,7225,0,0,0,0,182404
4201400,48,292,1,0,1,0,0,2304,0,0,0,2304,0,0,0,0,0,138315
4203311,67,501,0,0,0,0,0,0,0,0,0,4489,0,0,4489,0,0,144569
4202701,129,295,0,0,0,0,0,0,0,0,0,16641,0,16641,16641,16641,0,54096
4202701,32,217,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,1024,62539
4201701,71,479,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,138627
4203312,81,369,0,0,0,0,0,0,0,0,0,6561,0,0,6561,0,0,50688
4200300,41,167,0,0,0,0,0,0,0,0,0,1681,0,0,0,1681,0,25015
4200112,31,79,0,0,1,0,0,0,0,0,0,961,0,0,961,0,0,12508
4203501,221,398,0,0,0,0,0,0,0,0,0,48841,0,0,0,0,0,62539
4201802,251,318,0,0,0,1,0,0,0,0,63001,0,63001,0,0,63001,0,63060
4203412,193,501,0,0,0,0,0,0,0,0,0,37249,0,0,37249,37249,0,87554
4200400,24,426,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,198039
4203900,156,501,0,0,0,0,0,0,0,0,0,24336,0,0,24336,0,0,74734
4203230,183,501,0,0,0,0,0,0,0,0,0,33489,0,0,0,0,0,108400
4202301,127,476,0,0,0,0,0,0,0,0,0,16129,0,0,0,0,0,136543
4201900,28,345,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,84427
4200300,65,448,0,0,0,0,0,0,0,0,0,4225,0,0,4225,4225,0,99020
4201100,23,501,0,0,0,0,0,0,0,0,0,529,0,0,529,0,0,89326
4202402,71,126,0,1,1,0,0,0,0,0,0,5041,0,0,5041,5041,0,18762
4200500,77,11,0,0,1,0,0,0,0,0,0,5929,0,5929,5929,0,0,1563
4203221,114,28,0,0,0,0,0,0,0,0,0,12996,0,0,12996,0,0,4065
4201300,29,162,0,1,1,0,0,0,0,0,0,841,0,0,0,841,0,23973
4201900,23,236,0,0,0,0,0,0,0,0,0,529,0,0,529,529,0,45841
4203112,149,501,0,0,0,0,0,0,0,0,0,22201,0,0,0,0,0,618403
4202803,91,501,0,0,0,0,0,0,0,0,0,8281,0,0,0,0,0,401290
4203603,280,106,0,0,1,0,0,0,0,0,0,78400,0,0,78400,0,0,16677
4203502,55,352,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,52428
4201000,173,238,0,0,0,0,0,0,0,0,0,29929,0,29929,29929,0,0,43152
4200803,24,380,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,59412
4202013,99,348,0,0,0,0,0,0,0,0,0,9801,0,9801,9801,9801,0,60975
4203013,79,501,0,0,0,0,0,0,0,0,0,6241,0,6241,0,0,0,425784
4203117,147,501,0,0,0,0,0,0,0,0,0,21609,0,0,21609,21609,0,113612
4201300,20,501,0,0,0,0,0,0,0,0,0,400,0,0,400,0,0,407648
4200111,75,190,0,1,1,0,0,0,0,0,0,5625,0,5625,5625,0,0,33875
4203702,17,496,0,0,0,0,0,0,0,0,0,289,0,0,289,0,0,85219
