SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000022,359,0,0,0,0,4203413,158,0,0,0,0,0,158,0,0,158,158,0,62539
2022HU0000044,219,0,1,1,1,4202402,49,0,0,0,0,0,49,0,0,49,49,0,50031
2022HU0000111,501,0,0,0,0,4203413,162,0,0,0,0,0,162,0,0,0,0,0,246194
2022HU0000195,316,0,0,0,0,4201100,17,0,0,0,0,0,17,0,0,0,0,0,96935
2022HU0000226,501,0,0,0,0,4203013,50,0,0,0,0,0,50,0,50,50,0,0,390450
2022HU0000229,501,0,0,0,0,4201807,80,0,0,0,0,0,80,0,0,80,0,0,616892
2022HU0000239,34,0,0,0,0,4201200,74,0,0,0,0,0,74,74,0,0,0,0,26058
2022HU0000271,501,0,0,0,0,4203231,122,0,0,0,0,0,122,0,0,122,0,0,79216
2022HU0000284,501,0,0,0,0,4203412,85,0,0,0,0,0,85,85,0,0,0,0,182404
2022HU0000306,292,1,0,1,0,4201400,48,0,48,0,0,0,48,0,0,0,0,0,138315
2022HU0000310,501,0,0,0,0,4203311,67,0,0,0,0,0,67,0,0,67,0,0,144569
2022HU0000347,295,0,0,0,0,4202701,129,0,0,0,0,0,129,0,129,129,129,0,54096
2022HU0000355,217,0,0,0,0,4202701,32,0,0,0,0,0,32,0,0,0,0,32,62539
2022HU0000361,479,0,0,0,0,4201701,71,0,0,0,0,0,71,0,0,0,0,0,138627
2022HU0000423,369,0,0,0,0,4203312,81,0,0,0,0,0,81,0,0,81,0,0,50688
2022HU0000443,167,0,0,0,0,4200300,41,0,0,0,0,0,41,0,0,0,41,0,25015
2022HU0000469,79,0,0,1,0,4200112,31,0,0,0,0,0,31,0,0,31,0,0,12508
2022HU0000517,398,0,0,0,0,4203501,221,0,0,0,0,0,221,0,0,0,0,0,62539
2022HU0000518,318,0,0,0,1,4201802,251,0,0,0,0,251,0,251,0,0,251,0,63060
2022HU0000535,501,0,0,0,0,4203412,193,0,0,0,0,0,193,0,0,193,193,0,87554
2022HU0000584,426,0,0,0,0,4200400,24,0,0,0,0,0,24,0,0,0,0,0,198039
2022HU0000604,501,0,0,0,0,4203900,156,0,0,0,0,0,156,0,0,156,0,0,74734
2022HU0000610,501,0,0,0,0,4203230,183,0,0,0,0,0,183,0,0,0,0,0,108400
2022HU0000627,476,0,0,0,0,4202301,127,0,0,0,0,0,127,0,0,0,0,0,136543
2022HU0000653,345,0,0,0,0,4201900,28,0,0,0,0,0,28,0,0,0,0,0,84427
2022HU0000676,448,0,0,0,0,4200300,65,0,0,0,0,0,65,0,0,65,65,0,99020
2022HU0000697,501,0,0,0,0,4201100,23,0,0,0,0,0,23,0,0,23,0,0,89326
2022HU0000762,126,0,1,1,0,4202402,71,0,0,0,0,0,71,0,0,71,71,0,18762
2022HU0000773,11,0,0,1,0,4200500,77,0,0,0,0,0,77,0,77,77,0,0,1563
2022HU0000785,28,0,0,0,0,4203221,114,0,0,0,0,0,114,0,0,114,0,0,4065
2022HU0000850,162,0,1,1,0,4201300,29,0,0,0,0,0,29,0,0,0,29,0,23973
2022HU0000860,236,0,0,0,0,4201900,23,0,0,0,0,0,23,0,0,23,23,0,45841
2022HU0000861,501,0,0,0,0,4203112,149,0,0,0,0,0,149,0,0,0,0,0,618403
2022HU0000885,501,0,0,0,0,4202803,91,0,0,0,0,0,91,0,0,0,0,0,401290
2022HU0000893,106,0,0,1,0,4203603,280,0,0,0,0,0,280,0,0,280,0,0,16677
2022HU0000913,352,0,0,0,0,4203502,55,0,0,0,0,0,55,0,0,0,0,0,52428
2022HU0000940,238,0,0,0,0,4201000,173,0,0,0,0,0,173,0,173,173,0,0,43152
