SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000012,501,0,0,0,0,7201102,51,51,0,51,0,0,51,51,0,51,0,0,117781
2022HU0000137,99,0,0,1,1,7200600,94,0,0,94,0,0,0,94,0,94,0,94,15530
2022HU0000366,145,0,0,0,0,7200200,47,0,0,0,0,0,47,47,0,47,47,47,34396
2022HU0000714,501,0,0,0,0,7201300,46,0,0,0,0,0,46,46,46,46,0,0,126015
2022HU0000807,69,0,0,0,0,7201101,62,0,0,0,0,0,62,62,0,62,62,62,12404
2022HU0000924,481,0,0,0,0,7201300,31,0,0,0,0,0,0,31,0,0,31,31,94746
2022HU0000927,431,0,0,1,0,7202300,64,0,0,0,0,0,0,64,0,64,0,64,86512
2022HU0001114,0,0,0,1,1,7201300,169,0,0,169,0,0,0,169,0,0,0,169,0
2022HU0001123,201,0,0,0,0,7201500,64,0,0,0,0,0,64,64,0,0,0,0,39087
2022HU0001158,172,0,0,1,1,7201500,84,0,0,0,0,0,84,84,0,84,0,84,69522
2022HU0001222,0,0,0,1,0,7202000,55,0,0,0,0,0,0,55,0,55,55,55,12508
2022HU0001278,228,0,0,0,0,7201200,87,0,0,0,0,0,87,87,0,87,87,87,41171
2022HU0001581,1,0,0,1,1,7201101,141,0,0,141,0,0,0,141,0,0,0,0,313
2022HU0001677,55,0,0,1,1,7200800,108,0,0,0,0,0,0,108,0,108,108,108,9798
2022HU0001716,66,0,0,0,0,7200200,35,0,0,0,0,0,0,35,0,35,35,35,8964
2022HU0001720,335,0,0,0,0,7201000,55,0,0,55,0,0,55,55,0,55,55,55,59099
2022HU0001722,38,1,0,1,1,7201900,113,0,0,0,0,0,113,113,0,0,113,113,5941
2022HU0002121,0,0,0,1,0,7201600,56,0,0,0,0,0,56,56,0,0,0,56,0
2022HU0002148,168,0,0,0,0,7201500,164,0,0,0,0,0,164,164,0,164,164,164,29185
2022HU0002262,4,0,0,1,1,7201300,132,0,0,0,0,0,0,132,0,0,0,132,16260
2022HU0002345,175,1,0,0,0,7201200,105,0,0,0,0,0,105,105,0,105,0,105,27413
2022HU0002581,74,0,0,0,1,7201300,104,0,0,0,0,0,104,104,0,104,104,104,12716
2022HU0002600,133,0,0,0,0,7200800,56,0,0,0,0,0,56,56,0,56,56,0,18762
2022HU0002611,86,0,0,0,1,7200400,109,0,0,0,0,0,109,109,0,0,109,109,20846
2022HU0002637,69,0,0,1,0,7200600,107,0,0,107,0,0,107,107,0,0,0,107,16052
2022HU0002659,501,0,0,0,0,7201102,57,0,0,0,0,0,57,57,0,0,0,0,135500
2022HU0002715,117,0,0,1,0,7200200,212,0,0,0,0,0,0,212,0,212,212,212,20117
2022HU0002794,60,0,0,1,1,7201102,63,0,0,0,0,0,63,63,0,63,0,0,17511
2022HU0003252,394,0,0,0,0,7201000,43,0,0,0,0,0,0,43,0,0,0,43,117990
2022HU0003460,292,0,0,1,0,7202200,130,130,0,0,0,0,130,130,0,0,0,130,68793
