cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
4401,0,0,0,0,0,0,0,0,0,0,0,43547,0,43547,43547,43547,0,148
4401,0,0,0,0,0,0,0,0,0,0,578,0,0,578,0,0,0,17
4401,0,0,0,0,0,0,0,0,0,0,916,0,0,916,0,0,0,15
4401,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,1089,1089,0,33
4401,0,0,0,0,0,0,0,0,0,0,1600,0,0,1600,1600,0,-2502,40
4401,0,0,0,0,0,0,0,0,0,0,1706,0,0,1706,0,0,0,36
4401,0,0,0,0,0,0,0,0,0,0,3249,0,0,3249,3249,0,0,57
4401,0,0,0,0,0,0,0,0,0,0,5105,0,5105,5105,5105,0,0,51
4401,0,0,0,0,0,0,0,0,0,0,5622,0,0,5622,5622,0,-104,53
4401,0,0,0,0,0,0,0,0,0,0,5711,0,0,5711,0,0,0,66
4401,0,0,0,0,0,0,0,0,0,0,7944,0,0,7944,0,0,-3961,63
4401,0,0,0,0,0,0,0,0,0,0,8151,0,0,0,0,0,0,46
4401,0,0,0,0,0,0,0,0,0,0,24133,0,0,24133,0,0,0,78
4401,0,0,0,0,0,0,0,636,0,0,0,636,0,636,0,636,-1980,13
4401,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,841,0,21
4401,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,1406,31269,27
4401,0,0,0,0,0,0,2180,0,0,0,0,0,0,0,0,0,0,33
4401,0,0,0,0,0,0,5105,0,0,0,0,0,0,0,0,0,52,51
4401,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,24000,0,110
4401,0,0,0,0,1,0,0,5929,0,0,0,0,0,5929,0,5929,0,77
4401,0,0,0,1,0,0,0,0,0,0,1469,0,0,0,0,0,208462,19
4401,0,0,0,1,0,0,0,0,0,0,1495,0,0,1495,0,1495,0,34
4401,0,0,0,1,0,0,0,0,0,0,3249,0,0,0,0,0,0,57
4401,0,0,0,1,0,0,0,0,0,0,7396,0,0,0,0,0,0,86
4401,0,0,0,1,0,0,0,21442,0,0,0,21442,0,0,0,0,0,104
4401,0,0,0,1,0,0,0,34349,0,0,34349,34349,0,34349,34349,34349,0,131
4401,0,0,0,1,1,0,0,0,0,0,0,5476,0,0,0,0,0,74
4401,0,0,0,1,1,0,0,0,0,0,0,9575,0,9575,0,9575,0,49
4401,0,0,0,1,1,0,0,0,0,0,3044,3044,0,0,0,0,41692,39
4401,0,0,0,1,1,0,0,0,0,0,3191,0,0,0,0,0,156,28
4401,0,0,0,1,1,0,0,0,0,0,4366,0,0,0,4366,0,0,33
4401,0,0,0,1,1,0,0,0,0,0,4624,0,0,4624,4624,0,0,68
4401,0,0,0,1,1,0,0,0,0,0,5945,5945,0,5945,0,0,0,55
4401,0,0,0,1,1,0,0,0,0,0,13623,13623,0,0,13623,13623,94,83
4401,0,0,0,1,1,0,0,6084,0,0,0,6084,0,0,6084,6084,0,78
4401,0,0,0,1,1,0,0,33567,0,0,0,33567,0,0,0,0,115,130
4401,0,0,0,1,1,2304,0,0,0,0,2304,0,0,2304,2304,0,0,48
4401,1,0,0,0,0,0,0,0,0,0,3481,0,3481,3481,3481,0,323,59
4401,1,0,0,0,0,0,0,0,0,0,13341,0,0,0,0,0,208,58
4401,1,0,0,0,1,0,0,0,0,0,0,4235,4235,0,0,0,552,46
4401,2,0,0,1,1,0,0,0,0,0,0,21235,0,21235,21235,21235,313,103
4401,2,0,0,1,1,0,0,0,0,0,2422,2422,0,0,2422,0,688,43
4401,2,0,0,1,1,0,0,0,0,0,7056,0,0,7056,7056,0,521,84
4401,2,1,0,1,1,0,0,0,0,0,23131,23131,0,0,23131,23131,500,108
4401,3,0,0,1,0,0,0,0,0,0,5184,0,0,5184,0,0,500,72
4401,4,0,0,1,1,0,0,0,0,0,82944,82944,0,0,0,0,823,288
4401,5,0,0,1,0,0,0,0,0,0,53819,0,0,53819,0,0,834,204
4401,5,0,0,1,1,0,0,1024,0,0,0,0,0,0,0,0,1042,32
4401,6,0,0,0,1,0,0,0,0,0,0,203219,0,0,0,203219,1980,396
4401,6,0,0,1,1,0,0,40000,0,0,0,40000,0,0,40000,0,1980,200
4401,6,0,1,1,0,0,0,174189,0,0,174189,0,174189,174189,174189,0,1563,295
4401,9,0,0,0,0,0,0,0,0,0,1319,0,0,1319,0,0,1355,18
4401,9,0,0,0,0,0,0,0,0,0,2394,0,0,2394,2394,0,1355,25
4401,9,0,0,0,0,0,0,0,0,0,8514,0,0,8514,0,8514,1355,81
4401,9,0,0,0,1,0,0,0,0,0,1356,0,0,1356,0,0,1355,19
4401,9,0,0,1,0,0,0,0,0,0,2209,0,0,0,0,0,2085,47
4401,9,0,1,1,0,0,0,0,0,0,0,8852,0,0,8852,0,1459,67
4401,9,0,1,1,0,0,0,0,0,0,10961,0,0,10961,10961,0,1355,74
4401,9,1,0,1,1,0,0,0,0,0,3423,0,0,0,3423,0,1407,30
4401,10,0,0,0,0,0,0,0,0,0,2422,0,0,2422,0,0,1459,43
4401,10,0,0,0,0,0,0,0,0,0,9801,0,0,9801,0,0,1459,99
4401,11,0,0,0,0,0,0,0,0,0,2169,0,0,2169,2169,0,1563,41
4401,11,0,0,0,0,0,0,0,0,0,10609,0,0,10609,0,0,1563,103
4401,11,0,0,0,0,0,115292,0,0,0,0,0,0,0,0,0,1876,240
4401,11,0,0,1,0,0,0,0,0,0,3784,0,0,3784,0,3784,12091,54
4401,11,0,1,1,1,0,0,0,0,0,1211,0,1211,1211,0,0,1668,18
4401,13,0,0,0,0,0,0,0,0,0,7448,0,0,0,7448,0,138210,61
4401,13,0,0,0,0,0,0,10233,0,0,0,0,0,0,0,0,2085,72
4401,13,0,0,1,1,0,3531,3531,0,0,3531,0,0,0,3531,0,10736,42
4401,13,1,0,1,1,0,0,0,0,0,71878,71878,0,71878,0,71878,4169,190
4401,14,0,0,0,0,0,0,0,0,0,2667,0,0,2667,0,0,1980,37
4401,14,0,0,0,0,0,0,0,0,0,15352,0,0,15352,15352,0,2189,109
4401,14,0,0,1,0,0,0,10816,0,0,0,0,0,0,0,0,2189,104
4401,14,0,0,1,1,0,0,0,0,0,9948,9948,0,0,0,9948,77235,71
4401,14,0,1,1,0,0,36209,36209,0,0,0,0,0,0,0,0,26892,135
4401,15,1,0,1,1,0,0,0,0,0,12201,12201,0,0,0,12201,2502,56
4401,16,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,2606,38
4401,16,0,0,1,1,0,0,0,0,0,0,40645,0,0,40645,0,5003,143
4401,16,0,0,1,1,0,0,0,0,0,2336,2336,0,0,0,0,3127,42
4401,17,0,0,0,0,0,0,0,0,0,8985,0,0,0,0,0,2606,67
4401,17,0,0,0,1,0,0,0,0,0,1236,0,0,1236,0,0,2502,31
4401,17,0,0,0,1,0,0,0,0,0,12321,0,0,12321,0,0,2585,111
4401,17,0,0,1,1,0,0,0,0,0,0,3844,0,0,0,0,3544,62
4401,18,0,0,0,0,0,0,0,0,0,4761,0,0,4761,0,0,2502,69
4401,19,0,0,0,0,0,0,0,0,0,4460,4460,0,4460,0,0,2710,59
4401,20,0,0,0,0,0,0,0,0,0,330,0,0,330,330,0,2814,9
4401,20,0,0,0,0,0,0,2873,0,0,2873,0,2873,2873,0,0,2814,47
4401,20,0,0,1,0,0,0,0,0,0,6823,0,0,0,6823,0,3106,73
4401,20,0,0,1,1,0,0,12850,0,0,12850,0,0,0,12850,0,4169,100
4401,20,0,0,1,1,0,538,0,0,0,0,538,0,0,538,0,6045,12
4401,21,0,0,0,0,0,0,0,0,0,28561,0,28561,28561,28561,0,3023,169
4401,21,0,0,0,0,0,1683,0,0,0,0,0,0,0,0,0,3127,29
4401,21,0,0,1,1,0,0,0,0,0,0,26896,0,0,0,0,4273,164
4401,21,0,0,1,1,0,0,0,0,0,7180,0,0,0,7180,0,48780,43
4401,22,0,1,1,1,0,0,3721,0,0,3721,0,0,0,3721,0,5212,61
4401,25,0,0,0,0,0,0,0,0,0,1936,0,0,1936,0,1936,4482,44
4401,25,0,0,1,0,0,0,6733,0,0,0,0,0,6733,6733,0,3440,58
4401,25,0,0,1,0,0,613,613,0,0,613,0,0,0,0,0,115697,18
4401,25,0,0,1,1,0,0,0,0,0,2153,0,0,2153,0,0,3857,23
4401,26,0,0,1,1,0,0,7694,0,0,0,0,0,0,7694,0,5212,62
4401,26,0,1,1,0,0,9668,0,0,0,9668,0,0,0,0,0,44611,70
4401,26,1,0,1,1,0,0,0,0,0,11326,11326,0,11326,0,11326,3752,54
4401,27,0,0,1,1,0,0,0,0,0,21023,0,0,0,0,0,4169,127
4401,27,1,0,1,1,0,0,46245,0,0,0,0,0,0,0,0,5462,152
4401,28,0,0,0,0,0,0,0,0,0,3249,0,0,3249,0,0,5420,57
4401,28,0,0,1,0,0,0,0,0,0,6968,6968,0,0,0,0,21055,59
4401,29,0,0,1,1,0,0,0,0,0,1001,0,0,1001,0,0,4378,28
4401,30,0,0,0,0,0,0,0,0,0,2809,0,2809,2809,0,0,4482,53
4401,30,0,1,1,1,0,0,3893,0,0,0,3893,0,0,0,0,12404,55
4401,31,0,0,0,0,0,0,0,0,0,7225,0,0,7225,0,0,4482,85
4401,31,0,1,1,0,0,0,0,0,0,17424,17424,0,0,17424,0,204397,132
4401,32,0,0,0,0,0,0,0,0,0,2509,0,0,2509,2509,0,7505,44
4401,32,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,4899,55
4401,32,0,0,0,0,0,0,0,0,0,55049,0,0,55049,0,0,6045,206
4401,32,0,1,1,1,0,0,0,0,0,29305,29305,0,29305,29305,29305,5003,121
4401,32,1,0,1,0,0,0,41317,0,0,0,0,0,41317,0,0,5003,103
4401,33,0,0,0,0,0,0,0,0,0,2200,0,0,2200,0,0,4586,24
4401,33,0,0,0,0,0,0,0,0,0,5423,0,0,0,0,0,5212,37
4401,33,0,0,1,0,0,0,0,0,0,1764,0,0,1764,1764,0,6775,42
4401,33,0,0,1,0,0,0,0,0,0,4489,0,0,4489,0,0,5024,67
4401,33,0,0,1,1,0,0,16914,0,0,0,16914,0,0,16914,0,9485,114
4401,34,0,0,0,0,0,0,0,0,0,3676,0,0,3676,0,0,25015,53
4401,34,0,0,0,0,0,0,0,0,0,7877,0,0,7877,7877,0,4899,78
4401,34,0,0,0,0,0,0,0,0,0,10404,0,0,10404,0,0,6045,102
4401,34,0,0,1,0,1225,0,0,0,0,1225,0,0,1225,0,0,5003,35
4401,34,0,0,1,1,0,0,0,0,0,408,0,0,408,0,0,4899,18
4401,36,0,0,0,0,0,0,0,0,0,35721,0,0,35721,35721,0,5316,189
4401,36,0,0,1,0,0,0,0,0,0,1296,0,0,1296,0,0,5003,36
4401,36,0,0,1,1,0,0,0,0,0,4096,0,0,4096,4096,0,11257,64
4401,36,1,0,1,1,0,0,13689,0,0,13689,0,0,0,0,0,8338,117
4401,38,0,0,0,0,0,0,0,0,0,562,0,0,562,562,0,6879,12
4401,38,0,0,0,0,0,184041,0,0,0,184041,184041,0,0,0,0,6045,429
4401,39,0,1,1,0,0,0,0,0,0,1936,0,0,1936,0,1936,52845,44
4401,40,0,0,1,1,0,0,0,0,0,9686,9686,0,0,0,0,8026,86
4401,41,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,9381,58
4401,42,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,43777,14
4401,42,0,0,0,0,0,0,0,0,0,8327,0,0,0,0,0,16260,65
4401,42,0,0,1,0,0,3615,0,0,0,3615,0,0,0,3615,0,159891,43
4401,44,0,0,0,0,0,0,0,0,0,2209,0,0,2209,2209,0,6254,47
4401,44,0,0,0,0,0,0,0,0,0,9184,0,0,9184,0,9184,10944,48
4401,45,0,0,0,0,0,0,0,0,0,1156,0,0,0,0,1156,10840,34
4401,45,0,0,1,0,0,0,0,0,0,0,91237,0,0,0,0,13550,214
4401,45,0,1,1,1,0,0,0,0,0,2873,0,0,0,0,0,6817,47
4401,46,0,0,0,1,0,0,0,0,0,0,3788,0,3788,3788,3788,8026,44
4401,47,0,1,1,0,0,0,0,0,0,2601,0,0,2601,2601,0,35960,51
4401,48,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,7400,46
4401,48,0,0,0,0,0,3365,0,0,0,0,0,0,0,0,3365,27830,41
4401,48,0,0,1,0,0,0,4356,0,0,0,0,0,0,0,0,50031,66
4401,48,0,1,1,1,0,0,0,0,8992,8992,0,0,0,8992,0,7505,48
4401,49,0,0,0,0,0,0,0,0,0,11881,0,0,11881,11881,0,6983,109
4401,50,0,0,1,1,0,0,0,0,0,23781,0,0,23781,0,0,7922,109
4401,50,0,0,1,1,1302,0,1302,0,0,0,0,1302,1302,0,0,11257,26
4401,51,0,0,0,1,0,0,0,0,0,2493,0,0,0,2493,0,43047,25
4401,51,0,0,1,0,0,0,0,0,0,947,0,0,947,947,0,9172,16
4401,51,0,0,1,1,0,0,0,0,0,0,12321,0,12321,0,12321,6983,111
4401,51,0,0,1,1,0,0,5184,0,0,5184,5184,0,0,0,0,15739,72
4401,51,0,0,1,1,0,0,29241,0,0,0,29241,0,0,0,29241,10006,171
4401,52,0,0,0,0,0,0,0,0,0,715,0,0,715,715,0,7192,13
4401,52,0,0,0,0,0,0,0,0,0,25600,0,25600,25600,0,0,7296,160
4401,52,0,0,0,1,0,0,0,0,0,9409,0,0,0,0,0,14988,97
4401,53,0,0,0,0,0,0,0,0,0,470,0,0,470,470,0,7505,11
4401,53,0,0,0,0,0,0,0,0,0,2169,0,0,0,0,0,8338,41
4401,53,0,0,0,1,0,0,0,0,0,84100,0,0,0,84100,0,7817,290
4401,53,0,0,1,0,0,0,0,0,0,2114,0,0,0,2114,0,10632,33
4401,53,0,0,1,1,0,0,0,0,0,1353,0,0,0,0,0,17073,26
4401,54,0,0,0,0,0,0,0,0,0,2304,0,0,0,2304,0,8338,48
4401,54,0,0,1,0,0,0,0,0,0,2107,0,0,0,0,0,8338,23
4401,54,0,0,1,0,0,0,0,0,0,66564,66564,0,0,0,66564,32520,258
4401,54,0,0,1,1,0,0,0,0,0,0,26471,0,0,26471,26471,21722,115
4401,54,0,0,1,1,0,0,3283,0,0,0,3283,0,3283,3283,3283,8130,41
4401,54,0,1,1,0,0,15146,0,0,0,0,0,0,15146,15146,15146,34813,62
4401,55,0,0,0,0,0,0,21029,0,0,21029,21029,0,0,0,21029,16364,103
4401,55,0,0,1,1,0,0,0,0,0,0,9514,0,0,0,0,11465,86
4401,55,0,1,1,0,0,0,0,0,0,3364,0,0,3364,3364,0,9589,58
4401,55,0,1,1,1,0,0,0,0,0,0,42436,0,0,42436,0,11048,206
4401,56,0,0,1,0,0,0,0,0,0,7877,0,0,0,0,0,8338,78
4401,56,0,0,1,0,0,0,0,0,0,18792,0,0,0,0,0,8338,120
4401,56,0,1,1,1,0,0,0,0,0,0,9530,0,9530,9530,9530,9693,69
4401,57,0,0,1,1,0,0,0,0,0,38673,38673,0,38673,0,38673,13654,139
4401,58,0,0,1,0,0,0,0,0,0,0,0,0,6241,6241,0,8338,79
4401,58,0,1,1,0,0,0,3466,0,0,3466,0,0,0,3466,0,20950,52
4401,58,0,1,1,1,0,0,0,0,0,6823,0,0,6823,6823,0,8755,73
4401,59,0,0,1,1,0,0,0,0,0,47524,0,0,0,0,0,9068,218
4401,60,0,0,1,0,0,0,0,0,0,0,4489,0,4489,4489,4489,14175,67
4401,60,0,0,1,0,0,0,5517,0,0,0,0,5517,5517,5517,0,10423,53
4401,60,0,0,1,1,0,0,81225,0,0,0,0,0,0,81225,81225,18438,285
4401,60,0,0,1,1,0,613,0,0,0,0,0,0,613,613,613,8338,18
4401,61,0,0,1,0,0,0,0,0,0,0,18225,0,0,18225,0,9172,135
4401,61,0,0,1,1,0,0,0,0,0,0,14632,0,14632,0,14632,8755,86
4401,61,0,0,1,1,0,0,0,0,0,9860,0,0,0,9860,0,12508,87
4401,62,0,0,0,0,0,0,0,0,0,29584,0,0,0,0,0,32416,172
4401,62,0,0,1,1,0,0,0,0,0,10667,0,0,0,0,0,18032,73
4401,63,0,0,0,1,0,0,0,0,0,0,10090,0,10090,0,10090,13759,71
4401,63,0,0,1,1,0,0,0,0,0,11025,0,0,11025,0,0,9485,105
4401,63,0,0,1,1,0,0,2088,0,0,2088,0,0,0,2088,0,9381,40
4401,63,0,1,1,1,0,0,0,0,0,0,29968,0,0,0,29968,10006,152
4401,63,0,1,1,1,0,0,0,0,0,4053,0,0,0,0,0,9902,45
4401,63,0,1,1,1,0,0,0,0,0,34596,34596,0,0,34596,0,9902,186
4401,63,0,1,1,1,0,0,0,0,0,35721,0,0,35721,35721,0,9902,189
4401,63,0,1,1,1,15135,0,0,0,0,15135,0,0,0,15135,0,22827,108
4401,64,0,0,1,0,0,0,0,0,0,1681,0,0,1681,0,0,12508,41
4401,64,1,1,1,1,0,0,0,0,0,374,374,0,374,374,374,9339,17
4401,65,0,0,0,0,0,0,0,0,0,3844,0,3844,3844,0,0,11361,62
4401,66,0,0,1,1,0,0,0,0,0,2500,2500,0,2500,0,2500,9902,50
4401,66,0,0,1,1,0,0,0,0,0,18769,0,0,18769,18769,0,13133,137
4401,66,0,1,1,1,0,0,0,0,0,0,6503,0,0,6503,0,10319,57
4401,66,0,1,1,1,0,0,27889,0,0,0,0,0,0,0,0,12925,167
4401,67,0,0,0,0,0,0,0,0,0,0,14292,0,0,0,14292,10423,85
4401,67,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,12820,90
4401,67,0,0,1,0,0,0,0,0,0,1042,0,0,0,0,0,61496,16
4401,67,0,0,1,1,0,0,0,0,0,5476,0,0,5476,0,0,9381,74
4401,67,0,1,1,1,0,0,0,0,0,0,5309,0,0,5309,0,10319,52
4401,67,0,1,1,1,0,0,0,0,0,0,107734,0,0,107734,107734,10527,232
4401,67,0,1,1,1,0,0,0,0,0,5476,0,0,0,5476,0,10006,74
4401,67,0,1,1,1,0,0,0,0,0,5622,0,0,0,0,0,9902,53
4401,67,1,1,1,1,0,0,0,0,0,4942,0,0,0,4942,0,10569,62
4401,68,0,0,1,1,0,0,0,0,0,2443,0,0,0,0,0,10423,25
4401,68,0,1,1,1,0,0,0,0,0,0,15500,0,0,15500,15500,10527,88
4401,68,0,1,1,1,0,0,0,0,0,47524,0,0,0,0,0,10840,218
4401,68,0,1,1,1,0,0,0,0,0,221289,0,0,0,221289,0,10736,333
4401,68,1,1,1,1,0,0,0,0,0,94662,0,0,0,0,0,10361,155
4401,69,0,0,0,0,0,0,0,0,0,12334,0,0,0,0,0,18762,79
4401,69,0,0,0,0,0,5192,0,0,0,5192,5192,0,0,0,0,52116,63
4401,69,0,0,1,0,0,0,0,0,0,886,0,0,0,0,0,75046,15
4401,70,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,20117,32
4401,70,0,0,0,0,0,0,0,0,0,3078,0,0,0,0,0,10423,28
4401,70,0,0,0,0,0,0,8464,0,0,0,0,8464,8464,0,0,12195,92
4401,70,0,0,0,0,0,3964,0,0,0,3964,0,0,0,0,3964,10423,45
4401,70,0,0,1,1,0,0,0,0,0,0,58564,0,0,0,58564,20846,242
4401,70,0,1,1,1,0,0,0,0,0,36864,36864,0,0,0,36864,10527,192
4401,70,1,1,1,1,0,0,0,0,0,0,4708,0,4708,4708,0,11132,49
4401,71,0,0,0,0,0,0,0,0,0,2752,0,0,2752,0,0,10006,26
4401,71,0,0,0,0,0,0,0,0,0,4489,0,0,4489,0,0,9798,67
4401,71,0,0,0,0,0,0,0,0,0,11664,0,0,11664,0,0,20846,108
4401,71,0,0,0,1,0,0,0,0,0,1742,1742,1742,1742,0,1742,13029,30
4401,71,0,0,1,0,0,0,0,0,0,2968,0,0,0,0,0,16677,48
4401,71,0,0,1,1,0,0,2667,0,0,0,0,0,2667,0,2667,9902,37
4401,71,0,0,1,1,0,0,44521,0,0,44521,44521,0,0,44521,0,14697,211
4401,71,0,1,1,0,0,0,0,0,0,0,3163,0,0,3163,3163,10632,49
4401,71,0,1,1,0,0,0,0,0,0,3600,0,0,3600,3600,0,10527,60
4401,71,0,1,1,1,0,0,0,0,0,2050,2050,0,0,2050,2050,21784,32
4401,71,0,1,1,1,0,0,0,0,0,5041,0,0,0,5041,0,11048,71
4401,71,0,1,1,1,0,0,4942,0,0,4942,4942,0,0,4942,4942,11257,62
4401,71,1,1,1,1,0,0,24964,0,0,24964,0,0,0,24964,0,14905,158
4401,72,0,0,0,0,0,0,0,0,0,8464,0,0,8464,0,0,9902,92
4401,72,0,0,1,0,0,0,0,0,0,3571,0,0,3571,0,0,10423,53
4401,72,0,0,1,0,0,0,0,0,0,6503,0,0,0,0,0,84427,57
4401,72,0,0,1,1,0,0,0,0,0,1444,0,0,0,1444,0,43256,38
4401,72,0,0,1,1,0,0,0,0,0,8676,0,0,8676,8676,0,14697,82
4401,72,0,0,1,1,0,0,0,0,0,49968,0,0,49968,49968,0,12508,158
4401,72,0,1,1,1,0,0,0,0,0,1930,0,0,0,1930,0,11403,39
4401,72,1,1,1,1,0,0,0,0,0,0,21904,0,0,21904,21904,16323,148
4401,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107045,29
4401,73,0,0,1,0,0,0,0,0,0,729,0,0,729,729,729,10840,27
4401,73,0,0,1,0,0,0,1514,0,0,0,0,0,1514,0,0,10006,28
4401,73,0,0,1,1,0,0,0,0,0,5041,0,0,5041,5041,0,10423,71
4401,73,0,1,1,1,0,0,0,0,0,104976,0,0,0,104976,0,11174,324
4401,73,1,0,0,1,0,0,23716,0,0,0,0,0,23716,23716,0,10215,154
4401,73,1,1,1,1,0,0,3784,0,0,3784,3784,0,0,3784,0,17667,54
4401,74,0,0,1,1,0,0,0,0,0,0,15677,0,15677,15677,15677,10632,89
4401,74,0,1,1,1,0,0,0,0,0,4708,4708,0,4708,0,4708,10215,49
4401,74,0,1,1,1,0,0,0,0,0,51529,0,0,0,0,0,28559,227
4401,75,0,0,1,1,0,0,0,0,0,1175,0,0,1175,1175,0,11048,30
4401,76,0,0,1,0,0,0,0,0,0,0,48841,0,0,0,0,11674,221
4401,76,0,1,1,1,0,0,0,0,0,0,61299,0,61299,61299,61299,11048,175
4401,76,0,1,1,1,0,0,0,0,0,946,946,0,946,946,946,10736,27
