county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
44001,0,0,0,0,0,0,0,0,0,0,361,0,0,361,361,361,0,11
44001,0,0,0,0,0,0,0,0,0,0,530,0,0,530,530,0,-2502,13
44001,0,0,0,0,0,0,0,0,0,0,1076,0,0,1076,1076,0,0,19
44001,0,0,0,1,0,0,0,0,0,0,1076,0,0,0,0,0,0,19
44001,0,0,0,1,0,0,0,0,0,0,2450,0,0,0,0,0,0,28
44001,0,0,0,1,1,0,0,0,0,0,1531,0,0,1531,1531,0,0,23
44001,1,0,0,0,0,0,0,0,0,0,1153,0,1153,1153,1153,0,323,20
44001,5,0,0,1,1,0,0,339,0,0,0,0,0,0,0,0,1042,11
44001,10,0,0,0,0,0,0,0,0,0,3246,0,0,3246,0,0,1459,33
44001,14,0,0,1,0,0,0,3582,0,0,0,0,0,0,0,0,2189,34
44001,16,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,2606,13
44001,17,0,0,0,1,0,0,0,0,0,4081,0,0,4081,0,0,2585,37
44001,17,0,0,1,1,0,0,0,0,0,0,1273,0,0,0,0,3544,21
44001,18,0,0,0,0,0,0,0,0,0,1577,0,0,1577,0,0,2502,23
44001,22,0,1,1,1,0,0,1232,0,0,1232,0,0,0,1232,0,5212,20
44001,28,0,0,0,0,0,0,0,0,0,1076,0,0,1076,0,0,5420,19
44001,30,0,0,0,0,0,0,0,0,0,930,0,930,930,0,0,4482,18
44001,31,0,0,0,0,0,0,0,0,0,2393,0,0,2393,0,0,4482,28
44001,31,0,1,1,0,0,0,0,0,0,5771,5771,0,0,5771,0,204397,44
44001,33,0,0,1,0,0,0,0,0,0,584,0,0,584,584,0,6775,14
44001,34,0,0,0,0,0,0,0,0,0,3446,0,0,3446,0,0,6045,34
44001,34,0,0,1,0,406,0,0,0,0,406,0,0,406,0,0,5003,12
44001,36,0,0,0,0,0,0,0,0,0,11831,0,0,11831,11831,0,5316,63
44001,36,0,0,1,0,0,0,0,0,0,429,0,0,429,0,0,5003,12
44001,39,0,1,1,0,0,0,0,0,0,641,0,0,641,0,641,52845,15
44001,45,0,0,0,0,0,0,0,0,0,383,0,0,0,0,383,10840,11
44001,47,0,1,1,0,0,0,0,0,0,861,0,0,861,861,0,35960,17
44001,48,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,7400,15
44001,52,0,0,0,0,0,0,0,0,0,8479,0,8479,8479,0,0,7296,53
44001,52,0,0,0,1,0,0,0,0,0,3116,0,0,0,0,0,14988,32
44001,53,0,0,0,1,0,0,0,0,0,27854,0,0,0,27854,0,7817,96
44001,54,0,0,0,0,0,0,0,0,0,763,0,0,0,763,0,8338,16
44001,62,0,0,0,0,0,0,0,0,0,9798,0,0,0,0,0,32416,57
44001,63,0,0,1,1,0,0,0,0,0,3651,0,0,3651,0,0,9485,35
44001,63,0,1,1,1,0,0,0,0,0,11831,0,0,11831,11831,0,9902,63
44001,64,0,0,1,0,0,0,0,0,0,557,0,0,557,0,0,12508,14
44001,65,0,0,0,0,0,0,0,0,0,1273,0,1273,1273,0,0,11361,21
44001,66,0,0,1,1,0,0,0,0,0,6216,0,0,6216,6216,0,13133,45
44001,67,0,0,0,0,0,0,0,0,0,2683,0,0,0,0,0,12820,30
44001,68,0,1,1,1,0,0,0,0,0,15740,0,0,0,0,0,10840,72
44001,70,0,0,0,0,0,0,2803,0,0,0,0,2803,2803,0,0,12195,30
44001,71,0,0,0,0,0,0,0,0,0,3863,0,0,3863,0,0,20846,36
44001,71,0,1,1,0,0,0,0,0,0,1192,0,0,1192,1192,0,10527,20
44001,73,0,0,1,1,0,0,0,0,0,1670,0,0,1670,1670,0,10423,24
44001,81,0,0,0,0,0,0,0,0,0,2507,0,0,2507,2507,0,11048,29
44001,83,0,0,0,0,0,0,0,0,0,1443,0,0,1443,0,0,14592,22
44001,88,0,0,1,0,0,0,0,0,0,2803,0,0,2803,0,0,13550,30
44001,88,0,0,1,1,0,0,0,0,0,1765,0,0,1765,1765,0,12820,24
44001,92,0,0,1,1,0,0,0,0,0,3181,0,0,3181,0,0,16573,32
44001,93,0,0,0,0,0,0,0,0,0,1399,0,0,1399,0,0,13654,22
44001,93,0,0,0,1,0,0,0,0,0,1357,0,0,1357,0,0,13467,21
44001,93,0,0,1,0,0,0,0,0,0,732,0,0,732,0,0,18762,16
44001,93,0,1,1,1,0,0,0,0,0,1577,0,0,0,0,0,13759,23
44001,99,0,0,1,0,0,0,0,0,0,453,0,0,453,0,0,13759,12
44001,100,0,0,0,0,0,0,0,0,0,5947,0,5947,0,5947,0,108192,44
44001,100,0,0,1,0,0,0,0,0,0,175,0,175,175,175,0,14592,8
44001,100,0,0,1,1,0,0,0,0,0,11706,0,11706,0,11706,0,14801,62
44001,102,1,1,1,0,0,0,2173,0,0,0,0,0,0,0,0,15426,27
44001,104,0,0,0,0,1765,0,0,0,0,1765,0,0,1765,1765,0,39608,24
44001,105,0,0,0,0,0,0,0,0,0,4930,0,0,4930,4930,0,14592,40
44001,105,0,0,0,0,0,0,0,0,0,9572,0,0,9572,0,0,14697,56
44001,106,0,0,0,0,0,0,0,0,0,1863,0,0,1863,0,0,18345,25
44001,106,0,0,0,1,0,0,0,0,0,1273,0,0,1273,1273,0,15426,21
44001,107,0,0,0,0,0,0,0,0,0,1623,0,0,0,0,0,20846,23
44001,108,0,0,0,0,0,0,0,0,0,966,0,0,966,0,0,15426,18
44001,110,0,0,1,1,0,0,0,0,0,1039,0,0,1039,0,0,15635,19
44001,112,0,0,0,0,0,0,0,0,0,1076,0,0,1076,0,0,16156,19
44001,113,0,0,1,0,0,0,0,0,0,6492,0,0,6492,6492,0,16156,46
44001,113,0,0,1,1,1913,0,1913,0,0,0,0,0,1913,0,0,15322,25
44001,115,0,0,0,0,0,0,0,0,0,1114,0,0,1114,1114,0,18032,19
44001,121,0,0,0,0,0,0,0,0,0,453,0,0,453,0,0,20846,12
44001,121,0,0,1,0,0,6126,0,0,0,0,0,6126,0,0,0,48467,45
44001,122,0,0,1,0,0,0,0,0,0,1863,0,0,1863,1863,0,21680,25
44001,128,0,0,1,0,0,0,1863,0,0,1863,0,0,0,0,0,43256,25
44001,132,0,0,0,0,0,0,0,0,0,504,0,504,504,0,0,23139,13
44001,132,0,0,0,0,0,0,0,0,0,4081,0,0,0,0,0,20846,37
44001,133,0,0,0,0,0,0,0,0,0,1964,0,0,0,0,0,40754,26
44001,136,0,0,1,1,0,0,0,0,0,2393,0,0,0,0,0,33354,28
44001,137,0,0,1,0,0,1192,0,0,0,0,0,0,1192,0,1192,52116,20
44001,137,0,0,1,0,5426,0,0,0,0,5426,5426,0,0,0,0,88596,42
44001,139,0,0,0,0,0,0,0,0,0,1623,0,0,1623,0,0,19074,23
44001,141,0,0,1,0,0,0,0,0,0,9912,9912,0,0,0,0,20846,57
44001,142,0,0,0,0,0,0,0,0,0,5597,0,0,5597,5597,0,20638,43
44001,144,0,0,0,0,0,0,0,0,0,2393,0,0,0,2393,2393,44090,28
44001,149,0,0,0,0,0,0,0,0,0,828,0,0,828,0,0,20429,17
44001,151,0,0,0,0,0,0,0,0,0,1717,0,0,1717,0,0,21784,24
44001,152,0,0,1,1,0,0,0,0,0,2015,0,0,0,0,0,44819,26
44001,153,0,0,0,0,0,0,0,0,0,429,0,0,429,0,0,22201,12
44001,153,0,0,1,0,0,0,0,0,0,3582,0,0,3582,3582,0,27934,34
44001,157,0,0,1,0,0,0,0,0,0,3116,0,0,3116,0,0,37002,32
44001,161,0,0,0,0,0,0,0,0,0,1153,0,0,1153,0,0,22931,20
44001,162,0,0,0,0,0,0,0,0,0,3312,0,0,3312,0,0,22827,33
44001,164,0,0,0,0,0,0,0,0,0,1487,0,0,1487,0,0,28142,22
44001,165,0,0,0,0,0,0,2337,0,0,2337,0,0,0,0,0,31895,28
44001,167,0,0,0,0,0,0,2450,0,0,2450,0,0,2450,2450,0,41484,28
44001,169,0,0,0,0,0,0,0,0,0,4930,0,0,0,0,0,51073,40
44001,170,0,0,0,0,0,0,0,0,0,1487,0,0,1487,0,0,30435,22
44001,171,0,0,0,0,0,0,0,0,0,641,0,0,641,641,0,29393,15
44001,177,0,0,0,0,0,0,0,0,0,966,0,0,966,0,0,25328,18
44001,177,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,28038,19
44001,177,0,0,0,0,0,0,0,0,0,3446,0,3446,3446,0,0,24182,34
44001,178,0,0,1,0,0,0,2282,0,0,2282,0,2282,0,2282,0,62539,27
44001,179,0,0,0,0,0,0,0,0,0,1114,0,1114,1114,1114,0,25641,19
44001,183,0,0,1,0,0,0,0,0,0,0,20206,0,0,20206,20206,36168,82
44001,188,0,0,0,0,0,0,1913,0,0,0,0,1913,1913,0,0,35543,25
44001,189,0,0,0,1,11213,0,11213,0,0,0,0,0,0,0,0,39608,61
44001,191,0,0,0,0,0,0,0,0,0,1717,0,0,1717,0,1717,45132,24
44001,196,0,0,0,0,0,0,0,0,0,160,0,160,160,0,0,33875,7
44001,197,0,0,0,0,0,0,0,0,0,9572,0,0,9572,0,0,27413,56
44001,197,1,0,0,0,0,0,0,0,0,671,0,0,671,671,0,27215,15
44001,199,0,0,0,0,0,0,0,0,0,3116,0,3116,3116,0,0,48989,32
44001,199,0,0,1,1,0,0,0,0,0,2282,0,0,0,2282,0,31269,27
44001,201,0,0,0,0,0,0,0,0,0,2926,0,2926,2926,2926,0,48572,31
