puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
4400106,164,332,0,0,0,0,0,0,26896,0,0,0,0,0,0,0,26896,52116
4400400,64,113,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,15426
4400106,98,399,0,0,0,0,0,0,0,0,0,9604,0,9604,9604,0,0,125077
4400103,287,166,0,1,1,0,0,82369,0,0,0,0,0,0,82369,82369,82369,38566
4400300,72,411,0,0,1,0,0,0,0,0,0,5184,0,0,5184,5184,0,64623
4400105,117,403,0,0,0,0,0,0,0,0,0,13689,13689,0,0,0,0,76818
4400200,64,501,0,0,0,0,0,0,0,0,0,4096,0,0,0,0,0,79216
4400300,51,228,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,34188
4400400,51,350,0,0,0,0,0,0,0,0,0,2601,0,0,2601,2601,0,48051
4400105,73,252,0,0,0,0,0,0,0,0,0,5329,0,5329,5329,5329,0,35126
4400103,114,72,0,0,1,0,0,0,0,0,0,12996,0,0,0,0,0,84427
4400105,61,501,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,173857
4400107,101,315,0,0,0,0,0,0,0,0,0,10201,0,0,0,0,0,47946
4400400,41,501,0,0,0,0,0,0,0,0,0,1681,0,0,1681,0,0,511983
4400105,77,193,0,0,0,0,0,0,0,0,0,5929,0,0,0,0,0,88596
4400103,30,238,0,0,0,0,0,900,0,0,0,0,0,0,900,0,900,36689
4400107,97,376,0,0,0,0,0,0,0,0,0,9409,0,0,0,0,0,108400
4400200,181,501,0,0,0,0,0,0,0,0,0,32761,0,0,0,0,0,143005
4400106,33,501,0,0,0,0,1089,0,0,0,0,1089,0,0,0,0,0,141233
4400400,63,501,0,0,0,0,0,0,0,0,0,3969,0,0,0,0,0,114654
4400200,74,501,0,0,0,0,0,0,0,0,0,5476,0,0,5476,0,0,115697
4400106,42,459,0,0,0,0,0,0,0,0,0,1764,0,1764,1764,1764,0,84323
4400105,76,19,0,0,0,0,0,0,0,0,0,5776,5776,0,5776,0,0,2710
4400103,118,501,0,0,0,0,0,0,0,0,0,13924,0,0,0,0,0,276212
4400300,123,368,0,0,0,0,0,0,0,0,0,15129,0,0,15129,0,0,63268
4400200,105,111,0,1,1,1,0,0,0,0,0,11025,0,0,0,11025,0,16364
4400107,61,501,0,0,0,0,0,0,0,0,0,3721,0,0,0,0,0,176672
4400106,80,501,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,220970
4400103,51,50,0,0,1,1,2601,0,2601,0,0,0,0,2601,2601,0,0,11257
4400105,428,304,0,0,0,0,0,0,0,0,0,183184,0,0,0,0,0,109443
4400107,111,501,0,0,0,0,0,0,12321,0,0,12321,0,0,0,0,0,253282
4400103,118,28,0,0,1,0,0,0,0,0,0,13924,13924,0,0,0,0,21055
4400103,276,271,0,0,0,0,0,0,0,0,0,76176,0,0,76176,76176,0,52220
4400105,60,501,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,140712
4400107,76,296,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,41755
4400400,70,501,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,149634
4400107,99,102,0,1,1,0,0,0,0,0,0,9801,0,0,9801,9801,9801,14697
4400106,216,430,0,0,0,0,0,0,0,0,0,0,46656,0,0,0,0,167812
4400106,92,72,0,0,0,0,0,0,0,0,0,8464,0,0,8464,0,0,9902
4400103,131,501,0,0,0,0,0,0,0,0,0,17161,17161,0,0,0,0,130289
4400200,59,131,0,1,1,0,0,0,0,0,0,3481,0,0,3481,3481,0,26475
4400106,97,241,0,0,0,0,0,0,0,0,0,9409,0,0,0,9409,0,56597
4400106,118,280,0,0,0,0,0,0,0,0,0,13924,0,0,0,0,0,43777
4400400,85,501,0,0,0,0,0,0,0,0,0,7225,0,0,0,0,0,125077
4400400,47,116,0,0,1,0,0,0,0,0,0,2209,0,0,0,0,2209,20846
4400106,45,218,0,0,0,0,0,0,0,0,0,2025,0,0,2025,0,0,29810
4400300,230,501,0,0,0,0,0,0,0,0,0,52900,0,0,0,0,0,161558
4400105,55,501,0,0,0,0,0,0,0,0,0,3025,0,0,3025,0,0,103126
4400105,126,124,0,0,0,0,0,0,0,0,0,15876,0,0,15876,0,0,56181
4400105,137,279,0,0,0,0,0,18769,0,0,0,0,0,0,0,18769,0,42735
4400106,139,501,0,0,0,1,0,0,0,0,0,19321,0,0,0,0,0,156347
4400400,48,88,0,0,1,1,0,0,0,0,0,2304,0,0,2304,0,0,12508
4400106,40,263,0,0,0,0,0,0,0,0,0,1600,0,0,0,1600,0,75568
4400300,105,501,0,0,0,0,0,0,0,0,0,11025,0,0,0,11025,0,145924
4400105,423,222,0,0,0,0,0,0,0,0,0,178929,0,0,0,0,0,163643
4400400,81,455,0,0,0,0,0,0,0,0,0,6561,0,0,0,0,0,130289
4400103,89,501,0,0,0,0,0,7921,0,0,0,0,0,0,0,0,0,140712
4400103,84,13,0,0,1,1,0,7056,7056,0,0,7056,0,0,0,7056,0,10736
4400105,68,304,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,46904
4400105,53,412,0,0,0,0,0,0,0,0,0,2809,0,0,0,2809,0,83385
4400106,397,164,0,0,1,1,0,0,157609,0,0,0,0,0,0,0,157609,63789
4400200,108,145,0,1,1,0,0,0,0,0,0,11664,0,0,11664,11664,0,20638
4400103,70,501,0,0,1,0,0,0,0,0,0,4900,0,0,4900,0,0,192828
4400400,114,501,0,0,0,0,0,0,0,0,0,12996,0,0,12996,0,0,194912
4400200,247,315,0,1,1,0,0,0,0,0,0,61009,0,0,61009,0,0,88805
4400200,64,310,0,0,0,0,0,0,0,0,0,4096,0,0,4096,0,0,54826
4400200,248,316,0,0,0,0,0,0,0,0,0,61504,0,0,0,0,0,50031
4400106,95,351,0,0,0,0,0,0,0,0,0,9025,0,0,0,9025,0,67750
4400103,130,201,0,0,0,0,0,0,0,0,0,16900,0,0,16900,16900,0,39712
4400105,91,501,0,0,0,0,0,0,0,0,0,8281,0,8281,8281,8281,0,648630
4400107,92,498,0,0,0,0,0,0,0,0,0,8464,0,0,8464,0,0,68793
4400107,121,413,0,0,1,1,0,0,0,0,0,14641,0,0,14641,14641,0,63581
4400105,88,501,0,0,0,0,0,0,0,0,0,7744,0,0,0,0,0,157389
4400105,68,501,0,0,0,0,0,0,0,0,0,4624,0,0,0,4624,0,233478
