state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
44,0,0,0,0,0,0,0,0,0,0,0,87025,0,87025,87025,87025,0,295
44,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,27
44,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,1089,1089,0,33
44,0,0,0,0,0,0,0,0,0,0,1156,0,0,1156,0,0,0,34
44,0,0,0,0,0,0,0,0,0,0,1600,0,0,1600,1600,0,-2502,40
44,0,0,0,0,0,0,0,0,0,0,2209,0,0,2209,0,0,0,47
44,0,0,0,0,0,0,0,0,0,0,3249,0,0,3249,3249,0,0,57
44,0,0,0,0,0,0,0,0,0,0,3364,0,0,3364,0,0,-313,58
44,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,0,60
44,0,0,0,0,0,0,0,0,0,0,5476,0,0,5476,5476,0,0,74
44,0,0,0,0,0,0,0,0,0,0,7396,0,0,7396,0,0,0,86
44,0,0,0,0,0,0,0,0,0,0,10201,0,10201,10201,10201,0,0,101
44,0,0,0,0,0,0,0,0,0,0,11236,0,0,11236,11236,0,-104,106
44,0,0,0,0,0,0,0,0,0,0,11236,0,11236,0,11236,0,0,106
44,0,0,0,0,0,0,0,0,0,0,15876,0,0,15876,0,0,-3961,126
44,0,0,0,0,0,0,0,0,0,0,32041,0,0,0,0,0,0,179
44,0,0,0,0,0,0,0,0,0,0,94864,0,0,94864,0,0,0,308
44,0,0,0,0,0,0,0,2500,0,0,0,2500,0,2500,0,2500,-1980,50
44,0,0,0,0,0,0,1681,0,0,0,0,0,0,0,0,1681,0,41
44,0,0,0,0,0,0,2809,0,0,0,0,0,0,0,0,2809,31269,53
44,0,0,0,0,0,0,4356,0,0,0,0,0,0,0,0,0,0,66
44,0,0,0,0,0,0,10201,0,0,0,0,0,0,0,0,0,52,101
44,0,0,0,0,0,0,47961,0,0,0,0,0,0,0,0,47961,0,219
44,0,0,0,0,1,0,0,0,0,0,1936,0,0,1936,0,0,0,44
