SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000027,501,0,0,0,0,4501301,33,0,33,0,0,0,0,0,0,33,0,0,397120
2022HU0000179,501,0,0,0,0,4501001,109,0,0,0,0,0,109,0,0,0,0,0,140712
2022HU0000186,4,0,0,0,0,4501402,121,0,0,121,0,0,0,0,0,0,0,0,730
2022HU0000196,384,0,0,0,0,4502302,120,0,0,0,0,0,120,0,120,0,0,0,73170
2022HU0000211,501,0,0,0,0,4501301,54,0,0,0,0,0,54,0,54,54,54,0,127370
2022HU0000274,251,0,0,1,0,4500201,159,0,0,0,0,0,159,0,0,0,0,0,50656
2022HU0000289,501,0,0,0,0,4502001,104,0,0,0,0,0,104,0,0,104,0,0,145090
2022HU0000291,273,0,0,0,0,4502500,53,0,0,53,0,0,0,0,53,53,0,0,48259
2022HU0000315,51,0,0,1,1,4501700,44,0,0,44,0,0,0,0,0,0,0,0,78069
2022HU0000409,135,0,0,0,0,4501403,41,0,0,0,0,0,41,0,0,41,0,0,19491
2022HU0000410,217,0,0,0,0,4501901,64,0,0,64,0,0,0,0,0,64,64,0,37315
2022HU0000415,501,0,0,0,0,4500401,11,0,0,0,0,0,11,0,0,0,0,0,167082
2022HU0000457,264,0,0,0,0,4501800,88,0,0,88,0,0,0,0,0,0,0,0,41692
2022HU0000609,501,0,0,0,0,4502601,73,0,0,73,0,0,0,0,73,73,0,0,172211
2022HU0000797,160,0,0,0,0,4500602,121,0,121,0,0,0,121,0,0,0,0,0,32312
2022HU0000856,418,0,0,0,0,4500602,61,0,0,0,0,0,61,0,61,61,61,0,72243
2022HU0000923,350,0,0,0,0,4502001,156,0,0,0,0,0,156,0,0,156,0,0,48989
2022HU0001033,24,0,0,1,0,4501100,5,0,0,5,0,0,5,0,0,5,0,0,3335
2022HU0001048,232,0,0,0,0,4502100,169,0,0,0,0,0,169,0,0,169,169,0,31686
2022HU0001189,139,0,0,0,0,4501800,10,0,0,0,0,0,10,0,0,10,0,0,25432
2022HU0001241,31,0,0,1,0,4502100,112,0,0,0,0,0,112,0,0,0,0,0,4795
2022HU0001299,195,0,0,0,0,4502500,30,0,0,0,0,0,30,0,0,30,0,0,33771
2022HU0001309,403,0,0,0,0,4500700,83,0,0,0,0,0,83,0,0,83,0,0,62539
2022HU0001403,141,0,1,1,0,4502601,44,0,0,0,0,0,44,0,44,44,44,0,25015
2022HU0001428,501,0,0,0,0,4500303,68,0,0,0,0,0,68,0,0,0,0,0,176151
2022HU0001452,501,0,0,0,0,4502500,66,0,0,0,0,0,66,0,66,66,0,0,125598
2022HU0001465,501,0,0,0,0,4502701,52,0,0,0,0,0,52,0,0,52,0,0,159578
2022HU0001555,250,0,0,0,0,4502500,160,0,0,0,0,0,160,0,0,160,160,0,34605
2022HU0001570,315,0,0,0,0,4501302,37,0,0,0,0,0,37,0,0,37,0,0,57119
2022HU0001602,308,0,0,0,0,4501301,49,0,0,0,0,0,49,49,0,0,0,0,89535
2022HU0001632,308,0,1,1,0,4502202,200,0,200,0,0,0,0,0,0,200,0,200,151865
2022HU0001664,501,0,0,0,0,4501600,48,0,0,48,0,0,0,0,48,48,0,0,170522
2022HU0001747,481,0,0,0,0,4501403,65,0,0,0,0,0,65,0,0,0,0,0,75046
2022HU0001760,182,0,0,0,0,4501301,52,0,0,0,0,0,52,0,0,52,52,0,25015
2022HU0001781,44,0,0,1,1,4501501,105,0,0,0,0,0,105,0,0,0,105,0,15635
2022HU0002080,262,0,0,0,0,4500800,343,0,0,343,0,0,0,0,0,0,0,0,39608
2022HU0002172,501,0,0,0,0,4502202,101,0,0,0,0,0,101,0,101,101,0,0,163643
2022HU0002279,435,0,0,0,0,4500501,118,0,0,118,0,0,0,0,0,0,0,0,84427
2022HU0002457,446,0,0,0,0,4501200,17,0,0,0,0,0,17,0,0,0,17,0,89118
2022HU0002479,100,1,0,1,1,4501001,96,0,0,0,0,0,96,96,0,96,96,0,37940
2022HU0002614,171,0,0,1,1,4501301,111,0,0,0,0,0,111,0,0,0,0,0,65895
2022HU0002631,192,0,0,1,0,4500800,64,0,0,64,0,0,0,0,0,64,0,0,44819
2022HU0002708,501,0,0,0,0,4500401,28,0,0,0,0,0,28,0,28,28,0,0,252969
2022HU0002736,294,0,0,0,0,4501100,18,0,0,0,0,0,18,0,18,18,0,0,52220
2022HU0002760,501,0,0,0,0,4502303,42,0,0,0,0,0,42,0,0,42,0,0,194599
2022HU0002841,480,0,0,0,0,4502702,68,0,0,0,0,0,68,0,68,0,0,0,93808
2022HU0003027,54,0,1,1,1,4500700,244,0,0,0,0,0,244,0,0,0,244,0,8338
2022HU0003082,499,0,0,0,0,4502201,9,0,0,0,0,0,9,0,0,0,0,0,143839
2022HU0003146,133,0,0,1,0,4500800,364,0,0,364,0,0,0,0,364,364,0,0,23452
2022HU0003244,378,0,0,1,0,4502301,42,0,0,0,0,0,42,0,0,42,42,0,136439
2022HU0003278,501,0,0,0,0,4500201,15,0,0,0,0,0,15,0,0,0,0,0,148008
2022HU0003291,501,0,0,0,0,4500700,138,0,0,0,0,0,138,0,0,138,138,0,95684
2022HU0003348,433,0,0,0,0,4502701,53,0,0,0,0,0,53,0,53,53,53,0,78590
2022HU0003394,219,0,0,0,0,4501600,122,0,0,122,0,0,0,0,0,122,0,0,43986
2022HU0003415,218,0,0,0,0,4500602,65,0,0,65,0,0,0,0,0,65,0,0,29810
2022HU0003461,151,0,0,1,0,4500301,54,0,0,0,0,0,54,54,0,54,0,54,34292
2022HU0003613,121,0,0,0,0,4502702,441,0,0,0,0,0,441,0,441,441,0,0,21263
2022HU0003631,103,0,0,0,0,4500800,65,0,0,0,0,0,65,0,0,65,65,0,25015
2022HU0003662,306,0,1,1,0,4501700,58,0,58,58,0,0,0,0,58,0,0,58,58369
2022HU0003669,0,0,0,0,1,4501402,128,0,0,128,0,0,0,0,0,0,128,0,0
2022HU0003715,215,0,1,1,1,4501402,27,0,0,27,0,0,0,0,0,27,27,0,48572
2022HU0003742,501,0,0,0,0,4500305,57,0,57,0,0,0,57,0,0,0,57,0,559200
2022HU0003824,501,0,0,0,0,4502201,10,0,0,0,0,0,10,0,0,0,10,0,189836
2022HU0003869,457,0,0,0,0,4500401,95,0,0,0,0,0,95,0,0,95,0,0,82926
2022HU0003914,400,0,0,0,0,4500602,433,0,0,0,0,0,0,433,0,0,0,0,62539
2022HU0003931,0,0,0,0,0,4500700,24,0,0,24,0,0,0,0,0,0,0,0,-1980
2022HU0004029,317,0,0,0,0,4501200,14,0,0,0,0,0,14,0,0,0,0,0,116947
2022HU0004033,435,0,0,0,0,4502400,40,0,0,40,0,0,0,0,40,0,0,0,96831
2022HU0004067,213,0,0,0,0,4502701,44,0,0,0,0,0,44,0,44,44,0,0,30123
2022HU0004071,0,0,0,0,1,4501001,61,0,0,61,0,0,0,0,0,0,61,0,20846
2022HU0004131,501,0,0,0,0,4500301,71,0,0,0,0,0,71,0,71,0,71,0,84636
2022HU0004245,25,0,0,0,0,4501501,95,0,0,0,0,0,95,0,0,0,0,0,5007
2022HU0004355,159,0,0,0,0,4501100,43,0,0,0,0,0,43,0,0,43,0,0,30227
2022HU0004378,332,0,0,1,0,4500700,33,0,0,0,0,0,33,0,0,0,0,0,123618
2022HU0004413,501,0,0,0,0,4502100,69,0,0,0,0,0,69,0,0,69,0,0,254543
2022HU0004444,501,0,0,0,0,4502302,340,0,0,0,0,0,340,0,340,0,0,0,208462
2022HU0004554,501,0,0,0,0,4502001,334,0,0,0,0,0,334,0,0,0,0,0,365851
2022HU0004575,501,0,0,0,0,4501901,48,0,0,0,0,0,48,0,0,48,48,0,148112
2022HU0004805,464,0,0,0,0,4500901,152,0,0,0,0,0,152,0,152,152,152,0,64102
2022HU0004820,455,0,0,1,0,4501800,88,0,0,0,0,0,88,0,0,0,0,0,158431
2022HU0004828,501,0,0,0,0,4500304,70,0,0,0,0,0,70,0,0,70,70,0,236917
2022HU0004865,170,0,0,1,0,4502400,30,0,0,0,0,0,30,0,0,0,30,0,50031
2022HU0004877,183,0,0,0,0,4500700,15,0,0,0,0,0,15,0,0,0,0,0,71357
2022HU0004886,501,0,0,0,0,4502001,199,0,0,0,0,0,199,0,0,199,0,0,114654
2022HU0004897,447,0,0,0,0,4502202,119,0,0,0,0,0,119,0,0,0,0,0,69835
2022HU0004945,89,0,0,1,1,4500305,33,0,0,0,0,0,33,0,0,0,33,0,17719
2022HU0004962,204,0,0,0,0,4501001,92,0,0,0,0,0,92,0,92,92,0,0,36064
