cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
4600,0,0,0,0,0,0,0,0,0,0,36,36,0,0,36,0,0,6
4600,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,9
4600,0,0,0,0,0,0,0,0,0,0,144,0,0,144,0,0,0,12
4600,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,32207,13
4600,0,0,0,0,0,0,0,0,0,0,256,0,0,256,256,0,0,16
4600,0,0,0,0,0,0,0,0,0,0,400,0,0,400,400,0,0,20
4600,0,0,0,0,0,0,0,0,0,0,400,0,400,0,0,0,-3752,20
4600,0,0,0,0,0,0,0,0,0,0,484,0,0,484,484,0,0,22
4600,0,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,37
4600,0,0,0,0,0,0,0,0,0,0,1369,0,0,1369,0,0,0,37
4600,0,0,0,0,0,0,0,0,0,0,1521,0,0,0,0,0,0,78
4600,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0,43
4600,0,0,0,0,0,0,0,0,0,0,1936,0,1936,1936,0,0,-1876,44
4600,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,2601,0,63,51
4600,0,0,0,0,0,0,0,0,0,0,5476,0,0,0,0,0,0,74
4600,0,0,0,0,0,0,0,0,0,0,13225,0,0,13225,13225,0,0,115
4600,0,0,0,0,0,0,0,0,0,0,25281,0,0,25281,0,0,0,159
4600,0,0,0,0,0,0,0,0,0,0,38416,0,0,38416,0,0,0,196
4600,0,0,0,0,0,0,0,0,0,0,42849,0,0,42849,0,0,0,207
4600,0,0,0,0,0,0,0,0,0,0,74529,0,0,74529,0,0,-208,273
4600,0,0,0,0,0,0,0,0,0,0,129600,0,0,0,0,0,0,360
4600,0,0,0,0,0,0,21609,0,0,0,0,0,0,0,0,21609,0,147
4600,0,0,0,0,0,4761,0,0,0,0,0,0,0,0,0,0,0,69
4600,0,0,0,0,0,6241,0,0,0,0,0,0,0,6241,6241,0,0,79
4600,0,0,0,0,0,10000,0,0,0,0,0,0,10000,0,0,0,0,100
4600,0,0,0,0,1,0,0,0,0,0,27225,0,0,0,0,0,0,165
4600,0,0,0,0,1,1369,0,0,0,0,0,0,0,0,0,0,0,37
4600,0,0,0,0,1,3249,0,0,0,0,0,0,0,3249,3249,0,0,57
4600,0,0,0,0,1,14400,0,0,0,0,0,0,0,0,0,0,22410,120
4600,0,0,0,1,0,0,0,0,0,0,4096,0,0,0,0,0,0,64
4600,0,0,0,1,0,0,0,0,0,0,10000,0,0,0,10000,0,62539,100
4600,0,0,0,1,0,0,17424,0,0,0,17424,0,17424,17424,17424,0,31478,132
4600,0,0,0,1,0,676,0,0,0,0,0,0,0,0,676,0,0,26
4600,0,0,0,1,0,1849,0,0,0,0,1849,0,0,0,0,0,39608,43
4600,0,0,0,1,1,0,0,0,0,0,484,0,0,484,0,0,0,22
4600,0,0,0,1,1,0,0,0,0,0,729,0,0,729,0,0,0,27
4600,0,0,0,1,1,0,0,0,0,0,7744,0,0,7744,0,0,0,88
4600,0,0,0,1,1,0,0,0,0,0,47961,0,0,0,47961,0,0,219
4600,0,0,0,1,1,0,0,36100,0,0,0,0,0,0,0,0,0,190
4600,0,0,0,1,1,0,0,62500,0,0,0,0,0,0,0,0,0,250
4600,0,0,0,1,1,676,0,0,0,0,0,0,0,0,0,0,0,26
4600,0,0,0,1,1,6561,0,0,0,0,0,0,0,0,0,0,0,81
4600,0,0,0,1,1,7921,0,0,0,0,0,0,0,0,0,0,14905,89
4600,0,0,0,1,1,36481,0,0,0,0,0,0,0,0,36481,0,0,191
4600,1,0,0,0,0,0,0,0,0,0,17424,0,0,0,0,0,313,132
4600,1,0,0,0,0,0,0,0,0,0,34225,0,0,0,0,0,261,185
4600,1,0,0,1,0,0,0,0,0,0,196,196,0,0,0,196,313,14
4600,2,0,0,0,0,0,0,0,0,0,293764,0,0,0,0,0,417,542
4600,2,0,0,1,1,0,0,0,0,0,119716,0,119716,0,119716,0,730,346
4600,3,0,0,0,0,0,0,0,0,0,313600,0,0,0,0,0,521,560
4600,3,0,0,0,0,5041,0,0,0,0,0,0,0,0,0,0,709,71
