metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24390,241
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,3249,0,0,0,57
99999,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,11
99999,0,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,2601,0,51
99999,0,0,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,76
99999,0,0,0,0,0,0,0,0,0,0,0,21904,0,0,0,21904,0,148
99999,0,0,0,0,0,0,0,0,0,0,0,37249,0,0,0,37249,0,193
99999,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,-6150,4
99999,0,0,0,0,0,0,0,0,0,0,81,0,0,81,81,0,-5212,9
99999,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,12
99999,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,13
99999,0,0,0,0,0,0,0,0,0,0,169,0,0,169,0,0,0,13
99999,0,0,0,0,0,0,0,0,0,0,196,0,0,196,0,0,0,14
99999,0,0,0,0,0,0,0,0,0,0,196,0,0,196,196,0,0,14
99999,0,0,0,0,0,0,0,0,0,0,256,0,0,256,256,0,0,16
99999,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,20
99999,0,0,0,0,0,0,0,0,0,0,400,0,0,400,400,0,0,20
99999,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,-6150,22
99999,0,0,0,0,0,0,0,0,0,0,576,0,0,576,0,0,0,24
99999,0,0,0,0,0,0,0,0,0,0,576,576,0,0,576,0,28142,24
99999,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,27
99999,0,0,0,0,0,0,0,0,0,0,784,0,0,784,784,0,0,56
99999,0,0,0,0,0,0,0,0,0,0,841,0,0,841,841,0,0,29
99999,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,30
99999,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,31
99999,0,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0,0,33
99999,0,0,0,0,0,0,0,0,0,0,1089,0,0,1089,1089,0,0,33
99999,0,0,0,0,0,0,0,0,0,0,1225,0,1225,1225,1225,0,-5212,35
99999,0,0,0,0,0,0,0,0,0,0,1225,1225,1225,1225,0,0,0,35
99999,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,1296,0,0,36
99999,0,0,0,0,0,0,0,0,0,0,1296,0,0,1296,1296,0,0,36
99999,0,0,0,0,0,0,0,0,0,0,1369,0,0,1369,0,0,0,37
99999,0,0,0,0,0,0,0,0,0,0,1369,0,1369,1369,0,0,-5212,37
99999,0,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0,38
