SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000436,154,0,0,0,0,4905000,74,0,0,0,0,0,74,0,0,74,74,0,57848
2022HU0000511,200,0,0,0,0,4949002,181,0,0,0,0,0,181,0,0,0,0,0,62539
2022HU0000525,501,0,0,0,0,4949004,85,0,0,0,0,0,85,0,0,0,0,0,201166
2022HU0000756,93,0,0,0,0,4921000,103,0,0,0,0,0,103,0,0,0,0,0,17719
2022HU0000934,465,0,0,0,0,4953000,73,0,0,0,0,0,73,0,0,0,0,0,88596
2022HU0001008,370,0,0,0,0,4935017,212,0,0,0,0,0,212,0,0,0,0,212,56285
2022HU0001010,181,0,0,0,0,4935017,144,0,0,0,0,0,144,0,0,0,0,0,95893
2022HU0001036,240,0,0,0,0,4913000,30,30,0,0,0,0,30,30,0,0,0,0,55242
2022HU0001216,325,0,0,0,0,4949002,54,0,0,0,0,0,54,0,0,0,0,0,50031
2022HU0001502,191,0,0,0,0,4935014,88,0,0,0,0,0,88,0,0,0,0,0,30227
2022HU0001666,501,0,0,1,0,4911004,98,0,0,0,0,0,98,0,0,0,98,0,151135
2022HU0002241,480,0,0,0,0,4913000,97,0,0,0,0,0,97,0,97,97,97,97,106003
2022HU0002409,290,0,0,1,0,4935014,273,0,0,0,0,0,273,273,0,0,0,273,91723
2022HU0002438,146,0,0,0,0,4949003,149,0,0,0,0,0,149,0,0,0,149,0,80466
2022HU0002606,440,0,0,0,0,4949004,84,0,0,0,0,0,84,0,0,0,0,0,133833
2022HU0002610,330,0,0,0,0,4913000,105,0,0,0,0,0,105,0,0,0,0,0,101730
2022HU0003166,423,0,0,0,0,4905000,85,0,0,0,0,0,85,0,0,0,0,0,88596
2022HU0003168,501,0,0,0,0,4949002,102,0,0,0,0,0,102,0,0,0,0,0,506563
2022HU0003180,501,0,0,0,0,4935017,66,0,0,0,0,0,66,0,0,0,0,0,700433
2022HU0003188,486,0,0,0,0,4957001,52,0,0,0,0,0,52,0,0,52,0,0,88701
2022HU0003337,296,0,0,0,0,4949001,57,0,0,0,0,0,57,0,0,0,0,0,114654
2022HU0003806,422,0,0,0,0,4921000,21,0,0,0,0,0,21,0,0,0,0,0,125077
2022HU0003890,501,0,0,0,0,4935008,53,0,0,0,0,0,53,0,0,0,0,0,208462
2022HU0004030,244,0,0,1,0,4953000,173,0,0,0,0,0,173,0,0,0,0,0,56181
2022HU0004050,282,0,1,1,0,4935011,239,239,0,0,0,0,239,239,239,239,239,0,82968
2022HU0004070,233,0,0,0,0,4913000,40,40,0,0,0,0,0,0,0,40,40,40,33562
2022HU0004091,247,0,0,0,0,4949003,71,0,0,0,0,0,71,0,71,0,0,0,100896
