SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000023,374,0,0,0,0,5155001,199,0,0,0,0,0,199,0,0,0,0,0,88596
2022HU0000043,501,0,0,0,0,5110702,119,0,0,119,0,0,0,0,119,0,0,0,328328
2022HU0000053,300,0,1,0,0,5105906,31,0,0,0,0,0,31,0,31,31,31,0,51959
2022HU0000067,482,0,0,0,0,5114300,135,0,0,0,0,0,135,0,0,0,0,0,96935
2022HU0000094,501,0,0,0,0,5168000,55,0,0,0,0,0,55,0,0,0,0,0,723885
2022HU0000128,309,0,0,0,0,5104101,118,0,0,118,0,0,0,0,0,0,0,0,46904
2022HU0000159,501,0,0,0,0,5151000,261,0,0,0,0,0,261,0,0,261,0,0,84427
2022HU0000168,501,0,0,0,0,5101301,124,0,124,0,0,0,124,0,0,0,0,0,366372
2022HU0000264,501,0,0,0,0,5112100,128,0,128,0,0,0,0,0,0,0,0,0,104763
2022HU0000267,501,0,0,0,0,5112100,86,0,0,0,0,0,86,0,0,86,86,0,137585
2022HU0000331,380,0,0,0,0,5177001,71,0,0,0,0,0,71,0,71,71,0,0,68063
2022HU0000373,355,0,0,0,0,5104101,287,0,0,0,0,0,287,287,0,0,0,0,83385
2022HU0000451,448,0,0,0,0,5116101,114,0,0,0,0,0,114,0,0,0,0,0,134458
2022HU0000473,501,0,0,1,0,5114300,62,0,0,0,0,0,62,0,0,62,0,0,139878
2022HU0000479,80,0,0,0,0,5101301,121,0,0,0,0,0,121,0,0,0,0,0,28142
2022HU0000545,427,0,0,0,0,5165000,45,0,0,0,0,0,45,0,0,0,0,0,99020
2022HU0000560,501,0,0,0,0,5115302,58,0,0,0,0,0,58,0,58,58,0,0,159474
2022HU0000600,501,0,0,0,0,5180000,23,0,0,23,0,0,0,0,0,23,0,0,133624
2022HU0000615,294,0,0,0,1,5165000,196,0,0,0,0,0,196,196,196,0,0,0,156347
2022HU0000659,501,0,0,0,0,5108702,65,0,0,0,0,0,65,0,0,0,0,0,1221588
2022HU0000670,501,0,0,0,0,5108701,68,0,0,0,0,0,68,0,68,0,0,0,86512
2022HU0000822,501,0,0,0,0,5181003,62,0,0,0,0,0,62,0,0,0,0,0,218885
2022HU0000833,90,1,0,1,0,5105908,60,0,0,0,0,0,60,0,0,0,0,0,27100
2022HU0000854,291,0,0,0,0,5114900,38,0,0,0,0,0,38,0,38,0,0,0,83385
2022HU0000903,501,0,0,0,0,5105904,71,0,0,0,0,0,71,0,0,71,0,0,191577
2022HU0000931,501,0,0,0,0,5105902,83,0,0,0,0,0,83,83,0,83,0,0,236083
2022HU0000967,67,0,1,0,1,5115303,80,0,80,0,0,0,0,0,0,80,0,0,13602
2022HU0000993,501,0,0,1,0,5104103,49,0,0,0,0,0,49,0,49,49,0,0,234520
2022HU0001077,225,0,0,0,0,5155001,91,0,0,0,0,0,91,0,0,91,91,0,33250
2022HU0001120,501,0,0,0,0,5105905,67,0,67,0,0,0,0,0,0,0,0,67,205335
2022HU0001145,501,0,0,0,0,5161001,69,0,69,0,0,0,0,0,0,0,0,69,967525
2022HU0001147,501,0,0,0,0,5176001,37,0,0,0,0,0,37,0,0,0,0,0,380444
2022HU0001257,179,0,0,0,0,5181001,113,0,0,0,0,0,113,0,0,0,0,0,90890
2022HU0001282,108,0,0,0,0,5116101,98,0,0,0,0,0,98,0,0,98,0,0,15009
2022HU0001307,85,0,0,0,0,5112100,121,121,0,0,0,0,121,0,0,0,121,0,13446
2022HU0001362,24,0,0,1,1,5181002,350,0,0,350,0,0,0,0,0,0,0,0,5003
2022HU0001372,135,0,0,0,0,5108300,181,0,0,0,0,0,181,0,0,0,0,0,20742
2022HU0001453,501,0,0,0,0,5101301,36,0,36,0,0,0,36,0,36,0,0,0,279339
2022HU0001472,501,0,0,0,0,5181002,158,0,0,158,0,0,0,0,0,158,158,0,98988
2022HU0001518,484,0,0,0,0,5181001,427,0,0,0,0,0,427,0,427,0,0,0,114654
2022HU0001566,501,0,0,0,0,5151000,107,0,0,0,0,0,107,0,0,107,0,0,438813
2022HU0001582,178,0,0,0,0,5106100,84,0,0,0,0,0,84,0,0,84,0,0,32416
2022HU0001620,160,0,0,0,0,5110901,49,0,0,0,0,0,49,0,0,49,49,0,30269
2022HU0001650,33,0,0,0,0,5108702,68,0,0,0,0,0,68,0,0,68,0,0,37523
2022HU0001665,295,0,0,1,0,5119100,57,0,0,0,0,0,57,0,0,57,0,0,41692
2022HU0001689,0,0,0,1,1,5118500,235,0,0,0,0,0,235,0,0,0,0,0,0
2022HU0001712,200,0,0,1,0,5101302,77,0,0,77,0,0,0,0,0,0,0,77,40025
2022HU0001813,212,0,0,0,0,5171002,46,0,0,0,0,0,46,0,46,0,0,0,33354
2022HU0001825,412,0,0,0,0,5176001,51,0,0,0,0,0,51,0,0,51,0,0,74734
2022HU0001878,189,0,0,1,0,5177001,55,0,0,0,0,0,55,0,0,55,55,0,43214
2022HU0001884,69,0,0,1,1,5105906,173,0,0,173,0,0,0,0,0,173,173,0,10840
2022HU0001898,501,0,0,0,0,5110702,101,0,0,0,0,0,101,101,0,101,101,101,173701
2022HU0001968,501,0,0,0,0,5114900,60,0,0,60,0,0,0,0,0,60,0,0,102146
2022HU0001978,0,0,0,1,1,5109500,48,0,0,48,0,0,0,0,0,0,48,0,0
2022HU0001982,272,0,0,0,0,5110901,72,0,0,0,0,0,72,0,0,0,0,0,83385
2022HU0002033,351,0,0,0,0,5101302,109,0,0,109,0,0,109,0,0,109,0,0,61496
2022HU0002039,267,0,0,0,0,5118500,54,0,0,0,0,0,54,0,0,0,0,0,41692
2022HU0002089,501,0,0,0,0,5110703,154,0,0,0,0,0,154,0,0,0,0,0,346568
2022HU0002092,23,1,1,1,1,5181002,168,168,0,168,0,0,0,0,168,0,168,0,55649
2022HU0002110,501,0,0,0,0,5105908,120,0,0,0,0,0,120,0,0,0,0,0,93808
2022HU0002117,501,0,0,0,0,5119100,75,0,0,0,0,0,75,0,0,75,0,0,138992
2022HU0002174,132,0,0,0,0,5117100,8,0,0,0,0,0,8,0,0,8,8,0,26058
2022HU0002175,89,0,0,1,1,5118500,23,0,0,0,0,0,23,0,0,0,23,0,17928
2022HU0002182,501,0,0,0,0,5105905,40,0,0,0,0,0,40,0,0,40,40,0,377317
2022HU0002194,188,0,1,1,0,5109500,128,0,0,128,0,0,0,0,0,128,128,0,71919
2022HU0002364,501,0,0,1,0,5101301,69,0,0,0,0,0,69,0,0,69,69,0,155304
2022HU0002403,501,0,0,0,0,5168701,54,0,0,0,0,0,0,54,0,54,0,0,136960
2022HU0002410,501,0,0,0,1,5104101,245,0,0,245,0,0,245,0,0,0,0,0,124243
2022HU0002428,501,0,0,0,0,5110701,59,0,0,0,0,0,59,0,0,59,0,0,93808
2022HU0002443,211,0,0,0,0,5116500,39,0,0,0,0,0,39,0,0,39,0,0,61496
2022HU0002487,419,0,0,0,0,5110901,81,0,0,0,0,0,81,0,0,81,0,0,60975
2022HU0002510,466,0,0,0,0,5108501,56,0,0,0,0,0,56,0,0,0,0,0,166770
2022HU0002520,501,0,0,0,0,5160001,65,0,65,0,0,0,0,0,0,0,0,65,135917
2022HU0002594,390,0,0,0,0,5155001,44,0,0,0,0,0,44,0,0,0,0,0,79216
2022HU0002604,0,0,0,0,0,5108701,244,0,0,244,0,0,0,0,0,0,0,0,0
2022HU0002618,174,0,0,0,0,5107300,31,0,0,0,0,0,31,0,0,0,0,0,26058
2022HU0002695,501,0,0,0,0,5170000,590,0,0,0,0,0,590,0,590,590,0,0,109443
2022HU0002709,398,0,0,0,0,5115302,91,0,0,0,0,0,91,0,91,91,91,0,77339
2022HU0002737,66,0,0,0,0,5117900,132,0,0,0,0,0,132,132,0,0,0,0,62872
2022HU0002773,501,0,0,0,0,5101301,93,0,0,0,0,0,93,0,93,0,0,0,189701
2022HU0002780,120,0,0,0,0,5154001,128,0,0,0,0,0,128,0,0,128,0,0,16677
2022HU0002901,501,0,0,0,0,5151000,66,0,0,0,0,0,66,0,0,0,66,0,116739
2022HU0002985,349,0,0,0,0,5114300,52,0,0,0,0,0,52,0,0,52,52,0,61184
2022HU0002988,461,0,0,0,0,5105901,59,0,59,0,0,0,0,0,0,59,0,59,135917
2022HU0003091,501,0,0,1,0,5116101,14,0,0,0,0,0,14,0,0,14,0,0,165519
2022HU0003125,170,0,0,1,1,5114300,67,0,0,0,0,0,67,0,0,0,67,0,25015
2022HU0003185,334,0,0,0,0,5108300,13,0,0,0,0,0,13,0,13,0,0,0,52116
2022HU0003194,143,0,0,0,0,5109500,53,0,0,0,0,0,53,0,0,53,53,0,20117
2022HU0003243,0,0,0,1,0,5118500,93,0,0,0,0,0,93,0,0,93,93,0,0
2022HU0003292,501,0,0,0,0,5181001,169,0,0,0,0,0,169,0,0,169,169,0,216175
2022HU0003335,229,0,0,1,1,5114900,66,66,0,0,0,0,66,0,0,0,66,0,58057
2022HU0003369,73,0,0,0,1,5165000,166,0,0,0,0,0,166,0,0,166,166,0,10423
2022HU0003417,501,0,0,0,0,5105902,59,0,0,0,0,0,59,0,0,59,0,0,563369
2022HU0003433,501,0,0,0,0,5176001,58,0,0,0,0,0,58,0,0,0,0,0,323116
2022HU0003444,501,0,0,0,0,5110702,111,0,0,0,0,0,111,0,111,0,0,0,1221588
2022HU0003491,501,0,0,0,0,5105905,65,0,65,0,0,0,0,0,0,0,0,0,207420
2022HU0003506,241,0,0,1,0,5170000,373,0,0,373,0,0,0,0,0,0,0,0,61288
2022HU0003648,75,0,1,1,0,5108702,32,0,32,0,0,0,0,0,0,32,32,32,10840
2022HU0003692,137,0,0,1,1,5107300,38,0,0,38,0,0,0,0,38,38,0,0,104231
2022HU0003724,354,0,0,0,0,5112100,45,0,0,0,0,0,45,0,0,0,0,0,104231
2022HU0003763,501,0,0,0,0,5105902,101,0,0,0,0,0,101,101,0,0,0,0,136647
2022HU0003772,382,0,0,0,0,5107300,30,0,0,0,0,0,30,0,0,30,30,0,65353
2022HU0003817,501,0,0,0,0,5108702,196,0,0,0,0,0,196,0,0,196,0,0,79633
2022HU0003836,431,0,0,0,0,5105908,251,0,0,251,0,0,0,0,0,0,0,0,64623
2022HU0003858,501,0,0,0,0,5114900,69,0,0,0,0,0,69,0,0,0,0,0,162611
2022HU0003905,255,0,1,1,0,5110701,53,0,0,53,0,0,0,0,0,0,53,0,50187
2022HU0003963,501,0,0,0,0,5104103,54,0,0,0,0,0,54,0,0,54,0,0,153220
2022HU0004001,358,0,0,0,0,5118500,59,0,0,0,0,0,59,0,0,59,0,0,50448
2022HU0004010,422,0,0,0,0,5115303,91,0,0,91,0,0,0,0,0,0,0,0,66708
2022HU0004025,501,0,0,0,0,5105905,92,0,92,0,0,0,92,92,0,0,0,0,252865
2022HU0004081,220,0,0,1,0,5118500,28,0,0,0,0,0,28,0,0,28,0,0,29810
2022HU0004228,203,0,0,0,0,5114501,48,48,0,0,0,0,48,0,0,48,48,0,76193
2022HU0004267,365,0,0,0,0,5177001,235,0,0,0,0,0,235,0,0,0,0,0,56597
2022HU0004331,501,0,1,1,0,5101500,35,0,0,0,0,0,35,35,0,35,35,0,138002
2022HU0004357,20,0,0,0,1,5171001,154,0,0,0,0,0,154,0,0,0,154,0,3127
2022HU0004383,0,0,0,1,1,5176002,261,0,0,261,0,0,0,0,0,0,0,0,0
2022HU0004400,493,0,0,0,0,5104102,92,0,0,0,0,0,92,0,0,92,0,0,70877
2022HU0004458,197,0,0,0,0,5114501,56,0,0,0,0,0,56,0,0,56,0,0,30957
2022HU0004470,501,0,0,0,0,5116101,121,0,0,0,0,0,121,0,0,121,0,0,700850
2022HU0004516,501,0,0,0,0,5171002,31,0,0,0,0,0,31,0,0,31,0,0,207420
2022HU0004539,472,0,0,0,0,5115301,62,0,62,0,0,0,62,0,0,0,0,0,111527
2022HU0004563,476,0,0,0,0,5181003,48,0,0,0,0,0,48,0,0,48,0,0,66604
2022HU0004581,354,0,0,0,0,5101900,45,0,0,0,0,0,45,0,0,0,0,0,67750
2022HU0004682,372,0,1,1,1,5181002,106,0,0,0,0,0,106,0,0,0,106,0,70460
2022HU0004727,46,0,0,1,1,5155001,46,0,0,46,0,0,0,0,0,0,0,0,15822
2022HU0004772,501,0,0,0,0,5105906,88,0,0,0,0,0,88,0,88,0,0,0,377317
2022HU0004811,501,0,0,0,0,5108702,51,0,0,0,0,0,51,0,0,0,0,0,119866
2022HU0004819,501,0,0,0,0,5109500,48,48,0,0,0,0,48,48,0,0,0,0,255366
2022HU0004821,216,0,0,0,0,5155002,39,0,0,39,0,0,0,0,39,39,39,0,39504
2022HU0004839,501,0,0,0,0,5101301,71,0,0,0,0,0,71,0,0,71,0,0,408169
2022HU0004890,501,0,0,0,0,5114900,99,0,0,99,0,0,0,0,99,0,99,0,129247
2022HU0004920,501,0,0,0,0,5117700,73,0,0,73,0,0,73,0,0,73,73,0,161662
2022HU0004938,501,0,0,0,0,5176001,92,0,0,0,0,0,92,0,0,0,0,0,356470
2022HU0004942,268,0,0,0,0,5114300,50,0,0,0,0,0,50,0,0,0,0,0,83385
2022HU0005125,269,0,0,0,0,5106100,59,0,0,0,0,0,59,0,0,59,0,0,99541
2022HU0005138,287,0,0,0,0,5180000,31,0,0,0,0,0,31,0,31,31,0,0,52428
2022HU0005140,501,0,0,0,0,5115301,113,0,0,0,0,0,113,0,0,0,0,0,83385
