SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
2022HU0000495,501,0,0,0,0,5000200,89,0,0,0,0,0,89,89,0,89,0,0,125598
2022HU0001603,497,0,0,0,0,5000300,93,0,0,93,0,0,93,0,0,0,0,0,95893
2022HU0001731,481,0,0,0,0,5000300,241,0,0,0,0,0,241,0,0,0,0,0,75046
2022HU0002281,501,0,0,1,0,5000400,215,0,0,0,0,0,215,0,0,0,0,0,400247
2022HU0002411,282,0,0,0,0,5000200,71,71,0,71,0,0,0,0,0,71,0,0,40546
2022HU0002572,280,0,0,1,0,5000100,273,0,273,0,0,0,273,0,0,0,0,0,96935
2022HU0002753,501,0,0,0,0,5000300,61,0,0,0,0,0,61,0,0,0,0,0,602456
2022HU0004020,501,0,0,0,0,5000200,42,0,0,0,0,0,42,0,0,0,0,0,156347
2022HU0004324,233,0,0,0,0,5000200,31,0,0,0,0,0,31,0,0,31,31,0,40337
2022HU0005265,217,0,0,0,0,5000100,15,0,0,0,0,0,15,0,0,15,0,0,29602
2022HU0006450,112,1,0,1,0,5000200,37,0,0,0,0,0,37,0,0,37,0,0,25432
2022HU0006666,358,0,0,1,1,5000400,183,0,0,0,0,0,183,0,0,0,0,0,107566
2022HU0007043,309,0,0,0,0,5000200,121,0,0,0,0,0,121,0,0,0,0,0,106316
2022HU0007380,254,0,0,0,0,5000100,109,0,0,0,0,0,109,0,109,109,0,0,34396
2022HU0007402,501,0,0,0,0,5000100,20,0,0,0,0,0,20,0,20,20,0,0,117792
2022HU0007681,501,0,0,0,0,5000300,38,0,0,0,0,0,38,0,0,38,0,0,167604
2022HU0008413,501,0,0,0,0,5000100,17,0,0,0,0,0,17,0,0,0,0,0,174066
2022HU0008468,499,0,0,0,0,5000100,38,0,0,0,0,0,38,0,0,38,0,0,85157
2022HU0008484,180,0,0,0,0,5000400,28,0,0,0,0,0,28,0,0,28,0,0,51699
2022HU0008599,232,0,0,0,0,5000400,73,0,0,0,0,0,73,0,0,73,73,0,33145
2022HU0008679,501,0,0,0,0,5000200,35,0,0,0,0,0,35,0,0,35,0,0,150176
2022HU0009520,437,0,0,0,0,5000300,73,0,0,0,0,0,73,0,0,0,0,0,64623
2022HU0009822,501,0,0,0,0,5000100,52,0,0,0,0,0,52,0,0,52,0,0,100270
2022HU0010068,437,0,0,0,0,5000200,39,0,0,0,0,0,39,0,0,0,0,0,137585
2022HU0010267,295,0,0,0,0,5000100,91,0,0,0,0,0,91,0,0,91,0,0,55555
2022HU0010705,501,0,0,0,0,5000100,148,0,0,0,0,0,148,0,0,148,0,0,106316
2022HU0011293,501,0,0,0,0,5000200,30,0,0,0,0,0,30,0,0,30,0,0,194495
2022HU0011866,360,0,0,0,0,5000400,31,0,0,0,0,0,31,0,0,31,0,0,64415
2022HU0012325,499,0,0,0,0,5000300,117,0,0,0,0,0,117,0,0,117,0,117,111006
2022HU0012481,501,0,0,1,0,5000200,141,0,0,0,0,0,141,0,0,141,0,0,210547
2022HU0013157,228,0,1,1,0,5000400,67,0,0,0,0,0,67,0,0,67,67,0,83593
2022HU0013350,501,0,0,0,0,5000300,152,0,0,0,0,0,152,0,0,152,0,0,176151
2022HU0013688,265,0,0,0,0,5000400,24,0,0,0,0,0,24,0,24,24,24,0,77016
2022HU0013844,281,0,0,0,0,5000200,19,0,0,0,0,0,19,0,0,19,19,0,48363
2022HU0014835,320,0,0,0,0,5000200,62,0,0,0,0,0,62,0,0,62,62,0,46070
2022HU0015450,174,0,0,0,0,5000100,166,0,0,0,0,0,166,0,0,0,0,0,27100
2022HU0015530,472,0,0,0,0,5000300,57,0,0,0,0,0,57,0,0,57,0,0,80675
2022HU0016381,285,0,0,0,0,5000100,25,0,0,0,0,0,25,0,0,25,25,0,65770
2022HU0016805,155,0,0,0,0,5000200,70,0,0,0,0,0,70,0,0,70,0,0,22024
2022HU0017018,229,0,0,1,0,5000200,40,0,0,0,0,0,40,0,0,40,0,0,42005
2022HU0018634,390,0,0,0,0,5000400,51,0,0,0,0,0,51,0,0,51,0,0,57327
2022HU0020639,501,0,0,1,0,5000200,100,0,0,0,0,0,100,0,0,0,0,0,109443
2022HU0021326,501,0,0,0,0,5000300,335,0,0,0,0,0,335,0,0,0,0,0,189909
2022HU0021604,501,1,1,1,0,5000100,139,0,0,0,0,0,139,0,0,0,0,0,112361
2022HU0022461,501,0,0,0,0,5000200,59,0,0,0,0,0,59,0,0,0,0,0,173024
2022HU0022649,253,0,0,1,1,5000100,174,0,0,0,0,0,174,0,0,0,174,0,37523
2022HU0023519,501,0,0,0,0,5000300,99,0,0,0,0,0,99,0,0,0,0,0,135188
2022HU0025451,333,1,0,0,1,5000200,24,0,0,0,0,0,24,0,0,0,0,0,75880
2022HU0025912,294,0,0,1,0,5000400,59,0,0,0,0,0,59,0,0,0,0,0,58369
2022HU0025920,483,0,0,0,0,5000100,204,0,0,0,0,0,204,0,0,204,204,0,87033
2022HU0026049,174,0,0,0,0,5000100,27,0,0,0,0,0,27,0,0,27,0,27,25015
