metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
21794,0,0,0,0,0,0,0,0,0,0,0,46656,0,0,0,0,0,216
21794,0,0,0,0,0,0,0,0,0,0,2116,0,0,2116,2116,0,0,46
21794,0,0,0,0,0,0,0,0,0,0,3025,0,0,3025,0,3025,0,55
21794,0,0,0,0,0,0,0,0,0,0,3721,0,0,3721,0,0,0,61
21794,0,0,0,0,0,0,0,0,0,0,4356,0,0,0,0,0,0,66
21794,0,0,0,0,0,0,0,0,0,0,4356,0,0,4356,0,0,0,66
21794,0,0,0,0,0,0,0,0,0,0,4356,0,4356,4356,4356,0,-2293,66
21794,0,0,0,0,0,0,0,0,0,0,4761,0,0,4761,0,0,0,69
21794,0,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,0,71
21794,0,0,0,0,0,0,0,0,0,0,5329,0,0,5329,0,0,0,73
21794,0,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,61496,80
21794,0,0,0,0,0,0,0,0,0,0,12769,0,0,0,0,0,232435,113
21794,0,0,0,0,0,0,0,0,0,0,17956,0,0,17956,0,0,0,134
21794,0,0,0,0,0,0,0,0,0,0,28561,28561,28561,28561,0,0,-2293,169
21794,0,0,0,0,0,0,0,0,0,0,36100,0,0,36100,0,0,0,190
21794,0,0,0,0,0,0,0,0,0,0,95481,0,0,95481,95481,0,7609,309
21794,0,0,0,0,0,0,0,0,0,0,356409,0,0,0,0,0,0,597
21794,0,0,0,0,0,0,0,251001,0,0,0,0,0,0,0,0,0,501
21794,0,0,0,0,0,0,3364,0,0,0,0,0,0,0,0,0,0,58
21794,0,0,0,0,0,5184,0,0,0,0,5184,5184,0,5184,0,0,69418,72
21794,0,0,0,1,0,0,0,0,0,0,0,4096,0,0,0,4096,0,64
21794,0,0,0,1,0,0,0,0,0,0,0,43264,0,0,43264,0,0,208
21794,0,0,0,1,0,0,0,0,0,0,4225,4225,0,0,0,0,151969,65
21794,0,0,0,1,0,0,0,0,0,0,5041,0,0,0,0,0,0,71
21794,0,0,0,1,0,0,0,0,0,0,5184,0,5184,0,0,0,30227,72
21794,0,0,0,1,0,0,0,0,0,0,6561,0,0,0,6561,0,0,81
21794,0,0,0,1,0,0,0,0,0,0,12100,0,0,12100,0,0,0,110
21794,0,0,0,1,0,0,0,0,0,0,21904,0,0,0,0,0,0,148
21794,0,0,0,1,0,0,2401,0,0,0,2401,0,0,0,0,0,103189,49
21794,0,0,0,1,0,0,7225,0,0,0,0,0,0,7225,0,7225,0,85
21794,0,0,0,1,0,256,0,0,0,0,0,0,256,256,256,0,0,16
21794,0,0,0,1,0,4761,0,0,0,0,4761,0,0,0,0,0,66499,69
21794,0,0,0,1,1,0,0,0,0,0,0,236196,0,0,0,236196,1563,486
21794,0,0,0,1,1,0,0,0,0,0,2601,0,0,2601,0,0,0,51
21794,0,0,0,1,1,0,0,0,0,0,3600,0,3600,0,0,0,0,60
21794,0,0,0,1,1,0,0,0,0,0,18769,0,0,0,0,0,0,137
21794,0,0,0,1,1,0,0,0,0,0,53824,0,0,0,0,0,0,232
21794,0,0,0,1,1,0,0,0,0,0,73441,73441,0,0,73441,0,38566,271
21794,0,0,0,1,1,0,2116,0,0,0,0,0,0,0,2116,2116,0,46
21794,0,0,0,1,1,0,19600,0,0,0,19600,0,0,0,19600,0,0,140
21794,0,0,0,1,1,1089,1089,1089,1089,0,0,0,0,0,0,0,78173,33
21794,0,0,0,1,1,7744,0,0,0,0,7744,0,0,0,7744,0,0,88
21794,0,0,0,1,1,7921,0,7921,0,0,7921,0,7921,7921,7921,7921,268395,89
21794,0,0,0,1,1,13924,0,0,0,0,13924,0,0,0,0,0,0,118
21794,0,0,1,1,1,0,0,0,0,0,3025,0,3025,3025,3025,0,10527,55
21794,1,0,0,1,0,0,0,0,0,0,1849,0,0,1849,0,0,229,43
21794,1,0,0,1,0,0,0,0,0,0,15376,15376,0,0,15376,0,63164,124
21794,1,1,0,1,1,0,0,0,0,16384,0,0,0,16384,16384,16384,834,128
21794,2,0,0,1,0,0,0,0,0,0,24025,24025,0,0,0,24025,27621,155
21794,2,0,0,1,1,0,0,0,0,0,1521,0,0,0,0,0,657,39
21794,2,0,0,1,1,7921,0,0,0,0,7921,0,0,0,7921,0,500,89
21794,2,1,0,1,1,0,0,0,0,0,5625,0,0,0,0,0,344,75
21794,3,0,0,0,0,0,0,20449,0,0,0,0,0,0,0,0,500,143
21794,4,0,0,1,0,0,0,0,0,0,4225,0,0,0,4225,0,47634,65
21794,4,0,0,1,0,0,0,0,0,0,29241,0,0,0,29241,0,678,171
21794,4,0,0,1,1,0,0,0,0,0,13225,0,0,0,0,0,30644,115
