puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
5326702,91,501,0,0,0,0,0,0,0,0,0,8281,0,0,8281,0,0,94538
5327701,72,501,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,115280
5323314,59,501,0,0,0,0,0,0,0,0,0,3481,0,0,0,0,0,84427
5326301,9,435,0,0,0,0,0,0,0,0,0,81,0,81,81,81,0,78382
5320900,115,413,0,1,1,0,0,0,0,0,0,13225,0,0,13225,13225,13225,132102
5323315,219,211,0,0,0,0,47961,0,0,0,0,0,0,0,0,0,0,38566
5320700,60,501,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,116739
5322700,29,501,0,0,0,0,0,841,0,0,0,841,0,0,841,0,0,652799
5322700,175,497,0,0,0,1,0,0,0,0,0,30625,0,0,30625,30625,0,90087
5323303,125,501,0,0,0,0,0,0,0,0,0,15625,0,0,15625,0,0,242546
5326701,101,310,0,0,0,0,0,0,0,0,0,10201,0,0,10201,0,0,43110
5323309,57,466,0,0,0,0,0,0,0,0,0,3249,0,0,3249,0,0,83385
5326304,304,501,0,0,0,0,0,0,0,0,0,92416,0,0,0,92416,0,652487
5326105,117,501,0,0,0,0,0,0,0,0,0,13689,0,0,0,0,0,361838
5323318,58,239,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,37523
5323307,69,501,0,0,0,0,0,0,0,0,4761,4761,0,0,0,0,0,235562
5321103,66,334,0,0,0,0,0,0,0,0,0,4356,0,0,0,0,0,50031
5321102,59,392,0,0,0,0,0,0,0,0,0,3481,0,0,3481,0,0,60454
5327302,109,501,0,0,0,0,0,0,0,0,0,11881,0,0,0,0,0,104856
5323309,50,501,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,159474
5322700,62,261,0,0,1,0,0,0,0,0,0,0,3844,0,3844,0,0,44819
5325304,34,386,0,0,0,0,0,0,0,0,0,1156,0,0,0,0,0,75568
5320700,66,312,0,0,1,1,0,0,0,0,0,4356,4356,0,0,0,4356,119866
5321500,60,2,1,0,1,1,3600,0,0,0,0,3600,0,0,0,3600,0,34042
5321102,114,501,0,0,1,0,12996,0,0,0,0,12996,0,0,0,0,0,100062
5326101,125,501,0,0,0,0,0,0,0,0,0,15625,15625,0,15625,0,0,152177
5322700,54,389,0,1,1,0,0,0,0,0,0,2916,0,0,2916,0,0,74629
5326302,55,298,1,0,1,0,0,0,0,0,0,3025,0,0,3025,0,3025,107514
5325301,88,501,0,0,0,0,0,0,0,0,0,7744,0,0,7744,0,0,443503
5326702,94,318,0,0,0,0,0,0,0,0,0,8836,0,0,8836,0,0,44924
5326301,77,501,0,0,0,0,0,0,0,0,0,5929,0,5929,5929,5929,0,195954
5321500,110,501,0,0,0,0,0,0,0,0,0,12100,0,0,0,0,0,139670
5323303,106,501,0,0,0,0,0,0,0,0,0,11236,0,0,0,0,0,208462
5325306,76,428,0,0,0,0,0,0,0,0,0,5776,0,0,0,0,0,64623
5322700,96,142,0,0,0,0,0,0,0,0,0,9216,0,9216,9216,0,0,25015
5323317,158,82,0,0,1,0,0,0,0,0,0,24964,0,0,0,0,0,12508
5323307,105,489,0,0,0,0,0,11025,0,0,0,0,0,0,0,11025,11025,155721
5326104,61,501,0,0,0,0,0,0,0,0,0,3721,0,0,3721,0,0,134458
5323310,92,196,0,0,0,0,0,8464,0,0,0,0,0,0,0,0,8464,37523
5323502,70,158,0,0,1,1,0,0,0,0,0,4900,0,0,0,4900,0,50542
5321103,181,0,0,0,0,1,0,0,32761,0,0,0,32761,0,0,0,32761,0
5326106,111,89,0,0,1,0,0,0,0,0,0,12321,0,12321,12321,12321,0,20846
5322500,12,116,0,0,1,0,0,0,0,0,0,144,0,0,144,144,0,15843
5326500,80,163,0,0,0,0,0,0,0,0,0,6400,0,0,6400,6400,0,23765
5321103,135,58,0,1,1,1,0,0,0,0,0,18225,0,0,18225,18225,0,8234
5327701,81,172,0,0,1,0,0,0,0,0,0,0,6561,0,0,0,6561,50031
5322500,107,49,0,0,1,1,0,0,0,0,0,11449,0,0,0,0,0,9381
5321500,86,329,0,0,1,0,0,0,0,0,0,7396,0,0,0,7396,0,157806
5325701,19,113,0,0,1,0,0,361,0,0,0,361,0,361,0,0,361,21784
5323318,65,286,0,1,1,0,0,0,0,0,0,4225,0,0,0,0,0,76506
5323316,131,166,0,0,0,0,0,17161,0,0,0,0,0,0,17161,0,17161,30279
5326104,59,57,0,0,0,0,0,0,0,0,0,3481,0,0,3481,0,0,79153
5320700,182,501,0,0,0,0,0,0,0,0,0,33124,0,0,0,0,0,183447
5325305,79,372,0,0,0,0,0,0,0,0,0,6241,0,0,0,0,0,57327
5324100,49,275,0,0,0,0,0,0,0,0,0,2401,0,0,2401,2401,2401,52116
5327302,55,395,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,94850
5326101,90,236,0,0,0,0,0,0,0,0,0,8100,0,8100,8100,0,0,34188
5323318,128,490,0,0,0,0,0,0,0,0,0,16384,0,0,0,0,0,99020
5327500,12,29,0,0,1,0,0,0,0,0,0,144,0,0,144,0,0,5212
5323312,67,334,0,0,0,0,0,0,4489,0,0,0,0,4489,0,0,0,52116
5326104,69,0,0,0,0,0,0,0,0,0,0,4761,0,0,4761,0,0,0
5326302,106,281,0,0,1,1,0,0,0,0,0,11236,0,0,0,11236,0,48467
5326304,88,197,0,0,0,1,0,0,0,0,0,7744,0,0,0,0,0,30019
5321103,24,501,0,0,0,0,576,0,0,0,0,576,0,0,576,0,0,124087
5323501,39,501,0,0,0,0,1521,0,0,0,0,1521,0,0,0,1521,0,302270
5321103,37,238,0,0,0,0,0,0,0,0,0,1369,0,0,1369,1369,0,32729
5323502,72,501,0,0,0,0,5184,0,0,0,0,5184,0,0,0,0,0,170189
5323311,90,501,0,0,0,0,0,0,0,0,0,8100,0,0,8100,0,0,154262
5325303,70,501,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,140712
5321101,72,501,0,0,0,0,0,5184,0,0,0,0,0,0,0,0,5184,130289
5321101,71,501,0,0,0,0,0,0,0,0,0,5041,0,5041,5041,0,0,97560
5325305,66,501,0,0,1,0,0,4356,0,0,0,0,0,0,4356,4356,0,973310
