puma22,WGTP,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income
5500900,34,460,0,0,0,0,0,0,0,0,0,1156,0,0,1156,0,0,64832
5501000,202,0,0,1,1,1,0,0,40804,0,0,0,40804,0,0,0,0,10006
5500100,20,501,0,0,0,0,0,0,0,0,0,400,0,400,0,0,0,140712
5500100,25,28,0,0,0,0,0,0,0,0,0,625,0,625,625,625,0,3857
5502807,112,265,0,0,0,0,0,0,0,0,0,12544,0,0,12544,0,0,36585
5500502,120,501,0,0,0,0,14400,0,14400,0,0,14400,0,0,0,0,0,167187
5502808,168,283,0,0,0,0,0,0,0,0,0,28224,0,0,0,0,0,57327
5502000,31,501,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,109443
5501900,279,287,0,0,0,0,0,0,0,0,0,77841,0,0,77841,0,0,42214
5502900,178,501,0,0,0,0,0,0,0,0,0,31684,0,0,0,0,0,165727
5500200,18,474,0,0,0,0,0,0,0,0,0,324,0,0,324,0,0,85991
5502300,23,338,0,0,0,0,0,0,0,0,0,529,0,0,0,529,0,72128
5502803,809,327,0,0,0,0,0,0,654481,0,0,0,0,0,0,0,0,94850
5502300,128,327,0,0,1,0,0,0,0,0,0,16384,0,0,0,16384,0,96935
5500100,36,501,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,193244
5500600,35,501,0,0,1,0,0,0,0,0,0,1225,0,1225,1225,0,0,89430
5502802,131,501,0,0,0,0,0,17161,0,0,0,17161,17161,0,17161,0,0,273085
5501900,17,328,0,0,0,0,0,0,0,0,0,289,0,0,0,0,289,205231
5500200,34,501,0,0,0,0,0,0,0,0,0,1156,0,0,1156,1156,0,478421
5500501,86,270,0,0,0,0,0,0,7396,0,0,7396,0,0,0,0,0,63060
5501800,28,452,0,0,0,0,0,0,0,0,0,784,0,0,784,0,0,64623
5502600,214,203,1,0,1,1,0,0,0,0,0,45796,0,0,45796,45796,0,27517
5500300,32,280,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,42526
5502103,90,501,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,83385
5502000,138,283,0,0,0,0,0,0,0,0,0,19044,0,0,0,0,0,76089
5501500,164,253,0,0,0,0,0,0,26896,0,0,26896,0,0,0,0,0,47946
5502805,339,258,0,0,0,0,0,0,0,0,0,114921,0,0,114921,0,0,35960
5500800,21,363,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,57327
5501100,11,263,0,0,0,0,121,0,0,0,0,121,0,0,121,121,0,92245
5502300,88,234,0,0,0,0,0,0,0,0,0,7744,0,0,7744,7744,0,32207
5500600,234,417,0,0,0,0,0,0,0,0,0,54756,0,0,0,0,0,62539
5500200,64,387,0,0,0,0,0,0,0,0,0,4096,0,4096,4096,4096,0,67333
5501100,19,303,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,87554
5502105,165,92,0,0,0,0,0,0,0,0,0,27225,0,0,27225,0,0,16885
5502802,183,296,0,0,0,0,0,0,0,0,0,33489,0,0,0,0,0,97977
5501900,24,120,0,0,1,0,576,0,0,0,0,576,0,0,576,0,0,28757
5500800,35,286,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,43777
5501800,13,501,0,1,1,0,0,0,0,0,0,169,0,0,169,169,0,168959
5500600,106,141,0,0,0,1,0,0,0,0,0,11236,0,11236,11236,0,0,20012
5502200,100,487,0,0,0,0,0,0,0,0,0,10000,10000,0,0,10000,0,101104
5500100,19,218,0,0,0,0,0,0,0,0,0,361,0,0,361,361,0,41734
5501400,39,417,0,0,0,0,0,0,0,0,0,1521,0,0,1521,1521,0,78851
5500600,41,430,0,0,0,0,0,0,0,0,0,1681,0,0,1681,0,0,81300
5502502,234,398,0,0,0,0,0,0,0,0,0,54756,0,0,0,0,0,117781
5501500,67,441,0,0,0,0,0,0,0,0,0,4489,0,4489,0,0,0,88596
5500100,30,436,0,0,0,0,0,0,0,0,0,900,0,0,0,900,0,131540
5501900,24,110,0,0,1,0,0,0,0,0,0,576,0,0,576,0,0,15947
5500502,39,275,0,0,0,0,0,0,0,0,0,1521,0,1521,1521,0,0,49614
5502600,32,501,0,0,0,0,0,0,0,0,0,1024,0,1024,1024,0,0,107566
5502805,170,501,0,0,0,0,0,0,0,0,0,28900,0,0,0,0,0,116739
5503000,188,357,0,0,0,0,0,0,0,0,0,35344,0,0,35344,0,0,55034
5500200,37,86,0,0,1,1,0,0,0,0,0,1369,0,0,1369,0,0,12612
5501200,30,179,0,0,0,0,0,0,0,0,0,900,0,0,900,0,0,25224
5502802,183,284,0,0,0,0,0,0,0,0,0,33489,0,0,0,0,0,43777
5502300,47,501,0,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,138627
5500600,79,302,0,0,0,0,0,0,0,0,0,6241,0,0,0,0,0,104231
5500900,62,156,0,0,1,1,0,0,0,0,0,3844,0,0,0,0,0,36481
5500700,60,186,0,0,0,0,0,0,0,0,0,3600,0,0,3600,0,0,35855
5502503,194,501,0,0,0,0,0,0,0,0,0,37636,0,0,0,0,0,114654
5502805,254,170,0,0,1,1,0,0,0,0,0,64516,64516,0,0,0,64516,41692
5501900,14,501,0,0,0,0,0,0,0,0,0,196,0,0,196,0,0,379818
5502600,150,385,0,0,0,0,0,0,0,0,0,22500,0,0,0,0,0,59412
5502802,353,63,0,0,1,0,0,0,0,0,0,124609,0,0,0,0,0,43777
5501400,26,196,0,0,0,0,0,0,0,0,0,676,0,676,0,0,0,70460
5501300,23,501,0,0,1,0,0,0,0,0,0,529,0,0,529,529,0,289762
5502103,189,501,0,0,0,0,0,0,0,0,0,35721,0,0,0,0,0,116739
5501500,360,501,0,0,0,0,0,0,0,0,0,129600,0,0,0,0,0,112570
5502501,172,501,0,0,0,0,0,0,0,0,0,29584,0,0,0,0,0,594117
5501400,66,501,0,0,0,0,0,0,0,0,0,4356,0,0,4356,0,0,130602
5502806,284,295,0,0,0,0,0,0,0,0,0,80656,80656,0,0,0,0,84636
5502102,156,280,0,0,0,0,0,24336,0,0,0,0,0,0,0,0,0,43777
5500100,17,501,0,0,0,0,289,0,0,0,0,0,0,0,289,289,0,83176
5500501,346,86,0,0,1,1,0,0,0,0,0,119716,0,0,0,119716,0,97143
5500300,59,261,0,0,0,0,0,0,0,0,0,3481,0,0,3481,3481,0,35439
5502501,252,368,0,0,0,0,0,0,0,0,0,63504,0,0,0,0,0,56285
5502103,100,269,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,41692
5502503,127,428,0,0,0,0,0,0,0,0,0,16129,0,16129,16129,0,0,74108
5502400,144,194,0,0,1,0,0,0,0,0,0,20736,0,0,20736,20736,0,46383
